candidate_id,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,candidate_label_guess,issue_binary_label_guess,escalation_binary_label_guess,contradiction_binary_label_guess,claim_text,claim_text_sha256,claim_generation_status,claim_generation_policy,annotation_status,human_audited,final_label,gold_label,source_trace_complete,generation_notes,leakage_category,claim_only_correct,claim_evidence_correct,group_quality_tier
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,strong_action_overclaim,issue,escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.",fdb7bdf2fa98cdddf367ddbf0b5687f40257fe710d52567bc4fce7461527d9d0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,B_evidence_gain,False,True,tier1_B_no_A
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,contradiction_candidate,issue,non_escalation,contradiction,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.",b372aea5674249930b69d1bfddbc93367a3ac3440f9ff1fa13f09e63bcb52d57,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier1_B_no_A
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,supported,no_issue,non_escalation,not_contradiction,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,de07e140c0001aa8d7e0e13dc0bb5311544b9bbe3854e3e0f8fe8cf36153af70,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,mild_scope_overclaim,issue,escalation,not_contradiction,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,dd0fa55acab3977cb5544fb5e64a6781190998f2eb6ccbf336bf9062d52c4a36,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,strong_action_overclaim,issue,escalation,not_contradiction,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal a comprehensive failure taxonomy for closed-loop planners during evaluation.,8ebf77131e03cbcd56b603064c701419ab20623ce8281264eb9ae46544826a20,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,A_claim_only_correct,True,True,tier4_no_B_has_A
SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,contradiction_candidate,issue,non_escalation,contradiction,Bench2Drive-Robust reports that perturbations preserve closed-loop performance and match the robustness signals from image-level corruption evaluations in results.,995fa58c44a58e2b2542d40a65c226709e9688591a9a4594f7c371515e6ba3d1,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G013-C01,SBV2-ALL92-G013,AD-005-S1,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,3,pdf_page_3,experiment_setup,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,supported,no_issue,non_escalation,not_contradiction,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for its evaluation pipeline and renderer tests.,f9e528eec7a2de8975dbe789508d36265460b229cbc62b91278252519e7f90d7,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G013-C02,SBV2-ALL92-G013,AD-005-S1,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,3,pdf_page_3,experiment_setup,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,mild_scope_overclaim,issue,escalation,not_contradiction,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for evaluation pipelines with several renderer comparisons.,c3f09b7c977b3dbef81baba54b14d69299a4af4cd76f7a4971222443a952ca37,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G013-C03,SBV2-ALL92-G013,AD-005-S1,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,3,pdf_page_3,experiment_setup,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,strong_action_overclaim,issue,escalation,not_contradiction,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,e9b1fb935f767beb6956fa5d20ef39cbd03d1f28731c910dea00ea0ffbc2504b,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G013-C04,SBV2-ALL92-G013,AD-005-S1,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,3,pdf_page_3,experiment_setup,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,contradiction_candidate,issue,non_escalation,contradiction,The Bench2Drive-R study implements an open-loop noninteractive simulation platform unrelated to nuPlan for its evaluation pipeline and renderer tests.,35b843d94ec0b809d1175d188729ac248e3e87d682f8daaf78217b48acae6337,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,A_claim_only_correct,True,True,tier4_no_B_has_A
SBV2-ALL92-G014-C01,SBV2-ALL92-G014,AD-005-S2,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,9,pdf_page_9,metric_result,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",9d29a849f0cee133742cdebd54ed9ec73cc2b339ee6f007bebc610b315df129a,supported,no_issue,non_escalation,not_contradiction,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a lower FID score.",0a2538bc56eda4000f59e233e84cf34c129391343463eaa58cb9748b9ff4d724,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G014-C02,SBV2-ALL92-G014,AD-005-S2,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,9,pdf_page_9,metric_result,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",9d29a849f0cee133742cdebd54ed9ec73cc2b339ee6f007bebc610b315df129a,mild_scope_overclaim,issue,escalation,not_contradiction,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID and stronger segmentation scores.",18e4b3449ec9822be07bfc132b8f42c0107efd1a1a01229713261166b5d21a51,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G014-C03,SBV2-ALL92-G014,AD-005-S2,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,9,pdf_page_9,metric_result,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",9d29a849f0cee133742cdebd54ed9ec73cc2b339ee6f007bebc610b315df129a,strong_action_overclaim,issue,escalation,not_contradiction,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.",8695974d9d2869a18060ec97b1fa08e87474455861774bc6d737baf66780ef5f,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G014-C04,SBV2-ALL92-G014,AD-005-S2,AD-005,autonomous_driving,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,https://arxiv.org/abs/2412.09647,2412.09647,pdfs/AD-005__2412.09647.pdf,9,pdf_page_9,metric_result,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",9d29a849f0cee133742cdebd54ed9ec73cc2b339ee6f007bebc610b315df129a,contradiction_candidate,issue,non_escalation,contradiction,"Table 2 reports Bench2Drive-R achieves worse generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a higher FID score.",0a8e6bad15628888dc91f4820a50978c7fd98b2db232ed1a6837f74058534854,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G018-C01,SBV2-ALL92-G018,AD-006-S3,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,limitation,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",63768ac8a0c3a41266ba78375a734cbf983eea693a7cc7f5da2ad506d5d1af48,supported,no_issue,non_escalation,not_contradiction,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in closed-loop evaluation.",534ff54e74dd6f210761a710ef8245ec86b050247eeda7a0f8bdc06dd3869934,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,A_claim_only_correct,True,True,tier4_no_B_has_A
SBV2-ALL92-G018-C02,SBV2-ALL92-G018,AD-006-S3,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,limitation,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",63768ac8a0c3a41266ba78375a734cbf983eea693a7cc7f5da2ad506d5d1af48,mild_scope_overclaim,issue,escalation,not_contradiction,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in several evaluated metrics.",c836b75cb072a6336267fac5ed95325b380c117f3885788b10ac845037470b60,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G018-C03,SBV2-ALL92-G018,AD-006-S3,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,limitation,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",63768ac8a0c3a41266ba78375a734cbf983eea693a7cc7f5da2ad506d5d1af48,strong_action_overclaim,issue,escalation,not_contradiction,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.",a72de670a2c76feb47b3b0d0622c78d81eb11f4639a1e5f7dac5ce453bf5c6ba,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G018-C04,SBV2-ALL92-G018,AD-006-S3,AD-006,autonomous_driving,Bench2ADVLM,https://arxiv.org/abs/2508.02028,2508.02028,pdfs/AD-006__2508.02028.pdf,7,pdf_page_7,limitation,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",63768ac8a0c3a41266ba78375a734cbf983eea693a7cc7f5da2ad506d5d1af48,contradiction_candidate,issue,non_escalation,contradiction,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indicating current models face minimal limitations in closed-loop evaluation in this study.",e4c6739cdadc5be693e844d7dea38e7e69969fabe7d96ef72d0d62cea0a8bd18,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G019-C01,SBV2-ALL92-G019,AD-007-S1,AD-007,autonomous_driving,RoboDriveVLM / RoboDriveBench,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,6,pdf_page_6,experiment_setup,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,supported,no_issue,non_escalation,not_contradiction,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epochs on nuScenes with a learning rate of 2e-4.,f499d79332b2fd33b3540268908551983fd00b933cb71eb621724ea1b79d44c8,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,A_claim_only_correct,True,True,tier4_no_B_has_A
SBV2-ALL92-G019-C02,SBV2-ALL92-G019,AD-007-S1,AD-007,autonomous_driving,RoboDriveVLM / RoboDriveBench,https://arxiv.org/abs/2512.01300,2512.013,pdfs/AD-007__2512.01300.pdf,6,pdf_page_6,experiment_setup,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,mild_scope_overclaim,issue,escalation,not_contradiction,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for three epochs on nuScenes with a learning rate of 2e-4.,7bed449b1ea3e10d19064550fa8422c38e90346d8ca5910324bd7cf1e46aaae2,success,simclaim_ai_preannotated_candidates_no_gold_no_final_label,ai_preannotated,False,,,True,AI-preannotated candidate only; label is a guess and not gold or final.,C_both_wrong,False,False,tier4_no_B_has_A
