taxonomy,method,silver_class,pred_class,count
3_acceptable_strong_contradiction,deepseek,contradiction_candidate,strong_action_overclaim,0
3_acceptable_strong_contradiction,deepseek,strong_action_overclaim,acceptable,19
3_acceptable_strong_contradiction,deepseek,strong_action_overclaim,contradiction_candidate,5
3_acceptable_strong_contradiction,deepseek,strong_action_overclaim,strong_action_overclaim,1
4_strong_vs_rest,r4,rest,rest,49
4_strong_vs_rest,r4,rest,strong,26
4_strong_vs_rest,r4,strong,rest,16
4_strong_vs_rest,r4,strong,strong,9
4_strong_vs_rest,gpt_standard,rest,rest,75
4_strong_vs_rest,gpt_standard,rest,strong,0
4_strong_vs_rest,gpt_standard,strong,rest,24
4_strong_vs_rest,gpt_standard,strong,strong,1
4_strong_vs_rest,gpt_structured,rest,rest,75
4_strong_vs_rest,gpt_structured,rest,strong,0
4_strong_vs_rest,gpt_structured,strong,rest,24
4_strong_vs_rest,gpt_structured,strong,strong,1
4_strong_vs_rest,deepseek,rest,rest,75
4_strong_vs_rest,deepseek,rest,strong,0
4_strong_vs_rest,deepseek,strong,rest,24
4_strong_vs_rest,deepseek,strong,strong,1
5_overclaim_vs_nonoverclaim,r4,non_overclaim,non_overclaim,20
5_overclaim_vs_nonoverclaim,r4,non_overclaim,overclaim,30
5_overclaim_vs_nonoverclaim,r4,overclaim,non_overclaim,14
5_overclaim_vs_nonoverclaim,r4,overclaim,overclaim,36
5_overclaim_vs_nonoverclaim,gpt_standard,non_overclaim,non_overclaim,45
5_overclaim_vs_nonoverclaim,gpt_standard,non_overclaim,overclaim,5
5_overclaim_vs_nonoverclaim,gpt_standard,overclaim,non_overclaim,23
5_overclaim_vs_nonoverclaim,gpt_standard,overclaim,overclaim,27
5_overclaim_vs_nonoverclaim,gpt_structured,non_overclaim,non_overclaim,48
5_overclaim_vs_nonoverclaim,gpt_structured,non_overclaim,overclaim,2
5_overclaim_vs_nonoverclaim,gpt_structured,overclaim,non_overclaim,25
5_overclaim_vs_nonoverclaim,gpt_structured,overclaim,overclaim,25
5_overclaim_vs_nonoverclaim,deepseek,non_overclaim,non_overclaim,48
5_overclaim_vs_nonoverclaim,deepseek,non_overclaim,overclaim,2
5_overclaim_vs_nonoverclaim,deepseek,overclaim,non_overclaim,26
5_overclaim_vs_nonoverclaim,deepseek,overclaim,overclaim,24
