sample_id,candidate_id,label_4_silver,gpt_standard_label,gpt_structured_label,deepseek_label,r4_label,gpt_standard_correct,gpt_structured_correct,deepseek_correct,r4_correct
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,supported,contradiction_candidate,1,1,0,1
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,strong_action_overclaim,1,1,1,0
LLM_036,SBV2-ALL92-G190-C01,supported,mild_scope_overclaim,supported,supported,strong_action_overclaim,0,1,1,0
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,1,1,1,0
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,1,1,0,0
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0
LLM_002,SBV2-ALL92-G027-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_033,SBV2-ALL92-G205-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0
LLM_035,SBV2-ALL92-G196-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,1,1,0,0
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,1,1,1,0
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,1,1,1,0
LLM_017,SBV2-ALL92-G089-C01,supported,mild_scope_overclaim,supported,supported,mild_scope_overclaim,0,1,1,0
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,0,0,0,0
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,1,1,0,0
LLM_040,SBV2-ALL92-G233-C01,supported,supported,supported,supported,supported,1,1,1,1
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,1,1,0,0
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,supported,supported,supported,mild_scope_overclaim,0,0,0,1
LLM_030,SBV2-ALL92-G146-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,0,0,1,0
LLM_043,SBV2-ALL92-G266-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,1,1,0,0
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,mild_scope_overclaim,0,0,0,0
LLM_037,SBV2-ALL92-G187-C01,supported,mild_scope_overclaim,mild_scope_overclaim,supported,mild_scope_overclaim,0,0,1,0
LLM_049,SBV2-ALL92-G163-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_032,SBV2-ALL92-G213-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_041,SBV2-ALL92-G261-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0
LLM_031,SBV2-ALL92-G140-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,supported,mild_scope_overclaim,0,0,0,0
LLM_029,SBV2-ALL92-G119-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,0,0,0,0
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,0,0,1,0
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,1,1,1,1
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,supported,0,0,1,0
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,0,0,1,0
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,0,0,0,1
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,1,1,0,0
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,mild_scope_overclaim,supported,supported,strong_action_overclaim,1,0,0,0
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,0,0,0,1
LLM_098,SBV2-ALL92-G167-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,strong_action_overclaim,1,1,1,0
LLM_198,SBV2-ALL92-G163-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,1,1,1,0
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,0,0,0,0
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,mild_scope_overclaim,1,1,0,1
LLM_193,SBV2-ALL92-G271-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,0,0,0,1
LLM_183,SBV2-ALL92-G198-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,1,1,1,0
LLM_086,SBV2-ALL92-G178-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,1,1,1,1
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,1,1,0,0
LLM_038,SBV2-ALL92-G224-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,0,0,0,1
LLM_045,SBV2-ALL92-G272-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_028,SBV2-ALL92-G116-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_048,SBV2-ALL92-G164-C01,supported,supported,supported,supported,supported,1,1,1,1
LLM_186,SBV2-ALL92-G185-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,1,1,1,0
LLM_190,SBV2-ALL92-G264-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,0,0,0,1
LLM_185,SBV2-ALL92-G193-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1
LLM_180,SBV2-ALL92-G106-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,1,1,0,1
LLM_044,SBV2-ALL92-G253-C01,supported,supported,supported,supported,strong_action_overclaim,1,1,1,0
LLM_134,SBV2-ALL92-G190-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,supported,contradiction_candidate,0,0,0,0
LLM_145,SBV2-ALL92-G261-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,0,0,0,0
LLM_039,SBV2-ALL92-G214-C01,supported,supported,supported,supported,mild_scope_overclaim,1,1,1,0
LLM_191,SBV2-ALL92-G252-C04,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,supported,1,1,1,0
LLM_138,SBV2-ALL92-G266-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,0,0,0,1
