sample_id,candidate_id,label_4_silver,parse_status,factual_alignment,scope_expansion,action_or_deployment_claim,evidence_sufficient_for_action,label,confidence,one_sentence_rationale,evidence_used,uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate
LLM_017,SBV2-ALL92-G089-C01,supported,ok,supported,False,False,True,supported,0.87,"The evidence states that a strong expert meta-policy can outperform a joint PPO policy, which directly aligns with the claim that a strong expert hierarchical decision rule outperforms a joint PPO baseline, with no action or deployment conclusion added.",True,False,,gpt-5.5,21.83,1111,562,0.013985
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.86,"The evidence directly states a lack of a common basis for comparison, but the claim broadens this to include replication and benchmarking, which are not stated in the evidence.",True,False,,gpt-5.5,11.57,1117,263,0.00953
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.82,"The evidence supports an iterative quality-control process to filter automated-generation noise and correct annotation biases, but it does not mention verifying each item with expert review.",True,False,,gpt-5.5,14.01,1115,287,0.00988
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.82,"The evidence supports that Craftax-Coop evaluates MAPPO alongside IPPO, with IPPO learning independently, and PQN as a Q-learning algorithm, but it does not state that PQN is recurrent or explicitly value-based.",True,False,,gpt-5.5,17.98,1157,402,0.011815
LLM_040,SBV2-ALL92-G233-C01,supported,ok,supported,False,False,True,supported,0.94,"The evidence directly states that SimCity exhibits the same listed macroeconomic phenomena, including Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve.",True,False,,gpt-5.5,11.42,1136,200,0.00868
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.82,"The evidence supports simulation testing of PX4 and ArduPilot SuTs, agent performance analysis, and feedback from sUAS developers, but the claim slightly adds specificity by calling the feedback collection 'structured,' which is not stated in the evidence.",True,False,,gpt-5.5,12.4,1134,268,0.00969
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,ok,supported,False,False,True,supported,0.95,"The evidence directly states that an interface is implemented between the simulator and Python wind farm environment via MPI communication channels to integrate with Python ecosystem libraries and RL research practices, matching the claim.",True,False,,gpt-5.5,16.79,1115,423,0.01192
LLM_030,SBV2-ALL92-G146-C01,supported,ok,supported,False,True,True,supported,0.97,"The claim closely paraphrases the evidence, including the 85.03% simulation accuracy, predictive-model outputs, and APDT's stated potential for network optimization and management.",True,False,,gpt-5.5,13.98,1121,336,0.010645
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.99,"The claim says SimCity reports no classic macroeconomic phenomena, while the evidence states that SimCity successfully exhibits those same phenomena.",True,False,,gpt-5.5,7.57,1137,155,0.00801
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.86,"The evidence states GPT-4o-mini reached perfect accuracy on one document, whereas the claim says two documents, although the precision-over-recall interpretation otherwise aligns.",True,False,,gpt-5.5,11.72,1123,282,0.009845
LLM_043,SBV2-ALL92-G266-C01,supported,ok,supported,False,False,True,supported,0.98,"The evidence directly states that six-point Likert responses were mapped to ordinal scores, responses from both surveys were pooled, and agent belief states were averaged from all available self-report data.",True,False,,gpt-5.5,7.41,1131,164,0.008115
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,ok,contradicted,True,True,False,contradiction_candidate,0.98,"The claim reverses the evidence by saying a digital shadow provides assured automated control and intermittent data processing, while the evidence says automated control cannot be guaranteed and physical-system data are processed continuously.",True,False,,gpt-5.5,12.35,1101,241,0.00912
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports an iterative quality-control process for filtering automated-generation noise and correcting annotation biases, but it does not mention standardizing annotator feedback during construction.",True,False,,gpt-5.5,15.99,1116,395,0.011505
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.82,"The evidence supports the three named resolution mechanisms as first-class protocol features, but the claim slightly overstates by calling them automatic and applying them to every dispute.",True,False,,gpt-5.5,18.46,1128,459,0.012525
LLM_037,SBV2-ALL92-G187-C01,supported,ok,supported,True,False,True,mild_scope_overclaim,0.78,"The evidence supports evaluation of CL methods with MARL algorithms and changing conclusions with longer task sequences, but the claim slightly broadens this by implying conclusions change with agent count, difficulty, and partners, whereas the evidence says cooperative behavior worsens under those conditions.",True,False,,gpt-5.5,24.3,1136,610,0.01483
LLM_049,SBV2-ALL92-G163-C01,supported,ok,supported,False,False,True,supported,0.96,"The evidence directly states that context-aware policies are evaluated in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot, matching the claim.",True,False,,gpt-5.5,10.28,1108,233,0.009035
LLM_032,SBV2-ALL92-G213-C01,supported,ok,supported,False,False,True,supported,0.86,"The evidence directly states that optimization in the most general setting with individual utility functions remains unsolved, matching the claim's assertion that this remains unresolved in the broadest discussed case.",True,False,,gpt-5.5,13.77,1102,328,0.01043
LLM_041,SBV2-ALL92-G261-C01,supported,ok,supported,False,False,True,supported,0.93,"The evidence directly states that a calibration layer maps aggregated agent responses to observable population-level metrics and enables validation and counterfactual policy analysis, which aligns with the claim’s wording.",True,False,,gpt-5.5,22.15,1108,552,0.01382
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim's assertion of near-saturated performance conflicts with the evidence stating that performance does not saturate and that total reward remains well below the maximum, although the late improvement details align.",True,False,,gpt-5.5,11.32,1112,262,0.00949
LLM_031,SBV2-ALL92-G140-C01,supported,ok,supported,False,False,True,supported,0.92,"The evidence directly states that the proposed framework achieved a 37% improvement in 95th-percentile latency and a 30% energy reduction compared to existing literature, matching the claim without action or deployment overreach.",True,False,,gpt-5.5,16.55,1126,405,0.011705
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,ok,unclear,True,False,True,mild_scope_overclaim,0.78,"The evidence supports evaluation of CL methods with MARL and changes with sequence length plus worsening cooperative-retention challenges with more agents, harder tasks, and changing partners, but the claim broadens/misstates this as supervised-learning methods and changing conclusions across all listed factors.",True,True,,gpt-5.5,26.05,1136,636,0.01522
LLM_029,SBV2-ALL92-G119-C01,supported,ok,supported,False,False,True,supported,0.99,"The evidence directly states that individual CAV evaluation reports detection metrics based on AP across IoU thresholds and multiclass mAP, matching the claim.",True,False,,gpt-5.5,6.24,1128,128,0.00756
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.95,"The evidence says the evaluation was limited to 100 agents and U.S. tax brackets, while millions of agents, multi-country settings, and richer actions remained future work, contradicting the claim that all were covered.",True,False,,gpt-5.5,11.59,1125,260,0.009525
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.95,"The evidence states that four cooperation paradigms are evaluated, while the claim says five, creating a direct numerical conflict despite alignment on systematic comparison under a consistent setting.",True,False,,gpt-5.5,9.43,1115,220,0.008875
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.99,"The claim says the balance increases because new credits remain alongside the oldest credit, while the evidence states the balance does not change because each new credit causes the oldest credit to expire.",True,False,,gpt-5.5,8.76,1128,194,0.00855
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,ok,contradicted,True,True,False,contradiction_candidate,0.95,"The evidence states that a digital shadow is defined by continuous physical-system data processing when automated control cannot be guaranteed, directly contradicting the claim's assertion of assured automated control and adding unsupported smart-grid deployment scope.",True,False,,gpt-5.5,12.03,1101,240,0.009105
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.99,"The claim says RealAIGym relies on PPO rather than Soft Actor-Critic, while the evidence explicitly states that the core algorithm used is Soft Actor-Critic for continuous action spaces.",True,False,,gpt-5.5,8.11,1110,167,0.008055
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,ok,unsupported,True,True,False,strong_action_overclaim,0.86,"The evidence supports benchmarking and comparing algorithms in simulation and real hardware to assess strengths, weaknesses, and applicability, but it does not support the stronger claim that such comparison proves reliable control.",True,False,,gpt-5.5,13.36,1123,325,0.01049
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.86,"The evidence says the evaluation was limited to 100 agents and treats scaling to larger populations as future work, so the claim's assertion that several population sizes were covered is not supported and conflicts with the stated limitation.",True,False,,gpt-5.5,14.84,1124,355,0.010945
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The evidence states the SAC algorithm used 8 NVIDIA A6000 GPUs and 64 CPUs for 43 hours, directly conflicting with the claim's 16 GPUs and 100 CPUs while matching only the duration.",True,False,,gpt-5.5,9.1,1115,196,0.008515
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.9,"The evidence supports modeling individual behaviors and large-scale mobility patterns in Taipei City, but it does not mention household relocation or freight activity, so the claim broadens the scope.",True,False,,gpt-5.5,16.01,1100,389,0.011335
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.93,"The evidence says interpreting results is one of the significant ABM application issues requiring technical capability and domain expertise, whereas the claim states interpretation is resolved.",True,False,,gpt-5.5,14.83,1181,363,0.01135
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.93,"The evidence states the full-wallet balance does not change in the absence of selling or traveling, whereas the claim says it remains unchanged during sale and travel periods.",True,False,,gpt-5.5,12.85,1126,307,0.010235
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.72,"The evidence supports an MPI interface between a simulator and a Python wind farm environment for integration with Python RL libraries, but the claim broadens this into a Python-based simulator core that handles wind farm computations.",True,True,,gpt-5.5,23.5,1116,589,0.014415
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim says MobileCity retains LLM modules and behavioral fidelity while gaining efficiency, but the evidence states it gains efficiency partly by disabling LLM modules and trading behavioral fidelity for speed.",True,False,,gpt-5.5,10.07,1124,209,0.008755
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.97,"The claim says the highest reward value is set above zero, while the evidence explicitly says the highest possible reward value is set at 0 and contrasts this with a positive optimal value.",True,False,,gpt-5.5,13.62,1136,268,0.0097
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,ok,supported,False,False,True,supported,0.92,"The evidence directly states that six-point Likert responses were mapped to ordinal scores and that responses from both surveys were pooled before averaging to form each agent's belief state, matching the descriptive claim.",True,False,,gpt-5.5,14.77,1131,349,0.01089
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.98,The claim's reported improvements of 60% lower 95th-percentile latency and 50% lower energy consumption directly conflict with the evidence's stated 37% latency improvement and 30% energy reduction.,True,False,,gpt-5.5,10.86,1126,239,0.009215
LLM_098,SBV2-ALL92-G167-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.83,"The evidence supports benchmarking algorithms in simulation and real hardware, but the claim adds visual transfer tests, which are not mentioned in the evidence.",True,False,,gpt-5.5,16.82,1126,417,0.011885
LLM_198,SBV2-ALL92-G163-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.95,"The claim says the study evaluates agents in a visual language benchmark rather than a physical Franka Panda pushing task, while the evidence states evaluation occurs in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.",True,False,,gpt-5.5,10.2,1109,242,0.009175
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.95,"The evidence says GPT-4o-mini reached perfect accuracy on one document, whereas the claim says four documents, although the precision-over-recall characterization is otherwise aligned.",True,False,,gpt-5.5,8.91,1123,182,0.008345
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim says ADVLM performance is relatively high with minimal limitations, while the evidence says performance is relatively low with notable limitations.",True,False,,gpt-5.5,12.54,1107,294,0.009945
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.82,"The evidence supports the reported top mean return, lowest across-seed variation, and best Sharpe-like index, but the claim adds the clinical decision/treatment-quality framing that is not explicitly present in the evidence.",True,False,,gpt-5.5,13.21,1108,310,0.01019
LLM_193,SBV2-ALL92-G271-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The evidence says inconsistency stabilizes around 0.15 after day 15 and indicates stationarity with acceptable consistency, directly contradicting the claim that it rises past 0.15 and indicates unstable evolution with poor consistency.",True,False,,gpt-5.5,9.79,1124,221,0.008935
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,ok,contradicted,False,False,True,contradiction_candidate,0.93,"The evidence says the 13 LLMs are evaluated zero-shot, while the claim says they are trained, which directly conflicts with the provided evidence.",True,False,,gpt-5.5,12.99,1105,310,0.010175
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,ok,contradicted,True,False,True,contradiction_candidate,0.93,"The evidence says Craftax-Coop evaluates MAPPO plus only IPPO and PQN, with IPPO described as PPO and only PQN described as a parallel-environment Q-learning algorithm, contradicting the claim's inclusion of QMIX and characterization of each method as such.",True,False,,gpt-5.5,16.22,1159,359,0.01118
LLM_183,SBV2-ALL92-G198-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim states traditional MARL credit assignment schemes are reliable for capturing individual contributions while preserving stability, whereas the evidence explicitly says they cannot reliably do so while maintaining training stability.",True,False,,gpt-5.5,8.37,1128,152,0.00792
LLM_086,SBV2-ALL92-G178-C02,mild_scope_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.92,"The evidence supports evaluation of 13 modern LLMs zero-shot in homogeneous teams with trained MARL agents as reference points, but it does not mention mixed teams, so the claim broadens the evaluated setting.",True,False,,gpt-5.5,13.86,1107,331,0.0105
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,ok,unclear,True,False,True,mild_scope_overclaim,0.75,"The evidence directly supports that setting the highest reward value to 0 stabilizes Q-function learning and prevents policy degradation after successful swing-ups, but it does not directly state that this accelerates training.",True,False,,gpt-5.5,14.54,1136,360,0.01108
LLM_038,SBV2-ALL92-G224-C01,supported,ok,supported,False,False,True,supported,0.97,"The evidence directly states that under the winner-takes-all rule, over 90% of state voting results are predicted correctly, matching the claim without added scope or action language.",True,False,,gpt-5.5,7.69,1125,163,0.00807
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,ok,supported,True,False,True,mild_scope_overclaim,0.86,"The evidence supports hardware limitations involving mechanical system design/computing capabilities and software restrictions involving algorithm efficiency, but the claim adds sensor calibration and actuator maintenance, which are not stated in the evidence.",True,False,,gpt-5.5,13.84,1122,335,0.010635
LLM_045,SBV2-ALL92-G272-C01,supported,ok,supported,False,False,True,supported,0.99,"The claim closely restates the evidence that once an account is in the full-wallet state, its balance remains unchanged without selling or traveling because each new credit causes the oldest credit to expire.",True,False,,gpt-5.5,8.36,1129,148,0.007865
LLM_028,SBV2-ALL92-G116-C01,supported,ok,supported,False,False,True,supported,0.99,"The claim closely paraphrases the evidence, including perfect accuracy on one document, fewer regulations extracted overall, and the interpretation of favoring precision over recall in the reported example.",True,False,,gpt-5.5,6.48,1123,133,0.00761
LLM_048,SBV2-ALL92-G164-C01,supported,ok,supported,False,False,True,supported,0.97,"The claim closely paraphrases the evidence: context-conditioned policies/agents often significantly outperform context-agnostic ones, particularly when task performance is sensitive to environment dynamics changes.",True,False,,gpt-5.5,8.82,1123,204,0.008675
LLM_186,SBV2-ALL92-G185-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.96,"The evidence states that industrial RL adoption is limited by reward design, modularity, and action-space management, while the claim says it is mainly limited by hardware costs rather than those factors.",True,False,,gpt-5.5,10.05,1118,219,0.008875
LLM_190,SBV2-ALL92-G264-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.98,"The claim says existing mobility simulation platforms smoothly integrate advanced mobility models and strongly adapt behavior to environmental feedback, while the evidence states most cannot effectively integrate such algorithms and typically lack dynamic adaptation mechanisms.",True,False,,gpt-5.5,10.52,1127,228,0.009055
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,ok,unsupported,True,False,True,mild_scope_overclaim,0.88,"The evidence supports PX4/ArduPilot simulation testing, agent performance analysis, and developer feedback collection, but it does not mention hardware flight testing, so the claim broadens the evaluation scope.",True,False,,gpt-5.5,19.5,1135,476,0.012815
LLM_185,SBV2-ALL92-G193-C04,contradiction_candidate,ok,contradicted,False,False,True,contradiction_candidate,0.92,"The evidence describes disagreement resolution via mutual agreement, pre-agreed arbitration policy, or escalation to an agreed arbiter, which conflicts with the claim that centralized fiat by one meta-agent is the main resolution feature.",True,False,,gpt-5.5,12.09,1122,287,0.009915
