sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag
LLM_028,SBV2-ALL92-G116-C01,supported,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regu,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none
LLM_029,SBV2-ALL92-G119-C01,supported,digital_twin,DT-006,The individual CAV evaluation reports detection metrics based on average precisi,"For individual CAV evaluation, we provide the following metrics: 1) Detection me",runtime_check_needed,none
LLM_030,SBV2-ALL92-G146-C01,supported,digital_twin,DT-016,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, in","The results yielded an impressive simulation accuracy of 85.03%, alongside predi",runtime_check_needed,none
LLM_031,SBV2-ALL92-G140-C01,supported,digital_twin,DT-014,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower e,"Based on our simulation results, we observe that the proposed framework achieves",runtime_check_needed,none
LLM_032,SBV2-ALL92-G213-C01,supported,marl,MARL-013,The paper states that optimization with individual utility functions remains unr,"However, the optimisation in the most general setting: in- dividual utility func",runtime_check_needed,marl
LLM_033,SBV2-ALL92-G205-C01,supported,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl
LLM_034,SBV2-ALL92-G186-C01,supported,marl,MARL-004,The industrial-control paper argues many academic benchmarks differ markedly fro,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl
LLM_035,SBV2-ALL92-G196-C01,supported,marl,MARL-008,The HIS evaluation includes three continuous-action benchmark environments: Mult,We evaluate the proposed algorithm in three widely used continuous-action benchm,runtime_check_needed,marl
LLM_036,SBV2-ALL92-G190-C01,supported,marl,MARL-006,Tool-RoCo evaluates four cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl
LLM_037,SBV2-ALL92-G187-C01,supported,marl,MARL-005,The MEAL study evaluates continual-learning methods with MARL algorithms and rep,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that expe",runtime_check_needed,marl
LLM_038,SBV2-ALL92-G224-C01,supported,policy_simulation,POL-004,The election simulation reports correct predictions for more than 90% of state v,"Typ- ically, according to the winner-takes-all rule, over 90% state voting resul",runtime_check_needed,none
LLM_039,SBV2-ALL92-G214-C01,supported,policy_simulation,POL-001,The benchmark reports its best-performing system at 24.5% accuracy on broad case,The best- performing system achieves only 24.5% accuracy on compre- hensive scen,runtime_check_needed,none
LLM_040,SBV2-ALL92-G233-C01,supported,policy_simulation,POL-007,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Philli",Experimental results show that SimCity successfully exhibits a range of classic ,runtime_check_needed,none
LLM_041,SBV2-ALL92-G261-C01,supported,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses to observable,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none
LLM_042,SBV2-ALL92-G255-C01,supported,policy_simulation,POL-014,The paper says the simulation models individual behaviors and large-scale mobili,"Using real-world data, the simulation models individual behaviors and large-scal",runtime_check_needed,none
LLM_043,SBV2-ALL92-G266-C01,supported,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools both sur,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none
LLM_044,SBV2-ALL92-G253-C01,supported,policy_simulation,POL-014,The paper says final location choice relies on a modified Huff model that combin,"By referring to the Huff model (Garcia-Gabilondo, Shibuya, and Sekimoto 2024), t",runtime_check_needed,none
LLM_045,SBV2-ALL92-G272-C01,supported,policy_simulation,POL-020,A full-wallet account keeps its balance unchanged during no-sale and no-travel p,"Once an account has reached this state (referred to as ‘full wallet’ hereafter),",runtime_check_needed,none
LLM_046,SBV2-ALL92-G232-C01,supported,policy_simulation,POL-007,SimCity implements the shock by changing production skill requirements midway th,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none
LLM_047,SBV2-ALL92-G161-C01,supported,robotics,MARL-015,The Isaac-to-Gazebo work describes its approach as a step toward low-code applic,"While this does not necessarily of- fer the best fine-tuned performance, we beli",runtime_check_needed,none
LLM_048,SBV2-ALL92-G164-C01,supported,robotics,MARL-016,The results show context-conditioned agents often outperform context-agnostic ag,The results show that the context-conditioned policy often significantly outperf,runtime_check_needed,none
LLM_049,SBV2-ALL92-G163-C01,supported,robotics,MARL-016,The study evaluates context-aware agents in a canonical control benchmark and a ,We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none
LLM_050,SBV2-ALL92-G167-C01,supported,robotics,MARL-017,The RealAIGym paper argues algorithm comparison benefits from benchmarking perfo,In order to get a clear understanding of their individual strengths and weakness,runtime_check_needed,none
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none
LLM_053,SBV2-ALL92-G036-C02,mild_scope_overclaim,autonomous_driving,AD-012,Bench2Drive describes missing official training data as a reason that method com,"As widely discussed in the community [42, 43], the lack of an official training ",runtime_check_needed,none
LLM_054,SBV2-ALL92-G027-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects and interven","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none
LLM_055,SBV2-ALL92-G030-C02,mild_scope_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains the main barrie,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none
LLM_056,SBV2-ALL92-G032-C02,mild_scope_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none
LLM_057,SBV2-ALL92-G011-MILD,mild_scope_overclaim,autonomous_driving,AD-004,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop ,Our results show that these deployment-related perturbations can substantially d,runtime_check_needed,none
LLM_058,SBV2-ALL92-G007-MILD,mild_scope_overclaim,autonomous_driving,AD-003,"HiDrive reports that conventional end-to-end methods remain strongly limited, wi",The results show that conventional end-to-end autonomous driving methods remain ,runtime_check_needed,none
LLM_059,SBV2-ALL92-G040-C02,mild_scope_overclaim,autonomous_driving,AD-015,DriveE2E implements seven classical E2EAD models as baseline methods for the exp,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none
LLM_060,SBV2-ALL92-G037-C02,mild_scope_overclaim,autonomous_driving,AD-014,The NAVSIM experiments evaluate on the navmini split because closed-loop simulat,"Due to the heavy computational requirements of closed-loop simulation, we evalua",runtime_check_needed,none
LLM_061,SBV2-ALL92-G047-C02,mild_scope_overclaim,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration and CPU acceleration through the Madrona game,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none
LLM_062,SBV2-ALL92-G025-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none
LLM_063,SBV2-ALL92-G051-C02,mild_scope_overclaim,autonomous_driving,AD-018,The URB paper introduced a framework for testing RL routing algorithms in region,"5 Conclusions, limitations, broader impact and future work In this paper, we int",runtime_check_needed,none
LLM_064,SBV2-ALL92-G057-C02,mild_scope_overclaim,autonomous_driving,AD-020,"The regulation example treats [70, 60, 40] mph as compliant and [70, 50, 30] mph","For example, pointing at the downstream of traffic, a sequence of speed limits s",runtime_check_needed,none
LLM_065,SBV2-ALL92-G003-MILD,mild_scope_overclaim,autonomous_driving,AD-001,nuPlan-R presents a reactive closed-loop planning benchmark that integrates lear,"To address these limitations, we present nuPlan-R, a new reactive closed-loop pl",runtime_check_needed,none
LLM_066,SBV2-ALL92-G021-C02,mild_scope_overclaim,autonomous_driving,AD-007,The experiments highlight limitations of current VLM-based end-to-end vehicle sy,"Through extensive experi- ments, our work highlights the limitations of current ",runtime_check_needed,none
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,cyber_defense,CYB-009,The comparisons show the hierarchical learning approach achieving top performanc,Comparisons with multiple baselines across different adversaries show that our h,runtime_check_needed,cyber_defense
LLM_068,SBV2-ALL92-G086-C02,mild_scope_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 16 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense
LLM_069,SBV2-ALL92-G087-C02,mild_scope_overclaim,cyber_defense,CYB-007,Human designers face substantial cognitive limitations when developing reward mo,"As cyber environments evolve with increasingly sophisticated attack vectors, adv",runtime_check_needed,cyber_defense
LLM_070,SBV2-ALL92-G079-C02,mild_scope_overclaim,cyber_defense,CYB-005,The Q-BIRD study evaluates the approach in a simulated IoV security environment ,We evaluate the approach in a simulated IoV security environment with an adaptiv,runtime_check_needed,cyber_defense
LLM_071,SBV2-ALL92-G083-C02,mild_scope_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.925 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense
LLM_072,SBV2-ALL92-G069-C02,mild_scope_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained mainly by li,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense
LLM_073,SBV2-ALL92-G093-C02,mild_scope_overclaim,cyber_defense,CYB-009,The paper leaves H-MARL transferability to evolving adversaries that adapt from ,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense
LLM_074,SBV2-ALL92-G145-C02,mild_scope_overclaim,digital_twin,DT-016,APDT was implemented as a proof of concept on a university campus subnet with hi,"As proof of concept, we implemented APDT in a university campus setting on a sub",runtime_check_needed,none
LLM_075,SBV2-ALL92-G122-C02,mild_scope_overclaim,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none
LLM_076,SBV2-ALL92-G124-C02,mild_scope_overclaim,digital_twin,DT-009,The gFHR design process treated surrogate prediction accuracy and sensor-monitor,The design choice process considered the accuracy of the gFHR surrogate predicti,runtime_check_needed,none
LLM_077,SBV2-ALL92-G107-C02,mild_scope_overclaim,digital_twin,DT-002,The approach jointly calibrates the digital twin and searches for an optimal con,"This dual- component approach provably converges to the optimal policy, and outp",runtime_check_needed,none
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer reg,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,digital_twin,DT-002,The paper describes its method as theoretically justified and not reliant on res,"To the best of our knowledge, ours is the first theoretically justified MBRL met",runtime_check_needed,none
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,digital_twin,DT-010,"The clinical decision method achieved the top mean return, the lowest seed varia",Our method achieves the top mean return and the lowest standard deviation across,runtime_check_needed,none
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,digital_twin,DT-012,The microgrid RL literature limitation concerns simplified BESS modeling that fo,"Regardless of the adopted RL methods, a common limitation in these approaches is",runtime_check_needed,none
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,marl,MARL-008,Traditional MARL credit assignment schemes are described as unreliable for indiv,"However, tra- ditional credit assignment schemes in MARL cannot re- liably captu",runtime_check_needed,marl
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,marl,MARL-001,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents indepe","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop envir",runtime_check_needed,marl
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,marl,MARL-006,Tool-RoCo evaluates five cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl
LLM_086,SBV2-ALL92-G178-C02,mild_scope_overclaim,marl,MARL-002,The ALEM evaluation tests thirteen modern LLMs zero-shot in homogeneous and mixe,"We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL",runtime_check_needed,marl
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,marl,MARL-002,"Extended ALEM training shows near-saturated performance, with coordination and t",Performance does not saturate: coordination and total reward continue improv- in,runtime_check_needed,marl
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says MobileCity gains efficiency at scale partly by disabling LLM modu,GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; Mobil,runtime_check_needed,none
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says the benchmark indicates large speedup potential relative to onlin,"While absolute throughput depends on hardware and implementation details, this b",runtime_check_needed,none
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools both sur,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper reports a 20.7% improvement in macro averaged prediction error over gr,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improv",runtime_check_needed,none
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,policy_simulation,POL-013,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, seve","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling ",runtime_check_needed,none
LLM_093,SBV2-ALL92-G254-C02,mild_scope_overclaim,policy_simulation,POL-014,"The paper says future work focuses on validation frameworks for accuracy, reliab",Future work focuses on establishing robust validation frameworks to ensure accur,runtime_check_needed,none
LLM_094,SBV2-ALL92-G226-C02,mild_scope_overclaim,policy_simulation,POL-005,"The heatwave model reports steeper declines in perceived safety, social connecti",Preliminary results show primarily psychosocial impacts distributed inequitably:,runtime_check_needed,none
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,policy_simulation,POL-001,The ABM discussion says decision-support effectiveness remains uncertain because,"Agent-based models (ABMs) have emerged as a promising approach, capturing indivi",runtime_check_needed,none
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses and subgroup ,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,robotics,MARL-017,The reward design sets the highest value at zero to stabilize Q-function learnin,Having the highest possible value of the reward function at 0 makes learning the,runtime_check_needed,none
LLM_098,SBV2-ALL92-G167-C02,mild_scope_overclaim,robotics,MARL-017,The RealAIGym paper argues algorithm comparison benefits from benchmarking perfo,In order to get a clear understanding of their individual strengths and weakness,runtime_check_needed,none
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,robotics,MARL-019,"The study evaluated its approach through PX4 and ArduPilot simulation testing, a",We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPi,runtime_check_needed,none
LLM_100,SBV2-ALL92-G163-C02,mild_scope_overclaim,robotics,MARL-016,"The study evaluates context-aware agents in a canonical control benchmark, a phy",We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs an,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none
LLM_103,SBV2-ALL92-G019-C03,strong_action_overclaim,autonomous_driving,AD-007,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four ep,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none
LLM_104,SBV2-ALL92-G013-C03,strong_action_overclaim,autonomous_driving,AD-005,The Bench2Drive-R study implements a closed-loop interactive simulation platform,"Further, we implement a closed-loop interactive end-to- end simulation platform ",runtime_check_needed,none
LLM_105,SBV2-ALL92-G030-C03,strong_action_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains a significant b,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none
LLM_106,SBV2-ALL92-G004-STRONG,strong_action_overclaim,autonomous_driving,AD-002,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVI",Experimental Setup All experiments are conducted on a desktop PC with an Intel C,runtime_check_needed,none
LLM_107,SBV2-ALL92-G042-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E introduces a closed-loop evaluation framework that integrates recorded ,"To address these limitations, we introduce a simple yet challenging closed-loop ",runtime_check_needed,none
LLM_108,SBV2-ALL92-G014-C03,strong_action_overclaim,autonomous_driving,AD-005,Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea",runtime_check_needed,none
LLM_109,SBV2-ALL92-G025-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none
LLM_110,SBV2-ALL92-G018-C03,strong_action_overclaim,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indic","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none
LLM_111,SBV2-ALL92-G043-C03,strong_action_overclaim,autonomous_driving,AD-016,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous ,runtime_check_needed,none
LLM_112,SBV2-ALL92-G034-C03,strong_action_overclaim,autonomous_driving,AD-012,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to prov,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, pr",runtime_check_needed,none
LLM_113,SBV2-ALL92-G027-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects, interventio","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none
LLM_114,SBV2-ALL92-G032-C03,strong_action_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none
LLM_115,SBV2-ALL92-G040-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E implements twelve classical E2EAD models as baseline methods for the ex,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none
LLM_116,SBV2-ALL92-G038-C03,strong_action_overclaim,autonomous_driving,AD-014,NAVSIM reports challenging evaluation scenarios where the constant-velocity agen,"The resulting scenarios are challenging, which is underlined by the score of the",runtime_check_needed,none
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense
LLM_118,SBV2-ALL92-G098-C03,strong_action_overclaim,cyber_defense,CYB-011,The approach outperforms an MLP baseline during training on fixed-size networks ,We demonstrate that this approach significantly outperforms an MLP-based policy ,runtime_check_needed,cyber_defense
LLM_119,SBV2-ALL92-G082-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driv,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense
LLM_120,SBV2-ALL92-G093-C03,strong_action_overclaim,cyber_defense,CYB-009,The paper presents H-MARL transferability to evolving adversaries that adapt fro,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense
LLM_121,SBV2-ALL92-G086-C03,strong_action_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 20 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense
LLM_122,SBV2-ALL92-G069-C03,strong_action_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by missing o,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense
LLM_123,SBV2-ALL92-G091-C03,strong_action_overclaim,cyber_defense,CYB-009,The study evaluates its methods against multiple baselines at every design stage,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense
LLM_124,SBV2-ALL92-G141-C03,strong_action_overclaim,digital_twin,DT-014,The 6G IoT study states that low-latency service requirements become infeasible ,"Given this limitation, meeting the low-latency service requirement of 6G network",runtime_check_needed,none
