experiment_dir,status,role,used_in_mainline,key_metric,source_gate,notes
experiments\mixed_framework_new_algorithm_sweep_v1,historical,historical algorithm sweep,no (historical),—,experiments\mixed_framework_new_algorithm_sweep_v1\new_algorithm_readiness_gate.json,Historical; do not rerun
experiments\r4_retrieved_replay_v1,historical,R4 retrieved replay diagnostic,no (historical),—,experiments\r4_retrieved_replay_v1\r4_replay_gate.json,Historical diagnostic; superseded by r4_evidence_canonicalization_v1
experiments\r4_on_retrieved_evidence_v1,historical,R4 on retrieved evidence diagnostic,no (historical),—,experiments\r4_on_retrieved_evidence_v1\r4_on_retrieved_evidence_gate.json,Historical diagnostic; superseded by r4_evidence_canonicalization_v1
experiments\r4_backup_asset_search_v1,historical,R4 backup asset search,no (historical),—,experiments\r4_backup_asset_search_v1\r4_backup_recovery_gate.json,Historical; R4 artifacts recovered
experiments\overnight_non_api_compute_pipeline_v1,historical,overnight diagnostic pipeline (Tasks A-H),no (historical; supporting evidence only),—,experiments\overnight_non_api_compute_pipeline_v1\H_master_summary\overnight_master_gate.json,Historical diagnostic pipeline; results valid as supporting evidence; overnight-pipeline framing superseded by V3.17 baseline
experiments\v3_15_scalar_vs_relation_screening_deep_test,historical,V3.15 scalar vs relation deep test,no (historical),—,experiments\v3_15_scalar_vs_relation_screening_deep_test\,Historical V3.15 deep test; scalar cannot replace R4
experiments\v3_15_claim_realism_audit,historical,V3.15 claim realism audit,no (historical),—,experiments\v3_15_claim_realism_audit\claim_realism_audit_gate.json,Historical; claim_realism_auto_summary
experiments\v3_15_low_prevalence_screening_simulation,historical,V3.15 low prevalence simulation,no (historical),—,experiments\v3_15_low_prevalence_screening_simulation\low_prevalence_screening_gate.json,Historical; NOT a natural-distribution study
experiments\rigourate_reproduction_and_simclaim_baseline_v1,historical,RIGOURATE reproduction and SimClaim baseline,no (historical),—,experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_reproduction_readiness_gate.json,Historical; official RIGOURATE blocked; scalar baseline is proxy only
experiments\v3_11_three_core_credibility_experiments,historical,V3.11 three core credibility experiments,no (historical),—,experiments\v3_11_three_core_credibility_experiments\three_core_credibility_readiness_gate.json,Historical V3.11; non-gold robustness checks
experiments\v3_11_non_gold_robustness_stress_test,historical,V3.11 non-gold robustness stress test,no (historical),—,experiments\v3_11_non_gold_robustness_stress_test\non_gold_robustness_readiness_gate.json,Historical V3.11; label-shift stress; screening utility
experiments\gpt_structured_judge_probe_v1,supporting,GPT-5.5 standard vs structured probe (LLM comparison),yes (supporting; LLM comparison),macro_F1=0.5523 (standard),experiments\gpt_structured_judge_probe_v1\gpt_structured_probe_gate.json,LLM comparison; strong_recall=0.04; under-detects strong_action
experiments\llm_judge_baseline_v1,supporting,DeepSeek-V3 LLM judge baseline (LLM comparison),yes (supporting; LLM comparison),macro_F1=0.5270,experiments\llm_judge_baseline_v1\llm_run_gate_200.json,LLM comparison; strong_recall=0.04; under-detects strong_action
experiments\external_gold_scifact_vitaminc_v1,historical,external gold SciFact + VitaminC eval,no (historical),—,experiments\external_gold_scifact_vitaminc_v1\external_gold_readiness_gate.json,Historical; external gold comparison
experiments\v3_external_gold_llm_plan_v1,historical,external gold LLM plan,no (historical),—,experiments\v3_external_gold_llm_plan_v1\external_gold_llm_readiness_gate.json,Historical; plan only
experiments\v3_r4_strong_baselines_holdout_v1,historical,R4 strong baselines + holdout validation,no (historical),—,experiments\v3_r4_strong_baselines_holdout_v1\validation_readiness_gate.json,Historical; frozen; do not rerun
experiments\strict_silver_max_v1,superseded,historical strict silver main data,no (superseded; data still used),—,experiments\strict_silver_max_v1\metrics_report.md,Historical strict silver data; data still used as source but experiment dir is historical
experiments\strict_silver_max_v1_binary_decomposition,superseded,historical binary decomposition,no (superseded),—,experiments\strict_silver_max_v1_binary_decomposition\binary_metrics_report.md,Historical; binary decomposition variant
