paper_claim,metric,value,source_file,use_status,caveat
"DeepSeek-V3 LLM strong_F1 (200 samples)",flat4_strong_f1,0.0769,experiments/llm_judge_baseline_v1/llm_metrics_200.json,allowed_in_paper,"LLM under-detects strong_action under tested prompts"
"DeepSeek-V3 LLM strong_recall (200 samples)",strong_recall,0.04,experiments/llm_judge_baseline_v1/llm_metrics_200.json,allowed_in_paper,"LLM strong_recall=0.04 vs R4 V3.17 strong_recall=0.7064; controlled silver-stage finding"
"GPT-5.5 standard macro_F1 (100 samples)",flat4_macro_f1,0.5523,experiments/gpt_structured_judge_probe_v1/gpt_standard_metrics_100.json,allowed_in_paper,"LLM is higher overall"
"GPT-5.5 standard strong_F1 (100 samples)",flat4_strong_f1,0.0769,experiments/gpt_structured_judge_probe_v1/gpt_standard_metrics_100.json,allowed_in_paper,"LLM under-detects strong_action under tested prompts"
"GPT-5.5 standard strong_recall (100 samples)",strong_recall,0.04,experiments/gpt_structured_judge_probe_v1/gpt_standard_metrics_100.json,allowed_in_paper,"Same low recall across both LLMs and both prompt designs"
"GPT-5.5 structured macro_F1 (100 samples)",flat4_macro_f1,0.5543,experiments/gpt_structured_judge_probe_v1/gpt_structured_metrics_100.json,allowed_in_paper,"Structured prompting does not fix strong_action under-detection"
"GPT-5.5 structured strong_F1 (100 samples)",flat4_strong_f1,0.0769,experiments/gpt_structured_judge_probe_v1/gpt_structured_metrics_100.json,allowed_in_paper,"Structured prompting does not fix strong_action under-detection"
"SimClaim dataset size",n_pairs,444,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,allowed_in_paper,"Controlled counterfactual diagnostic set; NOT natural-prevalence"
"SimClaim evidence groups",n_groups,111,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,allowed_in_paper,"Each group shares the same evidence"
"SimClaim domains",n_domains,6,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,allowed_in_paper,"Six scientific domains"
"SimClaim label balance",balance,1:1:1:1,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,allowed_in_paper,"Deliberate balanced design for diagnostic pressure-testing; NOT natural prevalence"
"V3.18 learned selector strong_F1 (negative ablation)",strong_F1,0.4444,experiments/v3_18_intelligent_upgrade_v1/learned_selector_metrics.csv,allowed_in_paper_as_limitation,"Negative ablation; gap -0.0059 vs V3.17 baseline 0.4503"
"V3.18 learned ranker precision@20 (negative ablation)",precision_at_20,0.35,experiments/v3_18_intelligent_upgrade_v1/learned_ranker_results.csv,allowed_in_paper_as_limitation,"Negative ablation; gap -0.10 vs V3.17 baseline 0.45"
"V3.18 learned ranker FP/TP @ 5% (partial improvement)",fp_tp_at_5pct,2.00,experiments/v3_18_intelligent_upgrade_v1/learned_ranker_results.csv,allowed_in_paper_as_limitation,"Partial: FP/TP improved but P@20 did not; not selected as main method"
"V3.18 best overall method",best_overall_method,V3.17_baseline,experiments/v3_18_intelligent_upgrade_v1/v3_18_intelligent_upgrade_gate.json,allowed_in_paper_as_limitation,"V3.18 is exploratory negative ablation; V3.17 baseline is selected"
"Canon helped (raw wrong, canon right)",n_candidates,129,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_report.md,allowed_in_paper,"Canonicalization helps in 129/436 cases"
"Canon harmed (raw right, canon wrong)",n_candidates,3,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_report.md,allowed_in_paper,"Canonicalization harms only 3/436 cases"
"Selectors above 0.40 (robustness)",n_formats,6/9,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"6 of 9 canonicalization formats achieve strong_F1 > 0.40"
"R4 per-seed thresholds (seed_11 example)",t_contra,0.4,experiments/r4_minimal_recovery_v1/artifacts/seed_11/thresholds.json,allowed_in_paper,"Per-seed thresholds; frozen reference: t_contra=0.48"
"R4 per-seed thresholds (seed_11 example)",t_contra_low,0.35,experiments/r4_minimal_recovery_v1/artifacts/seed_11/thresholds.json,allowed_in_paper,"Per-seed low guard"
"R4 per-seed thresholds (seed_11 example)",t_strong,0.55,experiments/r4_minimal_recovery_v1/artifacts/seed_11/thresholds.json,allowed_in_paper,"Per-seed thresholds; frozen reference: t_strong=0.535"
"R4 per-seed thresholds (seed_11 example)",t_svm,0.55,experiments/r4_minimal_recovery_v1/artifacts/seed_11/thresholds.json,allowed_in_paper,"Per-seed thresholds; frozen reference: t_svm=0.51"
"R4 seeds count",n_seeds,10,experiments/r4_minimal_recovery_v1/r4_recovery_split_manifest.csv,allowed_in_paper,"Seeds: [11,22,33,44,55,66,77,88,99,111]; majority vote aggregation"
