external_id,dataset,claim_text,evidence_text,original_label,mapped_label,label_mapping_rule,source_dataset,source_split,source_info,evidence_source,claim_group_id
scifact_train_30_24341590,scifact,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively. Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28). Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).   
 CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=30;doc_id=24341590;rationale_sentences,annotated_rationale,scifact_claim_30
scifact_train_32_12428497,scifact,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.,CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=32;doc_id=12428497;rationale_sentences,annotated_rationale,scifact_claim_32
scifact_train_34_11705328,scifact,A deficiency of folate increases blood levels of homocysteine.,"RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=34;doc_id=11705328;rationale_sentences,annotated_rationale,scifact_claim_34
scifact_train_35_nei_5152028,scifact,A deficiency of vitamin B12 decreases blood levels of homocysteine.,"BACKGROUND Homocysteine is a risk factor for coronary artery disease (CAD), although a causal relation remains to be proven.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=35;doc_id=5152028;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_35
scifact_train_37_nei_5152028,scifact,A deficiency of vitamin B6 decreases blood levels of homocysteine.,"BACKGROUND Homocysteine is a risk factor for coronary artery disease (CAD), although a causal relation remains to be proven.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=37;doc_id=5152028;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_37
scifact_train_39_13497630,scifact,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively). Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively). Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively). Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001). Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=39;doc_id=13497630;rationale_sentences,annotated_rationale,scifact_claim_39
scifact_train_40_13497630,scifact,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively). Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively). Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively). Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001). Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=40;doc_id=13497630;rationale_sentences,annotated_rationale,scifact_claim_40
scifact_train_41_18174210,scifact,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count. We estimated that the haematological profile in children homozygous for alpha(+)-thalassaemia reduces the risk of SMA during acute malaria compared to children of normal genotype (relative risk 0.52; 95% confidence interval [CI] 0.24-1.12, p = 0.09).   
 CONCLUSIONS The increased erythrocyte count and microcytosis in children homozygous for alpha(+)-thalassaemia may contribute substantially to their protection against SMA.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=41;doc_id=18174210;rationale_sentences,annotated_rationale,scifact_claim_41
scifact_train_43_nei_7224723,scifact,A low percentage of hematopoietic progenitor cells are susceptible to HIV-1 infection ex vivo.,HIV causes a chronic infection characterized by depletion of CD4(+) T lymphocytes and the development of opportunistic infections.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=43;doc_id=7224723;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_43
scifact_train_44_56893404,scifact,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,"We assessed the in utero and neonatal role of two key regulators of pancreatic insulin secretion by studying birthweight and the incidence of neonatal hypoglycaemia in patients with heterozygous mutations in the maturity-onset diabetes of the young (MODY) genes HNF4A (encoding HNF-4α) and HNF1A/TCF1 (encoding HNF-1α), and the effect of pancreatic deletion of Hnf4a on foetal and neonatal insulin secretion in mice.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=44;doc_id=56893404;rationale_sentences,annotated_rationale,scifact_claim_44
scifact_train_45_nei_56893404,scifact,A mutation in HNF4A leads to an increased risk of diabetes by the age of 14 years.,Background  Macrosomia is associated with considerable neonatal and maternal morbidity.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=45;doc_id=56893404;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_45
scifact_train_46_380526,scifact,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,"Individual genotyping of two SNPs (rs1934179 and rs7063116) in DGKK, encoding diacylglycerol kinase κ, produced compelling evidence for association with hypospadias in the discovery sample (allele-specific odds ratio (OR) = 2.5, P = 2.5 × 10−11 and OR = 2.3, P = 2.9 × 10−9, respectively) and in the Dutch (OR = 3.9, P = 2.4 × 10−5 and OR = 3.8, P = 3.4 × 10−5) and Swedish (OR = 2.5, P = 2.6 × 10−8 and OR = 2.2, P = 2.7 × 10−6) replication samples.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=46;doc_id=380526;rationale_sentences,annotated_rationale,scifact_claim_46
scifact_train_47_26996935,scifact,A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,We detect a strong and reproducible bias in the phage genome locations from which spacers derive.,SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=47;doc_id=26996935;rationale_sentences,annotated_rationale,scifact_claim_47
scifact_train_52_45638119,scifact,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,"In a series of 577 breast carcinomas, expression of ALDH1 detected by immunostaining correlated with poor prognosis.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=52;doc_id=45638119;rationale_sentences,annotated_rationale,scifact_claim_52
scifact_train_55_49556906,scifact,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,"Pharmacological activation of AMPK in myofibroblasts from lungs of humans with IPF display lower fibrotic activity, along with enhanced mitochondrial biogenesis and normalization of sensitivity to apoptosis. In a bleomycin model of lung fibrosis in mice, metformin therapeutically accelerates the resolution of well-established fibrosis in an AMPK-dependent manner. These studies implicate deficient AMPK activation in non-resolving, pathologic fibrotic processes, and support a role for metformin (or other AMPK activators) to reverse established fibrosis by facilitating deactivation and apoptosis of myofibroblasts.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=55;doc_id=49556906;rationale_sentences,annotated_rationale,scifact_claim_55
scifact_train_58_4709641,scifact,APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,"Using human neurons derived from induced pluripotent stem cells that expressed apolipoprotein E4 (ApoE4), a variant of the APOE gene product and the major genetic risk factor for AD, we demonstrated that ApoE4-expressing neurons had higher levels of tau phosphorylation, unrelated to their increased production of amyloid-β (Aβ) peptides, and that they displayed GABAergic neuron degeneration.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=58;doc_id=4709641;rationale_sentences,annotated_rationale,scifact_claim_58
scifact_train_60_13899137,scifact,ART has no effect on the infectiveness of HIV-positive people.,"For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART. Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART. CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=60;doc_id=13899137;rationale_sentences,annotated_rationale,scifact_claim_60
scifact_train_61_13899137,scifact,ART substantially reduces infectiveness of HIV-positive people.,"For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART. Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART. CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=61;doc_id=13899137;rationale_sentences,annotated_rationale,scifact_claim_61
scifact_train_62_nei_32587939,scifact,ATF4 is a general endoplasmic reticulum stress marker.,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progression of type 2 diabetes.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=62;doc_id=32587939;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_62
scifact_train_63_nei_40349336,scifact,ATM and Rad3 related protein are critical for sensing DNA damage.,"Developmental abnormalities, cancer, and premature aging each have been linked to defects in the DNA damage response (DDR).",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=63;doc_id=40349336;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_63
scifact_train_64_nei_40349336,scifact,ATM and Rad3 related protein have no role in sensing DNA damage.,"Developmental abnormalities, cancer, and premature aging each have been linked to defects in the DNA damage response (DDR).",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=64;doc_id=40349336;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_64
scifact_train_66_nei_14806256,scifact,AZT given with ribavirin increases anemia.,"CONTEXT Use of antiretroviral drugs, including protease inhibitors, for treatment of human immunodeficiency virus (HIV) infection has been anecdotally associated with hepatotoxicity, particularly in persons coinfected with hepatitis C or B virus.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=66;doc_id=14806256;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_66
scifact_train_67_21295300,scifact,Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,"Here we show that Cdk5 (cyclin-dependent kinase 5), activated by DNA damage, directly phosphorylates ATM at Ser 794 in post-mitotic neurons. Thus, activation of Cdk5 by DNA damage serves as a critical signal to initiate the ATM response and regulate ATM-dependent cellular processes.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=67;doc_id=21295300;rationale_sentences,annotated_rationale,scifact_claim_67
scifact_train_68_21295300,scifact,Activated Cdk5 regulates DNA damage-induced neuronal death.,"Interruption of the Cdk5-ATM pathway attenuates DNA-damage-induced neuronal cell cycle re-entry and expression of the p53 targets PUMA and Bax, protecting neurons from death.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=68;doc_id=21295300;rationale_sentences,annotated_rationale,scifact_claim_68
scifact_train_69_5956380,scifact,Activation of PPM1D enhances p53 function.,PPM1D mutations were mutually exclusive with TP53 mutations in BSG and attenuated p53 activation in vitro. PPM1D mutations were truncating alterations in exon 6 that enhanced the ability of PPM1D to suppress the activation of the DNA damage response checkpoint protein CHK2.,CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=69;doc_id=5956380;rationale_sentences,annotated_rationale,scifact_claim_69
scifact_train_69_4414547,scifact,Activation of PPM1D enhances p53 function.,"Functional studies demonstrate that the mutations result in enhanced suppression of p53 in response to ionizing radiation exposure, suggesting that the mutant alleles encode hyperactive PPM1D isoforms.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=69;doc_id=4414547;rationale_sentences,annotated_rationale,scifact_claim_69
scifact_train_71_1127562,scifact,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,"We show that SRGP-1 functions in engulfing cells and functions as a GTPase activating protein (GAP) for CED-10 (Rac1). Interestingly, loss of srgp-1 function promotes not only the clearance of already dead cells, but also the removal of cells that have been brought to the verge of death through sublethal apoptotic, necrotic or cytotoxic insults.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=71;doc_id=1127562;rationale_sentences,annotated_rationale,scifact_claim_71
scifact_train_73_nei_6076903,scifact,Activator-inhibitor pairs are provided ventrally by Xrl-sizzled.,Embryos have the ability to self-regulate and regenerate normal structures after being sectioned in half.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=73;doc_id=6076903;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_73
scifact_train_74_nei_4387784,scifact,Active H. pylori urease has a polymeric structure consisting of five distinct subunits.,"Half the world's population is chronically infected with Helicobacter pylori, causing gastritis, gastric ulcers and an increased incidence of gastric adenocarcinoma.",NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=74;doc_id=4387784;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_74
scifact_train_76_5531479,scifact,Active Ly49Q induces neutrophil polarization.,"Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils. We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=76;doc_id=5531479;rationale_sentences,annotated_rationale,scifact_claim_76
scifact_train_77_5531479,scifact,Active Ly49Q prevents neutrophil polarization.,"Here, we show that an inhibitory MHC I receptor, Ly49Q, was crucial for the swift polarization of and tissue infiltration by neutrophils. We propose that Ly49Q is pivotal in switching neutrophils to their polarized morphology and rapid migration upon inflammation, through its spatiotemporal regulation of membrane rafts and raft-associated signaling molecules.",CONTRADICT,contradiction_candidate,CONTRADICT->contradiction_candidate,scifact,train,claim_id=77;doc_id=5531479;rationale_sentences,annotated_rationale,scifact_claim_77
scifact_train_78_5099266,scifact,Active caspase-11 participate in regulating phagosome-lysosome fusion.,"However, caspase-11 was dispensable for the fusion of lysosomes with phagosomes containing nonpathogenic bacteria, uncovering a fundamental difference in the trafficking of phagosomes according to their cargo.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=78;doc_id=5099266;rationale_sentences,annotated_rationale,scifact_claim_78
scifact_train_79_5099266,scifact,Active caspase-11 protein promotes pyroptosis.,"Here, we demonstrated that caspase-11 was dispensable for caspase-1 activation in response to Legionella, Salmonella, Francisella, and Listeria. We also determined that active mouse caspase-11 was required for restriction of L. pneumophila infection.",SUPPORT,supported,SUPPORT->supported,scifact,train,claim_id=79;doc_id=5099266;rationale_sentences,annotated_rationale,scifact_claim_79
scifact_train_80_nei_4920376,scifact,Acute ablation of KRAS causes severe growth impairment.,Induction of compensatory mechanisms and ERK reactivation has limited the effectiveness of Raf and MEK inhibitors in RAS-mutant cancers.,NEI,unsupported_or_insufficient,NEI->unsupported_or_insufficient,scifact,train,claim_id=80;doc_id=4920376;nei_first_sentence,nei_cited_doc_first_sentence,scifact_claim_80
