candidate_id,variant,evidence_input,evidence_input_sha256,n_words,source,uses_oracle_text,contains_metadata,is_lengthened
SBV2-ALL92-G002-MILD,canonicalized_three_sentence_window_top5,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G002-STRONG,oracle_clean,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-STRONG,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-STRONG,oracle_lengthened,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. Evaluation Metrics Reactive Closed-Loop Simulation Dataset Test14-Hard Test14-Random Val14 Observations Historical Info Map Info Traffic State Vehicle Attribute Planner (To be evaluated) Reactive Agent Model Kinematic Controller Interaction-Aware Selection Update the Observations Closed-Loop Score Success Rate Collision TTC Comfort … Incorrect Direction Low Progress Score Collision TTC … 0.5 All-Core Pass Rate … Comfort Speed Limit Off Road Fig. 1. A road map of reactive closed-loop planning ben",702105f495b62c9d04e9928c824369044f3c70ea54ef2a1593be4c15fa2ee2a0,98,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-STRONG,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. Evaluation Metrics Reactive Closed-Loop Simulation Dataset Test14-Hard Test14-Random Val14 Observations Historical Info Map Info Traffic State Vehicle Attribute Planner (To be evaluated) Reactive Agent Model Kinematic Controller Interaction-Aware Selection Update the Observations Closed-Loop Score Success Rate Collision TTC Comfort … Incorrect Direction Low Progress Score Collision TTC … 0.5 All-Core Pass Rate … Comfort Speed Limit Off Road Fig. 1. A road map of reactive closed-loop planning ben",6854f193f25027bf05d4637f824d4c8b9e3b1a1b5dc7738db5975dab26cd8818,115,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-STRONG,raw_bm25_top1_chunk,"expanding the benchmark to three complementary metrics in total. Success Rate. This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout. It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego vehicle avoids major failures such as severe collisions, off-road departures, wrong-way driving, or extremely low progress. A higher SR reflects a planner’s reliability in maintaining feasible and saf",695495113386c90f928fd1e5d3905118ed02100851b366450561e744531cc792,72,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-STRONG,cleaned_bm25_top1_chunk,"expanding the benchmark to three complementary metrics in total. Success Rate. This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout. It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego vehicle avoids major failures such as severe collisions, off-road departures, wrong-way driving, or extremely low progress. A higher SR reflects a planner’s reliability in maintaining feasible and saf",695495113386c90f928fd1e5d3905118ed02100851b366450561e744531cc792,72,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-STRONG,canonicalized_best_sentence_top5,"• We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance.",d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G002-STRONG,canonicalized_three_sentence_window_top5,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G002-CONTRA,oracle_clean,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,30,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G002-CONTRA,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",26cd84edd1a8f5178dd45eab2f919190a1d345f8412e6de1c654bd388ab39422,47,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G002-CONTRA,oracle_lengthened,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. indicator highlights the planner’s overall balance and compliance in diverse driving scenarios. IV. EXPERIMENTAL RESULTS We conduct two sets of experiments to validate our bench- mark. First, we evaluate the multi-agent simulation behavior to verify the realism, diversity, and plausibility of our reactive agents compared with representative baselines. Second, we assess planner performance under both the original nuPlan and our proposed nuPlan-R benchmarks to examine how realistic reactive intera",0945045487b4ee9e778c78aed068eddab1a3d5828651640f363763957da6b0bb,99,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G002-CONTRA,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions. indicator highlights the planner’s overall balance and compliance in diverse driving scenarios. IV. EXPERIMENTAL RESULTS We conduct two sets of experiments to validate our bench- mark. First, we evaluate the multi-agent simulation behavior to verify the realism, diversity, and plausibility of our reactive agents compared with representative baselines. Second, we assess planner performance under both the original nuPlan and our proposed nuPlan-R benchmarks to examine how realistic reactive intera",d8be380e9e531fdb18c0df2b577b0160d91f2fe6b80afdd62178c3f4294cf5b5,116,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G002-CONTRA,raw_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G002-CONTRA,cleaned_bm25_top1_chunk,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G002-CONTRA,canonicalized_best_sentence_top5,"• We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance.",d1137302904410af2c255bc382fa506e8a736321125c5b8d68771c9eaee8b0c9,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G002-CONTRA,canonicalized_three_sentence_window_top5,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",6ce3aebfe368ab4280a3fc95981eaef09207196bb0f6d27a744c786d189cf358,72,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G003-SUPPORTED,oracle_clean,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G003-SUPPORTED,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",66fb92a16fdb9e5b8f47fdccfdca32eb9c8d9f63811585f30159b8d8e5659dd1,40,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G003-SUPPORTED,oracle_lengthened,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework. Inspired by this perspective, Zhou et al. proposed Nexus [6], a noise- decoupled diffusion framework that introduces independent yet structured noise states and a noise-aware scheduling mechanism, enabling dynamic scene updates and real-time adaptation to environmental changes for more stable and realistic closed-loop multi-agent traffic simulation. Building upon these insights, we integrate noise-decoupled diffusion- based reactive agents into the nuPlan framework, replacing conventional rule-b",44b961af131cc74d11bf6d470bd424b9ecc5c09843c478aa1a135fa6be0db664,87,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G003-SUPPORTED,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework. Inspired by this perspective, Zhou et al. proposed Nexus [6], a noise- decoupled diffusion framework that introduces independent yet structured noise states and a noise-aware scheduling mechanism, enabling dynamic scene updates and real-time adaptation to environmental changes for more stable and realistic closed-loop multi-agent traffic simulation. Building upon these insights, we integrate noise-decoupled diffusion- based reactive agents into the nuPlan framework, replacing conventional rule-b",70497d54f03a9e0fb77234b9259806e0e11595ddb916a0abfeed7f980543aa3f,104,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G003-SUPPORTED,raw_bm25_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G003-SUPPORTED,cleaned_bm25_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G003-SUPPORTED,canonicalized_best_sentence_top5,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles.",6f7e9ff06d123a136056d226ddc22066b5b0da09afe0d9e5b05f758d3175e9c6,41,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G003-SUPPORTED,canonicalized_three_sentence_window_top5,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G003-MILD,oracle_clean,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G003-MILD,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",66fb92a16fdb9e5b8f47fdccfdca32eb9c8d9f63811585f30159b8d8e5659dd1,40,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G003-MILD,oracle_lengthened,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework. realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",96c394a13a99b8e5167feb1aed567e144764f5634aa133e575858a18244a210c,91,candidate_csv.evidence_text + adjacent_chunk,True,False,True
SBV2-ALL92-G003-MILD,oracle_plus_metadata_lengthened,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework. realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",354a51d0a2fa74b7447bc48870ad634ff4370910228becbb672a761c0306ffb5,108,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
SBV2-ALL92-G003-MILD,raw_bm25_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,chunk_retrieval rank=1,False,False,False
SBV2-ALL92-G003-MILD,cleaned_bm25_top1_chunk,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,chunk_retrieval rank=1 (cleaned),False,False,False
SBV2-ALL92-G003-MILD,canonicalized_best_sentence_top5,"In contrast, our proposed nuPlan- R benchmark incorporates learning-based reactive agents that produce diverse, human-like behaviors in closed-loop multi-agent simulation, providing a more realistic and fair environment for evaluating autonomous driving planners.",6b8fc263fb5dc3c214dc3f2f1c59778af2c880560d5852c0267ca2ea4149b88d,32,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
SBV2-ALL92-G003-MILD,canonicalized_three_sentence_window_top5,"or perception-to-control E2E driving benchmarks, suffer from a common limitation of failing to model realistic multi-agent interactions. In contrast, our proposed nuPlan- R benchmark incorporates learning-based reactive agents that produce diverse, human-like behaviors in closed-loop multi-agent simulation, providing a more realistic and fair environment for evaluating autonomous driving planners. B.",f22aed2c8e73052b67e2b835d01e41b9e0c63247c154fb6a4011c7c9d6f6cf10,50,canonicalizer_ablation three_sentence_window_top5,False,False,False
SBV2-ALL92-G003-STRONG,oracle_clean,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,23,candidate_csv.evidence_text,True,False,False
SBV2-ALL92-G003-STRONG,oracle_plus_metadata,"Title: nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Page: 1 Section: unknown
To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",66fb92a16fdb9e5b8f47fdccfdca32eb9c8d9f63811585f30159b8d8e5659dd1,40,candidate_csv.evidence_text + metadata,True,True,False
SBV2-ALL92-G003-STRONG,oracle_lengthened,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework. realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",96c394a13a99b8e5167feb1aed567e144764f5634aa133e575858a18244a210c,91,candidate_csv.evidence_text + adjacent_chunk,True,False,True
