sample_id,candidate_id,domain,silver_label,r4_label,claim_length,action_cues_found,safety_cues,deployment_cues,policy_cues,generalization_cues,root_cause_categories,claim_text
LLM_035,SBV2-ALL92-G196-C01,marl,supported,strong_action_overclaim,172,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,"The HIS evaluation includes three continuous-action benchmark environments: Multi-Agent Particle Environment, Multi-Agent MuJoCo, and Bi-DexHands as its experimental suite."
LLM_082,SBV2-ALL92-G198-C02,marl,mild_scope_overclaim,strong_action_overclaim,174,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in moderately coupled problems while preserving training stability.
LLM_084,SBV2-ALL92-G175-C02,marl,mild_scope_overclaim,strong_action_overclaim,143,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm."
LLM_099,SBV2-ALL92-G172-C02,robotics,mild_scope_overclaim,strong_action_overclaim,172,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers."
LLM_030,SBV2-ALL92-G146-C01,digital_twin,supported,strong_action_overclaim,152,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for network optimization and management in the study."
LLM_078,SBV2-ALL92-G116-C02,digital_twin,mild_scope_overclaim,strong_action_overclaim,153,,,,regulation,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer regulations overall, favoring precision over recall in the reported example."
LLM_043,SBV2-ALL92-G266-C01,policy_simulation,supported,strong_action_overclaim,128,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent belief-state values.
LLM_049,SBV2-ALL92-G163-C01,robotics,supported,strong_action_overclaim,128,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The study evaluates context-aware agents in a canonical control benchmark and a physical pushing task with a Franka Panda robot.
LLM_032,SBV2-ALL92-G213-C01,marl,supported,strong_action_overclaim,140,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.
LLM_031,SBV2-ALL92-G140-C01,digital_twin,supported,strong_action_overclaim,130,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature baselines.
LLM_095,SBV2-ALL92-G215-C02,policy_simulation,mild_scope_overclaim,strong_action_overclaim,180,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved."
LLM_090,SBV2-ALL92-G266-C02,policy_simulation,mild_scope_overclaim,strong_action_overclaim,130,,risk,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent infection-risk values.
LLM_098,SBV2-ALL92-G167-C02,robotics,mild_scope_overclaim,strong_action_overclaim,168,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in simulation, visual transfer tests, and physical hardware experiments together."
LLM_038,SBV2-ALL92-G224-C01,policy_simulation,supported,strong_action_overclaim,126,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The election simulation reports correct predictions for more than 90% of state voting results under its winner-takes-all rule.
LLM_028,SBV2-ALL92-G116-C01,digital_twin,supported,strong_action_overclaim,152,,,,regulation,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,"GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regulations overall, favoring precision over recall in the reported example."
LLM_044,SBV2-ALL92-G253-C01,policy_simulation,supported,strong_action_overclaim,144,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,The paper says final location choice relies on a modified Huff model that combines distance with attractiveness from popularity and credibility.
