candidate_id,true_label,pred_label,strong_action_flag,strong_action_score,p_contra_mean,p_svm_mean,priority_score,selected_evidence,selected_chunk_id,selected_rank,source_pdf,page,route,n_seeds_voted,vote_share_strong
SBV2-ALL92-G007-MILD,mild_scope_overclaim,strong_action_overclaim,1,0.5260019837114202,0.2536356831960691,0.45897940335149706,0.772366300515351,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,1,AD-003,8,strong_action,1,1.0
SBV2-ALL92-G007-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.5653187088639782,0.2536405377299479,0.45885172200792085,0.8116781711340303,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,1,AD-003,8,strong_action,1,1.0
SBV2-ALL92-G007-SUPPORTED,supported,strong_action_overclaim,1,0.503820734914314,0.2536701269735041,0.4589342044082966,0.7501506079408099,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,1,AD-003,8,strong_action,1,1.0
SBV2-ALL92-G008-CONTRA,contradiction_candidate,contradiction_candidate,0,0.800679171222658,0.5601232807229453,0.5621162458686931,0.2405558904997127,"Meanwhile, as of May 2026, the official CARLA AD Leaderboard lists v2.1 as the current version, keeps older versions separately supported, and states that the 2025 CARLA AD Challenge did not run .",AD-003_p3_c2,2,AD-003,1,contradiction,3,0.0
SBV2-ALL92-G008-MILD,mild_scope_overclaim,strong_action_overclaim,1,0.8081595604095039,0.27299063598801077,0.49016893754269114,1.0351689244214932,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,5,AD-003,1,strong_action,3,1.0
SBV2-ALL92-G008-STRONG,strong_action_overclaim,strong_action_overclaim,1,0.8142870235532927,0.27922233138286306,0.48853248707463476,1.0350646921704296,The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the,AD-003_p8_c3,5,AD-003,1,strong_action,3,1.0
SBV2-ALL92-G008-SUPPORTED,supported,contradiction_candidate,0,0.8221606471160614,0.5144214798033855,0.6520581755858283,0.3077391673126759,"tasks either use small networks and fixed attack paths, or, in the case of TLO, are designed as a measurement study rather than an open cyber-range benchmark.",CYB-001_p5_c1,5,AD-003,1,contradiction,3,0.0
SBV2-ALL92-G011-CONTRA,contradiction_candidate,contradiction_candidate,0,0.7714109320392067,0.8797459872752124,0.7930260007193536,-0.10833505523600562,"In this work, we present Bench2Drive-Robust, a device-centric closed-loop robustness benchmark for E2E-AD built on Bench2Drive .",AD-004_p2_c2,3,AD-004,1,contradiction,1,0.0
SBV2-ALL92-G011-MILD,mild_scope_overclaim,contradiction_candidate,0,0.7534824979834607,0.8919049181400929,0.8007771450710975,-0.1384224201566322,"In this work, we present Bench2Drive-Robust, a device-centric closed-loop robustness benchmark for E2E-AD built on Bench2Drive .",AD-004_p2_c2,3,AD-004,1,contradiction,1,0.0
SBV2-ALL92-G011-STRONG,strong_action_overclaim,mild_scope_overclaim,0,0.8528281171400884,0.4470856509688855,0.5602801259269476,0.40574246617120296,closed-loop benchmark that evaluates how E2E-AD models respond to deploymentside system perturbations during interactive driving.,AD-004_p2_c2,2,AD-004,1,mild_scope,1,0.0
SBV2-ALL92-G011-SUPPORTED,supported,contradiction_candidate,0,0.7460631285942566,0.8983349341181035,0.8060555948234508,-0.1522718055238469,"In this work, we present Bench2Drive-Robust, a device-centric closed-loop robustness benchmark for E2E-AD built on Bench2Drive .",AD-004_p2_c2,4,AD-004,1,contradiction,1,0.0
SBV2-ALL92-G013-C01,supported,supported,0,0.541571687324694,0.25935169413851555,0.476386320903409,0.2822199931861784,"Further, we implement a closed-loop interactive end-toend simulation platform based on nuPlan.",AD-005_p3_c1,4,AD-005,3,supported,2,0.5
SBV2-ALL92-G013-C02,mild_scope_overclaim,supported,0,0.5646324527351202,0.2595833455703749,0.47656212986020013,0.3050491071647453,"Further, we implement a closed-loop interactive end-toend simulation platform based on nuPlan.",AD-005_p3_c1,3,AD-005,3,supported,2,0.5
SBV2-ALL92-G013-C03,strong_action_overclaim,supported,0,0.7957552336262175,0.3203458862475098,0.5351458281799641,0.47540934737870766,"Conclusion We present Bench2Drive-R, a simulation-oriented generative framework that enables reactive closed-loop evaluation for end-t",AD-005_p10_c3,3,AD-005,3,supported,2,0.5
SBV2-ALL92-G013-C04,contradiction_candidate,contradiction_candidate,0,0.5491015518718529,0.9206121783290637,0.8541418740953306,-0.3715106264572108,Experimental Setups 4.1.1 Dataset We conduct detection evaluation and open-loop planning evaluation on nuScenes dataset and closed-loop planning evaluation on nuPlan dataset .,AD-005_p8_c1,2,AD-005,3,contradiction,2,0.0
SBV2-ALL92-G014-C01,supported,strong_action_overclaim,1,0.48421558356419236,0.2828493094955318,0.4989046382344686,0.7013662740686606,"MagicDrive , Panacea and Panacea+ in generation quality, yielding notably lower FID score.",AD-005_p9_c1,2,AD-005,9,strong_action,4,0.5
SBV2-ALL92-G014-C02,mild_scope_overclaim,strong_action_overclaim,1,0.5538447456297133,0.2557153076521382,0.4822308484506802,0.7981294379775752,"MagicDrive , Panacea and Panacea+ in generation quality, yielding notably lower FID score.",AD-005_p9_c1,2,AD-005,9,strong_action,4,0.75
SBV2-ALL92-G014-C03,strong_action_overclaim,strong_action_overclaim,1,0.5600763801145674,0.25474038090830753,0.4815426406818956,0.8053359992062599,"MagicDrive , Panacea and Panacea+ in generation quality, yielding notably lower FID score.",AD-005_p9_c1,2,AD-005,9,strong_action,4,0.75
SBV2-ALL92-G014-C04,contradiction_candidate,contradiction_candidate,0,0.4756918525035523,0.8000871871902806,0.705935569518327,-0.3243953346867283,"MagicDrive , Panacea and Panacea+ in generation quality, yielding notably lower FID score.",AD-005_p9_c1,2,AD-005,9,contradiction,4,0.0
SBV2-ALL92-G018-C01,supported,supported,0,0.5222254010477371,0.296484148746758,0.47612075813760696,0.22574125230097908,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",AD-006_p7_c0,1,AD-006,7,supported,1,0.0
SBV2-ALL92-G018-C02,mild_scope_overclaim,supported,0,0.5491866713457482,0.30396161378398634,0.48557013506388236,0.24522505756176183,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",AD-006_p7_c0,1,AD-006,7,supported,1,0.0
SBV2-ALL92-G018-C03,strong_action_overclaim,strong_action_overclaim,1,0.7012077892327065,0.29913668933497245,0.4037953579494776,0.9020710998977342,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",AD-006_p7_c0,1,AD-006,7,strong_action,1,1.0
SBV2-ALL92-G018-C04,contradiction_candidate,contradiction_candidate,0,0.43432280358705616,0.9058233755047512,0.8113009729552269,-0.47150057191769507,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",AD-006_p7_c0,1,AD-006,7,contradiction,1,0.0
SBV2-ALL92-G019-C01,supported,supported,0,0.2978105854272831,0.008657916795584057,0.45282987903458793,0.2891526686316991,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model , and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",AD-007_p6_c1,1,AD-007,6,supported,1,0.0
SBV2-ALL92-G019-C02,mild_scope_overclaim,contradiction_candidate,0,0.19381620174106656,0.9239499942992967,0.7608886134726468,-0.7301337925582301,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model , and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",AD-007_p6_c1,1,AD-007,6,contradiction,1,0.0
SBV2-ALL92-G019-C03,strong_action_overclaim,contradiction_candidate,0,0.3283888224799682,0.9156177682828909,0.7614605114951033,-0.5872289458029227,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model , and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",AD-007_p6_c1,1,AD-007,6,contradiction,1,0.0
SBV2-ALL92-G019-C04,contradiction_candidate,contradiction_candidate,0,0.34919220119408084,0.9242738837781126,0.7637884923020846,-0.5750816825840317,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model , and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",AD-007_p6_c1,1,AD-007,6,contradiction,1,0.0
SBV2-ALL92-G020-C01,supported,supported,0,0.22553892849885693,0.02320308173904393,0.45149709817821854,0.202335846759813,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",AD-007_p6_c4,1,AD-007,6,supported,5,0.0
SBV2-ALL92-G020-C02,mild_scope_overclaim,supported,0,0.22915569561717644,0.02385225252001723,0.45443154344774256,0.2053034430971592,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",AD-007_p6_c4,1,AD-007,6,supported,5,0.0
SBV2-ALL92-G020-C03,strong_action_overclaim,supported,0,0.41852851424955595,0.25636501536524625,0.5059192601871146,0.1621634988843097,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",AD-007_p6_c4,2,AD-007,7,supported,5,0.2
SBV2-ALL92-G020-C04,contradiction_candidate,contradiction_candidate,0,0.21032183312357464,0.92206605403793,0.8285291253941306,-0.7117442209143553,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",AD-007_p6_c4,2,AD-007,6,contradiction,5,0.0
SBV2-ALL92-G021-C01,supported,strong_action_overclaim,1,0.5699526140779934,0.23614358839731223,0.47564843821818054,0.8338090256806812,(2) We conduct comprehensive experiments demonstrate that while current VLM-based end-to-end driving systems exhibit limit robustness to sensor,AD-007_p2_c2,3,AD-007,6,strong_action,3,1.0
SBV2-ALL92-G021-C02,mild_scope_overclaim,strong_action_overclaim,1,0.5745173424595027,0.23672646511278184,0.476049679839001,0.8377908773467209,(2) We conduct comprehensive experiments demonstrate that while current VLM-based end-to-end driving systems exhibit limit robustness to sensor,AD-007_p2_c2,3,AD-007,6,strong_action,3,1.0
SBV2-ALL92-G021-C03,strong_action_overclaim,strong_action_overclaim,1,0.5877100277373991,0.23715317393161084,0.4762648261391959,0.8505568538057883,(2) We conduct comprehensive experiments demonstrate that while current VLM-based end-to-end driving systems exhibit limit robustness to sensor,AD-007_p2_c2,2,AD-007,6,strong_action,3,1.0
SBV2-ALL92-G021-C04,contradiction_candidate,contradiction_candidate,0,0.4167169906153963,0.9230399128968699,0.7963475118928308,-0.5063229222814736,(2) We conduct comprehensive experiments demonstrate that while current VLM-based end-to-end driving systems exhibit limit robustness to sensor,AD-007_p2_c2,2,AD-007,6,contradiction,3,0.0
SBV2-ALL92-G025-C01,supported,supported,0,0.25322230955580816,0.0273985976884694,0.4628563073892616,0.22582371186733877,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or crosstraffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and drivingspecialized VLMs on ScenePilot-Bench.",AD-009_p5_c2,1,AD-009,5,supported,6,0.0
SBV2-ALL92-G025-C02,mild_scope_overclaim,supported,0,0.28750591489477756,0.027755609551911795,0.4648027214220353,0.25975030534286575,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or crosstraffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and drivingspecialized VLMs on ScenePilot-Bench.",AD-009_p5_c2,1,AD-009,5,supported,6,0.0
SBV2-ALL92-G025-C03,strong_action_overclaim,supported,0,0.5009663469593385,0.13259148697556636,0.42497949901647264,0.3683748599837722,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or crosstraffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and drivingspecialized VLMs on ScenePilot-Bench.",AD-009_p5_c2,1,AD-009,5,supported,6,0.3333333333333333
SBV2-ALL92-G025-C04,contradiction_candidate,contradiction_candidate,0,0.5070787118200296,0.9065700543342246,0.7809284883180766,-0.39949134251419494,"Built upon ScenePilot-4K, ScenePilot-Bench provides a standardized open-loop benchmark that evaluates vision-language models from four complementary perspectives: scene understanding, spatial perception, motion planning, and GPT-based",AD-009_p6_c2,1,AD-009,6,contradiction,6,0.0
SBV2-ALL92-G027-C01,supported,strong_action_overclaim,1,0.6443527604590837,0.3024203436886578,0.5152116490807775,0.841932416770426,"First, ScenePilot-Bench remains an open-loop benchmark, an",AD-009_p6_c3,1,AD-009,6,strong_action,4,1.0
SBV2-ALL92-G027-C02,mild_scope_overclaim,strong_action_overclaim,1,0.6901081609627128,0.2947860462156415,0.5092807665418241,0.8953221147470714,"First, ScenePilot-Bench remains an open-loop benchmark, an",AD-009_p6_c3,1,AD-009,6,strong_action,4,1.0
SBV2-ALL92-G027-C03,strong_action_overclaim,strong_action_overclaim,1,0.7160255163410588,0.27536554805599717,0.4969643813296891,0.9406599682850616,"First, ScenePilot-Bench remains an open-loop benchmark, an",AD-009_p6_c3,1,AD-009,6,strong_action,4,1.0
SBV2-ALL92-G027-C04,contradiction_candidate,contradiction_candidate,0,0.8398602118574151,0.5487680443948031,0.596278934053198,0.291092167462612,"However, existing benchmarks assume direct low-level control signals and are incompatible with ADVLMs.",AD-006_p3_c2,4,AD-009,3,contradiction,4,0.0
SBV2-ALL92-G028-C01,supported,supported,0,0.4334997936400038,0.25931181607988824,0.4754072856895603,0.17418797756011556,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",AD-010_p5_c0,1,AD-010,5,supported,4,0.5
SBV2-ALL92-G028-C02,mild_scope_overclaim,supported,0,0.4945924862282347,0.2565701313080952,0.4716133042079731,0.2380223549201395,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",AD-010_p5_c0,1,AD-010,5,supported,4,0.5
SBV2-ALL92-G028-C03,strong_action_overclaim,supported,0,0.48037312910829444,0.25587451093172425,0.4707913310117455,0.22449861817657019,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",AD-010_p5_c0,1,AD-010,5,supported,4,0.5
SBV2-ALL92-G028-C04,contradiction_candidate,contradiction_candidate,0,0.4572642504402767,0.9185576003317563,0.8350797519466578,-0.4612933498914796,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",AD-010_p5_c0,1,AD-010,5,contradiction,4,0.0
SBV2-ALL92-G030-C01,supported,strong_action_overclaim,1,0.8530757792496165,0.27250139526751543,0.4252221557875909,1.0805743839821011,"Despite this progress, the application of XRL to cyber defense remains limited.",CYB-006_p2_c0,2,AD-010,2,strong_action,1,1.0
SBV2-ALL92-G030-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8502323553405473,0.2724918179355512,0.42465166685842054,1.077740537404996,"Despite this progress, the application of XRL to cyber defense remains limited.",CYB-006_p2_c0,2,AD-010,2,strong_action,1,1.0
SBV2-ALL92-G030-C03,strong_action_overclaim,supported,0,0.8016241634963113,0.3306488437236993,0.5216485449576626,0.470975319772612,"As a result, there remains a significant gap in the literature concerning the sustained deployment and scalability of such systems under diverse real-world conditions.",AD-024_p5_c0,3,AD-010,2,supported,1,0.0
SBV2-ALL92-G030-C04,contradiction_candidate,contradiction_candidate,0,0.6792505021729734,0.7660756298798993,0.7253843005138505,-0.08682512770692585,"Imitation learning, compared to reinforcement learning, shows promise for E2E systems in harnessing large-scale datasets effectively.",AD-015_p4_c0,3,AD-010,2,contradiction,1,0.0
SBV2-ALL92-G031-C01,supported,strong_action_overclaim,1,0.8198725803909352,0.3414110776806237,0.5380586012750888,0.9784615027103116,"For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.",AD-011_p8_c0,5,AD-011,7,strong_action,4,0.5
SBV2-ALL92-G031-C02,mild_scope_overclaim,strong_action_overclaim,1,0.8211554642259854,0.3029932770020954,0.5176484862199333,1.01816218722389,"For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.",AD-011_p8_c0,5,AD-011,7,strong_action,4,1.0
SBV2-ALL92-G031-C03,strong_action_overclaim,contradiction_candidate,0,0.5991317953206589,0.66418745060984,0.6003003155110138,-0.06505565528918111,"ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk",AD-009_p5_c2,3,AD-011,7,contradiction,4,0.0
SBV2-ALL92-G031-C04,contradiction_candidate,contradiction_candidate,0,0.8357796717606533,0.3802828302284103,0.5608623948665674,0.45549684153224296,"For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.",AD-011_p8_c0,5,AD-011,7,supported,4,0.25
SBV2-ALL92-G032-C01,supported,strong_action_overclaim,1,0.6460773454224604,0.2580691589470673,0.4845599202585054,0.8880081864753931,DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,AD-011_p3_c1,2,AD-011,2,strong_action,2,1.0
SBV2-ALL92-G032-C02,mild_scope_overclaim,mild_scope_overclaim,0,0.6763077963255708,0.3500668908264334,0.5851723649678305,0.3262409054991374,DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,AD-011_p3_c1,2,AD-011,2,mild_scope,2,0.5
SBV2-ALL92-G032-C03,strong_action_overclaim,strong_action_overclaim,1,0.6063296437871954,0.27871593857773824,0.557687720761475,0.8276137052094572,DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,AD-011_p3_c1,1,AD-011,3,strong_action,2,1.0
SBV2-ALL92-G032-C04,contradiction_candidate,contradiction_candidate,0,0.2831037664708629,0.9441599882552014,0.7850972368553262,-0.6610562217843385,DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,AD-011_p3_c1,2,AD-011,2,contradiction,2,0.0
SBV2-ALL92-G033-C01,supported,strong_action_overclaim,1,0.5310006592318149,0.2640031214151409,0.5547502140476225,0.766997537816674,dressing the spatial reasoning and computational challenges inherent in VLMs.,AD-011_p12_c0,4,AD-011,1,strong_action,3,0.6666666666666666
SBV2-ALL92-G033-C02,mild_scope_overclaim,strong_action_overclaim,1,0.5764928673900053,0.2628749895528731,0.5531433741384038,0.8136178778371321,dressing the spatial reasoning and computational challenges inherent in VLMs.,AD-011_p12_c0,4,AD-011,1,strong_action,3,1.0
SBV2-ALL92-G033-C03,strong_action_overclaim,strong_action_overclaim,1,0.618763843905899,0.28443989859152125,0.5810302925199405,0.8343239453143778,dressing the spatial reasoning and computational challenges inherent in VLMs.,AD-011_p12_c0,5,AD-011,1,strong_action,3,1.0
SBV2-ALL92-G033-C04,contradiction_candidate,strong_action_overclaim,1,0.6283538722829372,0.27089447510053893,0.478299475185988,0.8574593971823983,dressing the spatial reasoning and computational challenges inherent in VLMs.,AD-011_p12_c0,4,AD-011,1,strong_action,3,1.0
SBV2-ALL92-G034-C01,supported,supported,0,0.5023865418946979,0.2885287950217953,0.5050167505605916,0.2138577468729026,"and evaluate them in Bench2Drive, providing insights regarding current status and future directions. 1 Introduction In recent years, the field of autonomous driving has witnessed tremendous growth, fueled by the rapid advancement and scaling of foundation models [1–3].",AD-012_p1_c2,2,AD-012,1,supported,4,0.25
SBV2-ALL92-G034-C02,mild_scope_overclaim,supported,0,0.4870232635687397,0.2951563846454164,0.5003786971026394,0.19186687892332333,"and evaluate them in Bench2Drive, providing insights regarding current status and future directions. 1 Introduction In recent years, the field of autonomous driving has witnessed tremendous growth, fueled by the rapid advancement and scaling of foundation models [1–3].",AD-012_p1_c2,2,AD-012,1,supported,4,0.25
SBV2-ALL92-G034-C03,strong_action_overclaim,strong_action_overclaim,1,0.5671061643989862,0.295225930347642,0.5043894876343458,0.7718802340513442,"and evaluate them in Bench2Drive, providing insights regarding current status and future directions. 1 Introduction In recent years, the field of autonomous driving has witnessed tremendous growth, fueled by the rapid advancement and scaling of foundation models [1–3].",AD-012_p1_c2,2,AD-012,1,strong_action,4,1.0
SBV2-ALL92-G034-C04,contradiction_candidate,contradiction_candidate,0,0.3174718955225905,0.9152636508344892,0.8418022545660379,-0.5977917553118988,"and evaluate them in Bench2Drive, providing insights regarding current status and future directions. 1 Introduction In recent years, the field of autonomous driving has witnessed tremendous growth, fueled by the rapid advancement and scaling of foundation models [1–3].",AD-012_p1_c2,3,AD-012,1,contradiction,4,0.0
SBV2-ALL92-G035-C01,supported,supported,0,0.4389151816036248,0.01515695258560225,0.4543427347923887,0.42375822901802257,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",AD-012_p6_c1,1,AD-012,6,supported,6,0.5
SBV2-ALL92-G035-C02,mild_scope_overclaim,strong_action_overclaim,1,0.4937238023002097,0.019511875576856953,0.48927211465136106,0.9742119267233527,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",AD-012_p6_c1,2,AD-012,6,strong_action,6,0.6666666666666666
SBV2-ALL92-G035-C03,strong_action_overclaim,strong_action_overclaim,1,0.5307325480571782,0.27329928521002905,0.5936721063542433,0.7574332628471492,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",AD-012_p6_c1,2,AD-012,6,strong_action,6,0.5
SBV2-ALL92-G035-C04,contradiction_candidate,contradiction_candidate,0,0.43633892539933106,0.9136742472309131,0.8393662074265911,-0.477335321831582,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",AD-012_p6_c1,3,AD-012,19,contradiction,6,0.0
