rank,candidate_id,target_candidate_group_id,bucket,final_score,p_strong,p_contra,evidence_score,selected_n_words,selected_page_number
76,SBV2-ALL92-G094-C04,SBV2-ALL92-G094,evidence_check_needed,0.846201,0.7479771236434297,0.2417141129269078,-0.026989,15,1
77,SBV2-ALL92-G107-C01,SBV2-ALL92-G107,evidence_check_needed,0.842243,0.6615598786788277,0.23983100888713269,0.298327,23,1
78,SBV2-ALL92-G018-C03,SBV2-ALL92-G018,evidence_check_needed,0.841507,0.7012077892327065,0.29913668933497245,0.279125,34,7
79,SBV2-ALL92-G092-C02,SBV2-ALL92-G092,high_priority_strong_review,0.840724,0.6424643443626432,0.2375483652634852,0.363154,19,1
80,SBV2-ALL92-G232-C03,SBV2-ALL92-G232,evidence_check_needed,0.839308,0.7384299152531768,0.28786892050499113,0.094397,36,9
81,SBV2-ALL92-G038-C02,SBV2-ALL92-G038,evidence_check_needed,0.835386,0.7200480855891848,0.26708764696012954,0.102364,18,5
82,SBV2-ALL92-G087-C03,SBV2-ALL92-G087,evidence_check_needed,0.834397,0.7230930163390396,0.2616196904056377,0.073103,30,2
83,SBV2-ALL92-G190-C01,SBV2-ALL92-G190,evidence_check_needed,0.833011,0.6881150523830265,0.25133954546927806,0.182798,22,6
84,SBV2-ALL92-G038-C03,SBV2-ALL92-G038,evidence_check_needed,0.832427,0.7171062999032795,0.26202144477880107,0.090133,18,5
85,SBV2-ALL92-G107-C02,SBV2-ALL92-G107,evidence_check_needed,0.832103,0.640864695956737,0.23937078648961582,0.339442,23,1
86,SBV2-ALL92-G256-C01,SBV2-ALL92-G256,evidence_check_needed,0.830323,0.7485999342319717,0.2603775827597286,-0.048202,22,2
87,SBV2-ALL92-G135-C04,SBV2-ALL92-G135,evidence_check_needed,0.828935,0.7422437985174636,0.2668689361296321,-0.012749,24,8
88,SBV2-ALL92-G175-C01,SBV2-ALL92-G175,evidence_check_needed,0.828324,0.7127179091195788,0.2749204901408692,0.122234,18,7
89,SBV2-ALL92-G037-C02,SBV2-ALL92-G037,evidence_check_needed,0.827983,0.7474992934351421,0.29630068427838013,0.033056,36,3
90,SBV2-ALL92-G175-C02,SBV2-ALL92-G175,evidence_check_needed,0.826777,0.7068341315543812,0.2696546112198901,0.126941,18,7
91,SBV2-ALL92-G255-C03,SBV2-ALL92-G255,evidence_check_needed,0.825414,0.7297087974238909,0.25143972287206534,-0.013723,8,7
92,SBV2-ALL92-G027-C03,SBV2-ALL92-G027,evidence_check_needed,0.822954,0.7160255163410588,0.27536554805599717,0.088591,7,6
93,SBV2-ALL92-G248-C03,SBV2-ALL92-G248,evidence_check_needed,0.822177,0.6858701906667156,0.23797245603630754,0.11636,16,5
94,SBV2-ALL92-G124-C01,SBV2-ALL92-G124,evidence_check_needed,0.821708,0.6402828846593611,0.2550678004317525,0.337864,26,10
95,SBV2-ALL92-G264-C04,SBV2-ALL92-G264,evidence_check_needed,0.818543,0.730394560384802,0.2592121072624721,-0.025295,21,4
96,SBV2-ALL92-G196-C03,SBV2-ALL92-G196,evidence_check_needed,0.815252,0.7830680525436755,0.3692259321710187,0.014879,8,2
97,SBV2-ALL92-G261-C03,SBV2-ALL92-G261,evidence_check_needed,0.81137,0.698310900092932,0.26753230457489896,0.094315,11,5
98,SBV2-ALL92-G215-C03,SBV2-ALL92-G215,evidence_check_needed,0.811207,0.731480329869695,0.25281403563087057,-0.074339,23,5
99,SBV2-ALL92-G032-C01,SBV2-ALL92-G032,evidence_check_needed,0.811169,0.6460773454224604,0.2580691589470673,0.279731,18,3
100,SBV2-ALL92-G264-C01,SBV2-ALL92-G264,evidence_check_needed,0.811133,0.6851101396528281,0.26417737289568666,0.138118,21,2
