sample_id,candidate_id,domain,silver_label,claim_text,evidence_text,rule_scalar_label,rule_scalar_score,r4_label,gpt_standard_label,gpt_structured_label,deepseek_label,rule_correct,r4_correct,gpt_standard_correct,gpt_structured_correct,deepseek_correct,case_category,mild_strong_confusion,realism_risk_flag,realism_risk_type
LLM_143,SBV2-ALL92-G214-C03,policy_simulation,strong_action_overclaim,The benchmark reports its best-performing system above 60% accuracy on broad cases and 45% accuracy on targeted sub-tasks.,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",strong_action_overclaim,2,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,0,0,0,0,scalar_right_r4_wrong,False,True,template_like_opening;extreme_superlative
LLM_002,SBV2-ALL92-G027-C01,autonomous_driving,supported,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",contradiction_candidate,3,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_052,SBV2-ALL92-G052-C02,autonomous_driving,mild_scope_overclaim,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and sixty-four CPUs for fifty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours.",supported,0,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,1,0,0,1,r4_right_scalar_wrong,False,False,none
LLM_195,SBV2-ALL92-G251-C04,policy_simulation,contradiction_candidate,The paper reports that the Saez-regression schedule underperformed the LLM Economist while the LLM schedule set lower tax rates.,"The Saez-regression schedule now outperforms the LLM Economist, reflecting the Stackelberg equilibria at the Saez solution; the LLM schedule remains within the same qualitative shape but sets uniformly lower rates, preserving more labor supply at the expense of redistribution.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_033,SBV2-ALL92-G205-C01,marl,supported,WFCRL implements an interface between its simulator and Python wind farm environment through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels.",supported,0,mild_scope_overclaim,supported,supported,supported,1,0,1,1,1,scalar_right_r4_wrong,False,False,none
LLM_146,SBV2-ALL92-G271-C03,policy_simulation,strong_action_overclaim,"The simulation reports travel-time inconsistency stabilizing near 0.05 after day 5, indicating stationary day-to-day evolution with acceptable consistency.","It is found that the incon- sistency becomes stable around 0.15 after day 15, implying that the day-to-day evolution process achieves stationarity and an acceptable degree of consistency.",supported,0,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0,0,both_wrong,True,False,none
LLM_035,SBV2-ALL92-G196-C01,marl,supported,"The HIS evaluation includes three continuous-action benchmark environments: Multi-Agent Particle Environment, Multi-Agent MuJoCo, and Bi-DexHands as its experimental suite.","We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands.",strong_action_overclaim,2,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_096,SBV2-ALL92-G261-C02,policy_simulation,mild_scope_overclaim,The paper says a calibration layer maps aggregated agent responses and subgroup narratives to observable population metrics for counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis.",strong_action_overclaim,2,supported,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,1,1,0,both_wrong,True,False,none
LLM_184,SBV2-ALL92-G196-C04,marl,contradiction_candidate,The HIS evaluation excludes continuous-action benchmark environments and focuses instead on single-agent discrete benchmark suites for its experiments.,"We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands.",strong_action_overclaim,2,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_082,SBV2-ALL92-G198-C02,marl,mild_scope_overclaim,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in moderately coupled problems while preserving training stability.,"However, tra- ditional credit assignment schemes in MARL cannot re- liably capture individual contributions in strongly coupled tasks while maintaining training stability, which leads to lim- ited generalization capabilities and hinders algorithm perfor- mance.",contradiction_candidate,3,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,1,1,1,both_wrong,True,False,none
LLM_192,SBV2-ALL92-G266-C04,policy_simulation,contradiction_candidate,The framework keeps six-point Likert answers as categorical letters and separates both surveys before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data.",mild_scope_overclaim,1,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,1,1,1,both_wrong,False,True,template_like_opening
LLM_017,SBV2-ALL92-G089-C01,cyber_defense,supported,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].,strong_action_overclaim,2,mild_scope_overclaim,mild_scope_overclaim,supported,supported,0,0,0,1,1,both_wrong,False,False,none
LLM_140,SBV2-ALL92-G234-C03,policy_simulation,strong_action_overclaim,"The SimCity paper identifies a key limitation in existing frameworks as the lack of a shared basis for comparison, replication, and benchmarking.","A key limitation of existing frameworks (Lengnick, 2013; Li et al., 2024) is the lack of a common ba- sis for comparison.",mild_scope_overclaim,1,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,0,0,0,0,0,both_wrong,True,False,none
LLM_102,SBV2-ALL92-G028-C03,autonomous_driving,strong_action_overclaim,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",mild_scope_overclaim,1,supported,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,0,0,0,both_wrong,True,False,none
LLM_084,SBV2-ALL92-G175-C02,marl,mild_scope_overclaim,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.",mild_scope_overclaim,1,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,1,0,1,1,0,scalar_right_r4_wrong,True,False,none
LLM_040,SBV2-ALL92-G233-C01,policy_simulation,supported,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, and Engel’s curve.","Experimental results show that SimCity successfully exhibits a range of classic macroeconomic phenomena, such as Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve (detailed in Section 5).",strong_action_overclaim,2,supported,supported,supported,supported,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_099,SBV2-ALL92-G172-C02,robotics,mild_scope_overclaim,"The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers.","We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPilot flight- controller-based SuTs, (b) analyzing the performance of each agent, and (c) gathering feedback from sUAS developers.",mild_scope_overclaim,1,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,1,0,1,1,0,scalar_right_r4_wrong,True,False,none
LLM_083,SBV2-ALL92-G205-C02,marl,mild_scope_overclaim,WFCRL implements an interface between its simulator and Python wind farm environments through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels.",supported,0,mild_scope_overclaim,supported,supported,supported,0,1,0,0,0,r4_right_scalar_wrong,False,False,none
LLM_030,SBV2-ALL92-G146-C01,digital_twin,supported,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for network optimization and management in the study.","The results yielded an impressive simulation accuracy of 85.03%, alongside predictions from the predictive model, underscoring APDT’s potential for robust network optimization and man- agement.",contradiction_candidate,3,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_194,SBV2-ALL92-G233-C04,policy_simulation,contradiction_candidate,"SimCity reports no classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, or Engel’s curve.","Experimental results show that SimCity successfully exhibits a range of classic macroeconomic phenomena, such as Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve (detailed in Section 5).",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_078,SBV2-ALL92-G116-C02,digital_twin,mild_scope_overclaim,"GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer regulations overall, favoring precision over recall in the reported example.","For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall.",contradiction_candidate,3,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0,1,both_wrong,True,False,none
LLM_043,SBV2-ALL92-G266-C01,policy_simulation,supported,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data.",mild_scope_overclaim,1,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,True,template_like_opening
LLM_179,SBV2-ALL92-G131-C04,digital_twin,contradiction_candidate,A digital shadow provides assured automated control while physical-system data processing remains intermittent in smart grid monitoring workflows.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_051,SBV2-ALL92-G028-C02,autonomous_driving,mild_scope_overclaim,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",supported,0,supported,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,1,1,0,both_wrong,False,False,none
LLM_136,SBV2-ALL92-G193-C03,marl,strong_action_overclaim,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute.","Resolution must either come from mutual agreement between principals, from a pre-agreed arbitration policy, or from escalation to an agreed arbiter—all of which need to be first-class protocol features, not implementation details.",contradiction_candidate,3,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,0,0,0,both_wrong,True,False,none
LLM_037,SBV2-ALL92-G187-C01,marl,supported,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners.",mild_scope_overclaim,1,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,0,0,1,both_wrong,False,False,none
LLM_049,SBV2-ALL92-G163-C01,robotics,supported,The study evaluates context-aware agents in a canonical control benchmark and a physical pushing task with a Franka Panda robot.,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.,strong_action_overclaim,2,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_032,SBV2-ALL92-G213-C01,marl,supported,The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.,"However, the optimisation in the most general setting: in- dividual utility functions, remains unsolved.",contradiction_candidate,3,strong_action_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_041,SBV2-ALL92-G261-C01,policy_simulation,supported,The paper says a calibration layer maps aggregated agent responses to observable population metrics for validation and counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis.",strong_action_overclaim,2,mild_scope_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_087,SBV2-ALL92-G180-C02,marl,mild_scope_overclaim,"Extended ALEM training shows near-saturated performance, with coordination and total reward improving late while total reward stays below the maximum score.","Performance does not saturate: coordination and total reward continue improv- ing late in training, and total reward remains well below the maximum achievable score.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0,0,both_wrong,False,False,none
LLM_031,SBV2-ALL92-G140-C01,digital_twin,supported,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature baselines.,"Based on our simulation results, we observe that the proposed framework achieves a 37% improvement in 95th percentile latency and a 30% reduction in energy consumption compared to the existing literature.",supported,0,strong_action_overclaim,supported,supported,supported,1,0,1,1,1,scalar_right_r4_wrong,False,False,none
LLM_182,SBV2-ALL92-G187-C04,marl,contradiction_candidate,"The MEAL study evaluates supervised-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners.",mild_scope_overclaim,1,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,0,0,0,0,0,both_wrong,False,False,none
LLM_029,SBV2-ALL92-G119-C01,digital_twin,supported,The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds and multiclass mean average precision.,"For individual CAV evaluation, we provide the following metrics: 1) Detection metrics based on average precision (AP) across different Intersection over Union (IoU) thresholds, and multiclass mean Average Pre- cision (mAP).",mild_scope_overclaim,1,mild_scope_overclaim,supported,supported,supported,0,0,1,1,1,both_wrong,False,False,none
LLM_139,SBV2-ALL92-G252-C03,policy_simulation,strong_action_overclaim,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, million-agent populations, multi-country cases, and richer actions.","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0,0,both_wrong,True,False,none
LLM_085,SBV2-ALL92-G190-C02,marl,mild_scope_overclaim,Tool-RoCo evaluates five cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior.",strong_action_overclaim,2,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0,1,both_wrong,True,False,none
LLM_189,SBV2-ALL92-G272-C04,policy_simulation,contradiction_candidate,A full-wallet account increases its balance during no-sale and no-travel periods because each new credit remains beside the oldest credit.,"Once an account has reached this state (referred to as ‘full wallet’ hereafter), the balance does not change in the absence of selling or traveling, as every time a new credit is acquired, the oldest credit expires.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,1,1,1,1,1,both_right,False,False,none
LLM_129,SBV2-ALL92-G131-C03,digital_twin,strong_action_overclaim,A digital shadow provides continuous physical-system data processing and assured automated control for smart grid monitoring and coordination.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",contradiction_candidate,3,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,0,0,0,0,both_wrong,False,False,none
LLM_199,SBV2-ALL92-G168-C04,robotics,contradiction_candidate,The RealAIGym implementation relies on PPO rather than Soft Actor-Critic as its core algorithm for continuous action spaces.,"The core algorithm used is Soft Actor-Critic (SAC) [18], a state-of-the-art RL method designed for continuous action spaces.",strong_action_overclaim,2,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_147,SBV2-ALL92-G167-C03,robotics,strong_action_overclaim,The RealAIGym paper argues algorithm comparison proves reliable control after benchmarking performance in simulation and physical hardware experiments together.,In order to get a clear understanding of their individual strengths and weaknesses and their applicability in real world robotic scenarios is it important to benchmark and compare their performances not only in a simulation but also on real hard- ware.,contradiction_candidate,3,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,0,1,1,1,1,r4_right_scalar_wrong,False,False,none
LLM_092,SBV2-ALL92-G252-C02,policy_simulation,mild_scope_overclaim,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, several population sizes, and richer actions for later work.","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",contradiction_candidate,3,supported,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,0,0,0,0,1,both_wrong,False,False,none
