candidate_id,target_candidate_group_id,span_id,source_id,domain,evidence_type,candidate_label_guess,claim_text,evidence_text,source_location,url,arxiv_id,pdf_filename,leakage_category,recommendation,claim_only_correct,claim_evidence_correct,lexical_leakage_risk,needs_human_review,exclude_recommended,paper_full_priority,selection_reason,contradiction_leakage_review
SBV2-ALL92-G057-C03,SBV2-ALL92-G057,AD-020-S3,AD-020,autonomous_driving,limitation,strong_action_overclaim,"The regulation example treats [70, 50, 30] mph as compliant because a twenty-mile-per-hour differential falls below the maximum speed differential.","For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum.",pdf_page_4,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G058-C02,SBV2-ALL92-G058,AD-021-S1,AD-021,autonomous_driving,experiment_setup,mild_scope_overclaim,"For O1-mini, the evaluation controlled 216 New York 1 intersections and simulated traffic for 3600 seconds in a network run.","For O1-mini, we evaluated its performance in a complete setting, controlling all 196 intersec- tions in the New York 1 dataset and simulating traffic for 3600 seconds.",pdf_page_10,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G059-C03,SBV2-ALL92-G059,AD-021-S2,AD-021,autonomous_driving,metric_result,strong_action_overclaim,The results report that CoLLMLight outperforms state-of-the-art LLMs on complex coordination benchmarks and city-scale traffic optimization benchmarks.,The results show that CoLLMLight outperforms the SOTA LLMs within complex coordination scenarios.,pdf_page_6,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G065-C01,SBV2-ALL92-G065,AD-024-S2,AD-024,autonomous_driving,limitation,supported,"The field studies highlight design tradeoffs involving power and network infrastructure, local storage capacity, sensor visibility, and ground-truth sources for validation.","These deployments highlight practical limitations and design tradeoffs, such as the importance of power and network infrastructure, local storage capacity, sensor visibility constraints, and the need for accurate ground truth sources for validation.",pdf_page_4,https://arxiv.org/abs/2508.01599,2508.01599,pdfs/AD-024__2508.01599.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G067-C03,SBV2-ALL92-G067,CYB-001-S1,CYB-001,cyber_defense,experiment_setup,strong_action_overclaim,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison.",We evaluate six frontier AI systems under matched prompts and budgets.,pdf_page_1,https://arxiv.org/abs/2606.14295,2606.14295,pdfs/CYB-001__2606.14295.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G068-C02,SBV2-ALL92-G068,CYB-001-S2,CYB-001,cyber_defense,metric_result,mild_scope_overclaim,GPT-5.5 with Codex reports success rates of 33.0% on web-exploitation items and 46.3% on post-exploitation items in the reported AgentCyberRange results.,"GPT-5.5 with Codex achieves the highest success rates, solving 16.1% of web exploitation tasks and 31.7% of post- exploitation tasks; with more concrete hints, these rates increase to 33.0% and 46.3%, respectively.",pdf_page_1,https://arxiv.org/abs/2606.14295,2606.14295,pdfs/CYB-001__2606.14295.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G081-C03,SBV2-ALL92-G081,CYB-005-S3,CYB-005,cyber_defense,limitation,strong_action_overclaim,IoV defense proceeds with partial observation because attacker intent remains hidden through the entire defensive timeline during the IoV defense problem formulation.,"A primary difficulty is that IoV defense must proceed with only partial observation; the true intent of an attacker remains hidden, and visible signals are often ambiguous due to probing or evasion.",pdf_page_1,https://arxiv.org/abs/2606.07796,2606.07796,pdfs/CYB-005__2606.07796.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G082-C02,SBV2-ALL92-G082,CYB-006-S1,CYB-006,cyber_defense,experiment_setup,mild_scope_overclaim,DeepXplain is evaluated in a realistic enterprise testbed with multiple CALDERA-driven APT campaigns during the enterprise APT evaluation benchmark.,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].,pdf_page_1,https://arxiv.org/abs/2603.21296,2603.21296,pdfs/CYB-006__2603.21296.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G084-C03,SBV2-ALL92-G084,CYB-006-S3,CYB-006,cyber_defense,limitation,strong_action_overclaim,DeepXplain operates as a black box that produces effective decisions while hiding prediction and action rationales in the reported DeepXplain defense system.,"However, similar to many DRL-based systems, it operates as a black box: while it produces effective decisions, it does not provide interpretable explanations for its predictions or actions.",pdf_page_1,https://arxiv.org/abs/2603.21296,2603.21296,pdfs/CYB-006__2603.21296.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G085-C01,SBV2-ALL92-G085,CYB-007-S1,CYB-007,cyber_defense,experiment_setup,supported,The adversarial agent follows attack and kill-chain sequences prescribed by Atomic Red Team and MITRE ATT&CK during the autonomous cyber-defense experiments.,"In our setup, the adversarial agent uses a stan- dard form of attack/kill-chain sequences as prescribed by the Atomic Red Team (ART) and MITRE ATT&CK frame- work.",pdf_page_2,https://arxiv.org/abs/2511.16483,2511.16483,pdfs/CYB-007__2511.16483.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G085-C03,SBV2-ALL92-G085,CYB-007-S1,CYB-007,cyber_defense,experiment_setup,strong_action_overclaim,"The adversarial agent follows attack and kill-chain sequences prescribed by Atomic Red Team, MITRE ATT&CK, and live enterprise telemetry during the autonomous cyber-defense experiments.","In our setup, the adversarial agent uses a stan- dard form of attack/kill-chain sequences as prescribed by the Atomic Red Team (ART) and MITRE ATT&CK frame- work.",pdf_page_2,https://arxiv.org/abs/2511.16483,2511.16483,pdfs/CYB-007__2511.16483.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G101-C02,SBV2-ALL92-G101,CYB-012-S2,CYB-012,cyber_defense,metric_result,mild_scope_overclaim,The saved plots for evaluated parameter combinations and reward variants show PPO achieving smoother convergence than DQN in the updated environment study.,"To further our analysis, we saved the plots for each of these combinations and observed that PPO achieves smoother convergence.",pdf_page_5,https://arxiv.org/abs/2508.19278,2508.19278,pdfs/CYB-012__2508.19278.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G103-C02,SBV2-ALL92-G103,DT-001-S1,DT-001,digital_twin,experiment_setup,mild_scope_overclaim,"The study evaluates TwinLoop in a vehicular edge computing task-offloading scenario with changing workload, infrastructure conditions, and vehicle demand in its experiments.",We evaluate TwinLoop in a vehicular edge computing task-offloading scenario with changing workload and infrastructure conditions.,pdf_page_1,https://arxiv.org/abs/2604.06610,2604.0661,pdfs/DT-001__2604.06610.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G122-C01,SBV2-ALL92-G122,DT-007-S2,DT-007,digital_twin,metric_result,supported,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors.,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation.",pdf_page_1,https://arxiv.org/abs/2511.02957,2511.02957,pdfs/DT-007__2511.02957.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G131-C01,SBV2-ALL92-G131,DT-011-S2,DT-011,digital_twin,limitation,supported,A digital shadow processes physical-system data continuously while lacking assured automated control over the physical system in smart grid typology.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",pdf_page_3,https://arxiv.org/abs/2602.14256,2602.14256,pdfs/DT-011__2602.14256.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G131-C03,SBV2-ALL92-G131,DT-011-S2,DT-011,digital_twin,limitation,strong_action_overclaim,A digital shadow provides continuous physical-system data processing and assured automated control for smart grid monitoring and coordination.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",pdf_page_3,https://arxiv.org/abs/2602.14256,2602.14256,pdfs/DT-011__2602.14256.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G135-C01,SBV2-ALL92-G135,DT-012-S3,DT-012,digital_twin,limitation,supported,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in prior approaches.,"Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",pdf_page_2,https://arxiv.org/abs/2506.22995,2506.22995,pdfs/DT-012__2506.22995.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G153-C04,SBV2-ALL92-G153,DT-018-S3,DT-018,digital_twin,limitation,contradiction_candidate,The paper proposes a cloud-only architecture rather than FOGNITE as a fog-cloud hybrid architecture for smart grid environments.,"To address these limitations, this paper pro- poses FOGNITE—a novel fog-cloud hybrid ar- chitecture tailored for smart grid environments.",pdf_page_2,https://arxiv.org/abs/2507.16668,2507.16668,pdfs/DT-018__2507.16668.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G154-C02,SBV2-ALL92-G154,DT-019-S1,DT-019,digital_twin,metric_result,mild_scope_overclaim,"The PINNs-DT model reported 98.7% accuracy, 98.8% precision, 98.6% recall, and a 98.7% F1 score among evaluated metrics.","The suggested PINNs-DT model surpasses almost all evaluated metrics with an Accuracy of 97.7%, Precision of 97.8%, Recall of 97.6%, and F1 Score of 97.7%.",pdf_page_28,https://arxiv.org/abs/2503.00331,2503.00331,pdfs/DT-019__2503.00331.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G157-C01,SBV2-ALL92-G157,MARL-014-S1,MARL-014,robotics,experiment_setup,supported,"NavBench implements a floating platform with thruster actuation, planar motion constraints, and force-based control to mimic spacecraft-like movement.","We implement a floating platform, a thruster-actuated system constrained to planar movement, mimicking spacecraft-like motion with force-based control.",pdf_page_5,https://arxiv.org/abs/2505.14526,2505.14526,pdfs/MARL-014__2505.14526.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G161-C01,SBV2-ALL92-G161,MARL-015-S2,MARL-015,robotics,limitation,supported,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while acknowledging limited fine-tuned performance potential.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications.",pdf_page_13,https://arxiv.org/abs/2501.02902,2501.02902,pdfs/MARL-015__2501.02902.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G172-C02,SBV2-ALL92-G172,MARL-019-S1,MARL-019,robotics,experiment_setup,mild_scope_overclaim,"The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers.","We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPilot flight- controller-based SuTs, (b) analyzing the performance of each agent, and (c) gathering feedback from sUAS developers.",pdf_page_1,https://arxiv.org/abs/2501.11864,2501.11864,pdfs/MARL-019__2501.11864.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G192-C01,SBV2-ALL92-G192,MARL-006-S3,MARL-006,marl,limitation,supported,"The Tool-RoCo paper states that LLM coordination and self-organization over long-horizon tasks remain unclear, limiting autonomy evaluation directly.","It remains unclear how LLMs can coordinate and self-organize with other agents in long-term tasks, limiting the evaluation of their autonomy.",pdf_page_1,https://arxiv.org/abs/2511.21510,2511.2151,pdfs/MARL-006__2511.21510.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G193-C03,SBV2-ALL92-G193,MARL-007-S1,MARL-007,marl,experiment_setup,strong_action_overclaim,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute.","Resolution must either come from mutual agreement between principals, from a pre-agreed arbitration policy, or from escalation to an agreed arbiter—all of which need to be first-class protocol features, not implementation details.",pdf_page_3,https://arxiv.org/abs/2604.09744,2604.09744,pdfs/MARL-007__2604.09744.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G200-C03,SBV2-ALL92-G200,MARL-009-S2,MARL-009,marl,metric_result,strong_action_overclaim,QLLM experiments on standard MARL benchmarks report higher performance than baselines while removing the learnable-parameter burden from credit assignment.,Extensive experiments on standard MARL benchmarks demon- strate that QLLM consistently outperforms baselines while requiring fewer learnable parameters.,pdf_page_1,https://arxiv.org/abs/2504.12961,2504.12961,pdfs/MARL-009__2504.12961.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G203-C02,SBV2-ALL92-G203,MARL-010-S2,MARL-010,marl,metric_result,mild_scope_overclaim,A soup recipe in the bonus orders receives a weighted reward equal to its base score multiplied by three.,"If the recipe of the soup is in the bonus orders, it receives a weighted reward of the base score value from the recipe multiplied by the additional bonus score of 2.",pdf_page_22,https://arxiv.org/abs/2502.04773,2502.04773,pdfs/MARL-010__2502.04773.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G212-C03,SBV2-ALL92-G212,MARL-013-S2,MARL-013,marl,metric_result,strong_action_overclaim,The paper reports that global preference access and AA-MAMORL dominate baseline methods on each metric in evaluated MAMO environments.,The results demonstrate that the accessibility to global preferences and our proposed AA-MAMORL significantly improves performance and consistently outperforms state-of-the-art methods.,pdf_page_1,https://arxiv.org/abs/2511.08926,2511.08926,pdfs/MARL-013__2511.08926.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G214-C04,SBV2-ALL92-G214,POL-001-S1,POL-001,policy_simulation,metric_result,contradiction_candidate,The benchmark reports its best-performing system below 10% accuracy on broad cases and 5% accuracy on targeted sub-tasks.,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",pdf_page_1,https://arxiv.org/abs/2502.07853,2502.07853,pdfs/POL-001__2502.07853.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G215-C03,SBV2-ALL92-G215,POL-001-S2,POL-001,policy_simulation,limitation,strong_action_overclaim,"The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.","Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.",pdf_page_1,https://arxiv.org/abs/2502.07853,2502.07853,pdfs/POL-001__2502.07853.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G232-C01,SBV2-ALL92-G232,POL-007-S1,POL-007,policy_simulation,experiment_setup,supported,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,pdf_page_9,https://arxiv.org/abs/2510.01297,2510.01297,pdfs/POL-007__2510.01297.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G244-C02,SBV2-ALL92-G244,POL-011-S1,POL-011,policy_simulation,limitation,mild_scope_overclaim,"The paper says the action space is constrained by resources, conversion factors, and institutional incentives tied to personal, social, and environmental circumstances.","It empha- sizes that our action space is constrained by resources and conversion factors, i.e. there are things we cannot do because we lack the means or the personal, social and environmental circumstances to do them.",pdf_page_3,https://arxiv.org/abs/2503.18389,2503.18389,pdfs/POL-011__2503.18389.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G248-C03,SBV2-ALL92-G248,POL-012-S2,POL-012,policy_simulation,metric_result,strong_action_overclaim,"The paper reports that TaxAgent achieved stronger equity-efficiency trade-offs than major taxation baselines, market baselines, and redistribution methods.","Benchmarked against Saez Optimal Taxation, U.S. federal income taxes, and free markets, TaxAgent achieves superior equity-efficiency trade- offs.",pdf_page_1,https://arxiv.org/abs/2506.02838,2506.02838,pdfs/POL-012__2506.02838.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G255-C03,SBV2-ALL92-G255,POL-014-S3,POL-014,policy_simulation,deployment_boundary,strong_action_overclaim,"The paper says the simulation models individual behaviors, citywide mobility patterns, household relocation, and freight activity for Taipei City.","Using real-world data, the simulation models individual behaviors and large-scale mobility patterns in Taipei City.",pdf_page_1,https://arxiv.org/abs/2505.21880,2505.2188,pdfs/POL-014__2505.21880.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G262-C01,SBV2-ALL92-G262,POL-017-S1,POL-017,policy_simulation,experiment_setup,supported,The work implements a lightweight domain-specific activity chain generator based on model [8] while allowing custom alternative generation methods.,"In this work, we implemented a lightweight domain- specific activity chain generator utilizing the model from [8], though the framework allows users to customize and implement alternative generation methods.",pdf_page_3,https://arxiv.org/abs/2506.21784,2506.21784,pdfs/POL-017__2506.21784.pdf,B_evidence_gain,include,False,True,False,False,False,high,evidence_gain_claim_only_fails_evidence_needed,False
SBV2-ALL92-G252-C02,SBV2-ALL92-G252,POL-013-S3,POL-013,policy_simulation,limitation,mild_scope_overclaim,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, several population sizes, and richer actions for later work.","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",pdf_page_12,https://arxiv.org/abs/2507.15815,2507.15815,pdfs/POL-013__2507.15815.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_balanced_into_core,False
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,metric_result,mild_scope_overclaim,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",pdf_page_8,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_balanced_into_core,False
SBV2-ALL92-G266-C03,SBV2-ALL92-G266,POL-018-S2,POL-018,policy_simulation,metric_result,strong_action_overclaim,The framework maps six-point Likert answers to ordinal scores and pools clinical records before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data.",pdf_page_14,https://arxiv.org/abs/2606.02867,2606.02867,pdfs/POL-018__2606.02867.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_balanced_into_core,False
SBV2-ALL92-G170-C01,SBV2-ALL92-G170,MARL-018-S2,MARL-018,robotics,metric_result,supported,"In simulation, GRaD-Nav++ reports success rates of 83% on trained tasks and 75% on unseen tasks during evaluation.","In multi-task generalization experiments, our method achieves a success rate of 83% on trained tasks and 75% on unseen tasks in simulation.",pdf_page_1,https://arxiv.org/abs/2506.14009,2506.14009,pdfs/MARL-018__2506.14009.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_balanced_into_core,False
SBV2-ALL92-G116-C01,SBV2-ALL92-G116,DT-005-S2,DT-005,digital_twin,metric_result,supported,"GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regulations overall, favoring precision over recall in the reported example.","For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall.",pdf_page_6,https://arxiv.org/abs/2508.06799,2508.06799,pdfs/DT-005__2508.06799.pdf,C_both_wrong,review,False,False,False,True,False,medium,tfidf_unsolvable_balanced_into_core,False
