file_or_folder,original_location,archive_location,reason_archived,notes
experiments\simclaim_hardpair_v3b_small_baselines,D:\ocn\experiments\simclaim_hardpair_v3b_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v3b_small_baselines,Old hardpair v3b; not referenced by V3.7,Old hardpair v3b baselines
experiments\simclaim_hardpair_v4_pilot_cue_ablation_small_baselines,D:\ocn\experiments\simclaim_hardpair_v4_pilot_cue_ablation_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v4_pilot_cue_ablation_small_baselines,Old hardpair v4 cue ablation; not referenced by V3.7,Old hardpair v4 cue ablation
experiments\simclaim_hardpair_v4_pilot_small_baselines,D:\ocn\experiments\simclaim_hardpair_v4_pilot_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v4_pilot_small_baselines,Old hardpair v4; not referenced by V3.7,Old hardpair v4 baselines
experiments\simclaim_hardpair_v4b_no_llm_style_control_baselines,D:\ocn\experiments\simclaim_hardpair_v4b_no_llm_style_control_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v4b_no_llm_style_control_baselines,Old hardpair v4b; not referenced by V3.7,Old hardpair v4b no-LLM style control
experiments\simclaim_hardpair_v4b_pilot_small_baselines,D:\ocn\experiments\simclaim_hardpair_v4b_pilot_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v4b_pilot_small_baselines,Old hardpair v4b pilot; not referenced by V3.7,Old hardpair v4b pilot baselines
experiments\simclaim_hardpair_v4b_pilot_strict_pass_baselines,D:\ocn\experiments\simclaim_hardpair_v4b_pilot_strict_pass_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_hardpair_v4b_pilot_strict_pass_baselines,Old hardpair v4b strict pass; not referenced by V3.7,Old hardpair v4b strict pass
experiments\simclaim_release_candidate_v1_19_leakage_filtered_small_baselines,D:\ocn\experiments\simclaim_release_candidate_v1_19_leakage_filtered_small_baselines,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_release_candidate_v1_19_leakage_filtered_small_baselines,Old release candidate; not referenced by V3.7,Old release candidate leakage filtered
experiments\simclaim_v4_evidence_necessity,D:\ocn\experiments\simclaim_v4_evidence_necessity,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_v4_evidence_necessity,Old v4 evidence necessity; not referenced by V3.7,Old v4 evidence necessity
experiments\simclaim_v4_nonpaper_prototype,D:\ocn\experiments\simclaim_v4_nonpaper_prototype,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_v4_nonpaper_prototype,Old v4 non-paper prototype; not referenced by V3.7,Old v4 non-paper prototype
experiments\simclaim_v4_protocol_freeze,D:\ocn\experiments\simclaim_v4_protocol_freeze,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_v4_protocol_freeze,Old v4 protocol freeze; not referenced by V3.7,Old v4 protocol freeze
experiments\simclaim_v4_source_genre_pilot,D:\ocn\experiments\simclaim_v4_source_genre_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\simclaim_v4_source_genre_pilot,Old v4 source genre pilot; not referenced by V3.7,Old v4 source genre pilot
experiments\strong_action_broad_sweep_v2,D:\ocn\experiments\strong_action_broad_sweep_v2,D:\ocn\_ARCHIVE_NON_MAINLINE\experiments\strong_action_broad_sweep_v2,Old strong action sweep; not referenced by V3.7,Old strong action broad sweep
data\adversarial_splits,D:\ocn\data\adversarial_splits,D:\ocn\_ARCHIVE_NON_MAINLINE\data\adversarial_splits,Old data; not referenced by V3.7,Old adversarial splits
data\adversarial_splits_simclaim_human_pilot,D:\ocn\data\adversarial_splits_simclaim_human_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\adversarial_splits_simclaim_human_pilot,Old data; not referenced by V3.7,Old adversarial splits human pilot
data\annotations,D:\ocn\data\annotations,D:\ocn\_ARCHIVE_NON_MAINLINE\data\annotations,Old annotations; not referenced by V3.7,Old annotations
data\clean_v2_split,D:\ocn\data\clean_v2_split,D:\ocn\_ARCHIVE_NON_MAINLINE\data\clean_v2_split,Old data; not referenced by V3.7,Old clean v2 split
data\control_splits,D:\ocn\data\control_splits,D:\ocn\_ARCHIVE_NON_MAINLINE\data\control_splits,Old data; not referenced by V3.7,Old control splits
data\evidence_modes,D:\ocn\data\evidence_modes,D:\ocn\_ARCHIVE_NON_MAINLINE\data\evidence_modes,Old data; not referenced by V3.7,Old evidence modes
data\hard_diagnostic,D:\ocn\data\hard_diagnostic,D:\ocn\_ARCHIVE_NON_MAINLINE\data\hard_diagnostic,Old data; not referenced by V3.7,Old hard diagnostic
data\human_audit,D:\ocn\data\human_audit,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_audit,Old data; not referenced by V3.7,Old human audit
data\human_pilot,D:\ocn\data\human_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_pilot,Old data; not referenced by V3.7,Old human pilot
data\human_pilot_delexicalized,D:\ocn\data\human_pilot_delexicalized,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_pilot_delexicalized,Old data; not referenced by V3.7,Old human pilot delexicalized
data\human_pilot_delexicalized_claim_only,D:\ocn\data\human_pilot_delexicalized_claim_only,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_pilot_delexicalized_claim_only,Old data; not referenced by V3.7,Old human pilot claim only
data\human_pilot_delexicalized_remove,D:\ocn\data\human_pilot_delexicalized_remove,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_pilot_delexicalized_remove,Old data; not referenced by V3.7,Old human pilot remove
data\human_pilot_delexicalized_shuffle_evidence,D:\ocn\data\human_pilot_delexicalized_shuffle_evidence,D:\ocn\_ARCHIVE_NON_MAINLINE\data\human_pilot_delexicalized_shuffle_evidence,Old data; not referenced by V3.7,Old human pilot shuffle evidence
data\legacy_dev,D:\ocn\data\legacy_dev,D:\ocn\_ARCHIVE_NON_MAINLINE\data\legacy_dev,Old data; not referenced by V3.7,Old legacy dev
data\offline_judges,D:\ocn\data\offline_judges,D:\ocn\_ARCHIVE_NON_MAINLINE\data\offline_judges,Old data; not referenced by V3.7,Old offline judges
data\paper_full_audit,D:\ocn\data\paper_full_audit,D:\ocn\_ARCHIVE_NON_MAINLINE\data\paper_full_audit,Old data; not referenced by V3.7,Old paper full audit
data\simclaim_detemplate_v1_150,D:\ocn\data\simclaim_detemplate_v1_150,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_detemplate_v1_150,Old data; not referenced by V3.7,Old detemplate v1 150
data\simclaim_eval_v1,D:\ocn\data\simclaim_eval_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_eval_v1,Old data; not referenced by V3.7,Old simclaim eval v1
data\simclaim_hardpair_v2,D:\ocn\data\simclaim_hardpair_v2,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v2,Old data; not referenced by V3.7,Old hardpair v2
data\simclaim_hardpair_v2b,D:\ocn\data\simclaim_hardpair_v2b,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v2b,Old data; not referenced by V3.7,Old hardpair v2b
data\simclaim_hardpair_v3,D:\ocn\data\simclaim_hardpair_v3,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v3,Old data; not referenced by V3.7,Old hardpair v3
data\simclaim_hardpair_v3b,D:\ocn\data\simclaim_hardpair_v3b,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v3b,Old data; not referenced by V3.7,Old hardpair v3b
data\simclaim_hardpair_v3_targeted,D:\ocn\data\simclaim_hardpair_v3_targeted,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v3_targeted,Old data; not referenced by V3.7,Old hardpair v3 targeted
data\simclaim_hardpair_v3_targeted_balanced_resplit_seed50,D:\ocn\data\simclaim_hardpair_v3_targeted_balanced_resplit_seed50,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v3_targeted_balanced_resplit_seed50,Old data; not referenced by V3.7,Old hardpair v3 targeted balanced
data\simclaim_hardpair_v4b_no_llm_style_control,D:\ocn\data\simclaim_hardpair_v4b_no_llm_style_control,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v4b_no_llm_style_control,Old data; not referenced by V3.7,Old hardpair v4b no-LLM
data\simclaim_hardpair_v4b_pilot,D:\ocn\data\simclaim_hardpair_v4b_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v4b_pilot,Old data; not referenced by V3.7,Old hardpair v4b pilot
data\simclaim_hardpair_v4_pilot,D:\ocn\data\simclaim_hardpair_v4_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v4_pilot,Old data; not referenced by V3.7,Old hardpair v4 pilot
data\simclaim_hardpair_v4_pilot_cue_ablation,D:\ocn\data\simclaim_hardpair_v4_pilot_cue_ablation,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_hardpair_v4_pilot_cue_ablation,Old data; not referenced by V3.7,Old hardpair v4 cue ablation
data\simclaim_mvp_expansion_v1,D:\ocn\data\simclaim_mvp_expansion_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_mvp_expansion_v1,Old data; not referenced by V3.7,Old MVP expansion v1
data\simclaim_mvp_expansion_v1_150,D:\ocn\data\simclaim_mvp_expansion_v1_150,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_mvp_expansion_v1_150,Old data; not referenced by V3.7,Old MVP expansion v1 150
data\simclaim_mvp_pilot,D:\ocn\data\simclaim_mvp_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_mvp_pilot,Old data; not referenced by V3.7,Old MVP pilot
data\simclaim_release_candidate_v1,D:\ocn\data\simclaim_release_candidate_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_release_candidate_v1,Old data; not referenced by V3.7,Old release candidate v1
data\simclaim_release_candidate_v1_19_gate_pass,D:\ocn\data\simclaim_release_candidate_v1_19_gate_pass,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_release_candidate_v1_19_gate_pass,Old data; not referenced by V3.7,Old release candidate gate pass
data\simclaim_v4_evidence_necessity,D:\ocn\data\simclaim_v4_evidence_necessity,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_v4_evidence_necessity,Old data; not referenced by V3.7,Old v4 evidence necessity
data\simclaim_v4_nonpaper_prototype,D:\ocn\data\simclaim_v4_nonpaper_prototype,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_v4_nonpaper_prototype,Old data; not referenced by V3.7,Old v4 non-paper prototype
data\simclaim_v4_protocol_freeze,D:\ocn\data\simclaim_v4_protocol_freeze,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_v4_protocol_freeze,Old data; not referenced by V3.7,Old v4 protocol freeze
data\simclaim_v4_scaffold,D:\ocn\data\simclaim_v4_scaffold,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_v4_scaffold,Old data; not referenced by V3.7,Old v4 scaffold
data\simclaim_v4_source_genre_pilot,D:\ocn\data\simclaim_v4_source_genre_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\data\simclaim_v4_source_genre_pilot,Old data; not referenced by V3.7,Old v4 source genre pilot
data\source_bank,D:\ocn\data\source_bank,D:\ocn\_ARCHIVE_NON_MAINLINE\data\source_bank,Old source bank; not directly referenced by V3.7,Old source bank
data\source_bank_v2,D:\ocn\data\source_bank_v2,D:\ocn\_ARCHIVE_NON_MAINLINE\data\source_bank_v2,Old source bank v2; not directly referenced by V3.7,Old source bank v2
data\templates,D:\ocn\data\templates,D:\ocn\_ARCHIVE_NON_MAINLINE\data\templates,Old templates; not referenced by V3.7,Old templates
data\toy,D:\ocn\data\toy,D:\ocn\_ARCHIVE_NON_MAINLINE\data\toy,Old toy data; not referenced by V3.7,Old toy data
docs\cese_ocn_hcm_v1,D:\ocn\docs\cese_ocn_hcm_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\cese_ocn_hcm_v1,Old doc subdirectory; not mainline,Old CESE HCM docs
docs\cese_ocn_lite_v3,D:\ocn\docs\cese_ocn_lite_v3,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\cese_ocn_lite_v3,Old doc subdirectory; not mainline,Old CESE lite v3 docs
docs\cese_ocn_mixed_framework_v1,D:\ocn\docs\cese_ocn_mixed_framework_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\cese_ocn_mixed_framework_v1,Old doc subdirectory; not mainline,Old mixed framework v1 docs
docs\cese_ocn_structured_v1,D:\ocn\docs\cese_ocn_structured_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\cese_ocn_structured_v1,Old doc subdirectory; not mainline,Old structured v1 docs
docs\evidence_conditioned_update_v1,D:\ocn\docs\evidence_conditioned_update_v1,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\evidence_conditioned_update_v1,Old doc subdirectory; not mainline,Old evidence-conditioned update docs
docs\simclaim_v4_evidence_necessity,D:\ocn\docs\simclaim_v4_evidence_necessity,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\simclaim_v4_evidence_necessity,Old doc subdirectory; not mainline,Old v4 evidence necessity docs
docs\simclaim_v4_nonpaper_prototype,D:\ocn\docs\simclaim_v4_nonpaper_prototype,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\simclaim_v4_nonpaper_prototype,Old doc subdirectory; not mainline,Old v4 non-paper prototype docs
docs\simclaim_v4_protocol_freeze,D:\ocn\docs\simclaim_v4_protocol_freeze,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\simclaim_v4_protocol_freeze,Old doc subdirectory; not mainline,Old v4 protocol freeze docs
docs\simclaim_v4_source_genre_pilot,D:\ocn\docs\simclaim_v4_source_genre_pilot,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\simclaim_v4_source_genre_pilot,Old doc subdirectory; not mainline,Old v4 source genre pilot docs
docs\strong_action_broad_sweep_v2,D:\ocn\docs\strong_action_broad_sweep_v2,D:\ocn\_ARCHIVE_NON_MAINLINE\docs\strong_action_broad_sweep_v2,Old doc subdirectory; not mainline,Old strong action sweep docs
root_files\audit_paper_consistency.py,D:\ocn\audit_paper_consistency.py,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\audit_paper_consistency.py,Old root-level script; not mainline,Old audit script
root_files\candidate_588_content_hits.csv,D:\ocn\candidate_588_content_hits.csv,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_content_hits.csv,Old root-level data; not mainline,Old candidate 588 search result
root_files\candidate_588_content_hits.rg.txt,D:\ocn\candidate_588_content_hits.rg.txt,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_content_hits.rg.txt,Old root-level data; not mainline,Old candidate 588 search text
root_files\candidate_588_csv_schema_audit.csv,D:\ocn\candidate_588_csv_schema_audit.csv,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_csv_schema_audit.csv,Old root-level data; not mainline,Old candidate 588 schema audit
root_files\candidate_588_related_file_inventory.csv,D:\ocn\candidate_588_related_file_inventory.csv,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_related_file_inventory.csv,Old root-level data; not mainline,Old candidate 588 inventory
root_files\candidate_588_related_file_inventory_full_D.csv,D:\ocn\candidate_588_related_file_inventory_full_D.csv,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_related_file_inventory_full_D.csv,Old root-level data; not mainline,Old candidate 588 inventory full D
root_files\candidate_588_related_file_inventory_userdirs.csv,D:\ocn\candidate_588_related_file_inventory_userdirs.csv,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_related_file_inventory_userdirs.csv,Old root-level data; not mainline,Old candidate 588 inventory userdirs
root_files\candidate_588_search_report.md,D:\ocn\candidate_588_search_report.md,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\candidate_588_search_report.md,Old root-level report; not mainline,Old candidate 588 search report
root_files\CESE_OCN_submit_ready_controlled_diagnostic.docx,D:\ocn\CESE_OCN_submit_ready_controlled_diagnostic.docx,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\CESE_OCN_submit_ready_controlled_diagnostic.docx,Old root-level docx; superseded by V3.7,Old submit-ready docx
root_files\GPT_QUICKSTART.md,D:\ocn\GPT_QUICKSTART.md,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\GPT_QUICKSTART.md,Old root-level guide; not paper-related,Old GPT quickstart
root_files\last_q2_clean_copy_path.txt,D:\ocn\last_q2_clean_copy_path.txt,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\last_q2_clean_copy_path.txt,Old root-level file; not mainline,Old Q2 path note
root_files\rewrite_paper_to_rq.py,D:\ocn\rewrite_paper_to_rq.py,D:\ocn\_ARCHIVE_NON_MAINLINE\root_files\rewrite_paper_to_rq.py,Old root-level script; not mainline,Old rewrite script
cese,D:\ocn\cese,D:\ocn\_ARCHIVE_NON_MAINLINE\cese,Old root-level directory; not mainline,Old CESE code
configs,D:\ocn\configs,D:\ocn\_ARCHIVE_NON_MAINLINE\configs,Old root-level directory; not mainline,Old configs
handoff_from_chatgpt,D:\ocn\handoff_from_chatgpt,D:\ocn\_ARCHIVE_NON_MAINLINE\handoff_from_chatgpt,Old root-level directory; not mainline,Old ChatGPT handoff
handoff_from_chatgpt_all92,D:\ocn\handoff_from_chatgpt_all92,D:\ocn\_ARCHIVE_NON_MAINLINE\handoff_from_chatgpt_all92,Old root-level directory; not mainline,Old ChatGPT handoff all92
