candidate_id,sent_global_idx,sentence_text,claim_text
SBV2-ALL92-G002-STRONG,9,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle.","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment."
SBV2-ALL92-G002-STRONG,10,"Moreover, we extend the benchmark with t","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment."
SBV2-ALL92-G002-STRONG,11,"(2) IDM simulation, and (3) our reactive simulation, demonstrating that our model captures richer and more realistic multi-agent motion patterns. preserved, while maintaining stable large-scale traffic flow with minimal computational overhead.","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment."
SBV2-ALL92-G002-STRONG,12,Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components.,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment."
SBV2-ALL92-G002-STRONG,13,"Users can easily switch the simulation mode by modifying the reactive agent configuration, replacing the rule-b","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment."
SBV2-ALL92-G002-SUPPORTED,0,realistic and fair evaluation of autonomous driving planners.,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,1,"Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus architecture .",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,2,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,3,"Moreover, we extend the benchmark with t",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,4,"selection mechanism into the nuPlan simulation framework as configurable components, enabling more realistic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effectively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,5,expanding the benchmark to three complementary metrics in total.,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,6,This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout.,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,7,"It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego vehicle avoids major failures such as severe collisions, off-road departures, wrong-way driving, or extremely low progress.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,8,A higher SR reflects a planner’s reliability in maintaining feasible and saf,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,9,"The performance gap becomes even more pronounced on the Test14-Hard dataset, demonstrating that nuPlan-R provides a fairer and more effective evaluation of planners’ decision-making and interaction capabilities in complex traffic scenarios.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,10,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,11,"SR reveals the fragility that may be obscured by CLS, as it is more sensitive to whether a planner can reliably avoid catastrophic failure",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,12,indicator highlights the planner’s overall balance and compliance in diverse driving scenarios.,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,13,EXPERIMENTAL RESULTS We conduct two sets of experiments to validate our benchmark.,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,14,"First, we evaluate the multi-agent simulation behavior to verify the realism, diversity, and plausibility of our reactive agents compared with representative baselines.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G002-SUPPORTED,15,"Second, we assess planner performance under both the original nuPlan and our proposed nuPlan-R benchmarks to examine how realistic reactive intera",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.
SBV2-ALL92-G003-CONTRA,0,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning benchmarks have significantly improved the evaluation of autonomous vehicles.",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,1,"However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,2,"In this paper, we presented nuPlan-R, a new reactive closed-loop planning benchmark that integrates learningbased reactive agents into the nuPlan framework for realistic and fair evaluation of autonomous planners.",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,3,Our noisedecoupled diffusion agents enable diverse and human-like multi-agent behaviors while maintaining stable closed-loop simulation.,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,4,We also introduced two complementary metrics to provide a more comprehensive assessment of planner robustness and balance.,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,5,realistic and fair evaluation of autonomous driving planners.,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,6,"Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus architecture .",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,7,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle.",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,8,"Moreover, we extend the benchmark with t",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,9,"The performance gap becomes even more pronounced on the Test14-Hard dataset, demonstrating that nuPlan-R provides a fairer and more effective evaluation of planners’ decision-making and interaction capabilities in complex traffic scenarios.",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,10,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,11,"SR reveals the fragility that may be obscured by CLS, as it is more sensitive to whether a planner can reliably avoid catastrophic failure",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-CONTRA,12,"selection mechanism into the nuPlan simulation framework as configurable components, enabling more realistic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effectively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan",nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.
SBV2-ALL92-G003-MILD,0,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning benchmarks have significantly improved the evaluation of autonomous vehicles.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,1,"However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,2,realistic and fair evaluation of autonomous driving planners.,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,3,"Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus architecture .",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,4,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,5,"Moreover, we extend the benchmark with t",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,6,"Inspired by this perspective, Zhou et al. proposed Nexus , a noisedecoupled diffusion framework that introduces independent yet structured noise states and a noise-aware scheduling mechanism, enabling dynamic scene updates and real-time adaptation to environmental changes for more stable and realistic closed-loop multi-agent traffic simulation.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,7,"Building upon these insights, we integrate noise-decoupled diffusionbased reactive agents into the nuPlan framework, replacing conventional rule-b",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,8,benchmark for closed-loop planning evaluation.,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,9,"In summary, the main contributions of this paper include: • We propose nuPlan-R, a new reactive closed-loop planning benchmark that seamlessly integrates learningbased reactive agents and an interaction-aware agent arXiv:2511.10403v1 [cs.RO] 13 Nov 2025",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,10,"or perception-to-control E2E driving benchmarks, suffer from a common limitation of failing to model realistic multi-agent interactions.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,11,"In contrast, our proposed nuPlan- R benchmark incorporates learning-based reactive agents that produce diverse, human-like behaviors in closed-loop multi-agent simulation, providing a more realistic and fair environment for evaluating autonomous driving planners.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-MILD,12,Multi-Agent Traffic Simulation Early data-driven multi-agent simulation learn from real driving,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.
SBV2-ALL92-G003-STRONG,0,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning benchmarks have significantly improved the evaluation of autonomous vehicles.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,1,"However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,2,realistic and fair evaluation of autonomous driving planners.,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,3,"Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus architecture .",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,4,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,5,"Moreover, we extend the benchmark with t",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,6,"The performance gap becomes even more pronounced on the Test14-Hard dataset, demonstrating that nuPlan-R provides a fairer and more effective evaluation of planners’ decision-making and interaction capabilities in complex traffic scenarios.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,7,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,8,"SR reveals the fragility that may be obscured by CLS, as it is more sensitive to whether a planner can reliably avoid catastrophic failure",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,9,"(2) IDM simulation, and (3) our reactive simulation, demonstrating that our model captures richer and more realistic multi-agent motion patterns. preserved, while maintaining stable large-scale traffic flow with minimal computational overhead.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,10,Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as configurable components.,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,11,"Users can easily switch the simulation mode by modifying the reactive agent configuration, replacing the rule-b",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,12,"jectories and multi-agent predictions, achieving strong performance without rule-based post-processing. • PDM-Hybrid : A hybrid planner that integrates PDM-Closed with learned ego-forecasting adjustments, achieving high accuracy by dynamically adjusting predictions based on surrounding vehicle interactions.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-STRONG,13,"As shown in Table III, a clear distinction can be observed between the performance trends of rule-based and learning-based planners across the nuPlan and our proposed nuPlan-R",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
SBV2-ALL92-G003-SUPPORTED,0,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning benchmarks have significantly improved the evaluation of autonomous vehicles.",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.
SBV2-ALL92-G003-SUPPORTED,1,"However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.
