candidate_id,selector,selected_text,selected_chunk_id,selected_rank,n_words,selection_score,reason
SBV2-ALL92-G011-CONTRA,bm25_top1_raw,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",AD-004_p1_c1,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G011-MILD,bm25_top1_raw,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",AD-004_p1_c1,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G011-STRONG,bm25_top1_raw,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",AD-004_p1_c1,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G011-SUPPORTED,bm25_top1_raw,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",AD-004_p1_c1,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G013-C01,bm25_top1_raw,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,AD-005_p3_c0,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G013-C02,bm25_top1_raw,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,AD-005_p3_c0,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G013-C03,bm25_top1_raw,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,AD-005_p3_c0,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G013-C04,bm25_top1_raw,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,AD-005_p3_c0,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G014-C01,bm25_top1_raw,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,AD-005_p9_c0,1,88,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G014-C02,bm25_top1_raw,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,AD-005_p9_c0,1,88,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G014-C03,bm25_top1_raw,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,AD-005_p9_c0,1,88,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G014-C04,bm25_top1_raw,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,AD-005_p9_c0,1,88,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G018-C01,bm25_top1_raw,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",AD-006_p7_c0,1,73,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G018-C02,bm25_top1_raw,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",AD-006_p7_c0,1,73,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G018-C03,bm25_top1_raw,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",AD-006_p7_c0,1,73,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G018-C04,bm25_top1_raw,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",AD-006_p7_c0,1,73,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G019-C01,bm25_top1_raw,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",AD-007_p6_c1,1,81,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G019-C02,bm25_top1_raw,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",AD-007_p6_c1,1,81,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G019-C03,bm25_top1_raw,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",AD-007_p6_c1,1,81,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G019-C04,bm25_top1_raw,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",AD-007_p6_c1,1,81,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G020-C01,bm25_top1_raw,"metrics, indicating superior ro- bustness and safety. In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption. While non-language-driven methods such as UniAD and VAD demonstrate strong sensor-based L2 robustness, they exhibit poor performance in safety-related metrics like Avg- Col and mCC. Models like DriveVLM and OpenEMMA benefit from language-driven reasoning",AD-007_p6_c4,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G020-C02,bm25_top1_raw,"metrics, indicating superior ro- bustness and safety. In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption. While non-language-driven methods such as UniAD and VAD demonstrate strong sensor-based L2 robustness, they exhibit poor performance in safety-related metrics like Avg- Col and mCC. Models like DriveVLM and OpenEMMA benefit from language-driven reasoning",AD-007_p6_c4,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G020-C03,bm25_top1_raw,Model Clean Dark Brightness Snow Fog Rain Motion avgL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 Uniad 0.66 0.84 127.27 0.82 124.24 1.05 159.09 0.81 122.73 0.91 137.88 1.18 178.79 VAD-Base 0.72 0.77 106.94 0.74 102.78 1.11 154.17 0.75 104.17 0.81 112.50 0.96 133.33 DriveVLM 0.69 0.85 123.03 0.81 117.17 0.86 124.15 0.81 116.32 0.77 111.45 0.77 111.70 OpenEMMA 0.95 1.09 115.24 1.08 113.99 1.10 116.11 1.08 114.45 1.09 115.21 1.09 114.77 RoboDriveVLM∗ 0.43 0.65 152.86 0.56 13,AD-007_p7_c0,1,83,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G020-C04,bm25_top1_raw,"reasoning method through multi-turn dialogues to first generate scene descriptions and identify critical objects before ultimately predicting the trajectory. In contrast, OpenEMMA takes a 5-second history of vehicle speed and curvature along with a single current front-view image as input, using a similar chain-of-thought process to analyze the scene, detect im- portant objects, and infer driving intentions, but differs in outputting predicted future speed and curvature values that are then math",AD-007_p6_c3,1,71,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G021-C01,bm25_top1_raw,"column denotes VLM-based models that accept language-based inputs. ”RoboDriveVLM∗” represents camera-only variant. 5.2. Implementation of Compared Models In our main experiments, we compare seven different autonomous driving systems, including UniAD [51], VAD [52], DriveVLM [8], OpenEMMA [14], RoboDriveVLM-only camera, RoboDriveVLM, and RoboDriveVLM-TTA. As shown in Table 1, we present the input modality configurations of the seven end-to-end autonomous driving models. Since most end-to-end VLM-",AD-007_p6_c2,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G021-C02,bm25_top1_raw,"column denotes VLM-based models that accept language-based inputs. ”RoboDriveVLM∗” represents camera-only variant. 5.2. Implementation of Compared Models In our main experiments, we compare seven different autonomous driving systems, including UniAD [51], VAD [52], DriveVLM [8], OpenEMMA [14], RoboDriveVLM-only camera, RoboDriveVLM, and RoboDriveVLM-TTA. As shown in Table 1, we present the input modality configurations of the seven end-to-end autonomous driving models. Since most end-to-end VLM-",AD-007_p6_c2,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G021-C03,bm25_top1_raw,"column denotes VLM-based models that accept language-based inputs. ”RoboDriveVLM∗” represents camera-only variant. 5.2. Implementation of Compared Models In our main experiments, we compare seven different autonomous driving systems, including UniAD [51], VAD [52], DriveVLM [8], OpenEMMA [14], RoboDriveVLM-only camera, RoboDriveVLM, and RoboDriveVLM-TTA. As shown in Table 1, we present the input modality configurations of the seven end-to-end autonomous driving models. Since most end-to-end VLM-",AD-007_p6_c2,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G021-C04,bm25_top1_raw,"column denotes VLM-based models that accept language-based inputs. ”RoboDriveVLM∗” represents camera-only variant. 5.2. Implementation of Compared Models In our main experiments, we compare seven different autonomous driving systems, including UniAD [51], VAD [52], DriveVLM [8], OpenEMMA [14], RoboDriveVLM-only camera, RoboDriveVLM, and RoboDriveVLM-TTA. As shown in Table 1, we present the input modality configurations of the seven end-to-end autonomous driving models. Since most end-to-end VLM-",AD-007_p6_c2,1,64,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G025-C01,bm25_top1_raw,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or cross- traffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench. ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk",AD-009_p5_c2,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G025-C02,bm25_top1_raw,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or cross- traffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench. ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk",AD-009_p5_c2,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G025-C03,bm25_top1_raw,"7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or cross- traffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench. ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk",AD-009_p5_c2,1,63,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G025-C04,bm25_top1_raw,"and 1,210 cities, and provides unified annotations for scene description, risk assessment, key participant annotation, ego trajectory, and camera parameters. These properties make it a geographically diverse and annotation-rich resource for autonomous driving. Built upon ScenePilot-4K, ScenePilot-Bench provides a standard- ized open-loop benchmark that evaluates vision-language models from four complementary perspectives: scene understanding, spa- tial perception, motion planning, and GPT-based ",AD-009_p6_c2,1,60,0.0,raw_top1_chunk_no_selection
