sample_id,candidate_id,silver_label,method,llm_pred,r4_pred,llm_correct,r4_correct,case_category
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,deepseek,supported,strong_action_overclaim,False,False,both_wrong
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,True,r4_only_correct
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,True,r4_only_correct
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,True,True,both_correct
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,deepseek,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_002,SBV2-ALL92-G027-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_002,SBV2-ALL92-G027-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_002,SBV2-ALL92-G027-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,True,r4_only_correct
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,True,r4_only_correct
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,True,True,both_correct
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_033,SBV2-ALL92-G205-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_033,SBV2-ALL92-G205-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_033,SBV2-ALL92-G205-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,deepseek,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_035,SBV2-ALL92-G196-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_035,SBV2-ALL92-G196-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_035,SBV2-ALL92-G196-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,supported,True,False,llm_only_correct
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,supported,True,False,llm_only_correct
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,deepseek,supported,supported,False,False,both_wrong
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,gpt_standard,contradiction_candidate,mild_scope_overclaim,True,False,llm_only_correct
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,gpt_structured,contradiction_candidate,mild_scope_overclaim,True,False,llm_only_correct
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,deepseek,contradiction_candidate,mild_scope_overclaim,True,False,llm_only_correct
LLM_017,SBV2-ALL92-G089-C01,supported,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_017,SBV2-ALL92-G089-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_017,SBV2-ALL92-G089-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,supported,False,False,both_wrong
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,supported,False,False,both_wrong
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,deepseek,supported,supported,False,False,both_wrong
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,deepseek,supported,strong_action_overclaim,False,False,both_wrong
LLM_040,SBV2-ALL92-G233-C01,supported,gpt_standard,supported,supported,True,True,both_correct
LLM_040,SBV2-ALL92-G233-C01,supported,gpt_structured,supported,supported,True,True,both_correct
LLM_040,SBV2-ALL92-G233-C01,supported,deepseek,supported,supported,True,True,both_correct
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,deepseek,supported,strong_action_overclaim,False,False,both_wrong
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,gpt_standard,supported,mild_scope_overclaim,False,True,r4_only_correct
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,gpt_structured,supported,mild_scope_overclaim,False,True,r4_only_correct
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,deepseek,supported,mild_scope_overclaim,False,True,r4_only_correct
LLM_030,SBV2-ALL92-G146-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_030,SBV2-ALL92-G146-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_030,SBV2-ALL92-G146-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,strong_action_overclaim,False,False,both_wrong
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,strong_action_overclaim,False,False,both_wrong
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_043,SBV2-ALL92-G266-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_043,SBV2-ALL92-G266-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_043,SBV2-ALL92-G266-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,supported,True,False,llm_only_correct
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,gpt_structured,mild_scope_overclaim,supported,True,False,llm_only_correct
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,deepseek,supported,supported,False,False,both_wrong
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,deepseek,supported,mild_scope_overclaim,False,False,both_wrong
LLM_037,SBV2-ALL92-G187-C01,supported,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_037,SBV2-ALL92-G187-C01,supported,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_037,SBV2-ALL92-G187-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_049,SBV2-ALL92-G163-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_049,SBV2-ALL92-G163-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_049,SBV2-ALL92-G163-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_032,SBV2-ALL92-G213-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_032,SBV2-ALL92-G213-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_032,SBV2-ALL92-G213-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_041,SBV2-ALL92-G261-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_041,SBV2-ALL92-G261-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_041,SBV2-ALL92-G261-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,deepseek,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_031,SBV2-ALL92-G140-C01,supported,gpt_standard,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_031,SBV2-ALL92-G140-C01,supported,gpt_structured,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_031,SBV2-ALL92-G140-C01,supported,deepseek,supported,strong_action_overclaim,True,False,llm_only_correct
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,deepseek,supported,mild_scope_overclaim,False,False,both_wrong
LLM_029,SBV2-ALL92-G119-C01,supported,gpt_standard,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_029,SBV2-ALL92-G119-C01,supported,gpt_structured,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_029,SBV2-ALL92-G119-C01,supported,deepseek,supported,mild_scope_overclaim,True,False,llm_only_correct
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,contradiction_candidate,False,False,both_wrong
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,contradiction_candidate,True,False,llm_only_correct
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,deepseek,contradiction_candidate,contradiction_candidate,False,False,both_wrong
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,gpt_standard,strong_action_overclaim,strong_action_overclaim,True,True,both_correct
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,gpt_structured,strong_action_overclaim,strong_action_overclaim,True,True,both_correct
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,deepseek,strong_action_overclaim,strong_action_overclaim,True,True,both_correct
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,supported,False,False,both_wrong
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,supported,False,False,both_wrong
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,supported,True,False,llm_only_correct
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,gpt_standard,contradiction_candidate,strong_action_overclaim,False,False,both_wrong
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,gpt_structured,contradiction_candidate,strong_action_overclaim,False,False,both_wrong
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,deepseek,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,gpt_standard,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,gpt_structured,contradiction_candidate,mild_scope_overclaim,False,False,both_wrong
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,deepseek,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,False,True,r4_only_correct
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,gpt_structured,mild_scope_overclaim,strong_action_overclaim,False,True,r4_only_correct
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,deepseek,supported,strong_action_overclaim,False,True,r4_only_correct
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,gpt_standard,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,gpt_structured,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,deepseek,contradiction_candidate,contradiction_candidate,True,True,both_correct
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,gpt_standard,contradiction_candidate,mild_scope_overclaim,True,False,llm_only_correct
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,gpt_structured,contradiction_candidate,mild_scope_overclaim,True,False,llm_only_correct
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,deepseek,mild_scope_overclaim,mild_scope_overclaim,False,False,both_wrong
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,gpt_standard,mild_scope_overclaim,strong_action_overclaim,True,False,llm_only_correct
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,gpt_structured,supported,strong_action_overclaim,False,False,both_wrong
