target_candidate_group_id,n_claims,labels_complete,n_B_evidence_gain,n_C_both_wrong,n_A_claim_only_correct,n_D_claim_only_better,has_cue_risk,domain,evidence_type,source_id,span_id,selection_tier,selection_reason
SBV2-ALL92-G040,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-015,AD-015-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G043,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-016,AD-016-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G047,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-017,AD-017-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G051,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-018,AD-018-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G052,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-019,AD-019-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G055,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-020,AD-020-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G060,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-021,AD-021-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G062,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-023,AD-023-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G069,4,True,0,3,1,0,False,cyber_defense,limitation,CYB-001,CYB-001-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G077,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-004,CYB-004-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G079,4,True,0,3,1,0,False,cyber_defense,experiment_setup,CYB-005,CYB-005-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G083,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-006,CYB-006-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G086,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-007,CYB-007-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G089,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-008,CYB-008-S2,tier4_no_B_has_A,strict_core_group_complete
