group_id,n_claims,labels_complete,n_B,n_C,n_A,n_D,has_cue,domain,evidence_type,source_id,span_id,group_quality_tier,exclusion_reason
SBV2-ALL92-G179,4,True,0,2,1,1,False,marl,metric_result,MARL-002,MARL-002-S2,tier4_no_B_has_A,has_D
SBV2-ALL92-G184,4,True,0,2,1,1,False,marl,experiment_setup,MARL-004,MARL-004-S1,tier4_no_B_has_A,has_D
SBV2-ALL92-G192,4,True,1,2,0,1,False,marl,limitation,MARL-006,MARL-006-S3,tier1_B_no_A,has_D
SBV2-ALL92-G194,4,True,0,3,1,0,True,marl,limitation,MARL-007,MARL-007-S2,tier4_no_B_has_A,cue_risk
SBV2-ALL92-G200,4,True,1,2,0,1,False,marl,metric_result,MARL-009,MARL-009-S2,tier1_B_no_A,has_D
SBV2-ALL92-G203,4,True,1,1,0,2,False,marl,metric_result,MARL-010,MARL-010-S2,tier1_B_no_A,has_D
SBV2-ALL92-G208,4,True,0,1,2,1,False,marl,experiment_setup,MARL-012,MARL-012-S1,tier4_no_B_has_A,has_D
SBV2-ALL92-G210,4,True,0,2,1,1,False,marl,limitation,MARL-012,MARL-012-S3,tier4_no_B_has_A,has_D
SBV2-ALL92-G212,4,True,1,2,0,1,False,marl,metric_result,MARL-013,MARL-013-S2,tier1_B_no_A,has_D
SBV2-ALL92-G230,4,True,0,2,1,1,False,policy_simulation,limitation,POL-006,POL-006-S2,tier4_no_B_has_A,has_D
SBV2-ALL92-G239,4,True,0,3,0,1,False,policy_simulation,metric_result,POL-009,POL-009-S2,tier3_no_B_no_A,has_D
SBV2-ALL92-G244,4,True,1,1,0,2,False,policy_simulation,limitation,POL-011,POL-011-S1,tier1_B_no_A,has_D
SBV2-ALL92-G262,4,True,1,2,0,1,False,policy_simulation,experiment_setup,POL-017,POL-017-S1,tier1_B_no_A,has_D
SBV2-ALL92-G276,4,True,0,2,1,1,False,policy_simulation,limitation,POL-021,POL-021-S3,tier4_no_B_has_A,has_D
