candidate_id,rank,page_number,section_hint,text_sha256,n_words,bm25_score
SBV2-ALL92-G004-SUPPORTED,3,18,experiment,8e386c75b1bf52ff0495db9dce3e4224ee9a9911908d211e733ae691c1039ce9,48,37.748393
SBV2-ALL92-G004-MILD,1,5,unknown,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,74.905559
SBV2-ALL92-G004-MILD,2,5,experiment,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,74.905559
SBV2-ALL92-G004-MILD,3,7,unknown,eadaa3d68fbd00dbbed9055ed955d86093884f5e69b473ba952d6fad73ff2f0d,10,34.02558
SBV2-ALL92-G004-STRONG,1,5,unknown,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,70.162672
SBV2-ALL92-G004-STRONG,2,5,experiment,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,70.162672
SBV2-ALL92-G004-STRONG,3,7,unknown,eadaa3d68fbd00dbbed9055ed955d86093884f5e69b473ba952d6fad73ff2f0d,10,34.02558
SBV2-ALL92-G004-CONTRA,1,7,unknown,eadaa3d68fbd00dbbed9055ed955d86093884f5e69b473ba952d6fad73ff2f0d,10,34.02558
SBV2-ALL92-G004-CONTRA,2,16,unknown,24d5cb941209fd5712c483d1c0ec804c2ef645c8ed51319495296a9d4376755a,23,33.512944
SBV2-ALL92-G004-CONTRA,3,5,unknown,1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,40,31.423802
SBV2-ALL92-G007-SUPPORTED,1,8,result,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,24,59.967712
SBV2-ALL92-G007-SUPPORTED,2,8,result,0d2bb1164e99a19883d4bb1e1ed376dba262c4187a681dfaa25adefdea4bb227,20,29.097379
SBV2-ALL92-G007-SUPPORTED,3,28,experiment,2aa640bcd04439a74b26807c6d42ee2624ec3ebbc1c1041cb16355a40c0c9154,20,20.454908
SBV2-ALL92-G007-MILD,1,8,result,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,24,55.140759
SBV2-ALL92-G007-MILD,2,8,result,0d2bb1164e99a19883d4bb1e1ed376dba262c4187a681dfaa25adefdea4bb227,20,23.751822
SBV2-ALL92-G007-MILD,3,5,unknown,d3cd6e55724c1741f19a073e9ebc27f8261a0879ae9ff14e585773ea3dd0ac45,7,21.750618
SBV2-ALL92-G007-STRONG,1,8,result,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,24,55.140759
SBV2-ALL92-G007-STRONG,2,8,result,0d2bb1164e99a19883d4bb1e1ed376dba262c4187a681dfaa25adefdea4bb227,20,27.31261
SBV2-ALL92-G007-STRONG,3,8,unknown,d1e322fc6b3e906e69ae7c8423be90fcdc6489f2e6729090dedd3d0d50928fdf,37,21.926262
SBV2-ALL92-G007-CONTRA,1,8,result,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,24,45.443355
SBV2-ALL92-G007-CONTRA,2,8,result,0d2bb1164e99a19883d4bb1e1ed376dba262c4187a681dfaa25adefdea4bb227,20,29.097379
SBV2-ALL92-G007-CONTRA,3,28,experiment,2aa640bcd04439a74b26807c6d42ee2624ec3ebbc1c1041cb16355a40c0c9154,20,20.454908
SBV2-ALL92-G008-SUPPORTED,1,1,abstract,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,33,37.63249
SBV2-ALL92-G008-SUPPORTED,2,2,unknown,462a3ff16d57de6b29959d27373e986735644fca7997746576f742bdd6dc42ad,36,27.220376
SBV2-ALL92-G008-SUPPORTED,3,2,unknown,fad60dfe7e5558cf73e68250f8fc4e884533dfd772b431451b9b9a98a0e96f7e,26,14.886915
SBV2-ALL92-G008-MILD,1,1,abstract,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,33,30.360191
SBV2-ALL92-G008-MILD,2,11,experiment,123592394e2a9e9b16eacad01561f5492a8c51d11e09465713a08de6fb631517,14,17.638186
SBV2-ALL92-G008-MILD,3,11,unknown,123592394e2a9e9b16eacad01561f5492a8c51d11e09465713a08de6fb631517,14,17.638186
SBV2-ALL92-G008-STRONG,1,1,abstract,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,33,30.360191
SBV2-ALL92-G008-STRONG,2,2,unknown,462a3ff16d57de6b29959d27373e986735644fca7997746576f742bdd6dc42ad,36,16.387123
SBV2-ALL92-G008-STRONG,3,2,unknown,fad60dfe7e5558cf73e68250f8fc4e884533dfd772b431451b9b9a98a0e96f7e,26,14.886915
SBV2-ALL92-G008-CONTRA,1,1,abstract,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,33,23.888252
SBV2-ALL92-G008-CONTRA,2,2,unknown,462a3ff16d57de6b29959d27373e986735644fca7997746576f742bdd6dc42ad,36,23.001748
SBV2-ALL92-G008-CONTRA,3,14,unknown,b82032a412b72631c8abf7525004327736fcd50cff431c39cdff69c0b6a29718,18,16.529637
SBV2-ALL92-G011-SUPPORTED,1,1,unknown,2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,26,55.04195
SBV2-ALL92-G011-SUPPORTED,2,10,unknown,ec8f2c729cbd8b770d6a923891d7c17b5af1341c4df51cecf7681598b8f3fa89,18,38.609014
SBV2-ALL92-G011-SUPPORTED,3,3,method,3e329f8ef158a0d842c83b421383d78475eb11192242c3545032b6cd3923c63a,19,25.349313
SBV2-ALL92-G011-MILD,1,1,unknown,2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,26,50.026175
SBV2-ALL92-G011-MILD,2,10,unknown,ec8f2c729cbd8b770d6a923891d7c17b5af1341c4df51cecf7681598b8f3fa89,18,38.609014
SBV2-ALL92-G011-MILD,3,3,unknown,cbe42a373219721cc61636c037a219d11fba3187fb1f44d5c7f87f8baedca134,25,27.48112
SBV2-ALL92-G011-STRONG,1,10,unknown,ec8f2c729cbd8b770d6a923891d7c17b5af1341c4df51cecf7681598b8f3fa89,18,38.283702
SBV2-ALL92-G011-STRONG,2,3,method,3e329f8ef158a0d842c83b421383d78475eb11192242c3545032b6cd3923c63a,19,30.725979
SBV2-ALL92-G011-STRONG,3,1,unknown,2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,26,30.417937
SBV2-ALL92-G011-CONTRA,1,1,unknown,2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,26,40.873975
SBV2-ALL92-G011-CONTRA,2,3,method,3e329f8ef158a0d842c83b421383d78475eb11192242c3545032b6cd3923c63a,19,25.349313
SBV2-ALL92-G011-CONTRA,3,3,unknown,cbe42a373219721cc61636c037a219d11fba3187fb1f44d5c7f87f8baedca134,25,23.553344
SBV2-ALL92-G013-C01,1,3,unknown,fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,13,34.074532
SBV2-ALL92-G013-C01,2,9,table,92f0897ef80775b9e53f60381e5940832b595b39543c1a3e7d52605e26f67dcf,5,28.367234
SBV2-ALL92-G013-C01,3,9,unknown,c00fb6a1f7a2436fc9c3f3ddca1b3d3faf825511d8c437950b22aa72b65276e5,12,21.739441
SBV2-ALL92-G013-C02,1,3,unknown,fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,13,34.074532
SBV2-ALL92-G013-C02,2,9,table,92f0897ef80775b9e53f60381e5940832b595b39543c1a3e7d52605e26f67dcf,5,28.367234
SBV2-ALL92-G013-C02,3,9,unknown,c00fb6a1f7a2436fc9c3f3ddca1b3d3faf825511d8c437950b22aa72b65276e5,12,21.739441
SBV2-ALL92-G013-C03,1,3,unknown,fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,13,34.074532
SBV2-ALL92-G013-C03,2,9,table,92f0897ef80775b9e53f60381e5940832b595b39543c1a3e7d52605e26f67dcf,5,28.367234
SBV2-ALL92-G013-C03,3,9,unknown,c00fb6a1f7a2436fc9c3f3ddca1b3d3faf825511d8c437950b22aa72b65276e5,12,21.739441
SBV2-ALL92-G013-C04,1,10,unknown,f1a65e6fe1e172385c9fbcd772555c1e32e169041c16ead479e1a9abdf5a7a8a,6,17.624542
SBV2-ALL92-G013-C04,2,3,unknown,fa87fb62c6b02c85492006b8cd7309a6c3c45c74f9e032e22c01a6740741eb5d,13,17.583507
SBV2-ALL92-G013-C04,3,2,unknown,14804b02a8bf2c55415d29d2219b726e8923c24fa9a07153b1888e67de0611cc,15,17.178018
SBV2-ALL92-G014-C01,1,9,table,ff358b7fbfe3f594a9a922fee9b0d993b5a124b8839f912969dad0ecf657d685,26,67.781201
SBV2-ALL92-G014-C01,2,9,unknown,62265e7ddc6d069848b10e9f793f6a4bd14c21f6366d37baccd4f55241877e98,16,61.18902
SBV2-ALL92-G014-C01,3,19,unknown,660217d39da2584631fd047a8130829504a658257b2f756ef9745393276c8504,21,21.986842
SBV2-ALL92-G014-C02,1,9,table,ff358b7fbfe3f594a9a922fee9b0d993b5a124b8839f912969dad0ecf657d685,26,63.676922
SBV2-ALL92-G014-C02,2,9,unknown,62265e7ddc6d069848b10e9f793f6a4bd14c21f6366d37baccd4f55241877e98,16,56.152756
SBV2-ALL92-G014-C02,3,9,table,708b5749c7a28c4cf13f036d364b5678946071ed1239fcd86574921104dac43b,22,24.828855
SBV2-ALL92-G014-C03,1,9,table,ff358b7fbfe3f594a9a922fee9b0d993b5a124b8839f912969dad0ecf657d685,26,63.676922
SBV2-ALL92-G014-C03,2,9,unknown,62265e7ddc6d069848b10e9f793f6a4bd14c21f6366d37baccd4f55241877e98,16,56.152756
SBV2-ALL92-G014-C03,3,9,table,708b5749c7a28c4cf13f036d364b5678946071ed1239fcd86574921104dac43b,22,29.907451
SBV2-ALL92-G014-C04,1,9,table,ff358b7fbfe3f594a9a922fee9b0d993b5a124b8839f912969dad0ecf657d685,26,63.019724
SBV2-ALL92-G014-C04,2,9,unknown,62265e7ddc6d069848b10e9f793f6a4bd14c21f6366d37baccd4f55241877e98,16,55.346323
SBV2-ALL92-G014-C04,3,19,unknown,660217d39da2584631fd047a8130829504a658257b2f756ef9745393276c8504,21,21.986842
SBV2-ALL92-G018-C01,1,7,result,0085cd086b64d22b4b7cfa90f28341df7c304a7c4e5c6fee937e980865e2822b,38,46.614964
SBV2-ALL92-G018-C01,2,12,unknown,cbf80c3b98ae470fba30314c7e014250c963826bfbc2d98fb9c830106e846d58,14,24.319369
SBV2-ALL92-G018-C01,3,6,unknown,fdc29f5fed180fabd749ec456da54c7e32a810d87a6d15748cc7d67ee2a7f8e8,32,20.733053
SBV2-ALL92-G018-C02,1,7,result,0085cd086b64d22b4b7cfa90f28341df7c304a7c4e5c6fee937e980865e2822b,38,46.614964
SBV2-ALL92-G018-C02,2,12,unknown,cbf80c3b98ae470fba30314c7e014250c963826bfbc2d98fb9c830106e846d58,14,24.319369
SBV2-ALL92-G018-C02,3,1,unknown,acf8a71d029557a78b997d684f2e4a1b930f025bfc52a1715096581a4deba798,16,21.543312
SBV2-ALL92-G018-C03,1,7,result,0085cd086b64d22b4b7cfa90f28341df7c304a7c4e5c6fee937e980865e2822b,38,33.839968
SBV2-ALL92-G018-C03,2,7,result,79eb4e0640536d900a38cc6f99b5d3001d57589658eb561a87dd5c7f58c0f590,28,22.032057
SBV2-ALL92-G018-C03,3,3,unknown,a75b1e909b0dc4111c2623f6f04481c30cf9ed32e069cd7d8869b56de264f295,40,20.429079
SBV2-ALL92-G018-C04,1,7,result,0085cd086b64d22b4b7cfa90f28341df7c304a7c4e5c6fee937e980865e2822b,38,38.528107
SBV2-ALL92-G018-C04,2,15,unknown,8c88a002995d80f0058e46ced9f446e8280e475bb92569292332ec735f03f31e,21,17.986329
SBV2-ALL92-G018-C04,3,8,result,b7f1b88e3da2e74e43279e03ccfe8ad562adc12b665872dc7fe0ce9922d43a56,25,17.906821
SBV2-ALL92-G019-C01,1,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,52.695214
SBV2-ALL92-G019-C01,2,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,52.695214
SBV2-ALL92-G019-C01,3,14,unknown,3bb380a1240a7dd55a0869b3d1041b084ed274df4c25dbf5ed2a3b9259e30b8c,20,18.768467
SBV2-ALL92-G019-C02,1,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,48.694582
SBV2-ALL92-G019-C02,2,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,48.694582
SBV2-ALL92-G019-C02,3,14,unknown,3bb380a1240a7dd55a0869b3d1041b084ed274df4c25dbf5ed2a3b9259e30b8c,20,18.768467
SBV2-ALL92-G019-C03,1,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,48.694582
SBV2-ALL92-G019-C03,2,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,48.694582
SBV2-ALL92-G019-C03,3,14,unknown,3bb380a1240a7dd55a0869b3d1041b084ed274df4c25dbf5ed2a3b9259e30b8c,20,18.768467
SBV2-ALL92-G019-C04,1,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,29.788577
SBV2-ALL92-G019-C04,2,6,unknown,d6e6dfa236313d7fa26da23cf16507d18528c5c6cf952679340daf0af5cf698f,29,29.788577
SBV2-ALL92-G019-C04,3,17,unknown,2b96f03366e3129cd5a6db3a841effedffa050f482ebaea7445d312dbf054c57,36,23.514193
SBV2-ALL92-G020-C01,1,6,method,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,72.867734
SBV2-ALL92-G020-C01,2,6,unknown,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,72.867734
SBV2-ALL92-G020-C01,3,6,method,b5e59be992c9a857bfb0b7fed4dd35af3dea48400619d591d265710843a87a2f,27,27.641572
SBV2-ALL92-G020-C02,1,6,method,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,72.867734
SBV2-ALL92-G020-C02,2,6,unknown,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,72.867734
SBV2-ALL92-G020-C02,3,6,method,b5e59be992c9a857bfb0b7fed4dd35af3dea48400619d591d265710843a87a2f,27,27.641572
SBV2-ALL92-G020-C03,1,6,method,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,63.634168
SBV2-ALL92-G020-C03,2,6,unknown,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,63.634168
SBV2-ALL92-G020-C03,3,6,method,b5e59be992c9a857bfb0b7fed4dd35af3dea48400619d591d265710843a87a2f,27,38.607473
SBV2-ALL92-G020-C04,1,6,method,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,53.750391
SBV2-ALL92-G020-C04,2,6,unknown,15291939306b1ae7d86fc783d0370b291bc69c433c2b36f19f5682ebf12f7345,23,53.750391
SBV2-ALL92-G020-C04,3,6,method,b5e59be992c9a857bfb0b7fed4dd35af3dea48400619d591d265710843a87a2f,27,30.810851
SBV2-ALL92-G021-C01,1,1,unknown,6efee5891286599ea7c4589138b121e13c2de8d52a469d98584f169c44340d04,26,27.008086
SBV2-ALL92-G021-C01,2,4,unknown,438c76cc18a611e59541d468b6e81d30270bf2bbae2cfdc48ce1b36c1f86c49e,16,24.284583
SBV2-ALL92-G021-C01,3,2,unknown,3b79f530caa2bbffbb1f604557aa52b4ed2905d8e3d25bfe7bb3c16a577db47f,18,22.296555
SBV2-ALL92-G021-C02,1,1,unknown,6efee5891286599ea7c4589138b121e13c2de8d52a469d98584f169c44340d04,26,27.008086
SBV2-ALL92-G021-C02,2,4,unknown,438c76cc18a611e59541d468b6e81d30270bf2bbae2cfdc48ce1b36c1f86c49e,16,24.284583
SBV2-ALL92-G021-C02,3,4,method,88fce2136fb33a1ee62903ae5a557754e9d7b13f2735b8c6655f86e888d2fdcb,9,21.798252
SBV2-ALL92-G021-C03,1,1,unknown,6efee5891286599ea7c4589138b121e13c2de8d52a469d98584f169c44340d04,26,27.008086
SBV2-ALL92-G021-C03,2,4,unknown,438c76cc18a611e59541d468b6e81d30270bf2bbae2cfdc48ce1b36c1f86c49e,16,24.284583
SBV2-ALL92-G021-C03,3,4,method,88fce2136fb33a1ee62903ae5a557754e9d7b13f2735b8c6655f86e888d2fdcb,9,21.798252
SBV2-ALL92-G021-C04,1,2,unknown,3b79f530caa2bbffbb1f604557aa52b4ed2905d8e3d25bfe7bb3c16a577db47f,18,24.503319
SBV2-ALL92-G021-C04,2,4,unknown,438c76cc18a611e59541d468b6e81d30270bf2bbae2cfdc48ce1b36c1f86c49e,16,24.284583
SBV2-ALL92-G021-C04,3,4,method,88fce2136fb33a1ee62903ae5a557754e9d7b13f2735b8c6655f86e888d2fdcb,9,21.798252
SBV2-ALL92-G025-C01,1,5,result,6f784698105ce8ff9251293f294ee4d33dbe835fdb1f8f9dab35a587f3bbd0a9,69,22.984768
SBV2-ALL92-G025-C01,2,6,unknown,33846e04d77203b95bf24ddc05b2d0ff1939f6dd6fad3392daf1e9ddece4eca8,41,19.802249
SBV2-ALL92-G025-C01,3,1,unknown,1dbbe6a907f3cf18ba73f9312d74d155c85a1e9a2a4318ec368a313420aa0c60,31,18.068331
SBV2-ALL92-G025-C02,1,1,unknown,1dbbe6a907f3cf18ba73f9312d74d155c85a1e9a2a4318ec368a313420aa0c60,31,24.697201
SBV2-ALL92-G025-C02,2,1,result,1dbbe6a907f3cf18ba73f9312d74d155c85a1e9a2a4318ec368a313420aa0c60,31,24.697201
SBV2-ALL92-G025-C02,3,5,result,6f784698105ce8ff9251293f294ee4d33dbe835fdb1f8f9dab35a587f3bbd0a9,69,22.984768
SBV2-ALL92-G025-C03,1,5,result,6f784698105ce8ff9251293f294ee4d33dbe835fdb1f8f9dab35a587f3bbd0a9,69,22.984768
SBV2-ALL92-G025-C03,2,6,unknown,33846e04d77203b95bf24ddc05b2d0ff1939f6dd6fad3392daf1e9ddece4eca8,41,19.802249
SBV2-ALL92-G025-C03,3,1,unknown,1dbbe6a907f3cf18ba73f9312d74d155c85a1e9a2a4318ec368a313420aa0c60,31,18.068331
SBV2-ALL92-G025-C04,1,7,unknown,24efbd22c5c18c7583cc5480db5222542b9a9ed3e76505a34dd1d72b07b325a3,25,21.945696
SBV2-ALL92-G025-C04,2,2,unknown,98776f22f7302fcc2e98ae8562924ac8db89a1ac4983e368d37fb61603347170,27,17.504486
SBV2-ALL92-G025-C04,3,6,unknown,158efd442bd65c794d476905fba15502fb5c2cab6cac24256fb983eae99afb85,16,16.691426
SBV2-ALL92-G027-C01,1,6,unknown,333e606f34c75deea454d5b9abd3839df3083611c273e8eca5edbb826eacbe3e,24,40.540271
SBV2-ALL92-G027-C01,2,6,unknown,4b5f1f6c74e072a955607586f8b6b414101f91a89ac249e401ebf4ec86900beb,17,18.352002
SBV2-ALL92-G027-C01,3,3,unknown,742e5220544acc39c4d6d257596051a583bcc3ab800b90afe67f97a1cadd928a,32,17.495143
SBV2-ALL92-G027-C02,1,6,unknown,333e606f34c75deea454d5b9abd3839df3083611c273e8eca5edbb826eacbe3e,24,40.540271
SBV2-ALL92-G027-C02,2,6,unknown,4b5f1f6c74e072a955607586f8b6b414101f91a89ac249e401ebf4ec86900beb,17,18.352002
SBV2-ALL92-G027-C02,3,3,unknown,742e5220544acc39c4d6d257596051a583bcc3ab800b90afe67f97a1cadd928a,32,17.495143
SBV2-ALL92-G027-C03,1,6,unknown,333e606f34c75deea454d5b9abd3839df3083611c273e8eca5edbb826eacbe3e,24,40.540271
SBV2-ALL92-G027-C03,2,6,unknown,4b5f1f6c74e072a955607586f8b6b414101f91a89ac249e401ebf4ec86900beb,17,18.352002
SBV2-ALL92-G027-C03,3,3,unknown,742e5220544acc39c4d6d257596051a583bcc3ab800b90afe67f97a1cadd928a,32,17.495143
SBV2-ALL92-G027-C04,1,6,unknown,333e606f34c75deea454d5b9abd3839df3083611c273e8eca5edbb826eacbe3e,24,34.016038
SBV2-ALL92-G027-C04,2,3,unknown,742e5220544acc39c4d6d257596051a583bcc3ab800b90afe67f97a1cadd928a,32,23.209654
SBV2-ALL92-G027-C04,3,1,unknown,a80a80b2ee37286e4f728758ba72866642912a86141abad5ccaa5f85da7d7a1c,5,19.622248
SBV2-ALL92-G028-C01,1,5,figure,40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,27,40.628543
SBV2-ALL92-G028-C01,2,4,unknown,0c244d4798716bd9259bd24d5063cbc063e097f3b3bb58cc0cfd398dcc44db20,9,21.765992
SBV2-ALL92-G028-C01,3,1,unknown,76826791ca300382390615714a437ab913da5a505e70025f4b25c46666c26728,17,17.60865
SBV2-ALL92-G028-C02,1,5,figure,40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,27,40.628543
SBV2-ALL92-G028-C02,2,4,unknown,0c244d4798716bd9259bd24d5063cbc063e097f3b3bb58cc0cfd398dcc44db20,9,21.765992
SBV2-ALL92-G028-C02,3,1,unknown,76826791ca300382390615714a437ab913da5a505e70025f4b25c46666c26728,17,17.60865
SBV2-ALL92-G028-C03,1,5,figure,40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,27,40.628543
SBV2-ALL92-G028-C03,2,4,unknown,0c244d4798716bd9259bd24d5063cbc063e097f3b3bb58cc0cfd398dcc44db20,9,21.765992
SBV2-ALL92-G028-C03,3,1,unknown,76826791ca300382390615714a437ab913da5a505e70025f4b25c46666c26728,17,17.60865
SBV2-ALL92-G028-C04,1,5,figure,40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,27,27.113929
SBV2-ALL92-G028-C04,2,1,result,be879a86cf5d100b8a1eb3525ea9e3b0d948f43c82591d6228b61d5e04ee858e,25,16.046248
SBV2-ALL92-G028-C04,3,4,unknown,0c244d4798716bd9259bd24d5063cbc063e097f3b3bb58cc0cfd398dcc44db20,9,15.735278
SBV2-ALL92-G030-C01,1,2,unknown,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,16,45.206196
SBV2-ALL92-G030-C01,2,9,method,d2f77e3a531df4a4d806700b7ad89f828bb80e70f3065f3757ef30e14ab1ad69,15,27.584187
SBV2-ALL92-G030-C01,3,9,unknown,d2f77e3a531df4a4d806700b7ad89f828bb80e70f3065f3757ef30e14ab1ad69,15,27.584187
SBV2-ALL92-G030-C02,1,2,unknown,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,16,39.556559
SBV2-ALL92-G030-C02,2,9,method,d2f77e3a531df4a4d806700b7ad89f828bb80e70f3065f3757ef30e14ab1ad69,15,21.583972
SBV2-ALL92-G030-C02,3,9,unknown,d2f77e3a531df4a4d806700b7ad89f828bb80e70f3065f3757ef30e14ab1ad69,15,21.583972
SBV2-ALL92-G030-C03,1,2,unknown,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,16,46.99529
SBV2-ALL92-G030-C03,2,19,figure,1dea72b941a71594f287f86e6627b60e7fac383dc3a6d4acb5f7e72f3cf9f76a,11,25.330529
