case_id,candidate_id,silver_label,risk_type,why_risky,possible_alternative_label,recommended_handling
HRC_015,SBV2-ALL92-G224-C03,strong_action_overclaim,taxonomy_boundary_unclear,Claim has scope-expansion cue but no explicit action/deployment/safety language; the mild vs strong boundary is genuinely unclear and requires clearer operationalization.,mild_scope_overclaim,future_gold_priority
HRC_016,SBV2-ALL92-G067-C02,mild_scope_overclaim,evidence_context_missing,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy.",supported or strong_action_overclaim,future_gold_priority
HRC_017,SBV2-ALL92-G106-C02,mild_scope_overclaim,taxonomy_boundary_unclear,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy.",supported or strong_action_overclaim,future_gold_priority
HRC_018,SBV2-ALL92-G158-C02,mild_scope_overclaim,taxonomy_boundary_unclear,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy.",supported or strong_action_overclaim,future_gold_priority
HRC_019,SBV2-ALL92-G175-C02,mild_scope_overclaim,taxonomy_boundary_unclear,"Scope-expansion cue is weak; the boundary between supported and mild, or mild and strong, is genuinely fuzzy.",supported or strong_action_overclaim,future_gold_priority
HRC_020,SBV2-ALL92-G002-CONTRA,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
HRC_021,SBV2-ALL92-G067-C04,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
HRC_022,SBV2-ALL92-G106-C04,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
HRC_023,SBV2-ALL92-G158-C04,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
HRC_024,SBV2-ALL92-G175-C04,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
HRC_025,SBV2-ALL92-G214-C04,contradiction_candidate,audit_conservative_plus_taxonomy_boundary,"Claim swaps specific details (numbers, metrics, or entity names) relative to evidence; this is genuine contradiction, but the audit heuristic looked for explicit 'contradicts' language and missed the detail-swap pattern.",strong_action_overclaim (or vice versa),boundary_case_only
