candidate_id,true_label,baseline_pred_label,baseline_strong_flag,learned_pred_label,learned_strong_flag,ranker_score,baseline_priority_score,baseline_rank,learned_ranker_rank,selector_change,ranker_change,combined_category,screening_category,ambiguous_category,oracle_overlap_of_selected,evidence_selection_failure
SBV2-ALL92-G011-CONTRA,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.1037535734893511,-0.1083350552360056,341,354,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.1111111111111111,0
SBV2-ALL92-G011-MILD,mild_scope_overclaim,contradiction_candidate,0,contradiction_candidate,0,0.0912259966095312,-0.1384224201566322,344,366,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.1111111111111111,0
SBV2-ALL92-G011-STRONG,strong_action_overclaim,mild_scope_overclaim,0,mild_scope_overclaim,0,0.3003510628558156,0.4057424661712029,245,186,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,ambiguous_mild_strong,0.21052631578947367,0
SBV2-ALL92-G011-SUPPORTED,supported,contradiction_candidate,0,contradiction_candidate,0,0.07997497574072321,-0.1522718055238469,345,395,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.1111111111111111,0
SBV2-ALL92-G013-C01,supported,supported,0,supported,0,0.2098440052127757,0.2822199931861784,269,308,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.8421052631578947,0
SBV2-ALL92-G013-C02,mild_scope_overclaim,supported,0,supported,0,0.2259854666142453,0.3050491071647453,263,297,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.8421052631578947,0
SBV2-ALL92-G013-C03,strong_action_overclaim,supported,0,strong_action_overclaim,1,0.2934829494520419,0.4754093473787076,235,204,selector_helped,ranker_neutral,partial_help,screening_recovery,not_ambiguous,0.09523809523809523,1
SBV2-ALL92-G013-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.08091335143472776,-0.3715106264572108,369,393,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.08695652173913043,1
SBV2-ALL92-G014-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.28566428155847784,0.7013662740686606,230,217,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.17142857142857143,0
SBV2-ALL92-G014-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.30244832241191155,0.7981294379775752,202,180,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.0625,1
SBV2-ALL92-G014-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.30774496456156664,0.8053359992062599,196,164,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.0625,1
SBV2-ALL92-G014-C04,contradiction_candidate,contradiction_candidate,0,strong_action_overclaim,1,0.15780659260102803,-0.3243953346867283,363,327,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,not_ambiguous,0.17142857142857143,0
SBV2-ALL92-G018-C01,supported,supported,0,supported,0,0.24299673351863982,0.225741252300979,285,283,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G018-C02,mild_scope_overclaim,supported,0,supported,0,0.253063876409057,0.2452250575617618,278,274,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G018-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3433089753709564,0.9020710998977342,125,63,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G018-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07688641203009469,-0.471500571917695,382,406,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G019-C01,supported,supported,0,supported,0,0.08854183565913358,0.2891526686316991,268,371,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G019-C02,mild_scope_overclaim,contradiction_candidate,0,contradiction_candidate,0,0.08746788341356121,-0.7301337925582301,429,377,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G019-C03,strong_action_overclaim,contradiction_candidate,0,contradiction_candidate,0,0.12590716807828423,-0.5872289458029227,404,338,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,1.0,0
SBV2-ALL92-G019-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.0821542121469353,-0.5750816825840317,401,389,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G020-C01,supported,supported,0,supported,0,0.08819706761728095,0.202335846759813,298,376,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G020-C02,mild_scope_overclaim,supported,0,supported,0,0.0898987645710577,0.2053034430971592,296,367,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G020-C03,strong_action_overclaim,supported,0,supported,0,0.2656056880560293,0.1621634988843097,315,255,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,1.0,0
SBV2-ALL92-G020-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.0882151849897881,-0.7117442209143553,425,375,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G021-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.28275219334359464,0.8338090256806812,179,224,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.20512820512820512,0
SBV2-ALL92-G021-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.2824119486102803,0.8377908773467209,176,225,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.20512820512820512,0
SBV2-ALL92-G021-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.2993809796305518,0.8505568538057883,166,189,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.20512820512820512,0
SBV2-ALL92-G021-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07371515108668943,-0.5063229222814736,391,421,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.20512820512820512,0
SBV2-ALL92-G025-C01,supported,supported,0,supported,0,0.09398331370530615,0.2258237118673387,284,363,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.5714285714285714,0
SBV2-ALL92-G025-C02,mild_scope_overclaim,supported,0,supported,0,0.096855410396513,0.2597503053428657,273,360,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.5714285714285714,0
SBV2-ALL92-G025-C03,strong_action_overclaim,supported,0,supported,0,0.31384595672425325,0.3683748599837722,249,150,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,0.5714285714285714,0
SBV2-ALL92-G025-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.11928370708447397,-0.3994913425141949,373,343,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.1111111111111111,0
SBV2-ALL92-G027-C01,supported,strong_action_overclaim,1,supported,0,0.3143926778274751,0.841932416770426,173,147,selector_harmed,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G027-C02,mild_scope_overclaim,strong_action_overclaim,1,supported,0,0.3267304882891838,0.8953221147470714,131,118,selector_harmed,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G027-C03,strong_action_overclaim,strong_action_overclaim,1,supported,0,0.33418835475960973,0.9406599682850616,98,87,selector_harmed,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G027-C04,contradiction_candidate,contradiction_candidate,0,strong_action_overclaim,1,0.2515044811949856,0.291092167462612,265,276,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,not_ambiguous,0.18181818181818182,0
SBV2-ALL92-G028-C01,supported,supported,0,supported,0,0.2539816278093369,0.1741879775601155,311,273,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G028-C02,mild_scope_overclaim,supported,0,supported,0,0.2580004396481498,0.2380223549201395,280,269,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G028-C03,strong_action_overclaim,supported,0,supported,0,0.25818255448471145,0.2244986181765701,286,268,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,1.0,0
SBV2-ALL92-G028-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07630311880491873,-0.4612933498914796,378,407,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G030-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.36198820886852023,1.0805743839821011,14,34,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.16666666666666666,0
SBV2-ALL92-G030-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3600436354753527,1.077740537404996,16,37,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.16666666666666666,0
SBV2-ALL92-G030-C03,strong_action_overclaim,supported,0,supported,0,0.2928419285457704,0.470975319772612,236,205,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,0.3125,0
SBV2-ALL92-G030-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.16106070698032332,-0.0868251277069258,340,325,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.07407407407407407,1
SBV2-ALL92-G031-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.311666626021649,0.9784615027103116,76,154,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,not_ambiguous,0.358974358974359,0
SBV2-ALL92-G031-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3139831262393573,1.01816218722389,50,149,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,0.358974358974359,0
SBV2-ALL92-G031-C03,strong_action_overclaim,contradiction_candidate,0,strong_action_overclaim,1,0.18937481581573629,-0.0650556552891811,337,315,selector_helped,ranker_neutral,partial_help,screening_recovery,not_ambiguous,0.22857142857142856,0
SBV2-ALL92-G031-C04,contradiction_candidate,contradiction_candidate,0,strong_action_overclaim,1,0.265304659535912,0.4554968415322429,237,257,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,not_ambiguous,0.22857142857142856,0
SBV2-ALL92-G032-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.3264623492351892,0.8880081864753931,136,120,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.3333333333333333,0
SBV2-ALL92-G032-C02,mild_scope_overclaim,mild_scope_overclaim,0,strong_action_overclaim,1,0.2927880967375139,0.3262409054991374,258,206,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,ambiguous_mild_strong,0.3333333333333333,0
SBV2-ALL92-G032-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.34876989250849955,0.8276137052094572,182,52,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.47058823529411764,0
SBV2-ALL92-G032-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07422246989515698,-0.6610562217843385,416,417,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.47058823529411764,0
SBV2-ALL92-G033-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.24271368473812893,0.766997537816674,216,285,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.35294117647058826,0
SBV2-ALL92-G033-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.24979016431705314,0.8136178778371321,191,279,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.35294117647058826,0
SBV2-ALL92-G033-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.258183236414713,0.8343239453143778,178,267,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2608695652173913,0
SBV2-ALL92-G033-C04,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.27174171666300234,0.8574593971823983,161,240,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.5128205128205128,0
SBV2-ALL92-G034-C01,supported,supported,0,strong_action_overclaim,1,0.2728159740249135,0.2138577468729026,291,238,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,not_ambiguous,0.35294117647058826,0
SBV2-ALL92-G034-C02,mild_scope_overclaim,supported,0,strong_action_overclaim,1,0.26263043197798375,0.1918668789233233,303,261,selector_helped,ranker_neutral,partial_help,strong_action_false_positive,ambiguous_mild_strong,0.14285714285714285,0
SBV2-ALL92-G034-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.33410028411895004,0.7718802340513442,214,88,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.35294117647058826,0
SBV2-ALL92-G034-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07603341351708849,-0.5977917553118988,406,408,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.5581395348837209,0
SBV2-ALL92-G035-C01,supported,supported,0,supported,0,0.08587157166606285,0.4237582290180225,241,380,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G035-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.1187983773127578,0.9742119267233528,80,344,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,1.0,0
SBV2-ALL92-G035-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.21477643783842557,0.7574332628471492,218,305,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G035-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.08117016248448049,-0.477335321831582,384,392,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G036-C01,supported,contradiction_candidate,0,contradiction_candidate,0,0.07884087220951788,-0.691234477610775,424,402,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G036-C02,mild_scope_overclaim,contradiction_candidate,0,contradiction_candidate,0,0.05633278357452318,-0.3556700465829003,367,436,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G036-C03,strong_action_overclaim,contradiction_candidate,0,contradiction_candidate,0,0.08339709496621614,-0.6760701750236773,419,386,selector_neutral,ranker_neutral,no_change,strong_action_false_negative,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G036-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.21553116061111063,0.107244068319658,322,304,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2222222222222222,0
SBV2-ALL92-G037-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.34816647720848815,0.9187936810126276,118,54,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,not_ambiguous,0.1111111111111111,0
SBV2-ALL92-G037-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.36302724452350155,0.951198609156762,91,33,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.1111111111111111,0
SBV2-ALL92-G037-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3910065805552414,1.086560914073059,12,11,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.17391304347826086,0
SBV2-ALL92-G037-C04,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.34271317062461853,0.8859759803890361,141,64,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,not_ambiguous,0.2608695652173913,0
SBV2-ALL92-G038-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.326865332919487,0.9481705013482628,94,117,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,not_ambiguous,0.3333333333333333,0
SBV2-ALL92-G038-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3315673879619168,0.9529604386290552,90,99,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.3333333333333333,0
SBV2-ALL92-G038-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3289064593553036,0.9550848551244784,89,109,selector_neutral,ranker_harmed,no_change,screening_neutral,not_ambiguous,0.3333333333333333,0
SBV2-ALL92-G038-C04,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.33386402085276345,0.9336870410674672,106,90,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,not_ambiguous,0.3333333333333333,0
SBV2-ALL92-G040-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.297370687162702,0.8906340891880226,134,195,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.20689655172413793,0
SBV2-ALL92-G040-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.33792316351950724,0.9608705173236622,87,74,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,ambiguous_mild_strong,0.20689655172413793,0
SBV2-ALL92-G040-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.333766836482077,0.9466060397402636,97,92,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.20689655172413793,0
SBV2-ALL92-G040-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07394395998524114,-0.5008318894978571,388,418,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.13793103448275862,0
SBV2-ALL92-G042-C01,supported,strong_action_overclaim,1,supported,0,0.3258206203420379,0.8984444766930088,129,122,selector_harmed,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.11428571428571428,0
SBV2-ALL92-G042-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.2912563676492965,1.129457997818736,4,209,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,0.22641509433962265,0
SBV2-ALL92-G042-C03,strong_action_overclaim,strong_action_overclaim,1,mild_scope_overclaim,0,0.3484198394671068,0.9401294826806518,99,53,selector_harmed,ranker_neutral,no_change,strong_action_false_negative,ambiguous_mild_strong,0.18181818181818182,0
SBV2-ALL92-G042-C04,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.3463922800789528,0.8686249064356495,154,58,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,not_ambiguous,0.14285714285714285,0
SBV2-ALL92-G043-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.3383235884277833,0.8861211477450441,140,72,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,not_ambiguous,0.48484848484848486,0
SBV2-ALL92-G043-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3356048092354732,0.883378567786177,147,84,selector_neutral,ranker_helped,partial_help,strong_action_false_positive,ambiguous_mild_strong,0.29411764705882354,0
SBV2-ALL92-G043-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3388757614862147,0.8958181068370625,130,70,selector_neutral,ranker_helped,partial_help,screening_neutral,not_ambiguous,0.29411764705882354,0
SBV2-ALL92-G043-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.11033177076492458,-0.4578210892799735,377,348,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.48484848484848486,0
SBV2-ALL92-G047-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.31187809239326414,0.8133504672133842,192,153,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,1.0,0
SBV2-ALL92-G047-C02,mild_scope_overclaim,strong_action_overclaim,1,supported,0,0.32053899224557814,0.835646860630245,177,133,selector_harmed,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.16,0
SBV2-ALL92-G047-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3177075391493266,0.8419967555416192,172,140,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G047-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.07960411534393083,-0.5805998872820426,402,398,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
SBV2-ALL92-G051-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.3375596084020094,0.9991329436910068,65,76,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.08695652173913043,1
SBV2-ALL92-G051-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.2982014080905114,1.0066788258145485,61,192,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,0.08695652173913043,1
SBV2-ALL92-G051-C03,strong_action_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.2988180872868882,1.0081332045747384,56,190,selector_neutral,ranker_harmed,no_change,screening_neutral,not_ambiguous,0.08695652173913043,1
SBV2-ALL92-G051-C04,contradiction_candidate,strong_action_overclaim,1,strong_action_overclaim,1,0.33763568160155366,1.022397186345385,47,75,selector_neutral,ranker_neutral,no_change,strong_action_false_positive,not_ambiguous,0.1509433962264151,0
SBV2-ALL92-G052-C01,supported,strong_action_overclaim,1,strong_action_overclaim,1,0.33105450744388154,1.0402888940235049,34,102,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,not_ambiguous,0.14285714285714285,0
SBV2-ALL92-G052-C02,mild_scope_overclaim,strong_action_overclaim,1,strong_action_overclaim,1,0.3312998125496556,1.0401145945275718,35,101,selector_neutral,ranker_harmed,no_change,strong_action_false_positive,ambiguous_mild_strong,0.14285714285714285,0
SBV2-ALL92-G052-C03,strong_action_overclaim,mild_scope_overclaim,0,strong_action_overclaim,1,0.25636669743907725,0.3932138077200756,246,271,selector_helped,ranker_neutral,partial_help,screening_recovery,not_ambiguous,0.12903225806451613,0
SBV2-ALL92-G052-C04,contradiction_candidate,contradiction_candidate,0,contradiction_candidate,0,0.1728125318764218,-0.3480538787771859,365,323,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,0.2777777777777778,0
SBV2-ALL92-G057-C01,supported,contradiction_candidate,0,contradiction_candidate,0,0.17944496765127407,-0.3774921996543081,372,320,selector_neutral,ranker_neutral,no_change,screening_neutral,not_ambiguous,1.0,0
