location,original_sentence,risk_type,severity,suggested_rewrite
§VI.B line 315,"This result should not be interpreted as R4 outperforms LLM judges overall.",good cautious language,n/a,"Keep as-is"
§VII.A line 388,"Every numeric result in §VI — R4 strong-F1 = 0.3967, LLM strong-F1 = 0.0769, the +0.2231 gap — is computed against these silver labels.",good honest statement,n/a,"Keep as-is"
§VII.G line 444,"If gold adjudication reveals a serious taxonomy problem (e.g., mild_vs_strong κ < 0.40 — see §VII.G), the response is not to re-tune against gold, but to revise the taxonomy and re-frame the paper's claims",good pre-registration,n/a,"Keep as-is"
§VIII.A line 373,"A model that misses strong_action_overclaim fails on cases that are consequential for scientific writing quality, even if its overall macro-F1 is high.",'fails' too strong for silver-label evidence,minor,"Change to: 'A model that misses strong_action_overclaim may fail on cases that are consequential for scientific writing quality, even if its overall macro-F1 is high.'"
§VIII.B line 381,"This suggests a consistent under-detection pattern under the tested prompts, not a single-model quirk.",'consistent' across 2 models is borderline,minor,"Change to: 'This suggests an under-detection pattern observed across the two tested models under the tested prompts, not a single-model quirk.'"
§VIII.B line 381,"Independent gold validation (§VII) is required before this pre-gold pattern can be treated as established.",good cautious language,n/a,"Keep as-is"
§VIII.C line 389,"the aggregate pre-gold pattern (R4 > LLM on strong_action) may hold even if individual labels shift under gold adjudication — but this is not guaranteed and is the subject of §VII",good conditional framing,n/a,"Keep as-is"
§IX Limitation 1 line 401,"The LLM under-detection finding (§VI.B) is computed against these silver labels and must be interpreted as pre-gold diagnostic evidence, pending independent gold adjudication (§VII).",good cautious language,n/a,"Keep as-is"
§IX Limitation 7 line 413,"This manuscript is intentionally written as a pre-gold complete draft.",reads as apologetic,minor,"Change to: 'This manuscript reports silver-stage pilot results with a pre-registered gold validation protocol (§VII).'"
§X line 421,"The frozen R4 conservative strong router provides targeted value for strong_action_overclaim on silver labels: it improves strong-action positive-F1 from 0.2408 to 0.3967",'provides' present tense,minor,"Change to: 'On silver labels, the frozen R4 conservative strong router provides targeted value for strong_action_overclaim: it improves strong-action positive-F1 from 0.2408 to 0.3967'"
§X line 425,"The result is promising but pre-gold.",good concise framing,n/a,"Keep as-is"
§X line 425,"The author sanity audit flags 62.5% of silver labels as questionable or unclear, confirming that independent gold adjudication (§VII) is required before the LLM under-detection finding can be treated as established.",'confirming' is too strong; the audit suggests but doesn't confirm,minor,"Change 'confirming' to 'reinforcing that'"
Appendix B Forbidden claims,"Submission-ready.",good explicit prohibition,n/a,"Keep as-is"
Appendix B Safe claims,"The current silver-stage evidence motivates gold validation rather than replacing it.",good closing claim,n/a,"Keep as-is but only use once (in §X closer); remove from §VII.H and §IX to avoid repetition"
§VI.D line 365,"Public results are sanity checks, not benchmark superiority claims.",good cautious language,n/a,"Keep as-is"
§VI opener line 251,"All numeric results in this section are computed against silver labels and should be read as silver-stage evidence and pre-gold findings.",good cautious framing,n/a,"Keep as-is"
§IV.D line 206,"R4 is not optimized to maximize overall macro-F1, but to reduce under-detection of action/deployment overclaims while preserving contradiction performance.",good honest trade-off statement,n/a,"Keep as-is"
§V.E line 246,"all results are framed as pre-gold pilot diagnostic findings",good framing,n/a,"Keep as-is"
§VII.H line 455,"The current silver-stage evidence motivates gold validation rather than replacing it.",repeated 3 times (§VII.H §IX §X),minor,"Keep in §X only; remove from §VII.H (replace with downgrade criteria reference) and §IX (replace with Limitation 7 reference)"
