group_id,label_i,label_j,tfidf_cosine,token_jaccard,sequence_ratio
SBV2-ALL92-G019,strong_action_overclaim,supported,0.8962,0.88,0.9425
SBV2-ALL92-G020,contradiction_candidate,mild_scope_overclaim,0.6849,0.6,0.7562
SBV2-ALL92-G020,contradiction_candidate,strong_action_overclaim,0.7237,0.625,0.685
SBV2-ALL92-G020,contradiction_candidate,supported,0.6849,0.6,0.8261
SBV2-ALL92-G020,mild_scope_overclaim,strong_action_overclaim,0.725,0.625,0.6897
SBV2-ALL92-G020,mild_scope_overclaim,supported,1.0,1.0,0.9236
SBV2-ALL92-G020,strong_action_overclaim,supported,0.725,0.625,0.6791
SBV2-ALL92-G021,contradiction_candidate,mild_scope_overclaim,0.5894,0.68,0.8754
SBV2-ALL92-G021,contradiction_candidate,strong_action_overclaim,0.5432,0.68,0.8543
SBV2-ALL92-G021,contradiction_candidate,supported,0.7098,0.75,0.9128
SBV2-ALL92-G021,mild_scope_overclaim,strong_action_overclaim,0.7577,0.8261,0.9298
SBV2-ALL92-G021,mild_scope_overclaim,supported,0.8514,0.9091,0.9695
SBV2-ALL92-G021,strong_action_overclaim,supported,0.7846,0.8261,0.92
SBV2-ALL92-G025,contradiction_candidate,mild_scope_overclaim,0.3243,0.4667,0.7163
SBV2-ALL92-G025,contradiction_candidate,strong_action_overclaim,0.2687,0.4242,0.6491
SBV2-ALL92-G025,contradiction_candidate,supported,0.3522,0.4828,0.7314
SBV2-ALL92-G025,mild_scope_overclaim,strong_action_overclaim,0.7026,0.8077,0.911
SBV2-ALL92-G025,mild_scope_overclaim,supported,0.9208,0.9545,0.9405
SBV2-ALL92-G025,strong_action_overclaim,supported,0.7631,0.84,0.8997
SBV2-ALL92-G027,contradiction_candidate,mild_scope_overclaim,0.6332,0.6538,0.8339
SBV2-ALL92-G027,contradiction_candidate,strong_action_overclaim,0.5514,0.6071,0.7847
SBV2-ALL92-G027,contradiction_candidate,supported,0.707,0.7391,0.9017
SBV2-ALL92-G027,mild_scope_overclaim,strong_action_overclaim,0.8709,0.9231,0.9231
SBV2-ALL92-G027,mild_scope_overclaim,supported,0.8955,0.875,0.925
SBV2-ALL92-G027,strong_action_overclaim,supported,0.7799,0.8077,0.8706
SBV2-ALL92-G028,contradiction_candidate,mild_scope_overclaim,0.2267,0.3125,0.6163
SBV2-ALL92-G028,contradiction_candidate,strong_action_overclaim,0.1753,0.2286,0.5228
SBV2-ALL92-G028,contradiction_candidate,supported,0.5411,0.4483,0.7387
SBV2-ALL92-G028,mild_scope_overclaim,strong_action_overclaim,0.5695,0.6207,0.8099
SBV2-ALL92-G028,mild_scope_overclaim,supported,0.6873,0.7692,0.8283
SBV2-ALL92-G028,strong_action_overclaim,supported,0.613,0.6207,0.8125
SBV2-ALL92-G030,contradiction_candidate,mild_scope_overclaim,0.7018,0.6667,0.8852
SBV2-ALL92-G030,contradiction_candidate,strong_action_overclaim,0.3188,0.4516,0.6242
SBV2-ALL92-G030,contradiction_candidate,supported,0.7239,0.7037,0.871
SBV2-ALL92-G030,mild_scope_overclaim,strong_action_overclaim,0.4848,0.4667,0.639
SBV2-ALL92-G030,mild_scope_overclaim,supported,0.8678,0.875,0.9385
SBV2-ALL92-G030,strong_action_overclaim,supported,0.5846,0.5517,0.6981
SBV2-ALL92-G031,contradiction_candidate,mild_scope_overclaim,0.8932,0.9474,0.8662
SBV2-ALL92-G031,contradiction_candidate,strong_action_overclaim,0.761,0.85,0.8737
SBV2-ALL92-G031,contradiction_candidate,supported,1.0,1.0,0.927
SBV2-ALL92-G031,mild_scope_overclaim,strong_action_overclaim,0.6798,0.8095,0.8515
SBV2-ALL92-G031,mild_scope_overclaim,supported,0.8932,0.9474,0.9366
SBV2-ALL92-G031,strong_action_overclaim,supported,0.761,0.85,0.9078
SBV2-ALL92-G032,contradiction_candidate,mild_scope_overclaim,0.5777,0.48,0.7702
SBV2-ALL92-G032,contradiction_candidate,strong_action_overclaim,0.4618,0.4074,0.6933
SBV2-ALL92-G032,contradiction_candidate,supported,0.6901,0.5833,0.858
SBV2-ALL92-G032,mild_scope_overclaim,strong_action_overclaim,0.6882,0.7619,0.8333
SBV2-ALL92-G032,mild_scope_overclaim,supported,0.8649,0.85,0.913
SBV2-ALL92-G032,strong_action_overclaim,supported,0.7103,0.7273,0.8466
SBV2-ALL92-G033,contradiction_candidate,mild_scope_overclaim,0.5073,0.7083,0.8254
SBV2-ALL92-G033,contradiction_candidate,strong_action_overclaim,0.3635,0.5385,0.7542
SBV2-ALL92-G033,contradiction_candidate,supported,0.6266,0.7727,0.8754
SBV2-ALL92-G033,mild_scope_overclaim,strong_action_overclaim,0.5073,0.64,0.8182
SBV2-ALL92-G033,mild_scope_overclaim,supported,0.8097,0.9048,0.9416
SBV2-ALL92-G033,strong_action_overclaim,supported,0.6266,0.6957,0.869
SBV2-ALL92-G034,contradiction_candidate,mild_scope_overclaim,0.4144,0.5,0.6267
SBV2-ALL92-G034,contradiction_candidate,strong_action_overclaim,0.4007,0.5,0.6205
SBV2-ALL92-G034,contradiction_candidate,supported,0.5188,0.5517,0.6913
SBV2-ALL92-G034,mild_scope_overclaim,strong_action_overclaim,0.6782,0.8333,0.8935
SBV2-ALL92-G034,mild_scope_overclaim,supported,0.8459,0.913,0.9301
SBV2-ALL92-G034,strong_action_overclaim,supported,0.7032,0.8333,0.8997
SBV2-ALL92-G035,contradiction_candidate,mild_scope_overclaim,0.7804,1.0,0.97
SBV2-ALL92-G035,contradiction_candidate,strong_action_overclaim,0.7804,1.0,0.96
SBV2-ALL92-G035,contradiction_candidate,supported,0.7804,1.0,0.97
SBV2-ALL92-G035,mild_scope_overclaim,strong_action_overclaim,1.0,1.0,0.98
SBV2-ALL92-G035,mild_scope_overclaim,supported,1.0,1.0,0.99
SBV2-ALL92-G035,strong_action_overclaim,supported,1.0,1.0,0.98
SBV2-ALL92-G036,contradiction_candidate,mild_scope_overclaim,0.6733,0.56,0.7603
SBV2-ALL92-G036,contradiction_candidate,strong_action_overclaim,0.5045,0.3929,0.4949
SBV2-ALL92-G036,contradiction_candidate,supported,0.7186,0.6957,0.8042
SBV2-ALL92-G036,mild_scope_overclaim,strong_action_overclaim,0.5852,0.6,0.5522
SBV2-ALL92-G036,mild_scope_overclaim,supported,0.912,0.8182,0.8958
SBV2-ALL92-G036,strong_action_overclaim,supported,0.6218,0.5385,0.5704
SBV2-ALL92-G037,contradiction_candidate,mild_scope_overclaim,0.5458,0.6154,0.8773
SBV2-ALL92-G037,contradiction_candidate,strong_action_overclaim,0.3467,0.4643,0.7914
SBV2-ALL92-G037,contradiction_candidate,supported,0.7388,0.8261,0.9497
SBV2-ALL92-G037,mild_scope_overclaim,strong_action_overclaim,0.5113,0.64,0.8144
SBV2-ALL92-G037,mild_scope_overclaim,supported,0.7631,0.75,0.9264
SBV2-ALL92-G037,strong_action_overclaim,supported,0.5814,0.5769,0.8282
SBV2-ALL92-G038,contradiction_candidate,mild_scope_overclaim,0.8476,1.0,0.9779
SBV2-ALL92-G038,contradiction_candidate,strong_action_overclaim,0.7323,1.0,0.9706
SBV2-ALL92-G038,contradiction_candidate,supported,1.0,1.0,0.9706
SBV2-ALL92-G038,mild_scope_overclaim,strong_action_overclaim,0.7066,1.0,0.9853
SBV2-ALL92-G038,mild_scope_overclaim,supported,0.8476,1.0,0.9926
SBV2-ALL92-G038,strong_action_overclaim,supported,0.7323,1.0,0.9853
SBV2-ALL92-G040,contradiction_candidate,mild_scope_overclaim,0.883,0.9048,0.9829
SBV2-ALL92-G040,contradiction_candidate,strong_action_overclaim,1.0,0.9048,0.9728
SBV2-ALL92-G040,contradiction_candidate,supported,1.0,0.9048,0.9795
SBV2-ALL92-G040,mild_scope_overclaim,strong_action_overclaim,0.883,0.9048,0.9832
SBV2-ALL92-G040,mild_scope_overclaim,supported,0.883,0.9048,0.9831
SBV2-ALL92-G040,strong_action_overclaim,supported,1.0,0.9048,0.9797
SBV2-ALL92-G042,contradiction_candidate,mild_scope_overclaim,0.3718,0.4828,0.6987
SBV2-ALL92-G042,contradiction_candidate,strong_action_overclaim,0.3476,0.4667,0.7115
SBV2-ALL92-G042,contradiction_candidate,supported,0.345,0.4333,0.6857
SBV2-ALL92-G042,mild_scope_overclaim,strong_action_overclaim,0.5311,0.7308,0.8895
SBV2-ALL92-G042,mild_scope_overclaim,supported,0.5122,0.6923,0.8761
SBV2-ALL92-G042,strong_action_overclaim,supported,0.4789,0.6667,0.8646
SBV2-ALL92-G043,contradiction_candidate,mild_scope_overclaim,1.0,0.913,0.9876
SBV2-ALL92-G043,contradiction_candidate,strong_action_overclaim,0.9113,0.913,0.9845
SBV2-ALL92-G043,contradiction_candidate,supported,1.0,0.913,0.9783
SBV2-ALL92-G043,mild_scope_overclaim,strong_action_overclaim,0.9113,0.913,0.9723
SBV2-ALL92-G043,mild_scope_overclaim,supported,1.0,0.913,0.9785
SBV2-ALL92-G043,strong_action_overclaim,supported,0.9113,0.913,0.9816
SBV2-ALL92-G047,contradiction_candidate,mild_scope_overclaim,0.7312,0.8095,0.9021
SBV2-ALL92-G047,contradiction_candidate,strong_action_overclaim,0.7312,0.8095,0.9021
SBV2-ALL92-G047,contradiction_candidate,supported,0.8251,0.8947,0.9736
SBV2-ALL92-G047,mild_scope_overclaim,strong_action_overclaim,0.8179,0.9048,0.9935
SBV2-ALL92-G047,mild_scope_overclaim,supported,0.8786,0.9,0.9273
SBV2-ALL92-G047,strong_action_overclaim,supported,0.8786,0.9,0.9273
SBV2-ALL92-G051,contradiction_candidate,mild_scope_overclaim,0.5373,0.6538,0.8642
SBV2-ALL92-G051,contradiction_candidate,strong_action_overclaim,0.5373,0.6538,0.8685
SBV2-ALL92-G051,contradiction_candidate,supported,0.7352,0.7917,0.9159
SBV2-ALL92-G051,mild_scope_overclaim,strong_action_overclaim,0.84,0.9091,0.9651
SBV2-ALL92-G051,mild_scope_overclaim,supported,0.764,0.8261,0.945
SBV2-ALL92-G051,strong_action_overclaim,supported,0.764,0.8261,0.9423
SBV2-ALL92-G052,contradiction_candidate,mild_scope_overclaim,0.6437,0.6087,0.9021
SBV2-ALL92-G052,contradiction_candidate,strong_action_overclaim,0.7313,0.7619,0.8992
SBV2-ALL92-G052,contradiction_candidate,supported,0.6437,0.6818,0.9191
SBV2-ALL92-G052,mild_scope_overclaim,strong_action_overclaim,0.9063,0.6522,0.8787
SBV2-ALL92-G052,mild_scope_overclaim,supported,1.0,0.9,0.9831
SBV2-ALL92-G052,strong_action_overclaim,supported,0.9063,0.7273,0.9038
SBV2-ALL92-G055,contradiction_candidate,mild_scope_overclaim,0.8545,0.8,0.966
SBV2-ALL92-G055,contradiction_candidate,strong_action_overclaim,0.8545,0.8,0.9517
SBV2-ALL92-G055,contradiction_candidate,supported,0.9563,0.9444,0.9848
SBV2-ALL92-G055,mild_scope_overclaim,strong_action_overclaim,1.0,0.9,0.9635
SBV2-ALL92-G055,mild_scope_overclaim,supported,0.9044,0.85,0.9814
SBV2-ALL92-G055,strong_action_overclaim,supported,0.9044,0.85,0.967
SBV2-ALL92-G057,contradiction_candidate,mild_scope_overclaim,0.9,1.0,0.728
SBV2-ALL92-G057,contradiction_candidate,strong_action_overclaim,0.6254,0.5,0.6397
SBV2-ALL92-G057,contradiction_candidate,supported,1.0,1.0,0.728
SBV2-ALL92-G057,mild_scope_overclaim,strong_action_overclaim,0.5754,0.5,0.7059
SBV2-ALL92-G057,mild_scope_overclaim,supported,0.9,1.0,0.992
SBV2-ALL92-G057,strong_action_overclaim,supported,0.6254,0.5,0.7353
SBV2-ALL92-G060,contradiction_candidate,mild_scope_overclaim,0.713,0.7391,0.9301
SBV2-ALL92-G060,contradiction_candidate,strong_action_overclaim,0.6499,0.64,0.8432
SBV2-ALL92-G060,contradiction_candidate,supported,0.713,0.7391,0.9273
SBV2-ALL92-G060,mild_scope_overclaim,strong_action_overclaim,0.6697,0.7083,0.878
SBV2-ALL92-G060,mild_scope_overclaim,supported,0.8364,0.9048,0.9619
SBV2-ALL92-G060,strong_action_overclaim,supported,0.6697,0.7083,0.869
SBV2-ALL92-G062,contradiction_candidate,mild_scope_overclaim,0.8461,0.8261,0.9085
SBV2-ALL92-G062,contradiction_candidate,strong_action_overclaim,0.8963,0.8636,0.962
SBV2-ALL92-G062,contradiction_candidate,supported,0.9316,0.8636,0.9623
SBV2-ALL92-G062,mild_scope_overclaim,strong_action_overclaim,0.7583,0.8696,0.9042
SBV2-ALL92-G062,mild_scope_overclaim,supported,0.9082,0.9545,0.9464
SBV2-ALL92-G062,strong_action_overclaim,supported,0.835,0.9091,0.9568
SBV2-ALL92-G065,contradiction_candidate,mild_scope_overclaim,0.2177,0.3333,0.5671
SBV2-ALL92-G065,contradiction_candidate,strong_action_overclaim,0.156,0.2581,0.5289
SBV2-ALL92-G065,contradiction_candidate,supported,0.2042,0.3226,0.5706
SBV2-ALL92-G065,mild_scope_overclaim,strong_action_overclaim,0.6498,0.6957,0.8955
SBV2-ALL92-G065,mild_scope_overclaim,supported,0.6809,0.7826,0.9322
SBV2-ALL92-G065,strong_action_overclaim,supported,0.6094,0.6667,0.8882
SBV2-ALL92-G067,contradiction_candidate,mild_scope_overclaim,0.4884,0.625,0.7375
SBV2-ALL92-G067,contradiction_candidate,strong_action_overclaim,0.5021,0.625,0.7368
SBV2-ALL92-G067,contradiction_candidate,supported,0.5894,0.7273,0.8946
SBV2-ALL92-G067,mild_scope_overclaim,strong_action_overclaim,0.6552,0.7391,0.8815
SBV2-ALL92-G067,mild_scope_overclaim,supported,0.7295,0.8571,0.815
SBV2-ALL92-G067,strong_action_overclaim,supported,0.7286,0.7727,0.795
SBV2-ALL92-G069,contradiction_candidate,mild_scope_overclaim,0.7779,0.6667,0.8629
SBV2-ALL92-G069,contradiction_candidate,strong_action_overclaim,0.7043,0.56,0.809
SBV2-ALL92-G069,contradiction_candidate,supported,0.8191,0.6957,0.9044
SBV2-ALL92-G069,mild_scope_overclaim,strong_action_overclaim,0.7654,0.7083,0.5721
SBV2-ALL92-G069,mild_scope_overclaim,supported,0.9497,0.9524,0.9827
SBV2-ALL92-G069,strong_action_overclaim,supported,0.8059,0.7391,0.9095
SBV2-ALL92-G077,contradiction_candidate,mild_scope_overclaim,0.5324,0.9444,0.9485
SBV2-ALL92-G077,contradiction_candidate,strong_action_overclaim,0.2792,0.5909,0.7439
SBV2-ALL92-G077,contradiction_candidate,supported,0.5518,0.9444,0.9485
SBV2-ALL92-G077,mild_scope_overclaim,strong_action_overclaim,0.4676,0.5652,0.7596
SBV2-ALL92-G077,mild_scope_overclaim,supported,0.8475,1.0,0.9927
SBV2-ALL92-G077,strong_action_overclaim,supported,0.5769,0.5652,0.7317
SBV2-ALL92-G079,contradiction_candidate,mild_scope_overclaim,0.6511,0.7273,0.9293
SBV2-ALL92-G079,contradiction_candidate,strong_action_overclaim,0.6461,0.7727,0.8968
SBV2-ALL92-G079,contradiction_candidate,supported,0.7609,0.8095,0.9424
SBV2-ALL92-G079,mild_scope_overclaim,strong_action_overclaim,0.741,0.7727,0.9464
SBV2-ALL92-G079,mild_scope_overclaim,supported,0.8726,0.8095,0.9801
SBV2-ALL92-G079,strong_action_overclaim,supported,0.8492,0.8571,0.946
SBV2-ALL92-G082,contradiction_candidate,mild_scope_overclaim,0.425,0.5652,0.8042
SBV2-ALL92-G082,contradiction_candidate,strong_action_overclaim,0.3967,0.5417,0.7973
SBV2-ALL92-G082,contradiction_candidate,supported,0.5752,0.6667,0.8406
SBV2-ALL92-G082,mild_scope_overclaim,strong_action_overclaim,0.6573,0.7619,0.9435
SBV2-ALL92-G082,mild_scope_overclaim,supported,0.7893,0.8421,0.9231
SBV2-ALL92-G082,strong_action_overclaim,supported,0.7367,0.8,0.9141
SBV2-ALL92-G083,contradiction_candidate,mild_scope_overclaim,0.6207,0.8824,0.9474
SBV2-ALL92-G083,contradiction_candidate,strong_action_overclaim,0.6023,0.8824,0.9539
SBV2-ALL92-G083,contradiction_candidate,supported,0.6207,0.8824,0.9474
SBV2-ALL92-G083,mild_scope_overclaim,strong_action_overclaim,0.713,1.0,0.9803
SBV2-ALL92-G083,mild_scope_overclaim,supported,0.8364,1.0,0.9934
SBV2-ALL92-G083,strong_action_overclaim,supported,0.713,1.0,0.9803
SBV2-ALL92-G085,contradiction_candidate,mild_scope_overclaim,0.7318,0.7692,0.864
SBV2-ALL92-G085,contradiction_candidate,strong_action_overclaim,0.6342,0.7143,0.8195
SBV2-ALL92-G085,contradiction_candidate,supported,0.8011,0.8,0.9159
SBV2-ALL92-G085,mild_scope_overclaim,strong_action_overclaim,0.7231,0.8462,0.9261
SBV2-ALL92-G085,mild_scope_overclaim,supported,0.9134,0.9565,0.9444
SBV2-ALL92-G085,strong_action_overclaim,supported,0.7917,0.88,0.8947
SBV2-ALL92-G086,contradiction_candidate,mild_scope_overclaim,0.85,0.8824,0.9673
SBV2-ALL92-G086,contradiction_candidate,strong_action_overclaim,0.85,0.8824,0.9673
SBV2-ALL92-G086,contradiction_candidate,supported,0.85,0.8824,0.9673
SBV2-ALL92-G086,mild_scope_overclaim,strong_action_overclaim,0.8783,1.0,0.9869
SBV2-ALL92-G086,mild_scope_overclaim,supported,0.8783,1.0,0.9935
SBV2-ALL92-G086,strong_action_overclaim,supported,0.8783,1.0,0.9869
SBV2-ALL92-G087,contradiction_candidate,mild_scope_overclaim,0.7892,0.7917,0.9135
SBV2-ALL92-G087,contradiction_candidate,strong_action_overclaim,0.6135,0.5926,0.3048
SBV2-ALL92-G087,contradiction_candidate,supported,0.8998,0.9048,0.9657
SBV2-ALL92-G087,mild_scope_overclaim,strong_action_overclaim,0.6035,0.5862,0.3317
SBV2-ALL92-G087,mild_scope_overclaim,supported,0.8771,0.8696,0.9465
SBV2-ALL92-G087,strong_action_overclaim,supported,0.6881,0.6538,0.8624
SBV2-ALL92-G089,contradiction_candidate,mild_scope_overclaim,0.5706,0.6667,0.7964
SBV2-ALL92-G089,contradiction_candidate,strong_action_overclaim,0.563,0.6667,0.8375
SBV2-ALL92-G089,contradiction_candidate,supported,0.8894,0.9,0.9538
SBV2-ALL92-G089,mild_scope_overclaim,strong_action_overclaim,0.5745,0.68,0.8685
SBV2-ALL92-G089,mild_scope_overclaim,supported,0.6577,0.7391,0.8434
SBV2-ALL92-G089,strong_action_overclaim,supported,0.6532,0.7391,0.8731
SBV2-ALL92-G091,contradiction_candidate,mild_scope_overclaim,0.5786,0.5909,0.854
SBV2-ALL92-G091,contradiction_candidate,strong_action_overclaim,0.5515,0.5455,0.8485
SBV2-ALL92-G091,contradiction_candidate,supported,0.7872,0.7,0.9219
SBV2-ALL92-G091,mild_scope_overclaim,strong_action_overclaim,0.5569,0.6667,0.9185
SBV2-ALL92-G091,mild_scope_overclaim,supported,0.7665,0.8421,0.9455
SBV2-ALL92-G091,strong_action_overclaim,supported,0.6321,0.7,0.9283
SBV2-ALL92-G092,contradiction_candidate,mild_scope_overclaim,0.7208,0.8261,0.9176
SBV2-ALL92-G092,contradiction_candidate,strong_action_overclaim,0.7208,0.8261,0.893
SBV2-ALL92-G092,contradiction_candidate,supported,0.8901,0.9048,0.9828
SBV2-ALL92-G092,mild_scope_overclaim,strong_action_overclaim,0.6559,0.8333,0.9175
SBV2-ALL92-G092,mild_scope_overclaim,supported,0.8099,0.9091,0.9337
SBV2-ALL92-G092,strong_action_overclaim,supported,0.8099,0.9091,0.9086
SBV2-ALL92-G093,contradiction_candidate,mild_scope_overclaim,0.4882,0.68,0.8146
SBV2-ALL92-G093,contradiction_candidate,strong_action_overclaim,0.4509,0.6154,0.8328
SBV2-ALL92-G093,contradiction_candidate,supported,0.585,0.7391,0.9065
SBV2-ALL92-G093,mild_scope_overclaim,strong_action_overclaim,0.3818,0.5714,0.8062
SBV2-ALL92-G093,mild_scope_overclaim,supported,0.8345,0.9091,0.8993
SBV2-ALL92-G093,strong_action_overclaim,supported,0.4575,0.6154,0.804
SBV2-ALL92-G094,contradiction_candidate,mild_scope_overclaim,0.3161,0.52,0.7778
SBV2-ALL92-G094,contradiction_candidate,strong_action_overclaim,0.292,0.5,0.7309
SBV2-ALL92-G094,contradiction_candidate,supported,0.3474,0.52,0.7466
SBV2-ALL92-G094,mild_scope_overclaim,strong_action_overclaim,0.6056,0.7727,0.9072
SBV2-ALL92-G094,mild_scope_overclaim,supported,0.7206,0.8095,0.8582
SBV2-ALL92-G094,strong_action_overclaim,supported,0.6656,0.7727,0.8203
SBV2-ALL92-G098,contradiction_candidate,mild_scope_overclaim,0.6777,0.8182,0.9408
SBV2-ALL92-G098,contradiction_candidate,strong_action_overclaim,0.516,0.6667,0.8993
SBV2-ALL92-G098,contradiction_candidate,supported,0.6488,0.8182,0.9477
SBV2-ALL92-G098,mild_scope_overclaim,strong_action_overclaim,0.7699,0.8182,0.9562
SBV2-ALL92-G098,mild_scope_overclaim,supported,0.8143,0.9048,0.965
SBV2-ALL92-G098,strong_action_overclaim,supported,0.6233,0.7391,0.9226
SBV2-ALL92-G099,contradiction_candidate,mild_scope_overclaim,0.5564,0.68,0.8537
SBV2-ALL92-G099,contradiction_candidate,strong_action_overclaim,0.6209,0.7083,0.8822
SBV2-ALL92-G099,contradiction_candidate,supported,0.6076,0.7083,0.8693
SBV2-ALL92-G099,mild_scope_overclaim,strong_action_overclaim,0.7064,0.72,0.9012
SBV2-ALL92-G099,mild_scope_overclaim,supported,0.9157,0.9545,0.9825
SBV2-ALL92-G099,strong_action_overclaim,supported,0.7714,0.75,0.9112
SBV2-ALL92-G106,contradiction_candidate,mild_scope_overclaim,0.5962,0.64,0.811
SBV2-ALL92-G106,contradiction_candidate,strong_action_overclaim,0.5447,0.64,0.8082
SBV2-ALL92-G106,contradiction_candidate,supported,0.6866,0.7619,0.9008
SBV2-ALL92-G106,mild_scope_overclaim,strong_action_overclaim,0.9137,1.0,0.9969
SBV2-ALL92-G106,mild_scope_overclaim,supported,0.8683,0.8182,0.8997
SBV2-ALL92-G106,strong_action_overclaim,supported,0.7934,0.8182,0.8966
SBV2-ALL92-G107,contradiction_candidate,mild_scope_overclaim,0.6968,0.76,0.8926
SBV2-ALL92-G107,contradiction_candidate,strong_action_overclaim,0.6062,0.7308,0.8852
SBV2-ALL92-G107,contradiction_candidate,supported,0.846,0.8636,0.973
SBV2-ALL92-G107,mild_scope_overclaim,strong_action_overclaim,0.5902,0.7407,0.9059
SBV2-ALL92-G107,mild_scope_overclaim,supported,0.8237,0.8696,0.9167
