path,risk_level,risk_type,matched_field,line_or_row,message,recommendation
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\format_shift_ablation_v1_toy\format_shift_inputs_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\format_shift_ablation_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\claim_only_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\group_split_integrity.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\lexical_overlap_by_label.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\metadata_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\no_label_in_queue_sorting_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\no_oracle_in_selector_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\leakage_audit_v1_toy\title_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\lightweight_smart_queue_v1_toy\leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\lightweight_smart_queue_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\lightweight_smart_queue_v1_toy\smart_queue_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\lightweight_smart_queue_v1_toy\smart_queue_metric_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\r4_eval_v1_toy\format_shift_metrics.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\r4_eval_v1_toy\format_shift_predictions.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\r4_eval_v1_toy\format_shift_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\r4_eval_v1_toy\r4_leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\r4_eval_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\toy_end_to_end_demo_v1\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
release_bundles\v3_17_confidential_public\experiments\aggregate_metrics\toy_outputs\toy_end_to_end_demo_v1\toy_run_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
