candidate_id,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,candidate_label_guess,issue_binary_label_guess,escalation_binary_label_guess,contradiction_binary_label_guess,claim_text,claim_text_sha256,claim_generation_status,claim_generation_policy,annotation_status,human_audited,final_label,gold_label,source_trace_complete,generation_notes
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,5,pdf_page_5,experiment_setup,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,strong_action_overclaim,issue,escalation,not_contradiction,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.",63e3fbeb4265649d3a2a9e59dbdb8e5c930ca24adea2de9845d3ebe4c4127e58,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,5,pdf_page_5,experiment_setup,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,contradiction_candidate,issue,non_escalation,contradiction,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA RTX 2080 GPU, and Windows-based simulation software.",3df8fe5b7461e57c43a90973cda29a6ed96b3c0c335d6d2323df4b57452fb5dc,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G005-SUPPORTED,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,6,pdf_page_6,metric_result,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",cc26468814034b9c140997c8edc43ef3cb33c7260adec1aa453638b3cf463dab,supported,no_issue,non_escalation,not_contradiction,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 while reducing required denoising steps.,71ad20034a5c6c3f9c4d85695ba989719140d7f5dd7e44ca9984147e01f4e2d8,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G005-MILD,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,6,pdf_page_6,metric_result,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",cc26468814034b9c140997c8edc43ef3cb33c7260adec1aa453638b3cf463dab,mild_scope_overclaim,issue,escalation,not_contradiction,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 for the reported latency and waypoint analysis.,7211e17c3aef7bf16d1606a42e61ddab4cdbf11573f3ffe53eba65795ed71cce,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G005-STRONG,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,6,pdf_page_6,metric_result,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",cc26468814034b9c140997c8edc43ef3cb33c7260adec1aa453638b3cf463dab,strong_action_overclaim,issue,escalation,not_contradiction,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 and cuts overall planner runtime in half.,a48d88a9967f0789006d9c8b41440222548ece18f361fcfa92419fcab2d60523,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G005-CONTRA,SBV2-ALL92-G005,AD-002-S2,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,6,pdf_page_6,metric_result,"The vertical arrow shows the solver order benefit: at the same latency, second-order solving at N=3 matches the accuracy of first-order at N=5, effectively halving the required steps.",cc26468814034b9c140997c8edc43ef3cb33c7260adec1aa453638b3cf463dab,contradiction_candidate,issue,non_escalation,contradiction,The solver comparison shows first-order solving at N=3 matches second-order accuracy at N=5 while reducing required denoising steps.,42dbdb6da3233d33ebf05059a96cade9501cc69823a09dcd931481079dafaf79,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,supported,no_issue,non_escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as the best result.",3bd99df63fc9cb7e5988ebef24de42cdb7fd657283dbaab49e8ddee5be0f1450,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,mild_scope_overclaim,issue,escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.",d00a108f30fd2b1cafa5b3154c119919e7bdbd585fd8a4d91d59412737743d12,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,strong_action_overclaim,issue,escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.",dbf0b99773f8295d4ba41743af17e173958091d2ae7e3cd5efbb3a7dd89cbd28,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,contradiction_candidate,issue,non_escalation,contradiction,"HiDrive reports that conventional end-to-end methods perform strongly, with DiffusionDrive reaching 84.2 Overall DS as the best result.",4cb245f4603e5427b213b89f721dea6983993ae1020cbea7f5df94483edeb8f0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,supported,no_issue,non_escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.",bf768d33a8f1a20532d5e45301fa5ad397a0812b3fc1e838c0988254e942fc26,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,mild_scope_overclaim,issue,escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth for common closed-loop evaluations.",31508a7ffa9a0d0dc7032e7d652eafa5dd77e10625f85083f651249582dfd627,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,strong_action_overclaim,issue,escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.",fdb7bdf2fa98cdddf367ddbf0b5687f40257fe710d52567bc4fce7461527d9d0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,contradiction_candidate,issue,non_escalation,contradiction,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.",b372aea5674249930b69d1bfddbc93367a3ac3440f9ff1fa13f09e63bcb52d57,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G009-SUPPORTED,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,deployment_boundary,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",63330be317dcd6538a1a8bc2179e4506754e41c010467dcdba0b09b657ea940a,supported,no_issue,non_escalation,not_contradiction,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a more challenging testbed for autonomous system complexity.,c7f0f28e581a6ad3777cf2b0b3bb12c190f1a8280cd9d3b7c48114a781c39f8f,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G009-MILD,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,deployment_boundary,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",63330be317dcd6538a1a8bc2179e4506754e41c010467dcdba0b09b657ea940a,mild_scope_overclaim,issue,escalation,not_contradiction,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a more challenging testbed for broad autonomy complexity.,0138fa6b747f8e963fc831a3b758909456767647099237644e37cab3b2d1951f,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G009-STRONG,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,deployment_boundary,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",63330be317dcd6538a1a8bc2179e4506754e41c010467dcdba0b09b657ea940a,strong_action_overclaim,issue,escalation,not_contradiction,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a definitive benchmark for autonomy complexity and visual robustness.,9143f9435f7204f56c2d0e4a3b5d778d101c8efb8ae9a0f2d04673288d62b1ca,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G009-CONTRA,SBV2-ALL92-G009,AD-003-S3,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,deployment_boundary,"Built on a more advanced physics engine, HiDrive provides physically realistic lighting and high-fidelity visual rendering, offering a more challenging and realistic testbed for assessing whether autonomous driving systems can handle the complexity of real-world deployment.",63330be317dcd6538a1a8bc2179e4506754e41c010467dcdba0b09b657ea940a,contradiction_candidate,issue,non_escalation,contradiction,HiDrive provides simplified lighting and low-fidelity visual rendering as an easier testbed for autonomous system complexity assessment and planner comparison.,5341ed76b14bd2b81ee2400ab16413a3e5ee275f6bd957f10c53df8589374b48,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,supported,no_issue,non_escalation,not_contradiction,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,de07e140c0001aa8d7e0e13dc0bb5311544b9bbe3854e3e0f8fe8cf36153af70,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,AD-004-S2,AD-004,autonomous_driving,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,https://arxiv.org/abs/2605.18059,2605.18059,pdfs/AD-004__2605.18059.pdf,1,pdf_page_1,metric_result,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",2e468defa01a774da820450135224a9f0b56eb244b26ae8f532346ed88af992f,mild_scope_overclaim,issue,escalation,not_contradiction,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,dd0fa55acab3977cb5544fb5e64a6781190998f2eb6ccbf336bf9062d52c4a36,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
