clean_queue_rank,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,word_count,manual_evidence_quality,claim_generation_ready,reject_reason,notes
5,SBV2-ALL92-G027,AD-009-S3,AD-009,autonomous_driving,ScenePilot-Bench,https://arxiv.org/abs/2601.19582,2601.19582,pdfs/AD-009__2601.19582.pdf,6,pdf_page_6,limitation,"First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",333e606f34c75deea454d5b9abd3839df3083611c273e8eca5edbb826eacbe3e,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
1,SBV2-ALL92-G028,AD-010-S1,AD-010,autonomous_driving,DSBench: Driving Safety Benchmark,https://arxiv.org/abs/2511.14592,2511.14592,pdfs/AD-010__2511.14592.pdf,5,pdf_page_5,experiment_setup,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",40c28bd40d398e3eccc966577a613cbd49bc559c542dbb1b25d254c69b0c5219,27,accepted_clean_pdf_verified,True,,PDF trace verified on page 5; evidence_text and evidence_text_sha256 preserved exactly.
2,SBV2-ALL92-G029,AD-010-S2,AD-010,autonomous_driving,DSBench: Driving Safety Benchmark,https://arxiv.org/abs/2511.14592,2511.14592,pdfs/AD-010__2511.14592.pdf,6,pdf_page_6,metric_result,"It achieves a remarkable average score of 68.4, creating a substantial performance gap of 18.88 points ahead of the strongest commercial competi- tor, Seed-1.6 (49.52).",30e67595fadf5f68643ddec86fc1425075179a4cb96708463ad317cbf284da5b,25,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
3,SBV2-ALL92-G030,AD-010-S3,AD-010,autonomous_driving,DSBench: Driving Safety Benchmark,https://arxiv.org/abs/2511.14592,2511.14592,pdfs/AD-010__2511.14592.pdf,2,pdf_page_2,limitation,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.",eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,16,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
4,SBV2-ALL92-G031,AD-011-S1,AD-011,autonomous_driving,DriveVLM,https://arxiv.org/abs/2402.12289,2402.12289,pdfs/AD-011__2402.12289.pdf,7,pdf_page_7,experiment_setup,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,e598be9bb01d57fbd096bfadf3026982fd4197d1ba94ec5333914e578d9c094e,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 7; evidence_text and evidence_text_sha256 preserved exactly.
5,SBV2-ALL92-G032,AD-011-S2,AD-011,autonomous_driving,DriveVLM,https://arxiv.org/abs/2402.12289,2402.12289,pdfs/AD-011__2402.12289.pdf,2,pdf_page_2,metric_result,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.",3292ee7ee5985e9b89ef6df942854ac4f0ffb9ab403b4fcb6514d995fe90d757,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
6,SBV2-ALL92-G033,AD-011-S3,AD-011,autonomous_driving,DriveVLM,https://arxiv.org/abs/2402.12289,2402.12289,pdfs/AD-011__2402.12289.pdf,1,pdf_page_1,limitation,"Furthermore, recognizing the limitations of VLMs in spatial reasoning and heavy computational requirements, we propose DriveVLM-Dual, a hybrid system that synergizes the strengths of DriveVLM with the traditional autonomous driv- ing pipeline.",9bc4ddaf8b4c7d37d7ce32a4f6949226b8895b55a3f49cde1da30907b72194e8,32,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
7,SBV2-ALL92-G034,AD-012-S1,AD-012,autonomous_driving,Bench2Drive,https://arxiv.org/abs/2406.03877,2406.03877,pdfs/AD-012__2406.03877.pdf,1,pdf_page_1,experiment_setup,"We implement state-of-the-art E2E-AD models and evaluate them in Bench2Drive, providing insights regarding current status and future directions.",f4dcba23b1fffd3c34dc76c21a7e8f2e388e72af9a3fbc7aa156ed587f54d058,18,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
8,SBV2-ALL92-G035,AD-012-S2,AD-012,autonomous_driving,Bench2Drive,https://arxiv.org/abs/2406.03877,2406.03877,pdfs/AD-012__2406.03877.pdf,6,pdf_page_6,metric_result,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.",ae3ced88d74b1b526f193c1547f5869eab61219d3256eaf13c5853d57d18c4cf,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
9,SBV2-ALL92-G036,AD-012-S3,AD-012,autonomous_driving,Bench2Drive,https://arxiv.org/abs/2406.03877,2406.03877,pdfs/AD-012__2406.03877.pdf,4,pdf_page_4,limitation,"As widely discussed in the community [42, 43], the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level.Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set.",8ecdb274207549aeebabcdc8b6471d8d3fa0cdb0538b92d474fa30bd187ec383,45,accepted_clean_pdf_verified,True,,PDF trace verified on page 4; evidence_text and evidence_text_sha256 preserved exactly.
10,SBV2-ALL92-G037,AD-014-S1,AD-014,autonomous_driving,NAVSIM,https://arxiv.org/abs/2406.15349,2406.15349,pdfs/AD-014__2406.15349.pdf,6,pdf_page_6,experiment_setup,"Due to the heavy computational requirements of closed-loop simulation, we evaluate on the navmini split.",ccd42e0f7d7ae867bd8e6a5bd66830af86c6f746443a1165334d93b997d37e85,15,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
11,SBV2-ALL92-G038,AD-014-S2,AD-014,autonomous_driving,NAVSIM,https://arxiv.org/abs/2406.15349,2406.15349,pdfs/AD-014__2406.15349.pdf,5,pdf_page_5,metric_result,"The resulting scenarios are challenging, which is underlined by the score of the constant velocity agent dropping to 22%, whereas the human expert achieves a score of 95%.",8499f5cbba9e06db16afe60187ddebb9fd51d04f4f603fa912cec82c896368d5,28,accepted_clean_pdf_verified,True,,PDF trace verified on page 5; evidence_text and evidence_text_sha256 preserved exactly.
12,SBV2-ALL92-G039,AD-014-S3,AD-014,autonomous_driving,NAVSIM,https://arxiv.org/abs/2406.15349,2406.15349,pdfs/AD-014__2406.15349.pdf,3,pdf_page_3,limitation,"Unfortunately, ensuring realism when simulating traffic behavior or sensor data remains a challenging task.",569ef22cb9e4a2c255d148396e3a8f918e51556e5f1c57b9219aa772a14a2828,14,accepted_clean_pdf_verified,True,,PDF trace verified on page 3; evidence_text and evidence_text_sha256 preserved exactly.
1,SBV2-ALL92-G040,AD-015-S1,AD-015,autonomous_driving,DriveE2E: Closed-Loop Benchmark for End-to-End Autonomous Driving through Real-to-Simulation,https://arxiv.org/abs/2509.23922,2509.23922,pdfs/AD-015__2509.23922.pdf,7,pdf_page_7,experiment_setup,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.,28f42a808c89c2b3744ef58a0fc617ee2615e0f65abd36d40d5e761b85adcf95,20,accepted_clean_pdf_verified,True,,PDF trace verified on page 7; evidence_text and evidence_text_sha256 preserved exactly.
2,SBV2-ALL92-G042,AD-015-S3,AD-015,autonomous_driving,DriveE2E: Closed-Loop Benchmark for End-to-End Autonomous Driving through Real-to-Simulation,https://arxiv.org/abs/2509.23922,2509.23922,pdfs/AD-015__2509.23922.pdf,1,pdf_page_1,limitation,"To address these limitations, we introduce a simple yet challenging closed-loop evaluation framework that closely integrates real-world driving scenarios into the CARLA simulator with infrastructure cooperation.",74847b17e1e7552830bd19ec5aaa63d091891e003ba3396ca79b570521e98597,26,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
3,SBV2-ALL92-G043,AD-016-S1,AD-016,autonomous_driving,HABIT,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,7,pdf_page_7,experiment_setup,Prediction and Planning on HABIT We evaluate three recent end-to-end autonomous driving agents on HABIT’s semantically diverse pedestrian behav- iors.,fac12c8f7a7009e63efee3fd21674cf530c342cbefe23640167239b17c7492ea,21,accepted_clean_pdf_verified,True,,PDF trace verified on page 7; evidence_text and evidence_text_sha256 preserved exactly.
4,SBV2-ALL92-G044,AD-016-S2,AD-016,autonomous_driving,HABIT,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,7,pdf_page_7,metric_result,"Our goal is to analyze the impact of diverse, seman- tically grounded pedestrian behavior on planning robust- ness and prediction accuracy of autonomous agents.",ef9180a7418a79c4739da256dd0e67b780cee936d149b49b101422266af7a248,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 7; evidence_text and evidence_text_sha256 preserved exactly.
5,SBV2-ALL92-G045,AD-016-S3,AD-016,autonomous_driving,HABIT,https://arxiv.org/abs/2511.19109,2511.19109,pdfs/AD-016__2511.19109.pdf,8,pdf_page_8,limitation,"Conclusion and future work In this work, we introduced HABIT (Human Action Bench- mark for Interactive Traffic), a high-fidelity simulation benchmark designed to address the critical limitations of current autonomous driving (AD) simulations in repre- senting realistic human behavior.",ad093aa0d0e0015d84a82ef9ee3d2af919148a658b3ba4609ae4fde0e9c9bb5f,39,accepted_clean_pdf_verified,True,,PDF trace verified on page 8; evidence_text and evidence_text_sha256 preserved exactly.
6,SBV2-ALL92-G046,AD-017-S1,AD-017,autonomous_driving,V-Max: Making RL Practical for Autonomous Driving,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,9,pdf_page_9,experiment_setup,"We implemented the following encoder architectures with the Flax library (Heek et al., 2024): (1) Latent-query (LQ): inspired from (Jaegle et al., 2021), (2) Latent-query hierarchical (LQH) (Bronstein et al., 2022); (3) Motion Transformer (MTR) (Shi et al., 2024), (4) Wayformer (Nayakanti et al., 2023).",3c4fdc8f41094459c08e60596d23f2a3a994a79759904659ee242b6d057d13ee,45,accepted_clean_pdf_verified,True,,PDF trace verified on page 9; evidence_text and evidence_text_sha256 preserved exactly.
7,SBV2-ALL92-G047,AD-017-S2,AD-017,autonomous_driving,V-Max: Making RL Practical for Autonomous Driving,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,4,pdf_page_4,metric_result,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023).",13c3bfea715243eb5138ccf33e81cdfe7057f84807f16ea787f76060e9979814,12,accepted_clean_pdf_verified,True,,PDF trace verified on page 4; evidence_text and evidence_text_sha256 preserved exactly.
8,SBV2-ALL92-G048,AD-017-S3,AD-017,autonomous_driving,V-Max: Making RL Practical for Autonomous Driving,https://arxiv.org/abs/2503.08388,2503.08388,pdfs/AD-017__2503.08388.pdf,1,pdf_page_1,limitation,"Imitation Learning (IL) remains the dominant paradigm, benefiting from large-scale human demonstration datasets, but it suffers from inherent limitations such as distri- bution shift and imitation gaps.",d3cec8161f3c53612ef6ef0351b2652242be7411ae2c286aaa47fe846e416957,27,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
1,SBV2-ALL92-G050,AD-018-S2,AD-018,autonomous_driving,URB: Urban Routing Benchmark for RL-equipped Connected Autonomous Vehicles,https://arxiv.org/abs/2505.17734,2505.17734,pdfs/AD-018__2505.17734.pdf,1,pdf_page_1,metric_result,"Our results show that, despite the lengthy and costly training, state-of-the-art MARL algorithms rarely outperformed humans.",fd899a099887baa50139352b016efaca739f9b94bee4f740c747c9190e745515,16,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
2,SBV2-ALL92-G051,AD-018-S3,AD-018,autonomous_driving,URB: Urban Routing Benchmark for RL-equipped Connected Autonomous Vehicles,https://arxiv.org/abs/2505.17734,2505.17734,pdfs/AD-018__2505.17734.pdf,9,pdf_page_9,limitation,"5 Conclusions, limitations, broader impact and future work In this paper, we introduced a framework for testing RL routing algorithms in city-scale networks and reported a comprehensive benchmarking study using community implementations of a selection of standard MARL algorithms.",6cf9b7ee693d8ab6538934520def322aa582ff241126f17a6742a88036fc0046,39,accepted_clean_pdf_verified,True,,PDF trace verified on page 9; evidence_text and evidence_text_sha256 preserved exactly.
3,SBV2-ALL92-G052,AD-019-S1,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,5,pdf_page_5,experiment_setup,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours.",2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 5; evidence_text and evidence_text_sha256 preserved exactly.
4,SBV2-ALL92-G053,AD-019-S2,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,2,pdf_page_2,metric_result,"Our results showed that our trained policy outperforms the no-traffic- signal baseline, performs comparably to traffic signal control and consistently observes high throughput and low wait time, across all test scenarios with various topologies.",296987e98ee181d994de07e40b5be9e294244336b9e80583a11150a385ab4139,34,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
5,SBV2-ALL92-G054,AD-019-S3,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,2,pdf_page_2,limitation,"Nevertheless, these scenarios often lack real-world complexity and cannot be directly imple- mented in general open-world situations.",05385320a3dabb2769a4404d991a6229764d3468b2cdfcd7960dd017040d96b2,17,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
6,SBV2-ALL92-G055,AD-020-S1,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,1,pdf_page_1,experiment_setup,We evaluate the performance of the MARL-based algorithm in comparison to a previously deployed non-RL VSL benchmark algorithm on I-24.,4c785c602e2a5a5ad364b0997c7c457fbd6afee3f9f0b4cbfe08de9958a0c7dc,20,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
7,SBV2-ALL92-G056,AD-020-S2,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,1,pdf_page_1,metric_result,Results show that the MARL-based VSL control system achieves a superior performance.,3c94195932294a5e606f76fd1be1de60ffecc726e533ef8dc962b20ac5653f32,12,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
8,SBV2-ALL92-G057,AD-020-S3,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,4,pdf_page_4,limitation,"For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum.",421a0ba2a3cb6cd23c611d6e26614c3a1620b86117ec3cb9e8d8a9583d23e379,42,accepted_clean_pdf_verified,True,,PDF trace verified on page 4; evidence_text and evidence_text_sha256 preserved exactly.
9,SBV2-ALL92-G058,AD-021-S1,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,10,pdf_page_10,experiment_setup,"For O1-mini, we evaluated its performance in a complete setting, controlling all 196 intersec- tions in the New York 1 dataset and simulating traffic for 3600 seconds.",4b7bca8a40f2cc154c8e26cf2203e45d20a5424a5b40acbc0cf92a776774ba72,27,accepted_clean_pdf_verified,True,,PDF trace verified on page 10; evidence_text and evidence_text_sha256 preserved exactly.
10,SBV2-ALL92-G059,AD-021-S2,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,6,pdf_page_6,metric_result,The results show that CoLLMLight outperforms the SOTA LLMs within complex coordination scenarios.,1c2782104cad8a6da1b5ad9c57580442578d06b0d264380c6233292c9951cee6,13,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
11,SBV2-ALL92-G060,AD-021-S3,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,1,pdf_page_1,limitation,"However, effectively managing traffic signals in complex and dynamic urban road networks remains a formidable challenge.",3051a40b51265b4f68b6f159cb78248b42d15f40401beb7495e5f429ab213e82,16,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
12,SBV2-ALL92-G062,AD-023-S2,AD-023,autonomous_driving,Historical Prediction Attention for Work Zone Safety in a Digital Twin Environment,https://arxiv.org/abs/2508.06544,2508.06544,pdfs/AD-023__2508.06544.pdf,21,pdf_page_21,metric_result,"Evaluation results show that the adapted HPNet model achieves prediction accuracy on simulated work zone datasets, on par with benchmarks from established datasets, such as Argov- erse and INTERACTION.",c6d6298baecee5a3ac046fdb5e685dad7835f34d5e9513f960c50aa700ba6a01,29,accepted_clean_pdf_verified,True,,PDF trace verified on page 21; evidence_text and evidence_text_sha256 preserved exactly.
