candidate_id,claim_text,evidence_text,true_label,retrieval_setting,source_pair_id,retrieved_chunk_ids,retrieved_ranks,retrieved_pages,oracle_hit_in_topk
SBV2-ALL92-G007-SUPPORTED,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as the best result.","[RANK=1][PDF=AD-003][PAGE=8] a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",supported,bm25_top1,AD-003,AD-003_p8_c3,1,8,True
SBV2-ALL92-G007-MILD,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","[RANK=1][PDF=AD-003][PAGE=8] a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",mild_scope_overclaim,bm25_top1,AD-003,AD-003_p8_c3,1,8,True
SBV2-ALL92-G007-STRONG,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.","[RANK=1][PDF=AD-003][PAGE=8] a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",strong_action_overclaim,bm25_top1,AD-003,AD-003_p8_c3,1,8,True
SBV2-ALL92-G007-CONTRA,"HiDrive reports that conventional end-to-end methods perform strongly, with DiffusionDrive reaching 84.2 Overall DS as the best result.","[RANK=1][PDF=AD-003][PAGE=8] a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",contradiction_candidate,bm25_top1,AD-003,AD-003_p8_c3,1,8,True
SBV2-ALL92-G008-SUPPORTED,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.","[RANK=1][PDF=AD-003][PAGE=1] HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",supported,bm25_top1,AD-003,AD-003_p1_c0,1,1,True
SBV2-ALL92-G008-MILD,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth for common closed-loop evaluations.","[RANK=1][PDF=AD-003][PAGE=1] HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",mild_scope_overclaim,bm25_top1,AD-003,AD-003_p1_c0,1,1,True
SBV2-ALL92-G008-STRONG,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.","[RANK=1][PDF=AD-003][PAGE=1] HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",strong_action_overclaim,bm25_top1,AD-003,AD-003_p1_c0,1,1,True
SBV2-ALL92-G008-CONTRA,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.","[RANK=1][PDF=AD-003][PAGE=1] HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",contradiction_candidate,bm25_top1,AD-003,AD-003_p1_c0,1,1,True
SBV2-ALL92-G011-SUPPORTED,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,"[RANK=1][PDF=AD-004][PAGE=1] can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",supported,bm25_top1,AD-004,AD-004_p1_c1,1,1,True
SBV2-ALL92-G011-MILD,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,"[RANK=1][PDF=AD-004][PAGE=1] can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",mild_scope_overclaim,bm25_top1,AD-004,AD-004_p1_c1,1,1,True
SBV2-ALL92-G011-STRONG,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal a comprehensive failure taxonomy for closed-loop planners during evaluation.,"[RANK=1][PDF=AD-004][PAGE=1] can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",strong_action_overclaim,bm25_top1,AD-004,AD-004_p1_c1,1,1,True
SBV2-ALL92-G011-CONTRA,Bench2Drive-Robust reports that perturbations preserve closed-loop performance and match the robustness signals from image-level corruption evaluations in results.,"[RANK=1][PDF=AD-004][PAGE=1] can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",contradiction_candidate,bm25_top1,AD-004,AD-004_p1_c1,1,1,True
SBV2-ALL92-G013-C01,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for its evaluation pipeline and renderer tests.,[RANK=1][PDF=AD-005][PAGE=3] Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,supported,bm25_top1,AD-005,AD-005_p3_c0,1,3,True
SBV2-ALL92-G013-C02,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for evaluation pipelines with several renderer comparisons.,[RANK=1][PDF=AD-005][PAGE=3] Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,mild_scope_overclaim,bm25_top1,AD-005,AD-005_p3_c0,1,3,True
SBV2-ALL92-G013-C03,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,[RANK=1][PDF=AD-005][PAGE=3] Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,strong_action_overclaim,bm25_top1,AD-005,AD-005_p3_c0,1,3,True
SBV2-ALL92-G013-C04,The Bench2Drive-R study implements an open-loop noninteractive simulation platform unrelated to nuPlan for its evaluation pipeline and renderer tests.,[RANK=1][PDF=AD-005][PAGE=3] Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,contradiction_candidate,bm25_top1,AD-005,AD-005_p3_c0,1,3,True
SBV2-ALL92-G014-C01,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a lower FID score.",[RANK=1][PDF=AD-005][PAGE=9] Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,supported,bm25_top1,AD-005,AD-005_p9_c0,1,9,True
SBV2-ALL92-G014-C02,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID and stronger segmentation scores.",[RANK=1][PDF=AD-005][PAGE=9] Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,mild_scope_overclaim,bm25_top1,AD-005,AD-005_p9_c0,1,9,True
SBV2-ALL92-G014-C03,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.",[RANK=1][PDF=AD-005][PAGE=9] Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,strong_action_overclaim,bm25_top1,AD-005,AD-005_p9_c0,1,9,True
SBV2-ALL92-G014-C04,"Table 2 reports Bench2Drive-R achieves worse generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a higher FID score.",[RANK=1][PDF=AD-005][PAGE=9] Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,contradiction_candidate,bm25_top1,AD-005,AD-005_p9_c0,1,9,True
SBV2-ALL92-G018-C01,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in closed-loop evaluation.","[RANK=1][PDF=AD-006][PAGE=7] 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",supported,bm25_top1,AD-006,AD-006_p7_c0,1,7,True
SBV2-ALL92-G018-C02,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in several evaluated metrics.","[RANK=1][PDF=AD-006][PAGE=7] 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",mild_scope_overclaim,bm25_top1,AD-006,AD-006_p7_c0,1,7,True
SBV2-ALL92-G018-C03,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.","[RANK=1][PDF=AD-006][PAGE=7] 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",strong_action_overclaim,bm25_top1,AD-006,AD-006_p7_c0,1,7,True
SBV2-ALL92-G018-C04,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indicating current models face minimal limitations in closed-loop evaluation in this study.","[RANK=1][PDF=AD-006][PAGE=7] 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",contradiction_candidate,bm25_top1,AD-006,AD-006_p7_c0,1,7,True
SBV2-ALL92-G019-C01,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epochs on nuScenes with a learning rate of 2e-4.,"[RANK=1][PDF=AD-007][PAGE=6] modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",supported,bm25_top1,AD-007,AD-007_p6_c1,1,6,False
SBV2-ALL92-G019-C02,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for three epochs on nuScenes with a learning rate of 2e-4.,"[RANK=1][PDF=AD-007][PAGE=6] modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",mild_scope_overclaim,bm25_top1,AD-007,AD-007_p6_c1,1,6,False
SBV2-ALL92-G019-C03,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,"[RANK=1][PDF=AD-007][PAGE=6] modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",strong_action_overclaim,bm25_top1,AD-007,AD-007_p6_c1,1,6,False
SBV2-ALL92-G019-C04,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KITTI with a learning rate of 1e-4.,"[RANK=1][PDF=AD-007][PAGE=6] modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",contradiction_candidate,bm25_top1,AD-007,AD-007_p6_c1,1,6,False
