candidate_id,true_label,source_pair_id,oracle_found_in_pdf,top1_oracle_hit,top3_oracle_hit,top5_oracle_hit,top1_same_paper,retrieval_error_type,retrieval_reason,r4_error_type,r4_reason,strong_action_false_negative,strong_action_false_positive,contradiction_confusion,supported_mild_confusion
SBV2-ALL92-G007-SUPPORTED,supported,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G007-MILD,mild_scope_overclaim,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G007-STRONG,strong_action_overclaim,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G007-CONTRA,contradiction_candidate,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G008-SUPPORTED,supported,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G008-MILD,mild_scope_overclaim,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G008-STRONG,strong_action_overclaim,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G008-CONTRA,contradiction_candidate,AD-003,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G011-SUPPORTED,supported,AD-004,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G011-MILD,mild_scope_overclaim,AD-004,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G011-STRONG,strong_action_overclaim,AD-004,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G011-CONTRA,contradiction_candidate,AD-004,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G013-C01,supported,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G013-C02,mild_scope_overclaim,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G013-C03,strong_action_overclaim,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G013-C04,contradiction_candidate,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G014-C01,supported,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G014-C02,mild_scope_overclaim,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G014-C03,strong_action_overclaim,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G014-C04,contradiction_candidate,AD-005,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G018-C01,supported,AD-006,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G018-C02,mild_scope_overclaim,AD-006,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G018-C03,strong_action_overclaim,AD-006,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G018-C04,contradiction_candidate,AD-006,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G019-C01,supported,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G019-C02,mild_scope_overclaim,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G019-C03,strong_action_overclaim,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G019-C04,contradiction_candidate,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G020-C01,supported,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G020-C02,mild_scope_overclaim,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G020-C03,strong_action_overclaim,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G020-C04,contradiction_candidate,AD-007,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G021-C01,supported,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G021-C02,mild_scope_overclaim,AD-007,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G021-C03,strong_action_overclaim,AD-007,True,False,False,True,True,retrieval_partial_hit,Oracle in top-5 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G021-C04,contradiction_candidate,AD-007,True,False,False,True,True,retrieval_partial_hit,Oracle in top-5 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G025-C01,supported,AD-009,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G025-C02,mild_scope_overclaim,AD-009,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G025-C03,strong_action_overclaim,AD-009,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G025-C04,contradiction_candidate,AD-009,True,False,False,False,True,oracle_chunk_not_retrieved,Same paper but oracle chunk not in top-5,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G027-C01,supported,AD-009,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G027-C02,mild_scope_overclaim,AD-009,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G027-C03,strong_action_overclaim,AD-009,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G027-C04,contradiction_candidate,AD-009,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G028-C01,supported,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G028-C02,mild_scope_overclaim,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G028-C03,strong_action_overclaim,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G028-C04,contradiction_candidate,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G030-C01,supported,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G030-C02,mild_scope_overclaim,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G030-C03,strong_action_overclaim,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G030-C04,contradiction_candidate,AD-010,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G031-C01,supported,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G031-C02,mild_scope_overclaim,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G031-C03,strong_action_overclaim,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G031-C04,contradiction_candidate,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G032-C01,supported,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G032-C02,mild_scope_overclaim,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G032-C03,strong_action_overclaim,AD-011,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G032-C04,contradiction_candidate,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G033-C01,supported,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G033-C02,mild_scope_overclaim,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G033-C03,strong_action_overclaim,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G033-C04,contradiction_candidate,AD-011,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G034-C01,supported,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G034-C02,mild_scope_overclaim,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G034-C03,strong_action_overclaim,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G034-C04,contradiction_candidate,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G035-C01,supported,AD-012,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G035-C02,mild_scope_overclaim,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G035-C03,strong_action_overclaim,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G035-C04,contradiction_candidate,AD-012,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G036-C01,supported,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G036-C02,mild_scope_overclaim,AD-012,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G036-C03,strong_action_overclaim,AD-012,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
