candidate_id,target_candidate_group_id,selector,selected_evidence,selected_source_unit_id,selected_chunk_id,selected_rank,selected_page_number,selector_score,n_words,source_type,selection_reason,selected_evidence_sha256
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,raw_top1_chunk,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",,AD-002_p5_c1,1,5,79.0118,85,raw_chunk,raw chunk text from rank=1 retrieval,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,raw_top1_chunk,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",,AD-002_p5_c1,1,5,36.0196,85,raw_chunk,raw chunk text from rank=1 retrieval,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,raw_top1_chunk,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",,AD-003_p8_c3,1,8,56.2021,76,raw_chunk,raw chunk text from rank=1 retrieval,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,raw_top1_chunk,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",,AD-003_p8_c3,1,8,52.0011,76,raw_chunk,raw chunk text from rank=1 retrieval,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,raw_top1_chunk,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",,AD-003_p8_c3,1,8,62.4916,76,raw_chunk,raw chunk text from rank=1 retrieval,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,raw_top1_chunk,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",,AD-003_p8_c3,1,8,47.4363,76,raw_chunk,raw chunk text from rank=1 retrieval,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,raw_top1_chunk,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",,AD-003_p1_c0,1,1,39.5329,56,raw_chunk,raw chunk text from rank=1 retrieval,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,raw_top1_chunk,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",,AD-003_p1_c0,1,1,40.5762,56,raw_chunk,raw chunk text from rank=1 retrieval,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,raw_top1_chunk,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",,AD-003_p1_c0,1,1,34.5559,56,raw_chunk,raw chunk text from rank=1 retrieval,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,raw_top1_chunk,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",,AD-003_p1_c0,1,1,31.5241,56,raw_chunk,raw chunk text from rank=1 retrieval,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,raw_top1_chunk,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",,AD-004_p1_c1,1,1,59.1648,63,raw_chunk,raw chunk text from rank=1 retrieval,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,raw_top1_chunk,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",,AD-004_p1_c1,1,1,58.0543,63,raw_chunk,raw chunk text from rank=1 retrieval,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10
SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,raw_top1_chunk,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",,AD-004_p1_c1,1,1,39.6678,63,raw_chunk,raw chunk text from rank=1 retrieval,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10
SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,raw_top1_chunk,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deployment-oriented perturbations arising from three major sources: camera-stream failures (frame drop, partial observation), ego-state esti- mation errors (GPS noise, and speed or odometry errors), and comput",,AD-004_p1_c1,1,1,49.4661,63,raw_chunk,raw chunk text from rank=1 retrieval,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10
SBV2-ALL92-G013-C01,SBV2-ALL92-G013,raw_top1_chunk,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,,AD-005_p3_c0,1,3,40.4376,63,raw_chunk,raw chunk text from rank=1 retrieval,5ab0c33347a036bb5d621bf72141451e5853c6d84a450750c52355bd698f1a91
SBV2-ALL92-G013-C02,SBV2-ALL92-G013,raw_top1_chunk,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,,AD-005_p3_c0,1,3,41.1018,63,raw_chunk,raw chunk text from rank=1 retrieval,5ab0c33347a036bb5d621bf72141451e5853c6d84a450750c52355bd698f1a91
SBV2-ALL92-G013-C03,SBV2-ALL92-G013,raw_top1_chunk,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,,AD-005_p3_c0,1,3,40.4376,63,raw_chunk,raw chunk text from rank=1 retrieval,5ab0c33347a036bb5d621bf72141451e5853c6d84a450750c52355bd698f1a91
SBV2-ALL92-G013-C04,SBV2-ALL92-G013,raw_top1_chunk,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera,,AD-005_p3_c0,1,3,34.5141,63,raw_chunk,raw chunk text from rank=1 retrieval,5ab0c33347a036bb5d621bf72141451e5853c6d84a450750c52355bd698f1a91
SBV2-ALL92-G014-C01,SBV2-ALL92-G014,raw_top1_chunk,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,,AD-005_p9_c0,1,9,64.2306,88,raw_chunk,raw chunk text from rank=1 retrieval,a772378b2931709395103cc6970baa19efedbafea24e12564c8e6d499c0fedaf
SBV2-ALL92-G014-C02,SBV2-ALL92-G014,raw_top1_chunk,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,,AD-005_p9_c0,1,9,69.1849,88,raw_chunk,raw chunk text from rank=1 retrieval,a772378b2931709395103cc6970baa19efedbafea24e12564c8e6d499c0fedaf
SBV2-ALL92-G014-C03,SBV2-ALL92-G014,raw_top1_chunk,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,,AD-005_p9_c0,1,9,71.8442,88,raw_chunk,raw chunk text from rank=1 retrieval,a772378b2931709395103cc6970baa19efedbafea24e12564c8e6d499c0fedaf
SBV2-ALL92-G014-C04,SBV2-ALL92-G014,raw_top1_chunk,Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6. Closed-Loop Planning Methods BEVFormer R-CLS NDS↑mAP↑ Log-Replay 0.05 0.03 27.24 No Ref & No Prev 23.31 12,,AD-005_p9_c0,1,9,57.2031,88,raw_chunk,raw chunk text from rank=1 retrieval,a772378b2931709395103cc6970baa19efedbafea24e12564c8e6d499c0fedaf
SBV2-ALL92-G018-C01,SBV2-ALL92-G018,raw_top1_chunk,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",,AD-006_p7_c0,1,7,50.2449,73,raw_chunk,raw chunk text from rank=1 retrieval,14ee916ba29c2e65c7a509bb9f73ebad04151ad67806a3915a7b11e89c40155a
SBV2-ALL92-G018-C02,SBV2-ALL92-G018,raw_top1_chunk,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",,AD-006_p7_c0,1,7,47.7303,73,raw_chunk,raw chunk text from rank=1 retrieval,14ee916ba29c2e65c7a509bb9f73ebad04151ad67806a3915a7b11e89c40155a
SBV2-ALL92-G018-C03,SBV2-ALL92-G018,raw_top1_chunk,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",,AD-006_p7_c0,1,7,43.4446,73,raw_chunk,raw chunk text from rank=1 retrieval,14ee916ba29c2e65c7a509bb9f73ebad04151ad67806a3915a7b11e89c40155a
SBV2-ALL92-G018-C04,SBV2-ALL92-G018,raw_top1_chunk,"4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting. In contr",,AD-006_p7_c0,1,7,44.3281,73,raw_chunk,raw chunk text from rank=1 retrieval,14ee916ba29c2e65c7a509bb9f73ebad04151ad67806a3915a7b11e89c40155a
SBV2-ALL92-G019-C01,SBV2-ALL92-G019,raw_top1_chunk,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",,AD-007_p6_c1,1,6,57.94,81,raw_chunk,raw chunk text from rank=1 retrieval,14c8617e1985e4ac4d5e2b113f4a71110bfb87284cbabc0a641275934d4456b3
SBV2-ALL92-G019-C02,SBV2-ALL92-G019,raw_top1_chunk,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",,AD-007_p6_c1,1,6,56.0157,81,raw_chunk,raw chunk text from rank=1 retrieval,14c8617e1985e4ac4d5e2b113f4a71110bfb87284cbabc0a641275934d4456b3
SBV2-ALL92-G019-C03,SBV2-ALL92-G019,raw_top1_chunk,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",,AD-007_p6_c1,1,6,56.0157,81,raw_chunk,raw chunk text from rank=1 retrieval,14c8617e1985e4ac4d5e2b113f4a71110bfb87284cbabc0a641275934d4456b3
SBV2-ALL92-G019-C04,SBV2-ALL92-G019,raw_top1_chunk,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4. The fine-tuning process is executed on eight A6000 GPUs with the batch size of 1. While, in test stage, we adopt the greedy decoding with an output token limit of 512. For our TTA method, we adopt",,AD-007_p6_c1,1,6,33.6472,81,raw_chunk,raw chunk text from rank=1 retrieval,14c8617e1985e4ac4d5e2b113f4a71110bfb87284cbabc0a641275934d4456b3
SBV2-ALL92-G020-C01,SBV2-ALL92-G020,raw_top1_chunk,"metrics, indicating superior ro- bustness and safety. In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption. While non-language-driven methods such as UniAD and VAD demonstrate strong sensor-based L2 robustness, they exhibit poor performance in safety-related metrics like Avg- Col and mCC. Models like DriveVLM and OpenEMMA benefit from language-driven reasoning",,AD-007_p6_c4,1,6,83.5577,64,raw_chunk,raw chunk text from rank=1 retrieval,e5726491e351350d0f53f49d45127b5d3c539f49028c46e79c5e0152008b7d42
