file_path,stale_claim,risk_level,recommended_replacement,should_edit
d:\ocn\_PROJECT_INDEX\script_second_pass_cleanup_note.md,"note references V3.7 as current paper",medium,"Add realignment note pointing to mainline_realignment_v1",yes
d:\ocn\_PROJECT_INDEX\script_archive_manifest.csv,"archive manifest anchored on V3.7 mainline",low,"Historical archive manifest; no edit required, document historical status in change_log",no
d:\ocn\_PROJECT_INDEX\archived_file_manifest.csv,"archive file manifest anchored on V3.7 mainline",low,"Historical archive manifest; no edit required, document historical status in change_log",no
d:\ocn\_PROJECT_INDEX\project_cleanup_report.md,"cleanup report references V3.7 as current paper",medium,"Add realignment note: current mainline is V3.17 baseline",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_mainline_assessment.md,"'CESE-OCN R4: a relation-specific screening router under the hierarchical diagnostic taxonomy' cited as the current mainline",high,"Reframe: current mainline is offline PDF-corpus evidence-sufficiency screening (PDF -> BM25 -> evidence canonicalization -> R4 second-stage screening -> risk ranking -> review queue); hierarchical taxonomy retained as paper-level interpretation only",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_mainline_assessment.md,"'V3.15 hierarchical taxonomy revision' cited as basis for current mainline",high,"Update basis to V3.17 baseline + V3.18 intelligent upgrade (negative result); V3.15/V3.16 retained as historical paper revisions",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_mainline_assessment.md,"'§VII 50-pair two-layer gold pilot' positioned as the single most decisive next action",medium,"Reposition: gold pilot remains a future credibility step but is NOT the current mainline direction; current direction is the offline PDF-corpus screening framework with V3.17 baseline selected",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_mainline_assessment.md,"R4 described as 'relation-specific screening router under the hierarchical taxonomy' without evidence canonicalization context",high,"Update: R4 is a second-stage screening router in the offline PDF-corpus pipeline; raw retrieved chunks degrade R4 screening; evidence canonicalization (best_sentence_top5_overlap) is the bridge that restores strong_action screening",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\allowed_vs_forbidden_claims_current.md,"Allowed claim #3 describes R4 as 'relation-specific screening router under the hierarchical taxonomy'",high,"Update to: R4 is a second-stage screening router in the offline PDF-corpus evidence-sufficiency pipeline; not standalone; depends on evidence canonicalization",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\allowed_vs_forbidden_claims_current.md,"allowed/forbidden list lacks V3.17 baseline and V3.18 negative ablation positioning",high,"Add allowed: V3.17 baseline selected as main method; evidence canonicalization restores strong_action screening; simple overlap-based canonicalization is robust. Add forbidden: learned selector/ranker improves main method; BM25 raw chunks alone solve screening; V3.18 intelligent upgrade selected",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_project_state_master_report.md,"master report anchored on V3.7/V3.15/V3.16 hierarchical taxonomy mainline",high,"Add realignment section pointing to mainline_realignment_v1; current mainline is V3.17 baseline",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\gate_synthesis_report.md,"gate synthesis anchored on V3.15/V3.16 hierarchical taxonomy gates",medium,"Add realignment note: V3.17 baseline + V3.18 gate are the current authoritative gates",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\paper_version_lineage_report.md,"lineage report lists V3.7 as the current paper version",medium,"Update: V3.7 is historical advisor-handoff draft; current selected method is V3.17 baseline (not a paper version per se); V3.18 is exploratory negative ablation",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\paper_version_inventory.csv,"inventory lists V3.7 as the latest/current paper version",medium,"Add note: V3.7 is the latest paper draft; current selected mainline method is V3.17 baseline (offline PDF-corpus screening)",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\experiment_result_synthesis.md,"synthesis does not include V3.17 baseline or V3.18 intelligent upgrade results",high,"Add V3.17 baseline (strong_F1=0.4503, P@20=0.45, R@100=0.3303) and V3.18 negative result (selector strong_F1=0.4444, ranker P@20=0.35)",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\current_project_state_gate.json,"gate does not reference V3.17 baseline or evidence canonicalization as mainline",medium,"Add realignment_fields: current_mainline, selected_method_version, deprecated_versions",yes
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\clean_state_gate.json,"gate anchored on V3.7 paper mainline",low,"Historical clean-state gate; document historical status in change_log",no
d:\ocn\project_synthesis\current_project_state_consolidation_clean_v1\cleaning_log.md,"cleaning log references V3.7 as current paper",low,"Historical cleaning log; document historical status in change_log",no
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_mainline_assessment.md,"older consolidation v1 (non-clean) describes V3.7/V3.15 hierarchical taxonomy as mainline",medium,"Historical consolidation; superseded by current_project_state_consolidation_clean_v1 and now by mainline_realignment_v1; document historical status in change_log",no
d:\ocn\project_synthesis\current_project_state_consolidation_v1\allowed_vs_forbidden_claims_current.md,"older allowed/forbidden list anchored on V3.15 hierarchical taxonomy",medium,"Historical; superseded; document historical status in change_log",no
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_project_state_master_report.md,"older master report anchored on V3.7/V3.15",medium,"Historical; superseded; document historical status in change_log",no
d:\ocn\project_synthesis\current_project_state_consolidation_v1\current_project_state_gate.json,"older gate anchored on V3.7/V3.15",low,"Historical; superseded; document historical status in change_log",no
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\mainline_impact_summary.md,"V3.16 integration summary describes hierarchical taxonomy as the mainline impact",medium,"Historical V3.16 revision plan; document historical status in change_log",no
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\next_route_decision.md,"V3.16 next-route decision positions gold pilot as the immediate next step",medium,"Historical V3.16 decision; superseded by V3.17 baseline selection; document historical status in change_log",no
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\V3_16_revision_plan.md,"V3.16 revision plan anchored on hierarchical taxonomy paper revision",low,"Historical paper revision plan; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\no_gold_evidence_integration_master_report.md,"V3.16 no-gold integration report describes hierarchical taxonomy + scalar baseline as mainline",medium,"Historical V3.16 plan; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\V3_16_no_gold_revision_plan.md,"V3.16 no-gold revision plan",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\scalar_baseline_report.md,"scalar baseline report positions RIGOURATE-style proxy as a mainline-relevant baseline",medium,"Historical; document historical status in change_log; current mainline does not depend on scalar baseline",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\scalar_vs_r4_llm_report.md,"scalar vs R4 vs LLM comparison report",low,"Historical comparison; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\low_prevalence_screening_report.md,"low-prevalence screening report",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\public_dataset_positioning_insert.md,"public dataset positioning insert",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\forcebench_feasibility_report.md,"ForceBench feasibility report",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\claim_realism_auto_summary.md,"claim realism auto summary",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\no_gold_evidence_integration_gate.json,"V3.16 no-gold integration gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\scalar_baseline_gate.json,"scalar baseline gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\forcebench_gate.json,"ForceBench gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part1_scalar_baseline\rigourate_official_reproduction_status.md,"RIGOURATE official reproduction status report",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part1_scalar_baseline\scalar_baseline_report.md,"scalar baseline report (part1)",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part1_scalar_baseline\rigourate_official_gate.json,"RIGOURATE official gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part1_scalar_baseline\part1_scalar_baseline_gate.json,"part1 scalar baseline gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part2_comparison_and_synthesis\no_gold_differentiation_master_report.md,"no-gold differentiation master report",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part2_comparison_and_synthesis\no_gold_pipeline_gate.json,"no-gold pipeline gate",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part2_comparison_and_synthesis\forcebench_gate.json,"ForceBench gate (part2)",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\part2_comparison_and_synthesis\scalar_vs_r4_llm_report.md,"scalar vs R4 vs LLM report (part2)",low,"Historical; document historical status in change_log",no
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_feasibility_note.md,"local LLM baseline feasibility note describes local LLM baseline as a future step",low,"Already aligned: local LLM baseline is future work, NOT completed; document as already-correct",no
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_future_work_protocol.md,"local LLM future work protocol",low,"Already aligned: future work only; no edit required",no
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_gate.json,"local LLM gate",low,"Already aligned: future work; no edit required",no
d:\ocn\experiments\v3_18_intelligent_upgrade_v1\v3_18_intelligent_upgrade_report.md,"V3.18 report already states V3.17 baseline is best and V3.18 is negative result",low,"Already aligned; no edit required",no
d:\ocn\experiments\v3_18_intelligent_upgrade_v1\v3_18_intelligent_upgrade_gate.json,"V3.18 gate already states supports_v3_18_intelligent_upgrade=false and best_overall_method=V3.17_baseline",low,"Already aligned; no edit required",no
d:\ocn\experiments\canonicalized_review_queue_v1\canonicalized_review_queue_report.md,"canonicalized review queue report already aligns with V3.17 baseline (best_sentence_top5_overlap + second-stage)",low,"Already aligned; no edit required",no
d:\ocn\experiments\canonicalized_review_queue_v1\canonicalized_review_queue_gate.json,"canonicalized review queue gate already states supports_v3_17_mainline and second-stage viable",low,"Already aligned; no edit required",no
d:\ocn\experiments\r4_evidence_canonicalization_v1\evidence_canonicalization_report.md,"evidence canonicalization report already states raw BM25 degrades R4 and canonicalization restores strong_action screening",low,"Already aligned; no edit required",no
d:\ocn\experiments\r4_evidence_canonicalization_v1\evidence_canonicalization_gate.json,"evidence canonicalization gate already states supports_v3_17_mainline=true and supports_pdf_corpus_screening_claim=true",low,"Already aligned; no edit required",no
d:\ocn\experiments\canonicalized_risk_ranking_v1\risk_ranking_report.md,"risk ranking report already aligns with V3.17 baseline (G_conservative_precision best variant)",low,"Already aligned; no edit required",no
d:\ocn\experiments\canonicalized_risk_ranking_v1\risk_ranking_gate.json,"risk ranking gate already states best_variant=G_conservative_precision and second-stage usable",low,"Already aligned; no edit required",no
d:\ocn\experiments\canonical_selector_robustness_v1\selector_robustness_report.md,"selector robustness report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\canonical_selector_robustness_v1\selector_robustness_gate.json,"selector robustness gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_retrieved_replay_v1\r4_replay_report.md,"R4 retrieved replay report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_retrieved_replay_v1\r4_replay_gate.json,"R4 retrieved replay gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_minimal_recovery_v1\r4_minimal_recovery_report.md,"R4 minimal recovery report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_minimal_recovery_v1\r4_recovery_gate.json,"R4 minimal recovery gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_backup_asset_search_v1\r4_backup_asset_search_report.md,"R4 backup asset search report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_backup_asset_search_v1\r4_backup_recovery_gate.json,"R4 backup recovery gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_on_retrieved_evidence_v1\r4_on_retrieved_evidence_report.md,"R4 on retrieved evidence report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\r4_on_retrieved_evidence_v1\r4_on_retrieved_evidence_gate.json,"R4 on retrieved evidence gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\simclaim_pdf_corpus_retrieval_v1\simclaim_pdf_retrieval_report.md,"SimClaim PDF corpus retrieval report",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\simclaim_pdf_corpus_retrieval_v1\simclaim_pdf_retrieval_gate.json,"SimClaim PDF retrieval gate",low,"Historical/diagnostic; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\H_master_summary\overnight_master_report.md,"overnight master report anchored on V3.15/V3.16 hierarchical taxonomy mainline",medium,"Historical overnight pipeline; document historical status in change_log; current mainline supersedes the overnight-pipeline framing",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\H_master_summary\overnight_master_gate.json,"overnight master gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\E_llm_conservatism_error_direction\llm_conservatism_report.md,"LLM conservatism report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\E_llm_conservatism_error_direction\llm_conservatism_gate.json,"LLM conservatism gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\G_scalar_baseline_sweep\scalar_baseline_gate.json,"scalar baseline sweep gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\G_scalar_baseline_sweep\scalar_baseline_sweep_report.md,"scalar baseline sweep report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\F_r4_false_positive_root_cause\r4_false_positive_root_cause_report.md,"R4 false positive root cause report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\F_r4_false_positive_root_cause\r4_false_positive_gate.json,"R4 false positive gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\D_boundary_collapse_fallback\boundary_collapse_report.md,"boundary collapse report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\D_boundary_collapse_fallback\boundary_collapse_gate.json,"boundary collapse gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\C_low_prevalence_screening\low_prevalence_report.md,"low prevalence report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\C_low_prevalence_screening\low_prevalence_gate.json,"low prevalence gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\B_claim_variant_template_risk\template_risk_report.md,"template risk report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\B_claim_variant_template_risk\template_risk_gate.json,"template risk gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\A_dataset_integrity_leakage\dataset_integrity_report.md,"dataset integrity report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\A_dataset_integrity_leakage\dataset_integrity_gate.json,"dataset integrity gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\strong_action_screening_comparison_report.md,"V3.15 scalar vs relation screening report",low,"Historical V3.15 deep test; document historical status in change_log",no
d:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\boundary_case_comparison_report.md,"V3.15 boundary case comparison report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\scalar_score_overlap_report.md,"V3.15 scalar score overlap report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\mild_vs_strong_scalar_boundary_report.md,"V3.15 mild vs strong scalar boundary report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_claim_realism_audit\claim_realism_audit_gate.json,"V3.15 claim realism audit gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_low_prevalence_screening_simulation\low_prevalence_screening_report.md,"V3.15 low prevalence screening simulation report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_15_low_prevalence_screening_simulation\low_prevalence_screening_gate.json,"V3.15 low prevalence screening gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_reproduction_master_report.md,"RIGOURATE reproduction master report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_style_vs_r4_report.md,"RIGOURATE style vs R4 report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\scalar_baseline_report.md,"scalar baseline report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\case_level_comparison_report.md,"case level comparison report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_reproduction_feasibility_report.md,"RIGOURATE reproduction feasibility report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\rigourate_reproduction_readiness_gate.json,"RIGOURATE reproduction readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_three_core_credibility_experiments\three_core_credibility_master_report.md,"V3.11 three core credibility master report",low,"Historical V3.11; document historical status in change_log",no
d:\ocn\experiments\v3_11_three_core_credibility_experiments\screening_utility_report.md,"V3.11 screening utility report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_three_core_credibility_experiments\label_shift_stress_report.md,"V3.11 label shift stress report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_three_core_credibility_experiments\evidence_necessity_report.md,"V3.11 evidence necessity report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_three_core_credibility_experiments\three_core_credibility_readiness_gate.json,"V3.11 three core credibility readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\non_gold_robustness_master_report.md,"V3.11 non gold robustness master report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\matched_significance_report.md,"V3.11 matched significance report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\llm_conservatism_report.md,"V3.11 LLM conservatism report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\screening_utility_report.md,"V3.11 screening utility report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\boundary_collapse_report.md,"V3.11 boundary collapse report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\label_shift_stress_report.md,"V3.11 label shift stress report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\non_gold_robustness_readiness_gate.json,"V3.11 non gold robustness readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\gpt_structured_judge_probe_v1\gpt_cost_report.md,"GPT cost report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\gpt_structured_judge_probe_v1\missing_api_key_report.md,"missing API key report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\gpt_structured_judge_probe_v1\gpt_structured_probe_gate.json,"GPT structured probe gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\llm_judge_baseline_v1\llm_cost_report_200.md,"LLM cost report 200",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\llm_judge_baseline_v1\llm_cost_report_100.md,"LLM cost report 100",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\llm_judge_baseline_v1\llm_run_gate_200.json,"LLM run gate 200",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\llm_judge_baseline_v1\llm_run_gate_100.json,"LLM run gate 100",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\strict_silver_max_v1_binary_decomposition\binary_metrics_report.md,"strict silver binary metrics report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\strict_silver_max_v1\metrics_report.md,"strict silver metrics report",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\external_gold_scifact_vitaminc_v1\external_gold_readiness_gate.json,"external gold readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_external_gold_llm_plan_v1\external_gold_llm_readiness_gate.json,"external gold LLM readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\v3_r4_strong_baselines_holdout_v1\validation_readiness_gate.json,"V3 R4 strong baselines holdout validation readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\paper_ready_mixed_framework_v2\paper_ready_gate.json,"paper ready mixed framework v2 gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\mixed_framework_new_algorithm_sweep_v1\new_algorithm_readiness_gate.json,"mixed framework new algorithm readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_readiness_gate.json,"frozen R4 readiness gate (cited as main R4 result in older manifest)",medium,"Historical frozen R4 baseline; current mainline uses restored R4 (per-seed thresholds) via canonicalized_review_queue_v1; document historical status in change_log",no
d:\ocn\experiments\mixed_framework_router_optimization_v2\mixed_framework_router_readiness_gate.json,"mixed framework router optimization readiness gate",low,"Historical; document historical status in change_log",no
d:\ocn\paper_versions_ordered\VERSION_INDEX.md,"VERSION_INDEX.md recommends V3 as the current working manuscript and describes R4_conservative_strong as the empirical mainline",medium,"Read-only paper_versions_ordered; document historical status in change_log; current selected method is V3.17 baseline (offline PDF-corpus screening), not the V3 paper mainline",no
d:\ocn\paper_versions_ordered\V3_16_no_gold_evidence_integration\V3_16_consistency_gate.json,"V3.16 consistency gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_16_no_gold_evidence_integration\V3_16_change_log.md,"V3.16 change log",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_16_no_gold_evidence_integration\CESE_OCN_V3_16_no_gold_evidence_integration.md,"V3.16 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\V3_15_hierarchical_taxonomy_gate.json,"V3.15 hierarchical taxonomy gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\flat_four_class_attack_response.md,"V3.15 flat four-class attack response",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\CESE_OCN_V3_15_hierarchical_taxonomy_revision.md,"V3.15 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\V3_14_mainline_gate.json,"V3.14 mainline gate",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\r4_method_positioning_audit.md,"V3.14 R4 method positioning audit",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\dataset_construction_risk_audit.md,"V3.14 dataset construction risk audit",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\homogenization_risk_audit.md,"V3.14 homogenization risk audit",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\CESE_OCN_V3_14_mainline_locked.md,"V3.14 paper body",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\V3_13_claims_allowed_for_paper.md,"V3.13 claims allowed for paper",low,"Read-only paper body; document historical status in change_log",no
d:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\V3_13_related_work_diff_table.md,"V3.13 related work diff table",low,"Read-only paper body; document historical status in change_log",no
