file_path,category,current_status,action_taken,reason
d:\ocn\project_synthesis\current_project_state_consolidation_v1\paper_version_lineage_report.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\paper_version_inventory.csv,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\experiment_result_synthesis.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\code_structure_reaudit_report.md,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\code_structure_reaudit.csv,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\all_recent_gates_inventory.csv,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\current_project_state_consolidation_v1\recent_task_output_inventory.csv,project_synthesis,older consolidation (superseded),NOT_EDITED,"Superseded; documented as historical"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\mainline_impact_summary.md,project_synthesis,historical V3.16 plan,NOT_EDITED,"Historical V3.16 revision plan; documented as historical"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\next_route_decision.md,project_synthesis,historical V3.16 decision,NOT_EDITED,"Historical; superseded by V3.17 baseline selection"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\V3_16_revision_plan.md,project_synthesis,historical V3.16 plan,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\v3_16_integration_gate.json,project_synthesis,historical V3.16 gate,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\evidence_strength_table.csv,project_synthesis,historical V3.16 table,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\v3_16_integration_summary_and_revision_plan\five_task_status_matrix.csv,project_synthesis,historical V3.16 matrix,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\no_gold_evidence_integration_v3_16_plan\*,project_synthesis,historical V3.16 no-gold plan,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\no_gold_rigourate_public_benchmark_pipeline_v1\*,project_synthesis,historical no-gold pipeline,NOT_EDITED,"Historical; documented as historical"
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_feasibility_note.md,project_synthesis,already aligned (future work only),NOT_EDITED,"Already aligned: local LLM baseline is future work, not completed"
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_future_work_protocol.md,project_synthesis,already aligned,NOT_EDITED,"Already aligned: future work protocol"
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_gate.json,project_synthesis,already aligned,NOT_EDITED,"Already aligned: future work gate"
d:\ocn\project_synthesis\local_llm_baseline_feasibility_note_v1\local_llm_alternative_risk_table.csv,project_synthesis,already aligned,NOT_EDITED,"Already aligned: alternative risk table"
d:\ocn\experiments\v3_18_intelligent_upgrade_v1\*,experiment,already aligned (V3.17 baseline best, V3.18 negative),NOT_EDITED,"Already aligned: V3.18 gate states supports_v3_18_intelligent_upgrade=false and best_overall_method=V3.17_baseline"
d:\ocn\experiments\canonicalized_review_queue_v1\*,experiment,already aligned (V3.17 second-stage),NOT_EDITED,"Already aligned: gate states supports_v3_17_mainline and second-stage viable"
d:\ocn\experiments\r4_evidence_canonicalization_v1\*,experiment,already aligned (raw BM25 degrades, canon restores),NOT_EDITED,"Already aligned: gate states supports_v3_17_mainline=true and supports_pdf_corpus_screening_claim=true"
d:\ocn\experiments\canonicalized_risk_ranking_v1\*,experiment,already aligned (G_conservative_precision best),NOT_EDITED,"Already aligned: gate states best_variant=G_conservative_precision and second-stage usable"
d:\ocn\experiments\canonical_selector_robustness_v1\*,experiment,historical diagnostic,NOT_EDITED,"Historical/diagnostic; documented as historical"
d:\ocn\experiments\r4_retrieved_replay_v1\*,experiment,historical diagnostic,NOT_EDITED,"Historical/diagnostic; documented as historical"
d:\ocn\experiments\r4_minimal_recovery_v1\*,experiment,historical diagnostic (R4 artifacts),NOT_EDITED,"Historical/diagnostic; R4 artifacts still used by V3.17 baseline replay"
d:\ocn\experiments\r4_backup_asset_search_v1\*,experiment,historical diagnostic,NOT_EDITED,"Historical/diagnostic; documented as historical"
d:\ocn\experiments\r4_on_retrieved_evidence_v1\*,experiment,historical diagnostic,NOT_EDITED,"Historical/diagnostic; documented as historical"
d:\ocn\experiments\simclaim_pdf_corpus_retrieval_v1\*,experiment,historical diagnostic (PDF corpus retrieval),NOT_EDITED,"Historical/diagnostic; documented as historical"
d:\ocn\experiments\overnight_non_api_compute_pipeline_v1\*,experiment,historical overnight pipeline,NOT_EDITED,"Historical; documented as historical; current mainline supersedes the overnight-pipeline framing"
d:\ocn\experiments\v3_15_scalar_vs_relation_screening_deep_test\*,experiment,historical V3.15 deep test,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_15_claim_realism_audit\*,experiment,historical V3.15 audit,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_15_low_prevalence_screening_simulation\*,experiment,historical V3.15 simulation,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\rigourate_reproduction_and_simclaim_baseline_v1\*,experiment,historical RIGOURATE reproduction,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_11_three_core_credibility_experiments\*,experiment,historical V3.11,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_11_non_gold_robustness_stress_test\*,experiment,historical V3.11,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\gpt_structured_judge_probe_v1\*,experiment,historical GPT probe,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\llm_judge_baseline_v1\*,experiment,historical LLM baseline,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\strict_silver_max_v1\*,experiment,historical strict silver,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\strict_silver_max_v1_binary_decomposition\*,experiment,historical binary decomposition,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\external_gold_scifact_vitaminc_v1\*,experiment,historical external gold,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_external_gold_llm_plan_v1\*,experiment,historical external gold LLM plan,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\v3_r4_strong_baselines_holdout_v1\*,experiment,historical strong baselines holdout,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\paper_ready_mixed_framework_v2\*,experiment,historical paper ready pack,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\mixed_framework_new_algorithm_sweep_v1\*,experiment,historical algorithm sweep,NOT_EDITED,"Historical; documented as historical"
d:\ocn\experiments\mixed_framework_v2_frozen_r4_baseline\*,experiment,historical frozen R4 baseline,NOT_EDITED,"Historical frozen R4 baseline; current mainline uses restored R4 (per-seed thresholds) via canonicalized_review_queue_v1; documented as historical"
d:\ocn\experiments\mixed_framework_router_optimization_v2\*,experiment,historical router optimization,NOT_EDITED,"Historical; documented as historical"
d:\ocn\paper_versions_ordered\VERSION_INDEX.md,paper_index,read-only scan (recommends V3),NOT_EDITED,"Read-only paper_versions_ordered; documented as historical"
d:\ocn\paper_versions_ordered\V3_16_no_gold_evidence_integration\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_15_hierarchical_taxonomy_revision\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_14_mainline_locked_consistency_audit\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_13_rigourate_differentiated_realism_aware\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_13_differentiated_against_rigourate_forcebench\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_12_1_advisor_send_clean\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_12_with_three_credibility_checks\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_11_high_standard_framework_roadmap\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_10_1_advisor_send_clean\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_10_advisor_ready_silver_stage\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_9_pre_gold_complete_audit\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_9_pre_gold_complete\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_8_reference_refreshed\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_7_advisor_handoff_clean\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; V3.7 is historical advisor-handoff draft, not current mainline"
d:\ocn\paper_versions_ordered\V3_6_case_figure_integrity_checked\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_5_presentation_ready\*,paper_version,read-only paper body,NOT_EDITED,"Read-only paper body; documented as historical"
d:\ocn\paper_versions_ordered\V3_4_taxonomy_hardened\*,paper_version,read-only paper body + reference data,NOT_EDITED,"Read-only paper body; high_risk_sample_bank.csv and trusted_case_bank.csv retained as reference data"
d:\ocn\_MAIN_PAPER_CURRENT\paper_versions\*,curated_mirror,read-only curated mirror,NOT_EDITED,"Curated mirror of historical paper; documented as historical"
d:\ocn\docs\rigourate_reproduction_and_simclaim_baseline_v1\*,docs,historical docs,NOT_EDITED,"Historical docs; documented as historical"
d:\ocn\project_synthesis\mainline_realignment_v1\mainline_realignment_inventory.csv,output,NEW,CREATED,"This inventory file"
d:\ocn\project_synthesis\mainline_realignment_v1\stale_claims_audit.csv,output,NEW,CREATED,"Stale claims audit with 119 entries"
d:\ocn\project_synthesis\mainline_realignment_v1\updated_project_mainline_summary.md,output,NEW,CREATED,"Updated canonical mainline summary"
d:\ocn\project_synthesis\mainline_realignment_v1\updated_allowed_forbidden_claims.md,output,NEW,CREATED,"Updated allowed/forbidden claims list"
d:\ocn\project_synthesis\mainline_realignment_v1\updated_reproducibility_note.md,output,NEW,CREATED,"Updated reproducibility note"
d:\ocn\project_synthesis\mainline_realignment_v1\mainline_realignment_change_log.md,output,NEW,CREATED,"Change log with all updates and historical-status notes"
d:\ocn\project_synthesis\mainline_realignment_v1\mainline_realignment_gate.json,output,NEW,CREATED,"Final realignment gate"
