candidate_id,group_id,silver_label,domain,claim_text,evidence_text,realism_risk_flag,risk_types,realism_risk_score_0_to_5,realism_score_suggested_1_to_5,reason,recommended_action
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,strong_action_overclaim,autonomous_driving,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",low,too_template_like,1,2,template_sim=0.67,keep
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,contradiction_candidate,autonomous_driving,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA RTX 2080 GPU, and Windows-based simulation software.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,supported,autonomous_driving,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as the best result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",low,too_template_like,1,2,template_sim=0.82,keep
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,mild_scope_overclaim,autonomous_driving,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",low,too_template_like,1,2,template_sim=0.77,keep
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,strong_action_overclaim,autonomous_driving,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",low,too_template_like,1,2,template_sim=0.71,keep
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,contradiction_candidate,autonomous_driving,"HiDrive reports that conventional end-to-end methods perform strongly, with DiffusionDrive reaching 84.2 Overall DS as the best result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",medium,too_template_like|contradiction_too_mechanical,2,3,template_sim=0.74; contra_mech=high_sim_to_supported=0.80,review
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,supported,autonomous_driving,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",medium,too_template_like|too_extreme,2,3,"template_sim=0.71; extreme_words=solve,solved",review
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,mild_scope_overclaim,autonomous_driving,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth for common closed-loop evaluations.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",low,too_template_like,1,2,template_sim=0.67,keep
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,strong_action_overclaim,autonomous_driving,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",low,too_template_like,1,2,template_sim=0.69,keep
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,contradiction_candidate,autonomous_driving,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",medium,too_template_like|too_extreme,2,3,"template_sim=0.63; extreme_words=solve,solved",review
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,supported,autonomous_driving,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",low,too_template_like,1,2,template_sim=0.65,keep
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,mild_scope_overclaim,autonomous_driving,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",low,too_template_like,1,2,template_sim=0.64,keep
SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,strong_action_overclaim,autonomous_driving,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal a comprehensive failure taxonomy for closed-loop planners during evaluation.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,contradiction_candidate,autonomous_driving,Bench2Drive-Robust reports that perturbations preserve closed-loop performance and match the robustness signals from image-level corruption evaluations in results.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G013-C01,SBV2-ALL92-G013,supported,autonomous_driving,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for its evaluation pipeline and renderer tests.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",low,too_template_like,1,2,template_sim=0.75,keep
SBV2-ALL92-G013-C02,SBV2-ALL92-G013,mild_scope_overclaim,autonomous_driving,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for evaluation pipelines with several renderer comparisons.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.74; boundary=high_mild_strong_sim=0.87,review
SBV2-ALL92-G013-C03,SBV2-ALL92-G013,strong_action_overclaim,autonomous_driving,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.74; boundary=high_mild_strong_sim=0.87,review
SBV2-ALL92-G013-C04,SBV2-ALL92-G013,contradiction_candidate,autonomous_driving,The Bench2Drive-R study implements an open-loop noninteractive simulation platform unrelated to nuPlan for its evaluation pipeline and renderer tests.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.",low,too_template_like,1,2,template_sim=0.62,keep
SBV2-ALL92-G014-C01,SBV2-ALL92-G014,supported,autonomous_driving,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a lower FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",low,too_template_like,1,2,template_sim=0.82,keep
SBV2-ALL92-G014-C02,SBV2-ALL92-G014,mild_scope_overclaim,autonomous_driving,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID and stronger segmentation scores.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.81; boundary=high_mild_strong_sim=0.88,review
SBV2-ALL92-G014-C03,SBV2-ALL92-G014,strong_action_overclaim,autonomous_driving,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.81; boundary=high_mild_strong_sim=0.88,review
SBV2-ALL92-G014-C04,SBV2-ALL92-G014,contradiction_candidate,autonomous_driving,"Table 2 reports Bench2Drive-R achieves worse generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a higher FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.",medium,too_template_like|contradiction_too_mechanical,2,3,template_sim=0.73; contra_mech=high_sim_to_supported=0.75,review
SBV2-ALL92-G018-C01,SBV2-ALL92-G018,supported,autonomous_driving,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in closed-loop evaluation.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",low,too_template_like,1,2,template_sim=0.77,keep
SBV2-ALL92-G018-C02,SBV2-ALL92-G018,mild_scope_overclaim,autonomous_driving,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in several evaluated metrics.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",low,too_template_like,1,2,template_sim=0.68,keep
SBV2-ALL92-G018-C03,SBV2-ALL92-G018,strong_action_overclaim,autonomous_driving,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",low,too_template_like,1,2,template_sim=0.67,keep
SBV2-ALL92-G018-C04,SBV2-ALL92-G018,contradiction_candidate,autonomous_driving,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indicating current models face minimal limitations in closed-loop evaluation in this study.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.",low,too_template_like,1,2,template_sim=0.71,keep
SBV2-ALL92-G019-C01,SBV2-ALL92-G019,supported,autonomous_driving,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epochs on nuScenes with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",low,too_template_like,1,2,template_sim=0.81,keep
SBV2-ALL92-G019-C02,SBV2-ALL92-G019,mild_scope_overclaim,autonomous_driving,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for three epochs on nuScenes with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.78; boundary=high_mild_strong_sim=0.79,review
SBV2-ALL92-G019-C03,SBV2-ALL92-G019,strong_action_overclaim,autonomous_driving,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.76; boundary=high_mild_strong_sim=0.79,review
SBV2-ALL92-G019-C04,SBV2-ALL92-G019,contradiction_candidate,autonomous_driving,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KITTI with a learning rate of 1e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4.",low,too_template_like,1,2,template_sim=0.64,keep
SBV2-ALL92-G020-C01,SBV2-ALL92-G020,supported,autonomous_driving,RoboDriveVLM-TTA records the best overall AvgL2-Prompt and AvgCol-Prompt results while maintaining relatively low MCL2 and MCC values under prompt corruption.,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",low,too_template_like,1,2,template_sim=0.79,keep
SBV2-ALL92-G020-C02,SBV2-ALL92-G020,mild_scope_overclaim,autonomous_driving,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, and MCL2 results while maintaining relatively low MCC values under prompt corruption.","In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",low,too_template_like,1,2,template_sim=0.79,keep
SBV2-ALL92-G020-C03,SBV2-ALL92-G020,strong_action_overclaim,autonomous_driving,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, MCL2, and MCC results under camera corruption and prompt corruption in benchmark evaluation.","In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",low,too_template_like,1,2,template_sim=0.68,keep
SBV2-ALL92-G020-C04,SBV2-ALL92-G020,contradiction_candidate,autonomous_driving,RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while maintaining higher MCL2 and MCC values under prompt corruption in benchmark evaluation.,"In particular, RoboDriveVLM-TTA achieves the best overall performance in AvgL2-Prompt (0.474), AvgCol-Prompt (0.22), and maintains relatively low MCL2/MCC values even under prompt corruption.",low,too_template_like,1,2,template_sim=0.69,keep
SBV2-ALL92-G021-C01,SBV2-ALL92-G021,supported,autonomous_driving,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable research solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment.",low,too_template_like,1,2,template_sim=0.85,keep
SBV2-ALL92-G021-C02,SBV2-ALL92-G021,mild_scope_overclaim,autonomous_driving,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable general solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.82; boundary=high_mild_strong_sim=0.81,review
SBV2-ALL92-G021-C03,SBV2-ALL92-G021,strong_action_overclaim,autonomous_driving,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a reliable benchmark-leading solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.82; boundary=high_mild_strong_sim=0.81,review
SBV2-ALL92-G021-C04,SBV2-ALL92-G021,contradiction_candidate,autonomous_driving,The experiments highlight strengths of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a lower-reliability research solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment.",medium,too_template_like|contradiction_too_mechanical,2,3,template_sim=0.74; contra_mech=high_sim_to_supported=0.71,review
SBV2-ALL92-G025-C01,SBV2-ALL92-G025,supported,autonomous_driving,"ScenePilot-Bench evaluation covers representative commercial, open-source, and vehicle-specialized VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench.",low,too_template_like,1,2,template_sim=0.81,keep
SBV2-ALL92-G025-C02,SBV2-ALL92-G025,mild_scope_overclaim,autonomous_driving,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, and proprietary VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.79; boundary=high_mild_strong_sim=0.82,review
SBV2-ALL92-G025-C03,SBV2-ALL92-G025,strong_action_overclaim,autonomous_driving,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, sensor-fusion, and text-centric VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.77; boundary=high_mild_strong_sim=0.82,review
SBV2-ALL92-G025-C04,SBV2-ALL92-G025,contradiction_candidate,autonomous_driving,"ScenePilot-Bench evaluation covers handcrafted perception baselines, rule-based planners, and classical detectors as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G027-C01,SBV2-ALL92-G027,supported,autonomous_driving,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",low,too_template_like,1,2,template_sim=0.82,keep
SBV2-ALL92-G027-C02,SBV2-ALL92-G027,mild_scope_overclaim,autonomous_driving,"ScenePilot-Bench remains open-loop, with downstream control effects and intervention timing in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.83; boundary=high_mild_strong_sim=0.88,review
SBV2-ALL92-G027-C03,SBV2-ALL92-G027,strong_action_overclaim,autonomous_driving,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",medium,too_template_like|mild_strong_boundary_unclear,2,3,template_sim=0.79; boundary=high_mild_strong_sim=0.88,review
SBV2-ALL92-G027-C04,SBV2-ALL92-G027,contradiction_candidate,autonomous_driving,"ScenePilot-Bench runs closed-loop, with downstream control effects in a closed-loop vehicle system included in direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",low,too_template_like,1,2,template_sim=0.70,keep
SBV2-ALL92-G028-C01,SBV2-ALL92-G028,supported,autonomous_driving,The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise and correct annotation biases during large-scale benchmark construction.,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",low,too_template_like,1,2,template_sim=0.66,keep
SBV2-ALL92-G028-C02,SBV2-ALL92-G028,mild_scope_overclaim,autonomous_driving,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",low,too_template_like,1,2,template_sim=0.62,keep
SBV2-ALL92-G028-C03,SBV2-ALL92-G028,strong_action_overclaim,autonomous_driving,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G028-C04,SBV2-ALL92-G028,contradiction_candidate,autonomous_driving,The DSBench pipeline relies on unfiltered automated generation and leaves annotation biases uncorrected during large-scale benchmark construction at scale.,"Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G030-C01,SBV2-ALL92-G030,supported,autonomous_driving,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.",low,too_template_like,1,2,template_sim=0.78,keep
SBV2-ALL92-G030-C02,SBV2-ALL92-G030,mild_scope_overclaim,autonomous_driving,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.",low,too_template_like,1,2,template_sim=0.76,keep
SBV2-ALL92-G030-C03,SBV2-ALL92-G030,strong_action_overclaim,autonomous_driving,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.","Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.",low,too_extreme,1,2,"extreme_words=solve,solves",keep
SBV2-ALL92-G030-C04,SBV2-ALL92-G030,contradiction_candidate,autonomous_driving,The paper states that safety under open-world conditions is a minor consideration for large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.",medium,too_template_like|contradiction_too_mechanical,2,3,template_sim=0.69; contra_mech=high_sim_to_supported=0.71,review
SBV2-ALL92-G031-C01,SBV2-ALL92-G031,supported,autonomous_driving,The DriveVLM experiments train models on the training split and evaluate test performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,low,too_template_like,1,2,template_sim=0.93,keep
SBV2-ALL92-G031-C02,SBV2-ALL92-G031,mild_scope_overclaim,autonomous_driving,"The DriveVLM experiments train models on the training split and evaluate test performance with scene-description, meta-action, and comfort metrics.",We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,low,too_template_like,1,2,template_sim=0.89,keep
SBV2-ALL92-G031-C03,SBV2-ALL92-G031,strong_action_overclaim,autonomous_driving,"The DriveVLM experiments train models on training, validation, and test splits and evaluate test performance with scene-description and meta-action metrics.",We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,low,too_template_like,1,2,template_sim=0.83,keep
SBV2-ALL92-G031-C04,SBV2-ALL92-G031,contradiction_candidate,autonomous_driving,The DriveVLM experiments train models on the test split and evaluate training performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,medium,too_template_like|contradiction_too_mechanical,2,3,template_sim=0.93; contra_mech=high_sim_to_supported=1.00,review
SBV2-ALL92-G032-C01,SBV2-ALL92-G032,supported,autonomous_driving,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.",medium,too_template_like|too_extreme,2,3,template_sim=0.82; extreme_words=proved,review
