example_id,label,example_type,candidate_id,evidence_text,claim_text,why_this_label,why_not_other_label,notes
EX-ST-POS-1,strong_action_overclaim,positive,SBV2-ALL92-G215-C03,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.","Claim asserts 'validation requires extensive expertise' (operational framing) and adds 'validation' as 4th task; evidence lists 3 tasks; claim escalates to 'extensive expertise' — action/strength escalation beyond evidence scope.","Not supported (evidence insufficient for action claimed); not mild (over-extension is about action/deployment strength not just scope breadth); not contradiction (direction may align but strength excessive).",Trusted case TCB_009; canonical strong_action pattern.
EX-ST-POS-2,strong_action_overclaim,positive,SBV2-ALL92-G107-C03,"This dual-component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and direct physical plant trials.","Evidence mentions numerical experiments only; claim asserts 'direct physical plant trials' — clear operational/deployment escalation beyond evidence scope. Direction consistent (both describe outperforming) but strength excessive.","Not supported (evidence insufficient for action claimed — physical plant trials not in evidence); not mild (over-extension is about action strength — 'physical plant trials' is operational deployment language); not contradiction (direction aligns but strength excessive).",Trusted case TCB_012; cleanest strong_action case in trusted case bank.
EX-ST-POS-3,strong_action_overclaim,positive,SBV2-ALL92-G003-STRONG,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.","nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.","Claim adds 'validates planner behavior' — operational framing beyond evidence; the claim describes what the paper does but adds an action/validation conclusion not directly supported by the evidence as stated.","Not supported (claim adds 'validates planner behavior' not directly in evidence); not mild (the over-extension is about action/validation strength, not just scope); not contradiction (directions may align but strength is excessive).",Boundary case HRC_001; root cause claim_too_abstract; claim generation issue but label is strong_action.
EX-ST-NEG-1,strong_action_overclaim,negative_near_miss,SBV2-ALL92-G067-C02,"We evaluate six frontier AI systems under matched prompts and budgets.","The AgentCyberRange study evaluates six frontier AI systems under matched prompts, budgets, and environment configurations for the reported cyber-range comparison.","This is NOT strong_action because the claim only adds 'and environment configurations' and 'for the reported cyber-range comparison' — scope/precision expansion without action/deployment/safety conclusion → mild_scope_overclaim. Evidence is short (11 words) which makes the boundary fuzzy.","This is a near-miss for strong_action: the claim adds scope details but no action/deployment/safety/operational cue, so it is mild, not strong.",Boundary case HRC_016; root cause evidence_context_missing; near-miss illustrates mild/strong boundary.
EX-ST-NEG-2,strong_action_overclaim,negative_near_miss,SBV2-ALL92-G002-CONTRA,"Moreover, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.","nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.","This is NOT strong_action because the claim swaps the metric names (Lane Distance / Map Coverage Rate vs Success Rate / All-Core Pass Rate) and the assessment target — this is directional conflict on entities/metrics → contradiction_candidate.","This is a near-miss for strong_action: the claim appears to over-extend, but the metric names are actually swapped (not just inflated), making this contradiction by detail-swap, not strength escalation.",Boundary case HRC_020; root cause audit_conservative_plus_taxonomy_boundary; near-miss illustrates strong/contradiction boundary.
EX-C-POS-1,contradiction_candidate,positive,SBV2-ALL92-G215-C04,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness is clear because calibration, heterogeneous data integration, and result interpretation require little expertise.","Claim says effectiveness is 'clear' and requires 'little expertise'; evidence says 'uncertain' and requires 'expertise'; clear directional conflict on the same finding (effectiveness) and the same fact (expertise required).","Not supported (directions conflict on effectiveness and expertise required); not mild (not a scope issue — directional conflict on the same finding); not strong_action (the issue is contradiction not action-strength mismatch — evidence actively refutes the claim's factual basis).",Trusted case TCB_015; canonical contradiction pattern (directional flip).
EX-C-POS-2,contradiction_candidate,positive,SBV2-ALL92-G036-C04,"As widely discussed in the community, the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level. Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set.","Bench2Drive describes official training data as already available, making method comparisons operate at algorithm level rather than system level.","Claim says training data is 'already available'; evidence says 'lack of an official training set'; clear directional conflict on the same fact (data availability).","Not supported (directions conflict on data availability); not mild (not a scope issue — directional conflict on the same fact); not strong_action (the issue is contradiction not action-strength mismatch — evidence actively refutes the claim's factual basis).",Trusted case TCB_018; canonical contradiction pattern (factual conflict on data availability).
EX-C-POS-3,contradiction_candidate,positive,SBV2-ALL92-G002-CONTRA,"Moreover, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.","nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.","Claim swaps metric names (Lane Distance / Map Coverage Rate vs Success Rate / All-Core Pass Rate) and assessment target (routing geometry / map exploration vs robustness / performance balance); detail-swap pattern — entity/metric name substitution is contradiction.","Not supported (entities/metrics do not match); not mild (not a scope issue — entity names are swapped, not expanded); not strong_action (the issue is contradiction by detail-swap, not strength escalation).",Boundary case HRC_020; illustrates detail-swap contradiction pattern.
EX-C-NEG-1,contradiction_candidate,negative_near_miss,SBV2-ALL92-G107-C03,"This dual-component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and direct physical plant trials.","This is NOT contradiction because directions align (both describe outperforming existing methods); the claim adds 'direct physical plant trials' not in evidence, but this is strength escalation, not directional conflict → strong_action_overclaim.","This is a near-miss for contradiction: the claim adds something not in evidence (physical plant trials), but the direction is consistent (both say outperforms), so it is strong_action, not contradiction.",Trusted case TCB_012; near-miss illustrates strong/contradiction boundary.
EX-C-NEG-2,contradiction_candidate,negative_near_miss,SBV2-ALL92-G215-C03,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deterministic models. However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, integrating heterogeneous datasets, and interpreting results. These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.","This is NOT contradiction because directions align (both say effectiveness is uncertain, both say expertise is required); the claim adds 'validation' and escalates to 'extensive expertise', but this is strength escalation, not directional conflict → strong_action_overclaim.","This is a near-miss for contradiction: the claim adds a 4th task ('validation') and escalates strength ('extensive'), but the direction is consistent (both say uncertain + expertise required), so it is strong_action, not contradiction.",Trusted case TCB_009; near-miss illustrates strong/contradiction boundary.
