review_id,candidate_id,claim_text,retrieved_evidence,rank,risk_type,priority,reason,pdf_path,page_number,label_guess,retrieval_confidence
61,SBV2-ALL92-G030-C01,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,"ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, ",1,retrieved_strong_action_flagged,1,"label=supported, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-010,2,supported,1.0
62,SBV2-ALL92-G030-C02,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,"ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, ",1,retrieved_strong_action_flagged,1,"label=mild_scope_overclaim, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-010,2,mild_scope_overclaim,1.0
63,SBV2-ALL92-G030-C03,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.","ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, ",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-010,2,strong_action_overclaim,1.0
64,SBV2-ALL92-G030-C04,The paper states that safety under open-world conditions is a minor consideration for large-scale adoption of autonomous systems despite recent progress.,"ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, ",1,retrieved_strong_action_flagged,1,"label=contradiction_candidate, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-010,2,contradiction_candidate,1.0
87,SBV2-ALL92-G036-C03,Bench2Drive describes missing official training data as a problem that its official dataset resolves for system-level and algorithm-level comparisons.,Table 1: Comparison with related planning benchmarks Bench2Drive is the only benchmark to evaluate the E2E-AD methods under closed-loop with multi-ability analysis. Benchmark Sensor Closed-Loop E2E-Sim Expert Complex Multi-Ability-Eval nuScenes [21] ! % % ! % % nuPlan [38] ! ! % ! ! % Waymax [37] % ,1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-012,4,strong_action_overclaim,1.0
88,SBV2-ALL92-G036-C04,"Bench2Drive describes official training data as already available, making method comparisons operate at algorithm level rather than system level.",Table 1: Comparison with related planning benchmarks Bench2Drive is the only benchmark to evaluate the E2E-AD methods under closed-loop with multi-ability analysis. Benchmark Sensor Closed-Loop E2E-Sim Expert Complex Multi-Ability-Eval nuScenes [21] ! % % ! % % nuPlan [38] ! ! % ! ! % Waymax [37] % ,1,retrieved_strong_action_flagged,1,"label=contradiction_candidate, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-012,4,contradiction_candidate,1.0
295,SBV2-ALL92-G167-C03,The RealAIGym paper argues algorithm comparison proves reliable control after benchmarking performance in simulation and physical hardware experiments together.,their performances not only in a simulation but also on real hard- ware. The ’2nd AI Olympics with RealAIGym’ competition was held at the IROS 2024 conference to contribute to this cause and evaluate different controllers according to their ability to solve a dynamic control problem on an underactua,1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=False",MARL-017,1,strong_action_overclaim,1.0
323,SBV2-ALL92-G185-C03,"The industrial-control paper says reinforcement learning adoption is mature because reward design, modularity, and action-space management are solved in industrial processes.","Balancing Specialization and Centralization: A Multi-Agent Reinforcement Learning Benchmark for Sequential Industrial Control Tom Maus, Asma Atamna, and Tobias Glasmachers Author Affiliations Ruhr-University Bochum, Bochum, Germany Author Emails {tom.maus,asma.atamna,tobias.glasmachers}@ini.rub.de A",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",MARL-004,1,strong_action_overclaim,1.0
327,SBV2-ALL92-G186-C03,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications.","Balancing Specialization and Centralization: A Multi-Agent Reinforcement Learning Benchmark for Sequential Industrial Control Tom Maus, Asma Atamna, and Tobias Glasmachers Author Affiliations Ruhr-University Bochum, Bochum, Germany Author Emails {tom.maus,asma.atamna,tobias.glasmachers}@ini.rub.de A",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=True",MARL-004,1,strong_action_overclaim,1.0
366,SBV2-ALL92-G215-C02,"The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved.","Ahmad, Dasgupta, Rahman, Khan, Hauque, Saba, Huynh, Zhao, and Ozguven 5 with existing roadside infrastructure. As a result, there remains a significant gap in the litera- ture concerning the sustained deployment and scalability of such systems under diverse real-world conditions. This study presents",1,retrieved_strong_action_flagged,1,"label=mild_scope_overclaim, ret_score=3, oracle_score=3, same_paper=False, is_oracle=False",AD-024,5,mild_scope_overclaim,1.0
373,SBV2-ALL92-G226-C01,The heatwave model reports steeper declines in perceived safety and social connection for highly vulnerable agents than low-vulnerability peers.,"The Impact of Heatwaves on Population Health: A Large Language Model-Enhanced Agent-Based Simulation Abstract: Extreme heat events, intensified by climate change, threaten public health, yet the socio-behavioral mechanisms of resilience remain unclear. We use a Large Language Model– enhanced agent-b",1,retrieved_strong_action_flagged,1,"label=supported, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",POL-005,2,supported,1.0
374,SBV2-ALL92-G226-C02,"The heatwave model reports steeper declines in perceived safety, social connection, and comfort for highly vulnerable agents than low-vulnerability peers.","The Impact of Heatwaves on Population Health: A Large Language Model-Enhanced Agent-Based Simulation Abstract: Extreme heat events, intensified by climate change, threaten public health, yet the socio-behavioral mechanisms of resilience remain unclear. We use a Large Language Model– enhanced agent-b",1,retrieved_strong_action_flagged,1,"label=mild_scope_overclaim, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",POL-005,2,mild_scope_overclaim,1.0
375,SBV2-ALL92-G226-C03,"The heatwave model reports steeper declines in perceived safety, social connection, health, and mobility for highly vulnerable agents than low-vulnerability peers.","The Impact of Heatwaves on Population Health: A Large Language Model-Enhanced Agent-Based Simulation Abstract: Extreme heat events, intensified by climate change, threaten public health, yet the socio-behavioral mechanisms of resilience remain unclear. We use a Large Language Model– enhanced agent-b",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",POL-005,2,strong_action_overclaim,1.0
376,SBV2-ALL92-G226-C04,The heatwave model reports steeper declines in perceived safety and social connection for low-vulnerability peers than highly vulnerable agents.,"The Impact of Heatwaves on Population Health: A Large Language Model-Enhanced Agent-Based Simulation Abstract: Extreme heat events, intensified by climate change, threaten public health, yet the socio-behavioral mechanisms of resilience remain unclear. We use a Large Language Model– enhanced agent-b",1,retrieved_strong_action_flagged,1,"label=contradiction_candidate, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",POL-005,2,contradiction_candidate,1.0
415,SBV2-ALL92-G256-C03,The paper says the benchmark indicates large speedup potential relative to online LLM inference and confirms stable throughput for production studies.,"The key idea is to shift expensive inference out of the simulation loop: a one-time offline cost is paid to estimate these distributions, and the resulting com- piled tables are executed via amortized constant-time lookup and sampling given bounded candidate sets per query, with respect to the numbe",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=True",POL-015,9,strong_action_overclaim,1.0
139,SBV2-ALL92-G065-C03,"The field studies highlight design tradeoffs involving power and network infrastructure, local storage capacity, sensor visibility, and network-wide safety forecasting.","terrain characteristic impacting sensor placement decisions, weather variability, stability and vibrations of the mounting pole, the height of the sensors for optimal line of sight, calibration and hardware integration issues, and system-level integration challenges that are necessary for transition",1,oracle_strong_action_flagged,2,"label=strong_action_overclaim, ret_score=1, oracle_score=3, same_paper=True, is_oracle=True",AD-024,4,strong_action_overclaim,1.0
192,SBV2-ALL92-G093-C04,The paper treats H-MARL transferability to evolving adversaries that adapt from opponent behavior or environment feedback as already studied.,"faster, as shown in the previous section. We confirm that H-MARL Meta performs better than H-MARL Collective across all adversaries. Interestingly, it is also more effective than the MARL Centralized Critic method. Even though the centralized critic was trained jointly, using the global state, it is",1,oracle_strong_action_flagged,2,"label=contradiction_candidate, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",CYB-009,11,contradiction_candidate,1.0
217,SBV2-ALL92-G110-C01,The results show rapid learning convergence and robust task execution in simulated and physical environments for the proposed robot control tasks.,"arXiv:2501.18016v2 [cs.RO] 9 Jun 2025 Digital Twin Synchronization: Bridging the Sim-RL Agent to a Real-Time Robotic Additive Manufacturing Control Matsive Ali†, Sandesh Giri†, Sen Liu†*, and Qin Yang* Abstract— With the rapid development of deep reinforce- ment learning technology, it gradually dem",1,oracle_strong_action_flagged,2,"label=supported, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",DT-003,1,supported,1.0
218,SBV2-ALL92-G110-C02,"The results show rapid learning convergence and robust task execution in simulated, physical, and disturbed environments for the proposed robot control tasks.","arXiv:2501.18016v2 [cs.RO] 9 Jun 2025 Digital Twin Synchronization: Bridging the Sim-RL Agent to a Real-Time Robotic Additive Manufacturing Control Matsive Ali†, Sandesh Giri†, Sen Liu†*, and Qin Yang* Abstract— With the rapid development of deep reinforce- ment learning technology, it gradually dem",1,oracle_strong_action_flagged,2,"label=mild_scope_overclaim, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",DT-003,1,mild_scope_overclaim,1.0
219,SBV2-ALL92-G110-C03,"The results show rapid learning convergence and robust task execution in simulated, physical, and hardware-failure environments for the proposed robot control tasks.","arXiv:2501.18016v2 [cs.RO] 9 Jun 2025 Digital Twin Synchronization: Bridging the Sim-RL Agent to a Real-Time Robotic Additive Manufacturing Control Matsive Ali†, Sandesh Giri†, Sen Liu†*, and Qin Yang* Abstract— With the rapid development of deep reinforce- ment learning technology, it gradually dem",1,oracle_strong_action_flagged,2,"label=strong_action_overclaim, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",DT-003,1,strong_action_overclaim,1.0
357,SBV2-ALL92-G213-C01,The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.,"utility func- tions, multiple rewards settings, and the associated policies (Assos, Dagan, and Daskalakis 2024). While CTDE has become a dominant paradigm in MARL to optimise the individual policy (actor) by forming beliefs about the policies of others in the centralised critic network (Li, Wang, an",1,oracle_strong_action_flagged,2,"label=supported, ret_score=1, oracle_score=3, same_paper=True, is_oracle=False",MARL-013,2,supported,1.0
358,SBV2-ALL92-G213-C02,The paper states that optimization with individual utility functions and shared utility functions remains unresolved in the broadest MAMO case.,"utility func- tions, multiple rewards settings, and the associated policies (Assos, Dagan, and Daskalakis 2024). While CTDE has become a dominant paradigm in MARL to optimise the individual policy (actor) by forming beliefs about the policies of others in the centralised critic network (Li, Wang, an",1,oracle_strong_action_flagged,2,"label=mild_scope_overclaim, ret_score=1, oracle_score=3, same_paper=True, is_oracle=False",MARL-013,2,mild_scope_overclaim,1.0
359,SBV2-ALL92-G213-C03,"The paper states that optimization with individual utility functions remains unresolved for private, shared, and social welfare utilities in MAMO.","functions and the associated policies. In this paper, we first theoretically prove that direct access to, or structured modeling of, global utility functions is necessary for the Bayesian Nash Equilibrium under decentralised execution constraints. To access the global utility functions while preserv",1,oracle_strong_action_flagged,2,"label=strong_action_overclaim, ret_score=1, oracle_score=3, same_paper=True, is_oracle=False",MARL-013,1,strong_action_overclaim,1.0
360,SBV2-ALL92-G213-C04,The paper states that optimization with individual utility functions is solved in the broadest MAMO case covered by the discussion.,"functions and the associated policies. In this paper, we first theoretically prove that direct access to, or structured modeling of, global utility functions is necessary for the Bayesian Nash Equilibrium under decentralised execution constraints. To access the global utility functions while preserv",1,oracle_strong_action_flagged,2,"label=contradiction_candidate, ret_score=1, oracle_score=3, same_paper=True, is_oracle=False",MARL-013,1,contradiction_candidate,1.0
377,SBV2-ALL92-G232-C01,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.","despite the temporary dislocation. This stylized experiment showcases SimCity’s ability to produce qualitative predictions in novel economic scenarios. Automation Shock To further demonstrate the ability of our framework to simulate novel economic scenarios, we consider a stylized automation shock w",1,oracle_strong_action_flagged,2,"label=supported, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",POL-007,9,supported,1.0
378,SBV2-ALL92-G232-C02,"SimCity implements the shock by changing production skill requirements near the start of the run, marked as 0 to Event in Figure 7.","despite the temporary dislocation. This stylized experiment showcases SimCity’s ability to produce qualitative predictions in novel economic scenarios. Automation Shock To further demonstrate the ability of our framework to simulate novel economic scenarios, we consider a stylized automation shock w",1,oracle_strong_action_flagged,2,"label=mild_scope_overclaim, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",POL-007,9,mild_scope_overclaim,1.0
379,SBV2-ALL92-G232-C03,"SimCity implements the shock by changing production skill requirements and labor preferences midway through the run, marked as 0 to Event in Figure 7.","despite the temporary dislocation. This stylized experiment showcases SimCity’s ability to produce qualitative predictions in novel economic scenarios. Automation Shock To further demonstrate the ability of our framework to simulate novel economic scenarios, we consider a stylized automation shock w",1,oracle_strong_action_flagged,2,"label=strong_action_overclaim, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",POL-007,9,strong_action_overclaim,1.0
380,SBV2-ALL92-G232-C04,"SimCity implements the shock by keeping production skill requirements unchanged midway through the run, marked as 0 to Event in Figure 7.","despite the temporary dislocation. This stylized experiment showcases SimCity’s ability to produce qualitative predictions in novel economic scenarios. Automation Shock To further demonstrate the ability of our framework to simulate novel economic scenarios, we consider a stylized automation shock w",1,oracle_strong_action_flagged,2,"label=contradiction_candidate, ret_score=1, oracle_score=2, same_paper=True, is_oracle=True",POL-007,9,contradiction_candidate,1.0
7,SBV2-ALL92-G003-STRONG,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicle",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-001,1,strong_action_overclaim,1.0
11,SBV2-ALL92-G004-STRONG,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.","node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.2",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=False",AD-002,5,strong_action_overclaim,1.0
15,SBV2-ALL92-G007-STRONG,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.","a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDriv",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-003,8,strong_action_overclaim,1.0
19,SBV2-ALL92-G008-STRONG,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.","HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-003,1,strong_action_overclaim,1.0
27,SBV2-ALL92-G013-C03,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising,1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-005,3,strong_action_overclaim,1.0
31,SBV2-ALL92-G014-C03,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.",Table 4. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.,1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-005,9,strong_action_overclaim,1.0
39,SBV2-ALL92-G019-C03,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,"modalities un- der corruption scenarios and thereby enhancing robustness in extreme environments. 5. Experiments 5.1. Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=False",AD-007,6,strong_action_overclaim,1.0
43,SBV2-ALL92-G020-C03,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, MCL2, and MCC results under camera corruption and prompt corruption in benchmark evaluation.",Model Clean Dark Brightness Snow Fog Rain Motion avgL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 avgL2 MCL2 Uniad 0.66 0.84 127.27 0.82 124.24 1.05 159.09 0.81 122.73 0.91 137.88 1.18 178.79 VAD-Base 0.72 0.77 106.94 0.74 102.78 1.11 154.17 0.75 104.17 0.81 112.50 0.96 133.33 DriveVLM 0,1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=False",AD-007,7,strong_action_overclaim,1.0
47,SBV2-ALL92-G021-C03,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a reliable benchmark-leading solution.,"column denotes VLM-based models that accept language-based inputs. ”RoboDriveVLM∗” represents camera-only variant. 5.2. Implementation of Compared Models In our main experiments, we compare seven different autonomous driving systems, including UniAD [51], VAD [52], DriveVLM [8], OpenEMMA [14], RoboD",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=1, oracle_score=1, same_paper=True, is_oracle=False",AD-007,6,strong_action_overclaim,1.0
51,SBV2-ALL92-G025-C03,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, sensor-fusion, and text-centric VLMs as baseline models for the reported benchmark experiments section.","7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or cross- traffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=False",AD-009,5,strong_action_overclaim,1.0
55,SBV2-ALL92-G027-C03,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.","models reveal a consistent pat- tern: current models remain relatively strong in high-level scene semantics, but still show clear limitations in geometry-aware per- ception, planning-oriented reasoning, and robustness under geo- graphic shift. These findings indicate that driving-oriented vision- la",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-009,6,strong_action_overclaim,1.0
59,SBV2-ALL92-G028-C03,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Figure 3. Overview of the Detailed Categories in DSBench. Our benchmark is organized into 10 major categories and 28 more granular subcategories, encompassing a comprehensive spectrum of potential safety issues encountered in driving scenarios. 3.4. Quality Control To ensure reliability and consiste",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-010,5,strong_action_overclaim,1.0
67,SBV2-ALL92-G031-C03,"The DriveVLM experiments train models on training, validation, and test splits and evaluate test performance with scene-description and meta-action metrics.","of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We tes",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=True",AD-011,7,strong_action_overclaim,1.0
71,SBV2-ALL92-G032-C03,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, real-time planning, and trajectory-control accuracy.","y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene an",1,silver_strong_action,3,"label=strong_action_overclaim, ret_score=0, oracle_score=0, same_paper=True, is_oracle=False",AD-011,3,strong_action_overclaim,1.0
