candidate_id,target_candidate_group_id,source_id,domain,evidence_type,label,claim_text,claim_only_pred,evidence_only_pred,claim_evidence_pred,claim_only_correct,evidence_only_correct,claim_evidence_correct,leakage_category
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,contradiction_candidate,"HiDrive reports that conventional end-to-end methods perform strongly, with DiffusionDrive reaching 84.2 Overall DS as the best result.",supported,contradiction_candidate,supported,False,True,False,C_both_wrong
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,supported,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,mild_scope_overclaim,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth for common closed-loop evaluations.",supported,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,strong_action_overclaim,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, capability breadth, and invalidates earlier evaluation leaderboards.",mild_scope_overclaim,contradiction_candidate,strong_action_overclaim,False,False,True,B_evidence_gain
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,contradiction_candidate,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G009-SUPPORTED,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,supported,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a more challenging testbed for autonomous system complexity.,mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G009-MILD,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,mild_scope_overclaim,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a more challenging testbed for broad autonomy complexity.,mild_scope_overclaim,contradiction_candidate,contradiction_candidate,True,False,False,D_claim_only_better
SBV2-ALL92-G009-STRONG,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,strong_action_overclaim,HiDrive provides physically realistic lighting and high-fidelity visual rendering as a definitive benchmark for autonomy complexity and visual robustness.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G009-CONTRA,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,contradiction_candidate,HiDrive provides simplified lighting and low-fidelity visual rendering as an easier testbed for autonomous system complexity assessment and planner comparison.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,supported,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,mild_scope_overclaim,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,strong_action_overclaim,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal a comprehensive failure taxonomy for closed-loop planners during evaluation.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,contradiction_candidate,Bench2Drive-Robust reports that perturbations preserve closed-loop performance and match the robustness signals from image-level corruption evaluations in results.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G013-C01,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,supported,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for its evaluation pipeline and renderer tests.,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G013-C02,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,mild_scope_overclaim,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for evaluation pipelines with several renderer comparisons.,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G013-C03,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,strong_action_overclaim,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G013-C04,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,contradiction_candidate,The Bench2Drive-R study implements an open-loop noninteractive simulation platform unrelated to nuPlan for its evaluation pipeline and renderer tests.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G014-C01,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,supported,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a lower FID score.",contradiction_candidate,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G014-C02,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,mild_scope_overclaim,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID and stronger segmentation scores.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G014-C03,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,strong_action_overclaim,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G014-C04,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,contradiction_candidate,"Table 2 reports Bench2Drive-R achieves worse generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with a higher FID score.",mild_scope_overclaim,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G017-C01,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,supported,"OmniDrive records the highest ADVLM metrics in BENCH2ADVLM, reaching 12.99% Success Rate, 43.75 Driving Score, and 19.38 Skill Score.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G017-C02,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,mild_scope_overclaim,"OmniDrive records the highest ADVLM metrics in BENCH2ADVLM, reaching 12.99% Success Rate, 43.75 Driving Score, and 19.38 Skill Score for planning reliability.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G017-C03,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,strong_action_overclaim,"OmniDrive records the highest ADVLM metrics in BENCH2ADVLM, reaching 12.99% Success Rate, 43.75 Driving Score, and 19.38 Skill Score with reliable planning.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G017-C04,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,contradiction_candidate,"OmniDrive records weaker ADVLM metrics in BENCH2ADVLM, despite reaching 12.99% Success Rate, 43.75 Driving Score, and 19.38 Skill Score.",contradiction_candidate,contradiction_candidate,strong_action_overclaim,True,True,False,D_claim_only_better
SBV2-ALL92-G018-C01,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,supported,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in closed-loop evaluation.",supported,contradiction_candidate,supported,True,False,True,A_claim_only_correct
SBV2-ALL92-G018-C02,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,mild_scope_overclaim,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models still face significant limitations in several evaluated metrics.",supported,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G018-C03,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,strong_action_overclaim,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.",mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G018-C04,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,contradiction_candidate,"BENCH2ADVLM reports that overall ADVLM performance remains relatively high, indicating current models face minimal limitations in closed-loop evaluation in this study.",mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G019-C01,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,supported,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for two epochs on nuScenes with a learning rate of 2e-4.,supported,contradiction_candidate,supported,True,False,True,A_claim_only_correct
SBV2-ALL92-G019-C02,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,mild_scope_overclaim,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for three epochs on nuScenes with a learning rate of 2e-4.,supported,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G019-C03,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,strong_action_overclaim,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,supported,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G019-C04,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,contradiction_candidate,The study employs GPT-4o as the base VLM and fine-tunes it for two epochs on KITTI with a learning rate of 1e-4.,supported,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G020-C01,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,supported,RoboDriveVLM-TTA records the best overall AvgL2-Prompt and AvgCol-Prompt results while maintaining relatively low MCL2 and MCC values under prompt corruption.,contradiction_candidate,contradiction_candidate,supported,False,False,True,B_evidence_gain
SBV2-ALL92-G020-C02,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,mild_scope_overclaim,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, and MCL2 results while maintaining relatively low MCC values under prompt corruption.",contradiction_candidate,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G020-C03,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,strong_action_overclaim,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, MCL2, and MCC results under camera corruption and prompt corruption in benchmark evaluation.",contradiction_candidate,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G020-C04,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,contradiction_candidate,RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while maintaining higher MCL2 and MCC values under prompt corruption in benchmark evaluation.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G021-C01,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,supported,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable research solution.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G021-C02,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,mild_scope_overclaim,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable general solution.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G021-C03,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,strong_action_overclaim,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a reliable benchmark-leading solution.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G021-C04,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,contradiction_candidate,The experiments highlight strengths of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a lower-reliability research solution.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G025-C01,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,supported,"ScenePilot-Bench evaluation covers representative commercial, open-source, and vehicle-specialized VLMs as baseline models for the reported benchmark experiments section.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G025-C02,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,mild_scope_overclaim,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, and proprietary VLMs as baseline models for the reported benchmark experiments section.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G025-C03,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,strong_action_overclaim,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, sensor-fusion, and text-centric VLMs as baseline models for the reported benchmark experiments section.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G025-C04,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,contradiction_candidate,"ScenePilot-Bench evaluation covers handcrafted perception baselines, rule-based planners, and classical detectors as baseline models for the reported benchmark experiments section.",contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G027-C01,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,supported,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G027-C02,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,mild_scope_overclaim,"ScenePilot-Bench remains open-loop, with downstream control effects and intervention timing in a closed-loop vehicle system absent from direct measurement by the benchmark.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G027-C03,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,strong_action_overclaim,"ScenePilot-Bench remains open-loop, with downstream control effects, intervention timing, and recovery behavior in a closed-loop vehicle system absent from direct measurement by the benchmark.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G027-C04,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,contradiction_candidate,"ScenePilot-Bench runs closed-loop, with downstream control effects in a closed-loop vehicle system included in direct measurement by the benchmark.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G028-C01,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,supported,The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise and correct annotation biases during large-scale benchmark construction.,mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G028-C02,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,mild_scope_overclaim,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.",mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G028-C03,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,strong_action_overclaim,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.",mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G028-C04,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,contradiction_candidate,The DSBench pipeline relies on unfiltered automated generation and leaves annotation biases uncorrected during large-scale benchmark construction at scale.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G029-C01,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,supported,"DSVLM reports an average benchmark score of 68.4, which is 18.88 points higher than Seed-1.6's score of 49.52.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G029-C02,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,mild_scope_overclaim,"DSVLM reports an average benchmark score of 69.4, which is 19.88 points higher than Seed-1.6's score of 49.52.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G029-C03,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,strong_action_overclaim,"DSVLM reports an average benchmark score of 78.4, which is 28.88 points higher than Seed-1.6's score of 49.52.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G029-C04,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,contradiction_candidate,"DSVLM reports an average benchmark score of 49.52, which is lower than Seed-1.6's score of 68.4 by 18.88 points.",contradiction_candidate,contradiction_candidate,supported,True,True,False,D_claim_only_better
SBV2-ALL92-G030-C01,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,supported,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,supported,contradiction_candidate,supported,True,False,True,A_claim_only_correct
SBV2-ALL92-G030-C02,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,mild_scope_overclaim,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G030-C03,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,strong_action_overclaim,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G030-C04,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,contradiction_candidate,The paper states that safety under open-world conditions is a minor consideration for large-scale adoption of autonomous systems despite recent progress.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G031-C01,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,supported,The DriveVLM experiments train models on the training split and evaluate test performance with scene-description and meta-action metrics.,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G031-C02,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,mild_scope_overclaim,"The DriveVLM experiments train models on the training split and evaluate test performance with scene-description, meta-action, and comfort metrics.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G031-C03,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,strong_action_overclaim,"The DriveVLM experiments train models on training, validation, and test splits and evaluate test performance with scene-description and meta-action metrics.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G031-C04,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,contradiction_candidate,The DriveVLM experiments train models on the test split and evaluate training performance with scene-description and meta-action metrics.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G032-C01,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,supported,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities in experiments.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G032-C02,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,mild_scope_overclaim,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, perception, and real-time planning capabilities.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G032-C03,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,strong_action_overclaim,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, real-time planning, and trajectory-control accuracy.",strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G032-C04,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,contradiction_candidate,DriveVLM-Dual separates DriveVLM from the traditional autonomous pipeline and reports weaker spatial reasoning and real-time planning capabilities in experiments.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G033-C01,SBV2-ALL92-G033,AD-011,autonomous_driving,limitation,supported,DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning and heavy computational requirements within the autonomous pipeline.,supported,contradiction_candidate,supported,True,False,True,A_claim_only_correct
