case_id,candidate_id,current_location,silver_label,case_type,problem_found,severity,why_problematic,recommended_action,replacement_candidate_id,final_decision
TCB_011,SBV2-ALL92-G002-STRONG,Table 0 (V3.4) only,strong_action_overclaim,trusted,no,ok,"Clean strong_action: claim asserts 'reliability and collision behavior in one assessment' (operational framing) beyond evidence. Not used in V3.5 Table 2.",available,SBV2-ALL92-G107-C03,not_used_in_V3_6_table_2
TCB_012,SBV2-ALL92-G107-C03,Table 2 + Appendix T3 (V3.5),strong_action_overclaim,trusted,no,ok,"Cleanest strong_action case: evidence mentions numerical experiments only; claim asserts 'direct physical plant trials' — clear operational/deployment escalation beyond evidence scope. No number swap, no directional conflict.",keep,,keep
TCB_013,SBV2-ALL92-G214-C03,Table 0 (V3.4) only,strong_action_overclaim,trusted,yes,fatal_for_example,"Claim says 'above 60% accuracy' vs evidence '24.5% accuracy' AND '45%' vs '15.04%' — 2.5-3x number inflation on both metrics. A reviewer would judge this as contradiction (number swap), not strong_action. NOT used in V3.5 Table 2 (correctly excluded).",exclude,SBV2-ALL92-G107-C03,exclude_from_V3_6
TCB_014,SBV2-ALL92-G007-STRONG,Table 0 (V3.4) only,strong_action_overclaim,trusted,no,ok,Clean strong_action case (not used in V3.5 Table 2).,available,,not_used_in_V3_6_table_2
TCB_015,SBV2-ALL92-G215-C04,Table 2 (V3.5),contradiction_candidate,trusted,no,ok,"Clean contradiction: claim says effectiveness is 'clear' and requires 'little expertise'; evidence says 'uncertain' and requires 'expertise'. Clear directional conflict on the same finding.",keep,,keep
TCB_016,SBV2-ALL92-G175-C04,Table 0 (V3.4) only,contradiction_candidate,trusted,no,ok,"Clean contradiction: claim says comparison is with 'PPO-RNN and SAC'; evidence says 'IPPO and PQN'. Entity name swap (detail-swap).",available,,not_used_in_V3_6_table_2
TCB_017,SBV2-ALL92-G092-C04,Appendix T4 (V3.4) only,contradiction_candidate,trusted,no,ok,"Clean contradiction: claim says 'lower performance'; evidence says 'top performance'. Directional flip.",available,,not_used_in_V3_6_table_2
TCB_018,SBV2-ALL92-G036-C04,Table 2 + Appendix T4 (V3.5),contradiction_candidate,trusted,no,ok,"Clean contradiction: claim says training data 'already available'; evidence says 'lack of official training set'. Clear directional conflict on the same fact.",keep,,keep
HRC_001,SBV2-ALL92-G003-STRONG,B4 placeholder (V3.5),strong_action_overclaim,boundary,no,ok,"REAL case replacing V3.5 B4 placeholder. Silver label strong_action_overclaim; audit flagged as claim_too_abstract (claim describes what paper does without explicit action/deployment assertion). Real candidate_id, real evidence, real claim, real root_cause.",use_as_B4,,use_as_B4_in_V3_6
HRC_002,SBV2-ALL92-G004-STRONG,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_003,SBV2-ALL92-G067-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (claim_too_abstract).,available,,available
HRC_004,SBV2-ALL92-G069-C03,B1 (V3.5 + V3.6),strong_action_overclaim,boundary,no,ok,"REAL case. Silver label strong_action_overclaim; audit flagged as mild_vs_strong_boundary_unclear (no clear action/strength/scope cue in claim). Real candidate_id, real evidence, real claim.",keep_as_B1,,keep_as_B1
HRC_005,SBV2-ALL92-G077-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (audit_conservative_plus_taxonomy_boundary).,available,,available
HRC_006,SBV2-ALL92-G106-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (claim_too_abstract).,available,,available
HRC_007,SBV2-ALL92-G108-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (audit_conservative_plus_taxonomy_boundary).,available,,available
HRC_008,SBV2-ALL92-G158-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (claim_too_abstract).,available,,available
HRC_009,SBV2-ALL92-G161-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (claim_too_abstract).,available,,available
HRC_010,SBV2-ALL92-G163-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_011,SBV2-ALL92-G175-C03,high_risk_sample_bank,strong_action_overclaim,boundary,yes,moderate,Same candidate as TCB_010 — claim adds QMIX (entity addition) which could be contradiction. Boundary nuance.,available,,available
HRC_012,SBV2-ALL92-G178-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_013,SBV2-ALL92-G180-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_014,SBV2-ALL92-G215-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,"Same candidate as TCB_009 — used as trusted in Table 2. Also in high_risk_sample_bank as taxonomy_boundary_unclear, but audit-rated reasonable enough for illustrative use.",keep,,keep
HRC_015,SBV2-ALL92-G224-C03,high_risk_sample_bank,strong_action_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_016,SBV2-ALL92-G067-C02,B3 (V3.5 + V3.6),mild_scope_overclaim,boundary,no,ok,"REAL case. Silver label mild_scope_overclaim; risk_type evidence_context_missing. Real candidate_id, real evidence, real claim. Used as B3 (supported-vs-mild / evidence-context-missing boundary).",keep_as_B3,,keep_as_B3
HRC_017,SBV2-ALL92-G106-C02,high_risk_sample_bank,mild_scope_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_018,SBV2-ALL92-G158-C02,high_risk_sample_bank,mild_scope_overclaim,boundary,no,ok,Real boundary case (taxonomy_boundary_unclear).,available,,available
HRC_019,SBV2-ALL92-G175-C02,high_risk_sample_bank,mild_scope_overclaim,boundary,yes,major,"Same candidate as TCB_006 — claim says PQN is 'recurrent value-based' vs evidence 'parallel-environment Q-learning' (factual mismatch). Boundary nuance.",available,,available
HRC_020,SBV2-ALL92-G002-CONTRA,B2 (V3.5 + V3.6),contradiction_candidate,boundary,no,ok,"REAL case. Silver label contradiction_candidate; risk_type audit_conservative_plus_taxonomy_boundary (detail-swap missed by audit heuristic). Claim swaps metric names (Lane Distance/Map Coverage Rate vs Success Rate/All-Core Pass Rate). Real candidate_id, real evidence, real claim.",keep_as_B2,,keep_as_B2
HRC_021,SBV2-ALL92-G067-C04,high_risk_sample_bank,contradiction_candidate,boundary,no,ok,Real boundary case (detail-swap).,available,,available
HRC_022,SBV2-ALL92-G106-C04,high_risk_sample_bank,contradiction_candidate,boundary,no,ok,Real boundary case (detail-swap).,available,,available
HRC_023,SBV2-ALL92-G158-C04,high_risk_sample_bank,contradiction_candidate,boundary,no,ok,Real boundary case (detail-swap).,available,,available
HRC_024,SBV2-ALL92-G175-C04,high_risk_sample_bank,contradiction_candidate,boundary,no,ok,"Same candidate as TCB_016 — clean contradiction (entity name swap). Available as boundary if needed.",available,,available
HRC_025,SBV2-ALL92-G214-C04,high_risk_sample_bank,contradiction_candidate,boundary,no,ok,"Clean contradiction (claim says 'below 10%' vs evidence '24.5%'). Available as boundary if needed.",available,,available
B4-placeholder,(representative),B4 (V3.5 only),varies,boundary,yes,fatal_for_example,"V3.5 B4 was a 'representative placeholder' with no real candidate_id, no real evidence, no real claim. This violates the V3.6 integrity requirement. MUST be replaced with a real case.",replace_with_real_case,SBV2-ALL92-G003-STRONG,replace_with_HRC_001
