file_path,contains_t_contra,contains_t_strong,contains_t_svm,contains_t_contra_low,values_found
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_nonpaper_prototype\v4_nonpaper_prototype_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_protocol_freeze\v4_protocol_freeze_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_source_genre_pilot\v4_source_genre_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\strong_action_broad_sweep_v2\mixed_framework_v2_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\v3_external_gold_llm_plan_v1\external_gold_llm_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\v3_r4_strong_baselines_holdout_v1\validation_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch01_autonomous_driving_ad-001_to_ad-004\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch02_autonomous_driving_ad-005_to_ad-006\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch03_autonomous_driving_ad-007_to_ad-009\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch04_autonomous_driving_ad-010_to_ad-014\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch05_autonomous_driving_ad-015_to_ad-017\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch06_autonomous_driving_ad-018_to_ad-023\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch07_autonomous_driving_ad-024_to_ad-024\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch08_cyber_defense_cyb-001_to_cyb-008\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch09_cyber_defense_cyb-009_to_cyb-012\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch10_digital_twin_dt-001_to_dt-006\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch11_digital_twin_dt-007_to_dt-014\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch12_digital_twin_dt-015_to_dt-019\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch13_robotics_marl-014_to_marl-018\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch14_robotics_marl-019_to_marl-019\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch15_marl_marl-001_to_marl-007\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch16_marl_marl-008_to_marl-010\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch17_marl_marl-011_to_marl-013\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch18_policy_simulation_pol-001_to_pol-008\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch19_policy_simulation_pol-009_to_pol-016\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_all92_pipeline_upload_ready\batches\all92_batch20_policy_simulation_pol-017_to_pol-021\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_upload_ready\batches\batch01_ad_core\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_upload_ready\batches\batch02_ad_hidrive\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_upload_ready\batches\batch03_ad_dsbench_drivee2e\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_upload_ready\batches\batch04_cyber_defense\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_upload_ready\batches\batch05_robotics_digital_twin\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_v1\batches\batch01_autonomous_driving_core\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_v1\batches\batch02_autonomous_driving_large\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_v1\batches\batch03_cyber_defense\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\handoff_to_chatgpt\source_bank_v2_claim_generation_v1\batches\batch04_robotics_digital_twin\manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\human_pilot\export_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\table_export_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\bootstrap_ci\bootstrap_ci_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\bootstrap_ci\bootstrap_ci_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\audits\bootstrap_ci_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\diagnostic_only\threshold_stability_backup.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\manifests\final_package_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\manifests\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\manifests\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\supplementary_tables\threshold_sensitivity.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\supplementary_tables\threshold_stability.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\supplementary_tables\threshold_stability_main.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\final_package\supplementary_tables\threshold_stability_summary.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\closeout_import\manifests\closeout_output_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\audits\bootstrap_ci_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\diagnostic_only\threshold_stability_backup.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\manifests\final_package_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\manifests\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\manifests\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\supplementary_tables\threshold_sensitivity.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\supplementary_tables\threshold_stability.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\supplementary_tables\threshold_stability_main.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package\supplementary_tables\threshold_stability_summary.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\diagnostic_only\threshold_stability_backup.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\manifests\paper_table_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\manifests\paper_table_manifest.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\supplementary_tables\threshold_sensitivity.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\supplementary_tables\threshold_stability.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\supplementary_tables\threshold_stability_main.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_assets\simclaim_human_pilot\final_package_backup_before_closeout\supplementary_tables\threshold_stability_summary.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\paper_versions_ordered\V3_7_advisor_handoff_clean\V3_7_file_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\RESULTS_MANIFEST.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\multiseed\seed_123\operating_threshold.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\multiseed\seed_42\operating_threshold.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\multiseed\seed_7\operating_threshold.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_sensitivity.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_sensitivity.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_backup.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_backup.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_main.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_main.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_summary.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\tables\threshold_stability_summary.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\release_simclaim_human_pilot\train_eval\operating_threshold.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\check_threshold_provenance.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\fit_operating_threshold.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\fit_thresholds.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\generate_round1_seed_manifest.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\run_frozen_encoder_v1.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\scripts\run_stage_fit_threshold.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_decision_threshold_schema_p6.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_evaluate_operating_threshold.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_fit_operating_threshold.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_release_manifest.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_release_manifest_readiness.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_shared_thresholds.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_threshold_fitting.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\tests\test_threshold_initialization.py,False,False,False,False,{}
