sample_id,candidate_id,label_4_silver,parse_status,label,confidence,one_sentence_rationale,evidence_used,uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,ok,contradiction_candidate,0.98,"The claim states the inconsistency stabilizes near 0.05 after day 5, while the evidence says it becomes stable around 0.15 after day 15, directly conflicting on both value and timing.",True,False,,gpt-5.5,6.18,692,125,0.005335
LLM_035,SBV2-ALL92-G196-C01,supported,ok,supported,0.93,The evidence directly states that the proposed algorithm is evaluated in exactly the three continuous-action benchmark environments named in the claim.,True,False,,gpt-5.5,15.48,690,372,0.00903
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.86,"The evidence supports that a calibration layer maps aggregated agent responses to observable population-level metrics for counterfactual policy analysis, but it does not mention subgroup narratives and slightly differs in framing as counterfactual intervention analysis.",True,False,,gpt-5.5,9.73,676,210,0.00653
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the evaluation excludes continuous-action benchmarks and focuses on single-agent discrete suites, while the evidence states it evaluates in three continuous-action benchmark environments.",True,False,,gpt-5.5,5.64,680,104,0.00496
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.82,"The evidence states unreliability in strongly coupled tasks, while the claim shifts the setting to moderately coupled problems, which is a scope change not directly supported by the evidence.",True,False,,gpt-5.5,9.11,695,208,0.006595
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim directly conflicts with the evidence because the evidence says answers were converted from letters to ordinal scores and both surveys were pooled before averaging, not kept as categorical letters or separated.",True,False,,gpt-5.5,6.49,698,121,0.005305
LLM_017,SBV2-ALL92-G089-C01,supported,ok,mild_scope_overclaim,0.72,"The evidence directly supports that a strong expert meta-policy outperforms a joint PPO policy, but the claim adds the specific characterization as a hierarchical decision rule and the cited autonomous cyber-defense challenge submission context, which are not explicitly stated in the evidence.",True,False,,gpt-5.5,13.58,678,323,0.008235
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.92,"The evidence directly supports a lack of a common basis for comparison, but the claim broadens this to include replication and benchmarking, which are not stated in the evidence.",True,False,,gpt-5.5,6.67,684,139,0.005505
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.86,"The evidence supports an iterative quality-control process to filter automated-generation noise and correct annotation biases, but it does not mention verifying each item or expert review.",True,False,,gpt-5.5,13.3,682,315,0.008135
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.82,"The evidence supports that MAPPO is evaluated alongside IPPO with independently learning agents and PQN as a Q-learning algorithm, but it does not state that PQN is recurrent or explicitly value-based.",True,False,,gpt-5.5,10.52,724,239,0.007205
LLM_040,SBV2-ALL92-G233-C01,supported,ok,supported,0.98,"The evidence directly states that SimCity exhibits the same listed macroeconomic phenomena, matching the claim without material overstatement.",True,False,,gpt-5.5,6.49,703,133,0.00551
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.9,"The evidence directly supports PX4/ArduPilot simulation testing, agent performance analysis, and feedback from multiple sUAS developers, but it does not specify that the feedback collection was structured.",True,False,,gpt-5.5,6.64,701,139,0.00559
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,ok,supported,0.94,"The evidence directly states that an interface between the simulator and Python wind farm environment is implemented via MPI communication channels to integrate with Python libraries and RL research practices, matching the claim.",True,False,,gpt-5.5,11.84,682,288,0.00773
LLM_030,SBV2-ALL92-G146-C01,supported,ok,supported,0.98,"The evidence directly states the 85.03% simulation accuracy, predictive-model predictions, and APDT’s potential for robust network optimization and management, matching the claim.",True,False,,gpt-5.5,5.79,688,105,0.005015
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim says SimCity reports no classic macroeconomic phenomena, while the evidence states it successfully exhibits those same phenomena.",True,False,,gpt-5.5,7.92,704,87,0.004825
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,ok,contradiction_candidate,0.95,"The claim says GPT-4o-mini reached perfect accuracy on two documents, but the evidence states it reached perfect accuracy on one document.",True,False,,gpt-5.5,7.82,690,123,0.005295
LLM_043,SBV2-ALL92-G266-C01,supported,ok,supported,0.99,The evidence directly states that six-point Likert responses were mapped to ordinal scores 1–6 and that responses from both surveys were pooled before averaging to form each agent’s belief state.,True,False,,gpt-5.5,6.56,698,123,0.005335
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim states that a digital shadow provides assured automated control and intermittent physical-system data processing, whereas the evidence says automated control cannot be guaranteed and data is processed continuously.",True,False,,gpt-5.5,7.05,668,136,0.00538
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.86,"The evidence directly supports an iterative quality-control process that filters automated-generation noise and corrects annotation biases, but it does not specifically mention standardizing annotator feedback during construction.",True,False,,gpt-5.5,8.14,683,160,0.005815
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.78,"The evidence supports the listed resolution mechanisms as first-class protocol features, but the claim adds that they are automatic and apply to every dispute, which is not explicitly stated.",True,False,,gpt-5.5,11.22,695,249,0.00721
LLM_037,SBV2-ALL92-G187-C01,supported,ok,mild_scope_overclaim,0.82,"The evidence supports evaluation of CL methods with MARL and changing conclusions with longer task sequences, but the claim slightly overstates by implying conclusions change as agent count, difficulty, and partners increase, whereas the evidence says cooperative-behavior retention worsens under those conditions.",True,False,,gpt-5.5,15.6,703,385,0.00929
LLM_049,SBV2-ALL92-G163-C01,supported,ok,supported,0.97,"The evidence directly states that context-aware policies are evaluated in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot, matching the claim's substance.",True,False,,gpt-5.5,7.38,675,144,0.005535
LLM_032,SBV2-ALL92-G213-C01,supported,ok,supported,0.9,"The evidence directly states that optimization in the most general setting involving individual utility functions remains unsolved, matching the claim's assertion that this remains unresolved in the broadest case discussed.",True,False,,gpt-5.5,14.97,669,375,0.00897
LLM_041,SBV2-ALL92-G261-C01,supported,ok,supported,0.92,"The evidence directly states that a calibration layer maps aggregated agent responses to observable population-level metrics and enables validation and counterfactual policy analysis, which aligns with the claim's wording.",True,False,,gpt-5.5,11.16,675,270,0.007425
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,ok,contradiction_candidate,0.95,"The claim says extended ALEM training shows near-saturated performance, while the evidence explicitly states that performance does not saturate, despite agreeing that coordination and reward improve late and reward remains below the maximum.",True,False,,gpt-5.5,7.07,679,155,0.00572
LLM_031,SBV2-ALL92-G140-C01,supported,ok,supported,0.93,"The evidence directly states that the proposed framework achieved a 37% improvement in 95th-percentile latency and a 30% reduction in energy consumption compared to existing literature, matching the claim's metrics and comparison.",True,False,,gpt-5.5,11.59,693,274,0.007575
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,ok,mild_scope_overclaim,0.78,"The evidence supports evaluation of CL methods with MARL algorithms and changing conclusions with longer sequences, more agents, harder tasks, and changing partners, but it does not state that these are supervised-learning methods or identify the study as MEAL.",True,False,,gpt-5.5,10.96,703,252,0.007295
LLM_029,SBV2-ALL92-G119-C01,supported,ok,supported,0.98,"The evidence directly states that individual CAV evaluation provides detection metrics based on AP across IoU thresholds and multiclass mAP, matching the claim.",True,False,,gpt-5.5,4.89,695,77,0.00463
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,ok,contradiction_candidate,0.98,"The evidence says the evaluation was limited to 100 agents and U.S. tax brackets, while millions of agents, multi-country settings, and richer actions remained future work, contradicting the claim that these were covered by the evaluation.",True,False,,gpt-5.5,7.09,692,157,0.005815
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,ok,contradiction_candidate,0.98,"The claim says Tool-RoCo evaluates five cooperation paradigms, while the evidence explicitly states that all four cooperation paradigms are evaluated.",True,False,,gpt-5.5,8.37,682,107,0.005015
LLM_189,SBV2-ALL92-G272-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the balance increases because new credits remain alongside the oldest credit, while the evidence states the balance does not change because each new credit causes the oldest credit to expire.",True,False,,gpt-5.5,6.71,695,136,0.005515
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,ok,contradiction_candidate,0.96,"The evidence states that a digital shadow is used when automated control cannot be guaranteed, directly conflicting with the claim that it provides assured automated control.",True,False,,gpt-5.5,6.4,668,133,0.005335
LLM_199,SBV2-ALL92-G168-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim states the implementation relies on PPO rather than Soft Actor-Critic, while the evidence explicitly says the core algorithm used is Soft Actor-Critic (SAC).",True,False,,gpt-5.5,16.54,677,98,0.004855
LLM_147,SBV2-ALL92-G167-C03,strong_action_overclaim,ok,strong_action_overclaim,0.92,"The evidence supports benchmarking and comparing performance in simulation and real hardware to assess strengths, weaknesses, and applicability, but it does not substantiate the stronger claim that such comparison proves reliable control.",True,False,,gpt-5.5,8.54,690,181,0.006165
LLM_092,SBV2-ALL92-G252-C02,mild_scope_overclaim,ok,contradiction_candidate,0.9,"The evidence says the evaluation was limited to 100 agents, whereas the claim says it covered several population sizes, which directly conflicts with the stated limitation.",True,False,,gpt-5.5,10.56,691,255,0.00728
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,ok,contradiction_candidate,0.99,"The evidence states the SAC algorithm used 8 NVIDIA A6000 GPUs and 64 CPUs for 43 hours, directly conflicting with the claim's 16 GPUs and 100 CPUs.",True,False,,gpt-5.5,5.91,682,115,0.005135
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.88,"The evidence supports that the simulation models individual behaviors and large-scale mobility patterns in Taipei City, but it does not mention household relocation or freight activity.",True,False,,gpt-5.5,8.19,667,170,0.005885
LLM_095,SBV2-ALL92-G215-C02,mild_scope_overclaim,ok,contradiction_candidate,0.94,"The evidence states that interpreting results is one of the significant real-world application issues requiring technical capabilities and domain expertise, directly conflicting with the claim that interpretation is resolved.",True,False,,gpt-5.5,7.29,748,164,0.0062
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,ok,contradiction_candidate,0.95,"The claim says the balance stays unchanged during sale and travel periods, while the evidence states it stays unchanged in the absence of selling or traveling.",True,False,,gpt-5.5,9.28,693,153,0.00576
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.78,"The evidence supports an MPI-based interface between a simulator and a Python wind farm environment for integration with Python RL libraries, but the claim overstates this as implementing a Python-based simulator core that handles the computations.",True,False,,gpt-5.5,14.12,683,350,0.008665
LLM_196,SBV2-ALL92-G257-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The evidence states that MobileCity gains efficiency by disabling LLM modules at scale and trading behavioral fidelity for speed, directly contradicting the claim that it retains LLM modules and behavioral fidelity during simulation runs.",True,False,,gpt-5.5,7.82,691,126,0.005345
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the highest reward value is set above zero, while the evidence explicitly says the highest possible reward value is set at 0 and contrasts this with a positive optimal value.",True,False,,gpt-5.5,8.67,703,146,0.005705
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.78,"The evidence directly supports mapping six-point Likert responses to 1–6 ordinal scores and pooling both surveys before averaging, but it describes the averaged result as each agent’s belief state rather than specifically as agent infection-risk values.",True,True,,gpt-5.5,23.48,698,592,0.01237
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,ok,contradiction_candidate,0.98,"The claim reports 60% lower 95th-percentile latency and 50% lower energy consumption, while the evidence states only a 37% latency improvement and 30% energy reduction.",True,False,,gpt-5.5,8.17,693,118,0.005235
LLM_098,SBV2-ALL92-G167-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.82,"The evidence supports benchmarking algorithm performance in both simulation and real hardware, but it does not mention visual transfer tests, so the claim slightly broadens the supported scope.",True,False,,gpt-5.5,9.29,693,164,0.005925
LLM_198,SBV2-ALL92-G163-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says the study evaluates context-aware agents in a visual language benchmark rather than a physical pushing task with a Franka Panda robot, but the evidence states evaluation occurs in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.",True,False,,gpt-5.5,22.4,676,153,0.005675
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,ok,contradiction_candidate,0.86,"The evidence states GPT-4o-mini reached perfect accuracy on one document, while the claim says it did so on four documents, though the precision-over-recall interpretation is otherwise aligned.",True,False,,gpt-5.5,12.01,690,264,0.00741
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim states ADVLM performance remains relatively high with minimal limitations, while the evidence says performance remains relatively low with notable limitations.",True,False,,gpt-5.5,5.11,674,89,0.004705
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.84,"The evidence directly supports the top mean return, lowest across-seed standard deviation, and best Sharpe-like index, but the claim adds the clinical decision/treatment-quality framing that is not stated in the evidence.",True,False,,gpt-5.5,11.53,675,273,0.00747
LLM_193,SBV2-ALL92-G271-C04,contradiction_candidate,ok,contradiction_candidate,0.98,"The claim says inconsistency rises past 0.15 and indicates unstable evolution with poor consistency, while the evidence says it stabilizes around 0.15 and implies stationarity with acceptable consistency.",True,False,,gpt-5.5,6.02,691,120,0.005255
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,ok,contradiction_candidate,0.9,"The evidence says the 13 LLMs are evaluated zero-shot in homogeneous teams, while trained MARL agents serve as reference points, contradicting the claim that the evaluation trains the LLMs with MARL agents before comparing them directly.",True,False,,gpt-5.5,16.6,672,255,0.007185
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,ok,contradiction_candidate,0.93,"The evidence says the evaluation includes MAPPO plus two other algorithms, IPPO and PQN, identifies only PQN as a parallel-environment Q-learning algorithm, and does not mention QMIX, conflicting with the claim that all listed methods including QMIX are treated as such.",True,False,,gpt-5.5,9.48,726,224,0.00699
LLM_183,SBV2-ALL92-G198-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim states traditional MARL credit assignment schemes are reliable while preserving stability, whereas the evidence explicitly says they cannot reliably capture contributions while maintaining training stability.",True,False,,gpt-5.5,5.49,695,101,0.00499
LLM_086,SBV2-ALL92-G178-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.93,"The evidence supports evaluation of 13 modern LLMs zero-shot in homogeneous teams with trained MARL agents as reference points, but it does not mention mixed teams.",True,False,,gpt-5.5,5.42,674,111,0.005035
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,ok,mild_scope_overclaim,0.84,"The evidence directly supports that setting the maximum reward to 0 stabilizes Q-function learning and prevents policy degradation after successful swing-ups, but it does not explicitly support the additional claim that this accelerates training.",True,False,,gpt-5.5,9.72,703,227,0.00692
LLM_038,SBV2-ALL92-G224-C01,supported,ok,supported,0.95,"The evidence directly states that under the winner-takes-all rule, over 90% of state voting results are predicted correctly, matching the claim.",True,False,,gpt-5.5,5.69,692,118,0.00523
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.93,"The evidence supports challenges involving hardware limitations such as mechanical system design and computer capabilities and software restrictions such as algorithm efficiency, but it does not mention sensor calibration or actuator maintenance.",True,False,,gpt-5.5,7.38,689,129,0.00538
LLM_045,SBV2-ALL92-G272-C01,supported,ok,supported,0.99,"The evidence directly states that once an account is in the full-wallet state, its balance does not change without selling or traveling because each new credit acquired causes the oldest credit to expire.",True,False,,gpt-5.5,6.42,696,113,0.005175
LLM_028,SBV2-ALL92-G116-C01,supported,ok,supported,0.98,"The evidence directly states that GPT-4o-mini achieved perfect accuracy on one document while extracting fewer regulations overall, suggesting it favors precision over recall.",True,False,,gpt-5.5,4.29,690,79,0.004635
LLM_048,SBV2-ALL92-G164-C01,supported,ok,supported,0.97,"The claim closely restates the evidence that context-conditioned policies often significantly outperform context-agnostic ones, particularly when tasks are sensitive to changes in environment dynamics.",True,False,,gpt-5.5,5.97,690,105,0.005025
LLM_186,SBV2-ALL92-G185-C04,contradiction_candidate,ok,contradiction_candidate,0.96,"The evidence states RL industrial adoption is limited by reward design, modularity, and action space management, whereas the claim says it is mainly limited by hardware costs rather than those factors.",True,False,,gpt-5.5,6.71,685,136,0.005465
LLM_190,SBV2-ALL92-G264-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The claim says existing platforms smoothly integrate advanced mobility models and provide strong dynamic adaptation, while the evidence states that most cannot effectively integrate such algorithms and typically lack dynamic adaptation mechanisms.",True,False,,gpt-5.5,6.13,694,114,0.00518
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.92,"The evidence supports PX4/ArduPilot simulation testing, agent performance analysis, and developer feedback collection, but it does not mention hardware flight testing.",True,False,,gpt-5.5,7.21,702,144,0.00567
LLM_185,SBV2-ALL92-G193-C04,contradiction_candidate,ok,contradiction_candidate,0.78,"The evidence describes resolution via mutual agreement, pre-agreed arbitration policy, or escalation to an agreed arbiter as first-class protocol features, which conflicts with the claim that centralized fiat by one meta-agent is presented as the main resolution feature.",True,False,,gpt-5.5,14.49,689,348,0.008665
LLM_180,SBV2-ALL92-G106-C04,contradiction_candidate,ok,contradiction_candidate,0.96,"The evidence says the test error was evaluated by running the estimated optimal policy, whereas the claim says it used a nonoptimized baseline decision rule.",True,False,,gpt-5.5,5.02,689,103,0.00499
LLM_044,SBV2-ALL92-G253-C01,supported,ok,supported,0.98,"The evidence directly states that the final location is selected using a modified Huff model considering distance and attractiveness, with attractiveness composed of popularity and credibility.",True,False,,gpt-5.5,5.01,702,86,0.0048
LLM_134,SBV2-ALL92-G190-C03,strong_action_overclaim,ok,contradiction_candidate,0.9,"The claim says the four paradigms are evaluated under separate experiment designs, while the evidence states they are evaluated under a consistent experimental setting.",True,False,,gpt-5.5,9.56,681,223,0.00675
LLM_145,SBV2-ALL92-G261-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.86,"The evidence supports mapping aggregated agent responses to observable population-level metrics for counterfactual policy analysis, but the claim broadens this by adding individual conversations as inputs, which the evidence does not mention.",True,False,,gpt-5.5,11.48,675,252,0.007155
LLM_039,SBV2-ALL92-G214-C01,supported,ok,supported,0.98,"The evidence directly states that the best-performing system achieves 24.5% accuracy on comprehensive scenarios and 15.04% on targeted sub-tasks, matching the claim's figures and scope.",True,False,,gpt-5.5,7.42,701,150,0.005755
LLM_191,SBV2-ALL92-G252-C04,contradiction_candidate,ok,contradiction_candidate,0.99,"The evidence states the evaluation was limited to 100 agents and U.S. tax brackets, with million-agent and multi-country settings left as future work, directly contradicting the claim.",True,False,,gpt-5.5,6.14,689,127,0.00535
LLM_138,SBV2-ALL92-G266-C03,strong_action_overclaim,ok,mild_scope_overclaim,0.88,"The evidence supports mapping six-point Likert responses to ordinal scores and pooling survey responses before averaging agent belief states, but the claim overstates the data source by calling them clinical records rather than self-report survey responses.",True,False,,gpt-5.5,15.36,698,225,0.006865
