sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,in_deepseek,claim_text,evidence_text,task,n_per_class
LLM_178,SBV2-ALL92-G135-C04,contradiction_candidate,digital_twin,DT-012,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, an","Regardless of the adopted RL methods, a common limitation in these approaches is",runtime_check_needed,none,True,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, and electrical behavior in surveyed prior approaches.","Regardless of the adopted RL methods, a common limitation in these approaches is related to the simplistic modeling of the BESS, which is often restricted solely to their electrical behavior.",gpt_probe_100,25
LLM_036,SBV2-ALL92-G190-C01,supported,marl,MARL-006,Tool-RoCo evaluates four cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl,True,Tool-RoCo evaluates four cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior.",gpt_probe_100,25
LLM_079,SBV2-ALL92-G108-C02,mild_scope_overclaim,digital_twin,DT-002,The paper describes its method as theoretically justified and not reliant on res,"To the best of our knowledge, ours is the first theoretically justified MBRL met",runtime_check_needed,none,True,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions or fixed noise terms in its design.,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions.",gpt_probe_100,25
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,True,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.,gpt_probe_100,25
LLM_187,SBV2-ALL92-G186-C04,contradiction_candidate,marl,MARL-004,The industrial-control paper argues many academic benchmarks closely match indus,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl,True,"The industrial-control paper argues many academic benchmarks closely match industrial control problems, supporting direct transfer to industrial applications in practice.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications.",gpt_probe_100,25
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,policy_simulation,POL-015,The paper says MobileCity gains efficiency at scale partly by disabling LLM modu,GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; Mobil,runtime_check_needed,none,True,"The paper says MobileCity gains efficiency at scale partly by disabling LLM modules and planner modules, trading behavioral fidelity for speed.","GATSim [26] and MobileCity [43] target larger-scale mobility simula- tion; MobileCity achieves efficiency partly by dis- abling LLM modules at scale, trading behavioral fi- delity for speed.",gpt_probe_100,25
LLM_091,SBV2-ALL92-G259-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper reports a 20.7% improvement in macro averaged prediction error over gr,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improv",runtime_check_needed,none,True,The paper reports a 20.7% improvement in macro averaged prediction error over gradient boosting baselines for eight behavioral categories.,"On a held out test period, our calibrated digi- tal twin achieves a 20.7% improvement in macro averaged prediction error over gradient boosting baselines across six behavioral categories.",gpt_probe_100,25
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,policy_simulation,POL-001,The benchmark reports its best-performing system above 60% accuracy on broad cas,The best- performing system achieves only 24.5% accuracy on compre- hensive scen,runtime_check_needed,none,True,The benchmark reports its best-performing system above 60% accuracy on broad cases and 45% accuracy on targeted sub-tasks.,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",gpt_probe_100,25
LLM_002,SBV2-ALL92-G027-C01,supported,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,True,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system.",gpt_probe_100,25
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,True,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and sixty-four CPUs for fifty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours.",gpt_probe_100,25
LLM_195,SBV2-ALL92-G251-C04,contradiction_candidate,policy_simulation,POL-013,The paper reports that the Saez-regression schedule underperformed the LLM Econo,"The Saez-regression schedule now outperforms the LLM Economist, reflecting the S",runtime_check_needed,none,True,The paper reports that the Saez-regression schedule underperformed the LLM Economist while the LLM schedule set lower tax rates.,"The Saez-regression schedule now outperforms the LLM Economist, reflecting the Stackelberg equilibria at the Saez solution; the LLM schedule remains within the same qualitative shape but sets uniformly lower rates, preserving more labor supply at the expense of redistribution.",gpt_probe_100,25
LLM_033,SBV2-ALL92-G205-C01,supported,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl,True,WFCRL implements an interface between its simulator and Python wind farm environment through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels.",gpt_probe_100,25
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,policy_simulation,POL-020,The simulation reports travel-time inconsistency stabilizing near 0.05 after day,"It is found that the incon- sistency becomes stable around 0.15 after day 15, im",runtime_check_needed,none,True,"The simulation reports travel-time inconsistency stabilizing near 0.05 after day 5, indicating stationary day-to-day evolution with acceptable consistency.","It is found that the incon- sistency becomes stable around 0.15 after day 15, implying that the day-to-day evolution process achieves stationarity and an acceptable degree of consistency.",gpt_probe_100,25
LLM_035,SBV2-ALL92-G196-C01,supported,marl,MARL-008,The HIS evaluation includes three continuous-action benchmark environments: Mult,We evaluate the proposed algorithm in three widely used continuous-action benchm,runtime_check_needed,marl,True,"The HIS evaluation includes three continuous-action benchmark environments: Multi-Agent Particle Environment, Multi-Agent MuJoCo, and Bi-DexHands as its experimental suite.","We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands.",gpt_probe_100,25
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses and subgroup ,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none,True,The paper says a calibration layer maps aggregated agent responses and subgroup narratives to observable population metrics for counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis.",gpt_probe_100,25
LLM_184,SBV2-ALL92-G196-C04,contradiction_candidate,marl,MARL-008,The HIS evaluation excludes continuous-action benchmark environments and focuses,We evaluate the proposed algorithm in three widely used continuous-action benchm,runtime_check_needed,marl,True,The HIS evaluation excludes continuous-action benchmark environments and focuses instead on single-agent discrete benchmark suites for its experiments.,"We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands.",gpt_probe_100,25
LLM_082,SBV2-ALL92-G198-C02,mild_scope_overclaim,marl,MARL-008,Traditional MARL credit assignment schemes are described as unreliable for indiv,"However, tra- ditional credit assignment schemes in MARL cannot re- liably captu",runtime_check_needed,marl,True,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in moderately coupled problems while preserving training stability.,"However, tra- ditional credit assignment schemes in MARL cannot re- liably capture individual contributions in strongly coupled tasks while maintaining training stability, which leads to lim- ited generalization capabilities and hinders algorithm perfor- mance.",gpt_probe_100,25
LLM_192,SBV2-ALL92-G266-C04,contradiction_candidate,policy_simulation,POL-018,The framework keeps six-point Likert answers as categorical letters and separate,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none,True,The framework keeps six-point Likert answers as categorical letters and separates both surveys before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data.",gpt_probe_100,25
LLM_017,SBV2-ALL92-G089-C01,supported,cyber_defense,CYB-008,A strong expert hierarchical decision rule outperforms a joint PPO baseline in t,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense,True,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].,gpt_probe_100,25
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,policy_simulation,POL-007,The SimCity paper identifies a key limitation in existing frameworks as the lack,"A key limitation of existing frameworks (Lengnick, 2013; Li et al., 2024) is the",runtime_check_needed,none,True,"The SimCity paper identifies a key limitation in existing frameworks as the lack of a shared basis for comparison, replication, and benchmarking.","A key limitation of existing frameworks (Lengnick, 2013; Li et al., 2024) is the lack of a common ba- sis for comparison.",gpt_probe_100,25
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,True,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",gpt_probe_100,25
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,marl,MARL-001,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents indepe","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop envir",runtime_check_needed,marl,True,"The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.","In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.",gpt_probe_100,25
LLM_040,SBV2-ALL92-G233-C01,supported,policy_simulation,POL-007,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Philli",Experimental results show that SimCity successfully exhibits a range of classic ,runtime_check_needed,none,True,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, and Engel’s curve.","Experimental results show that SimCity successfully exhibits a range of classic macroeconomic phenomena, such as Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve (detailed in Section 5).",gpt_probe_100,25
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,robotics,MARL-019,"The study evaluated its approach through PX4 and ArduPilot simulation testing, a",We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPi,runtime_check_needed,none,True,"The study evaluated its approach through PX4 and ArduPilot simulation testing, agent performance analysis, and structured feedback collection from multiple sUAS developers.","We evaluated our approach by (a) conducting simulation testing of PX4 and ArduPilot flight- controller-based SuTs, (b) analyzing the performance of each agent, and (c) gathering feedback from sUAS developers.",gpt_probe_100,25
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl,True,WFCRL implements an interface between its simulator and Python wind farm environments through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels.",gpt_probe_100,25
LLM_030,SBV2-ALL92-G146-C01,supported,digital_twin,DT-016,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, in","The results yielded an impressive simulation accuracy of 85.03%, alongside predi",runtime_check_needed,none,True,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for network optimization and management in the study.","The results yielded an impressive simulation accuracy of 85.03%, alongside predictions from the predictive model, underscoring APDT’s potential for robust network optimization and man- agement.",gpt_probe_100,25
LLM_194,SBV2-ALL92-G233-C04,contradiction_candidate,policy_simulation,POL-007,"SimCity reports no classic macroeconomic phenomena including Okun’s law, the Phi",Experimental results show that SimCity successfully exhibits a range of classic ,runtime_check_needed,none,True,"SimCity reports no classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, or Engel’s curve.","Experimental results show that SimCity successfully exhibits a range of classic macroeconomic phenomena, such as Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve (detailed in Section 5).",gpt_probe_100,25
LLM_078,SBV2-ALL92-G116-C02,mild_scope_overclaim,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer reg,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none,True,"GPT-4o-mini reaches perfect accuracy on two documents while extracting fewer regulations overall, favoring precision over recall in the reported example.","For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall.",gpt_probe_100,25
LLM_043,SBV2-ALL92-G266-C01,supported,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools both sur,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none,True,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data.",gpt_probe_100,25
LLM_179,SBV2-ALL92-G131-C04,contradiction_candidate,digital_twin,DT-011,A digital shadow provides assured automated control while physical-system data p,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none,True,A digital shadow provides assured automated control while physical-system data processing remains intermittent in smart grid monitoring workflows.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously.",gpt_probe_100,25
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,True,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases.",gpt_probe_100,25
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,marl,MARL-007,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitratio","Resolution must either come from mutual agreement between principals, from a pre",runtime_check_needed,marl,True,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute.","Resolution must either come from mutual agreement between principals, from a pre-agreed arbitration policy, or from escalation to an agreed arbiter—all of which need to be first-class protocol features, not implementation details.",gpt_probe_100,25
LLM_037,SBV2-ALL92-G187-C01,supported,marl,MARL-005,The MEAL study evaluates continual-learning methods with MARL algorithms and rep,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that expe",runtime_check_needed,marl,True,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners.",gpt_probe_100,25
LLM_049,SBV2-ALL92-G163-C01,supported,robotics,MARL-016,The study evaluates context-aware agents in a canonical control benchmark and a ,We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none,True,The study evaluates context-aware agents in a canonical control benchmark and a physical pushing task with a Franka Panda robot.,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.,gpt_probe_100,25
LLM_032,SBV2-ALL92-G213-C01,supported,marl,MARL-013,The paper states that optimization with individual utility functions remains unr,"However, the optimisation in the most general setting: in- dividual utility func",runtime_check_needed,marl,True,The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.,"However, the optimisation in the most general setting: in- dividual utility functions, remains unsolved.",gpt_probe_100,25
LLM_041,SBV2-ALL92-G261-C01,supported,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses to observable,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none,True,The paper says a calibration layer maps aggregated agent responses to observable population metrics for validation and counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis.",gpt_probe_100,25
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,marl,MARL-002,"Extended ALEM training shows near-saturated performance, with coordination and t",Performance does not saturate: coordination and total reward continue improv- in,runtime_check_needed,marl,True,"Extended ALEM training shows near-saturated performance, with coordination and total reward improving late while total reward stays below the maximum score.","Performance does not saturate: coordination and total reward continue improv- ing late in training, and total reward remains well below the maximum achievable score.",gpt_probe_100,25
LLM_031,SBV2-ALL92-G140-C01,supported,digital_twin,DT-014,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower e,"Based on our simulation results, we observe that the proposed framework achieves",runtime_check_needed,none,True,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature baselines.,"Based on our simulation results, we observe that the proposed framework achieves a 37% improvement in 95th percentile latency and a 30% reduction in energy consumption compared to the existing literature.",gpt_probe_100,25
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,marl,MARL-005,The MEAL study evaluates supervised-learning methods with MARL algorithms and re,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that expe",runtime_check_needed,marl,True,"The MEAL study evaluates supervised-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners.",gpt_probe_100,25
LLM_029,SBV2-ALL92-G119-C01,supported,digital_twin,DT-006,The individual CAV evaluation reports detection metrics based on average precisi,"For individual CAV evaluation, we provide the following metrics: 1) Detection me",runtime_check_needed,none,True,The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds and multiclass mean average precision.,"For individual CAV evaluation, we provide the following metrics: 1) Detection metrics based on average precision (AP) across different Intersection over Union (IoU) thresholds, and multiclass mean Average Pre- cision (mAP).",gpt_probe_100,25
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,policy_simulation,POL-013,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, mill","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling ",runtime_check_needed,none,True,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, million-agent populations, multi-country cases, and richer actions.","Finally, our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",gpt_probe_100,25
LLM_085,SBV2-ALL92-G190-C02,mild_scope_overclaim,marl,MARL-006,Tool-RoCo evaluates five cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl,True,Tool-RoCo evaluates five cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior.",gpt_probe_100,25
