candidate_id,variant,evidence_input_sha256,n_words,source,uses_oracle_text,contains_metadata,is_lengthened
toy_cand_003,raw_bm25_top1_chunk,ad9141f7a23b42c07778aa0176c810783078b0df83d96ea98fbc861fd5b3059a,86,chunk_retrieval rank=1,False,False,False
toy_cand_003,cleaned_bm25_top1_chunk,ad9141f7a23b42c07778aa0176c810783078b0df83d96ea98fbc861fd5b3059a,86,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_003,canonicalized_best_sentence_top5,aaca900d46411d91ce3c076d7a42305a8382f2aabf3d665e8d76d318932ae86a,13,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_003,canonicalized_three_sentence_window_top5,62913fa1ccbd35892b949fe940c37f9a1a89d19fc8c088adfa4f4f4f5cc3877c,31,canonicalizer_ablation three_sentence_window_top5,False,False,False
toy_cand_004,oracle_clean,a8289ff6b180ae875c727e4d8a46da7afaa0fb04cacea40fe9cb2c6ee9696d0c,16,candidate_csv.evidence_text,True,False,False
toy_cand_004,oracle_plus_metadata,58a8d70a04f821e80a72c0489696bd3b5c0a0492415872890b37bf64ed055e3c,22,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_004,oracle_lengthened,3fb1de27210e65005019731b2a2b326037fb27b2632d977b09fa7089944ffe2a,92,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_004,oracle_plus_metadata_lengthened,02177be69f1001a71b6c87e7df9793c24397091f01403ca87a881c95cb49a5b8,98,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
toy_cand_004,raw_bm25_top1_chunk,9dd1d071f94c372524c9d5f742d1a0e983ae7ebca54241262070f0c1c46cfbf4,84,chunk_retrieval rank=1,False,False,False
toy_cand_004,cleaned_bm25_top1_chunk,9dd1d071f94c372524c9d5f742d1a0e983ae7ebca54241262070f0c1c46cfbf4,84,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_004,canonicalized_best_sentence_top5,8f7e5c088fc30e3a551a8fc9344bf25cb040244b9eab2c4988b1f1182eda0b92,24,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_004,canonicalized_three_sentence_window_top5,6a9452891ebcbee7cfc80ccff559a0e925fd20782fb0eac4b4a3d18eb4e2a58a,42,canonicalizer_ablation three_sentence_window_top5,False,False,False
toy_cand_005,oracle_clean,9bfd1f27662d6dc05f91f3b1edcd16df1a63a6a904d7291fd80afe8b1d5a8b7f,13,candidate_csv.evidence_text,True,False,False
toy_cand_005,oracle_plus_metadata,7c32b579c06fe96c07bbc4743672dc12f761d0eac1f306cb54baa4e9925777f1,19,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_005,oracle_lengthened,2ea4b51f40bc34bfb2234d50b73c1eec92dc7138623003e91b54b9d7147894dc,89,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_005,oracle_plus_metadata_lengthened,0a22f73d36f8d6a81613dec5e04b688ab21d82971c796a828d1d8dbf38790a2d,95,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
toy_cand_005,raw_bm25_top1_chunk,0f5271c909b1846d30c5728ee5b0860eadcfd71fb554504a0fc36bcf1d96f114,82,chunk_retrieval rank=1,False,False,False
toy_cand_005,cleaned_bm25_top1_chunk,0f5271c909b1846d30c5728ee5b0860eadcfd71fb554504a0fc36bcf1d96f114,82,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_005,canonicalized_best_sentence_top5,c7af3a7ac1b5c573f307300891715cc3ab753bb0d69e8e37fae00bd08137a430,12,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_005,canonicalized_three_sentence_window_top5,6b4c1c960a84b93c293183bf32589f5c073ac84f16a2e764f5f07d1223fa2529,28,canonicalizer_ablation three_sentence_window_top5,False,False,False
toy_cand_006,oracle_clean,049acfc76f699a360194fa47fff4a65497809c0c91ebff790b4d068e806170c2,11,candidate_csv.evidence_text,True,False,False
toy_cand_006,oracle_plus_metadata,d0bdafd0aab4f004c5c2f4e90575a3227a7c3a13eed39cade13d5907837b679c,17,candidate_csv.evidence_text + metadata,True,True,False
toy_cand_006,oracle_lengthened,0b0c7395076041032acead68fad56c0cc4dc6353a66bdd04ca99d01c20ea33d4,93,candidate_csv.evidence_text + adjacent_chunk,True,False,True
toy_cand_006,oracle_plus_metadata_lengthened,624f46ce6897a85e25cbbe03b1858f9bbe0cf36d85425b5156a4d14971567728,99,candidate_csv.evidence_text + metadata + adjacent_chunk,True,True,True
toy_cand_006,raw_bm25_top1_chunk,a1d25e2500f8cae777c0c40c56a060a621501e4531cf121c061bcf73f6eb97ef,76,chunk_retrieval rank=1,False,False,False
toy_cand_006,cleaned_bm25_top1_chunk,a1d25e2500f8cae777c0c40c56a060a621501e4531cf121c061bcf73f6eb97ef,76,chunk_retrieval rank=1 (cleaned),False,False,False
toy_cand_006,canonicalized_best_sentence_top5,049acfc76f699a360194fa47fff4a65497809c0c91ebff790b4d068e806170c2,11,canonicalizer_ablation best_sentence_top5_overlap,False,False,False
toy_cand_006,canonicalized_three_sentence_window_top5,dfbdf39d443860dd47bf5f246cba2979aef5fb441d18b041d9bf4d23582daefc,26,canonicalizer_ablation three_sentence_window_top5,False,False,False
