path,risk_level,risk_type,matched_field,line_or_row,message,recommendation
experiments\format_shift_ablation_v1_toy\format_shift_inputs_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\format_shift_ablation_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\claim_only_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\group_split_integrity.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\lexical_overlap_by_label.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\leakage_audit_v1_toy\metadata_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\no_label_in_queue_sorting_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\no_oracle_in_selector_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\title_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_metric_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_scores.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top100.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top20.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top50.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_failure_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_metrics.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_predictions.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\r4_eval_v1_toy\r4_leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\r4_eval_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\toy_end_to_end_demo_v1\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\toy_end_to_end_demo_v1\toy_review_queue.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\toy_end_to_end_demo_v1\toy_run_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\v3_17_confidential_pipeline_runs\smoke_test_toy\run_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\v3_17_confidential_pipeline_runs\smoke_test_toy\stage_status.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
.gitignore,low,gitignore_missing,pdfs/,,.gitignore missing required entry 'pdfs/',Add 'pdfs/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,private_pdfs/,,.gitignore missing required entry 'private_pdfs/',Add 'private_pdfs/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,data/private/,,.gitignore missing required entry 'data/private/',Add 'data/private/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,experiments/private/,,.gitignore missing required entry 'experiments/private/',Add 'experiments/private/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.pdf,,.gitignore missing required entry '*.pdf',Add '*.pdf' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.docx,,.gitignore missing required entry '*.docx',Add '*.docx' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.xlsx,,.gitignore missing required entry '*.xlsx',Add '*.xlsx' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.npz,,.gitignore missing required entry '*.npz',Add '*.npz' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.pkl,,.gitignore missing required entry '*.pkl',Add '*.pkl' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.joblib,,.gitignore missing required entry '*.joblib',Add '*.joblib' to .gitignore to prevent committing sensitive files.
