candidate_id,oracle_span_clean,oracle_with_metadata,oracle_lengthened
SBV2-ALL92-G008-MILD,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","[RANK=1][PDF=AD-003][PAGE=1] This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate. HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing benchmarks are increasingly saturated, with state-of-the-art models achieving nearperfect scores on widely used open-loop and closed-loop benchm"
SBV2-ALL92-G008-STRONG,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","[RANK=1][PDF=AD-003][PAGE=1] This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate. HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing benchmarks are increasingly saturated, with state-of-the-art models achieving nearperfect scores on widely used open-loop and closed-loop benchm"
SBV2-ALL92-G008-SUPPORTED,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","[RANK=1][PDF=AD-003][PAGE=1] This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.","This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate. HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing benchmarks are increasingly saturated, with state-of-the-art models achieving nearperfect scores on widely used open-loop and closed-loop benchm"
SBV2-ALL92-G011-CONTRA,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","[RANK=1][PDF=AD-004][PAGE=1] Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations. can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closedloop end-to-end autonomous driving under realistic deployment perturbations."
SBV2-ALL92-G011-MILD,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","[RANK=1][PDF=AD-004][PAGE=1] Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations. can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closedloop end-to-end autonomous driving under realistic deployment perturbations."
SBV2-ALL92-G011-STRONG,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","[RANK=1][PDF=AD-004][PAGE=1] Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations. can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closedloop end-to-end autonomous driving under realistic deployment perturbations."
SBV2-ALL92-G011-SUPPORTED,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","[RANK=1][PDF=AD-004][PAGE=1] Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations.","Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations. can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closedloop end-to-end autonomous driving under realistic deployment perturbations."
SBV2-ALL92-G013-C01,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","[RANK=1][PDF=AD-005][PAGE=3] Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan. Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera"
SBV2-ALL92-G013-C02,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","[RANK=1][PDF=AD-005][PAGE=3] Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan. Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera"
SBV2-ALL92-G013-C03,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","[RANK=1][PDF=AD-005][PAGE=3] Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan. Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera"
SBV2-ALL92-G013-C04,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","[RANK=1][PDF=AD-005][PAGE=3] Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan.","Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan. Vectorized Map 3D BBox Object-Level Controls Previous-frame Images Noise Modulation 𝜖𝑛 View Projection Encoder Scene-Level Controls Retrieved Reference Frames Feature Extraction Ego Action Execution Behavior Generation Behavioral Controller Generative Renderer U-Net Panoramic Sensor Images Denoising Loop Driving Agent Input Planning Autoregressive Rollout Figure 2. Overall Framework: The proposed Bench2Drive-R is composed of two parts: a behavioral controller that executes ego actions and genera"
SBV2-ALL92-G014-C01,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","[RANK=1][PDF=AD-005][PAGE=9] 2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6."
SBV2-ALL92-G014-C02,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","[RANK=1][PDF=AD-005][PAGE=9] 2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6."
SBV2-ALL92-G014-C03,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","[RANK=1][PDF=AD-005][PAGE=9] 2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6."
SBV2-ALL92-G014-C04,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","[RANK=1][PDF=AD-005][PAGE=9] 2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score. Open-Loop Planning Ablation Temporal Retrieval FID Detection Planning Consistency Ref NDS↑ avg.L2(m)↓ % % 21.06 21.80 1.19 ✓ % 14.04 25.75 1.17 ✓ ✓ 10.95 33.04 1.15 Table 5. Noise & Gaussian Blur Ablation Noise Gaussian FID Modulation Blur 0.5s 1s 1.5s 2s % % 12.68 16.09 23.77 31.79 ✓ % 14.87 17.64 18.72 19.58 ✓ std=1 14.40 16.84 18.01 18.67 ✓ std=2 15.55 18.14 19.11 19.79 Table 6."
SBV2-ALL92-G018-C01,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","[RANK=1][PDF=AD-006][PAGE=7] The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting."
SBV2-ALL92-G018-C02,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","[RANK=1][PDF=AD-006][PAGE=7] The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting."
SBV2-ALL92-G018-C03,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","[RANK=1][PDF=AD-006][PAGE=7] The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting."
SBV2-ALL92-G018-C04,"The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","[RANK=1][PDF=AD-006][PAGE=7] The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. 4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. OmniDrive consistently achieves the highest scores across all metrics, with a peak Success Rate of 12.99%, Driving Score of 43.75, and Skill Score of 19.38, indicating better robustness and generalization in closed-loop setting."
