candidate_id,claim_text,oracle_span,raw_bm25_top1_chunk,cleaned_top1_chunk,best_sentence_from_top1,three_sentence_window_from_top1,best_sentence_from_top5,three_sentence_window_from_top5,n_sents_top1,n_sents_top5
SBV2-ALL92-G030-C01,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.","ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks [7, 28, 35, 37, 49] have emerged to evaluate performance on core tasks like percep- tion, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline.","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","Despite this progress, the application of XRL to cyber defense remains limited.","Milani et al. provide a recent comprehensive survey of XRL and organize the literature around feature attribution, policy summarization, and explanation generation. Their study highlights that most XRL methods remain domain-agnostic and are rarely integrated into the optimization objective itself. Despite this progress, the application of XRL to cyber defense remains limited.",3,20
SBV2-ALL92-G030-C02,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.","ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks [7, 28, 35, 37, 49] have emerged to evaluate performance on core tasks like percep- tion, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline.","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","Despite this progress, the application of XRL to cyber defense remains limited.","Milani et al. provide a recent comprehensive survey of XRL and organize the literature around feature attribution, policy summarization, and explanation generation. Their study highlights that most XRL methods remain domain-agnostic and are rarely integrated into the optimization objective itself. Despite this progress, the application of XRL to cyber defense remains limited.",3,28
SBV2-ALL92-G030-C03,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.","Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.","ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks [7, 28, 35, 37, 49] have emerged to evaluate performance on core tasks like percep- tion, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline.","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","As a result, there remains a significant gap in the literature concerning the sustained deployment and scalability of such systems under diverse real-world conditions.","Ahmad, Dasgupta, Rahman, Khan, Hauque, Saba, Huynh, Zhao, and Ozguven 5 with existing roadside infrastructure. As a result, there remains a significant gap in the literature concerning the sustained deployment and scalability of such systems under diverse real-world conditions. This study presents deployment insights from a real-world implementation of work zone safety applications that utilize roadside infrastructure integrated with heterogeneous sensors, including LiDAR, radar, and camera",3,17
SBV2-ALL92-G030-C04,The paper states that safety under open-world conditions is a minor consideration for large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment.","ing visual perception with language understanding and rea- soning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks [7, 28, 35, 37, 49] have emerged to evaluate performance on core tasks like percep- tion, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline.","ing visual perception with language understanding and reasoning, providing interpretable, instruction-following, and context-aware decision support in the autonomous driving pipeline. To assess the capabilities of VLMs in autonomous driving, a growing number of public datasets [11–14, 14– 17, 33, 36, 46, 50] and benchmarks have emerged to evaluate performance on core tasks like perception, prediction, and planning. These provide standardized platforms for model comparison","Imitation learning, compared to reinforcement learning, shows promise for E2E systems in harnessing large-scale datasets effectively.","Pre-Print learning by interacting with the environment. Imitation learning, compared to reinforcement learning, shows promise for E2E systems in harnessing large-scale datasets effectively. Recent advancements in E2E systems focus on transformer-based models Prakash et al.",3,27
SBV2-ALL92-G031-C01,The DriveVLM experiments train models on the training split and evaluate test performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,"of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset [44]. SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and anno- tation pipeline. It i","of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline. It i",Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset .,"Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline.","For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.","Results on the test set of our proposed SUP-AD dataset. †: Using the official API of GPT-4V. For Lynx and CogVLM, we utilize the training split for fine-tuning purposes. In contrast, for GPT-4V, we employ in-context learning.",4,20
SBV2-ALL92-G031-C02,"The DriveVLM experiments train models on the training split and evaluate test performance with scene-description, meta-action, and comfort metrics.",We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,"of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset [44]. SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and anno- tation pipeline. It i","of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline. It i",Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset .,"Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline.","For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.","Results on the test set of our proposed SUP-AD dataset. †: Using the official API of GPT-4V. For Lynx and CogVLM, we utilize the training split for fine-tuning purposes. In contrast, for GPT-4V, we employ in-context learning.",4,20
SBV2-ALL92-G031-C03,"The DriveVLM experiments train models on training, validation, and test splits and evaluate test performance with scene-description and meta-action metrics.",We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,"of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset [44]. SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and anno- tation pipeline. It i","of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline. It i",Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset .,"Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline.","ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk","7994 4364 3267 51.24] 5443 | 65.37 can flexibly define customized cross-region, cross-country, or crosstraffic experiments based on their own research goals. 5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and drivingspecialized VLMs on ScenePilot-Bench. ScenePilot-4K is partitioned into training, validation, and test splits with balanced coverage over weather conditions, road types, lane configurations, intersection attributes, risk Yujin Wang, Yutong Zheng, Wenxian Fan, Tianyi Wang, Hongqing Chu, Li Zhang, Bingzhao Gao, Daxin Tian, Jiangiang Wang, and Hong Chen evaluate VLMs’ adaptability to this fundamental shift, we introduce a cross-traffic evaluation: e RL: Train exclusively on right-hand traffic countries (e.g., China, US), test on left-hand traffic countries (e.g., Japan, UK).",4,16
SBV2-ALL92-G031-C04,The DriveVLM experiments train models on the test split and evaluate training performance with scene-description and meta-action metrics.,We train models on the training split and use our proposed scene description and meta-action metrics to evaluate model performance on the test split.,"of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset [44]. SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and anno- tation pipeline. It i","of action and decision candidates while annotating driving plans. Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . SUP-AD Dataset. The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline. It i",Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset .,"Each annotation is meticulously verified by 3 annotators for accuracy and consistency, ensuring a reliable dataset for model training. Figure 2 illustrates a sample scenario with detailed annotations. 5 Experiments 5.1 Settings We test DriveVLM and DriveVLM-Dual on our proposed SUP-AD dataset and nuScenes dataset . The SUP-AD dataset is a dataset built by our proposed data mining and annotation pipeline.","For Lynx and CogVLM, we utilize the training split for fine-tuning purposes.","Results on the test set of our proposed SUP-AD dataset. †: Using the official API of GPT-4V. For Lynx and CogVLM, we utilize the training split for fine-tuning purposes. In contrast, for GPT-4V, we employ in-context learning.",4,20
SBV2-ALL92-G032-C01,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to con- struct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in few- shot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du",capabilities of DriveVLM and DriveVLM-Dual.,"capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios.",DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,"y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",5,17
SBV2-ALL92-G032-C02,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, perception, and real-time planning capabilities.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to con- struct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in few- shot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du",capabilities of DriveVLM and DriveVLM-Dual.,"capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios.",DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,"y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",5,15
SBV2-ALL92-G032-C03,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, real-time planning, and trajectory-control accuracy.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.","y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory","y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,"y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,"y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",3,17
SBV2-ALL92-G032-C04,DriveVLM-Dual separates DriveVLM from the traditional autonomous pipeline and reports weaker spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities.","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to con- struct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in few- shot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du","capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios. Furthermore, DriveVLM-Dual exceeds state-of-the-art end-to-end motion planning methods. We have also deployed the model on a production vehicle, confirming that DriveVLM- Du",capabilities of DriveVLM and DriveVLM-Dual.,"capabilities of DriveVLM and DriveVLM-Dual. We carry out a comprehensive data mining and annotation pipeline to construct an in-house SUP-AD dataset for the SUP task. Extensive experiments on both the nuScenes dataset and our own dataset demonstrate the superior performance of DriveVLM, particularly in fewshot scenarios.",DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory,"y2)]…… Trajectory Refinement Matching DriveVLM DriveVLM-Dual Sequence of Images Low Frequency High Frequency Prompting <DRIVLEVLM> Figure 1: DriveVLM and DriveVLM-Dual model pipelines. DriveVLM takes images as input and, through a Chain-of-Thought (CoT) mechanism, outputs scene description, scene analysis, and hierarchical planning results. DriveVLM-Dual further incorporates traditional 3D perception and trajectory planning modules to achieve spatial reasoning capability and real-time trajectory",5,17
SBV2-ALL92-G033-C01,DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning and heavy computational requirements within the autonomous pipeline.,"Furthermore, recognizing the limitations of VLMs in spatial reasoning and heavy computational requirements, we propose DriveVLM-Dual, a hybrid system that synergizes the strengths of DriveVLM with the traditional autonomous driv- ing pipeline.","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is un- derstanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors.","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L",dressing the spatial reasoning and computational challenges inherent in VLMs.,"dressing the spatial reasoning and computational challenges inherent in VLMs. Moreover, we define a scene understanding for planning task for autonomous driving, together with evaluation metrics and dataset construction protocol. DriveVLM and DriveVLM-Dual have surpassed the state-of-theart methods on the public and our benchmarks, especially in handling intricate and dynamic scenarios.",2,17
SBV2-ALL92-G033-C02,"DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning, latency control, and heavy computational requirements within the autonomous pipeline.","Furthermore, recognizing the limitations of VLMs in spatial reasoning and heavy computational requirements, we propose DriveVLM-Dual, a hybrid system that synergizes the strengths of DriveVLM with the traditional autonomous driv- ing pipeline.","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is un- derstanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors.","DRIVEVLM: The Convergence of Autonomous Driving and Large Vision-Language Models Xiaoyu Tian1∗ Junru Gu1∗ Bailin Li2∗ Yicheng Liu1∗ Yang Wang2 Zhiyong Zhao2 Kun Zhan2 Peng Jia2 Xianpeng Lang2 Hang Zhao1† 1IIIS, Tsinghua University 2Li Auto Abstract: A primary hurdle of autonomous driving in urban environments is understanding complex and long-tail scenarios, such as challenging road conditions and delicate human behaviors. We introduce DriveVLM, an autonomous driving system leveraging Vision-L",dressing the spatial reasoning and computational challenges inherent in VLMs.,"dressing the spatial reasoning and computational challenges inherent in VLMs. Moreover, we define a scene understanding for planning task for autonomous driving, together with evaluation metrics and dataset construction protocol. DriveVLM and DriveVLM-Dual have surpassed the state-of-theart methods on the public and our benchmarks, especially in handling intricate and dynamic scenarios.",2,17
