pilot_id,candidate_id,domain,evidence_text,claim_text,annotator_relation_label,relation_confidence_1_to_5,relation_rationale_one_sentence,relation_confusion_if_any,needs_relation_adjudication,claim_realism_score_1_to_5,claim_realism_issue,realism_rationale_one_sentence,claim_usable_for_paper_example,needs_realism_adjudication
P011,SBV2-ALL92-G175-C03,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm.",,,,,,,,,,
P012,SBV2-ALL92-G178-C03,marl,"We evaluate 13 modern LLMs zero-shot within homogeneous teams, with trained MARL agents as reference points.",The ALEM evaluation trains thirteen modern LLMs with MARL agents in homogeneous teams before comparing them as reference points directly.,,,,,,,,,,
P013,SBV2-ALL92-G180-C03,marl,"Performance does not saturate: coordination and total reward continue improv- ing late in training, and total reward remains well below the maximum achievable score.","Extended ALEM training shows saturated performance, with coordination and total reward reaching the maximum score by the late phase.",,,,,,,,,,
P014,SBV2-ALL92-G215-C03,policy_simulation,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.",,,,,,,,,,
P015,SBV2-ALL92-G224-C03,policy_simulation,"Typ- ically, according to the winner-takes-all rule, over 90% state voting results are predicted correctly, which means the simulation achieves a high-precision macroscopic reduction of the real-world election results.",The election simulation reports correct predictions for more than 95% of state voting results under its winner-takes-all rule.,,,,,,,,,,
P016,SBV2-ALL92-G067-C02,cyber_defense,We evaluate six frontier AI systems under matched prompts and budgets.,"The AgentCyberRange study evaluates six frontier AI systems under matched prompts, budgets, and environment configurations for the reported cyber-range comparison.",,,,,,,,,,
P017,SBV2-ALL92-G106-C02,digital_twin,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes.","The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 2,000 episodes and five starting conditions.",,,,,,,,,,
P018,SBV2-ALL92-G158-C02,robotics,"In addition to success rate (defined as the percentage of episodes that meet task-specific thresholds), we report continuous evaluation metrics to capture control precision and stability: Final Distance Error (m): Euclidean distance to the goal at the end of the episode.","NavBench reports success rate and continuous metrics, including final distance error, to measure task completion and trajectory smoothness.",,,,,,,,,,
P019,SBV2-ALL92-G175-C02,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.",,,,,,,,,,
P020,SBV2-ALL92-G002-CONTRA,autonomous_driving,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,,,,,,,,,,
P021,SBV2-ALL92-G067-C04,cyber_defense,We evaluate six frontier AI systems under matched prompts and budgets.,The AgentCyberRange study evaluates two frontier AI systems with separate prompts and separate computational budgets for the reported cyber-range comparison.,,,,,,,,,,
P022,SBV2-ALL92-G106-C04,digital_twin,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes.","The study evaluates test error with MAPE by running a nonoptimized baseline decision rule on the physical system for 2,000 episodes.",,,,,,,,,,
P023,SBV2-ALL92-G158-C04,robotics,"In addition to success rate (defined as the percentage of episodes that meet task-specific thresholds), we report continuous evaluation metrics to capture control precision and stability: Final Distance Error (m): Euclidean distance to the goal at the end of the episode.",NavBench reports success rate while treating final distance error as unrelated to task completion and control precision metrics.,,,,,,,,,,
P024,SBV2-ALL92-G175-C04,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.",The Craftax-Coop evaluation compares MAPPO with PPO-RNN and SAC rather than IPPO or PQN as companion algorithms in the comparison.,,,,,,,,,,
P025,SBV2-ALL92-G214-C04,policy_simulation,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",The benchmark reports its best-performing system below 10% accuracy on broad cases and 5% accuracy on targeted sub-tasks.,,,,,,,,,,
P026,SBV2-ALL92-G215-C01,policy_simulation,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, heterogeneous data integration, and result interpretation require expertise.",,,,,,,,,,
P027,SBV2-ALL92-G175-C01,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a parallel-environment Q-learning algorithm method.",,,,,,,,,,
P028,SBV2-ALL92-G002-SUPPORTED,autonomous_driving,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,,,,,,,,,,
P029,SBV2-ALL92-G067-C01,cyber_defense,We evaluate six frontier AI systems under matched prompts and budgets.,The AgentCyberRange study evaluates six frontier AI systems under matched prompts and matched computational budgets for the reported cyber-range comparison.,,,,,,,,,,
P030,SBV2-ALL92-G002-MILD,autonomous_driving,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,,,,,,,,,,
P031,SBV2-ALL92-G215-C02,policy_simulation,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration and heterogeneous data integration require expertise, while interpretation is resolved.",,,,,,,,,,
P032,SBV2-ALL92-G175-C02,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.","The Craftax-Coop evaluation compares MAPPO with IPPO, which trains agents independently, and PQN, a recurrent value-based Q-learning algorithm.",,,,,,,,,,
P033,SBV2-ALL92-G214-C02,policy_simulation,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation.",The benchmark reports its best-performing system above 30% accuracy on broad cases and 15.04% accuracy on targeted sub-tasks.,,,,,,,,,,
P034,SBV2-ALL92-G215-C03,policy_simulation,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise.",,,,,,,,,,
P035,SBV2-ALL92-G002-STRONG,autonomous_driving,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.","nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.",,,,,,,,,,
P036,SBV2-ALL92-G107-C03,digital_twin,"This dual- component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.","The approach jointly calibrates the digital twin and searches for an optimal control rule, outperforming existing methods in numerical biopharmaceutical experiments and direct physical plant trials.",,,,,,,,,,
P037,SBV2-ALL92-G007-STRONG,autonomous_driving,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.","HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.",,,,,,,,,,
P038,SBV2-ALL92-G215-C04,policy_simulation,"Agent-based models (ABMs) have emerged as a promising approach, capturing individual behaviors, group dynamics, and emergent phenomena beyond traditional deter- ministic models. [1] However, their effectiveness in informing policy decisions remains uncertain, posing both academic and practical challenges. [2] ABMs for policy evaluation face significant real-world application issues, such as calibrating agent behaviors, inte- grating heterogeneous datasets, and interpreting results. [3] These tasks demand sophisticated technical capabilities and domain expertise.","The ABM discussion says decision-support effectiveness is clear because calibration, heterogeneous data integration, and result interpretation require little expertise.",,,,,,,,,,
P039,SBV2-ALL92-G175-C04,marl,"In addition to MAPPO, we evaluate two other algorithms in the Craftax-Coop environment: Independent PPO (IPPO), where each agent independently learns using PPO without centralized value estimation, and Parallelized Q-Network (PQN) [Gallici et al., 2025], an efficient Q-learning algorithm using parallel environments for scalable training.",The Craftax-Coop evaluation compares MAPPO with PPO-RNN and SAC rather than IPPO or PQN as companion algorithms in the comparison.,,,,,,,,,,
P040,SBV2-ALL92-G092-C04,cyber_defense,"Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives.","The comparisons show the hierarchical learning approach achieving lower performance in convergence speed, episodic return, and cybersecurity metrics with multiple adversaries.",,,,,,,,,,
P041,SBV2-ALL92-G036-C04,autonomous_driving,"As widely discussed in the community [42, 43], the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level.Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set.","Bench2Drive describes official training data as already available, making method comparisons operate at algorithm level rather than system level.",,,,,,,,,,
P042,SBV2-ALL92-G164-C01,robotics,"The results show that the context-conditioned policy often significantly outperforms the context-agnostic one, especially when the task is sensitive to changes in environment dynamics, underscoring the potential benefits of incorporating context.","The results show context-conditioned agents often outperform context-agnostic agents, especially when performance depends strongly on environment dynamics changes.",,,,,,,,,,
P043,SBV2-ALL92-G083-C01,cyber_defense,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitigation success from 84.7% to 89.6% in the reported DeepXplain experiments.,,,,,,,,,,
P044,SBV2-ALL92-G110-C02,digital_twin,The results show rapid policy convergence and robust task execution in both simulated and physical environments demonstrating the effectiveness of our approach.,"The results show rapid learning convergence and robust task execution in simulated, physical, and disturbed environments for the proposed robot control tasks.",,,,,,,,,,
P045,SBV2-ALL92-G185-C01,marl,"Reinforcement learning (RL) offers a promising approach, but its industrial adoption remains limited due to challenges such as reward design, modularity, and action space management.","The industrial-control paper says reinforcement learning adoption remains limited by reward design, modularity, and action-space management challenges in industrial processes.",,,,,,,,,,
P046,SBV2-ALL92-G014-C02,autonomous_driving,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score.","Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID and stronger segmentation scores.",,,,,,,,,,
P047,SBV2-ALL92-G272-C03,policy_simulation,"Once an account has reached this state (referred to as ‘full wallet’ hereafter), the balance does not change in the absence of selling or traveling, as every time a new credit is acquired, the oldest credit expires.",A full-wallet account keeps its balance unchanged during sale and travel periods because each new credit makes the oldest credit expire.,,,,,,,,,,
P048,SBV2-ALL92-G035-C04,autonomous_driving,"For instance, consider three test runs where each achieves 90% route completion, but the number of red lights run differs: 0, 1, and 2.","The example describes three test runs with 70% route completion and red-light counts of 2, 1, and 0.",,,,,,,,,,
P049,SBV2-ALL92-G047-C01,autonomous_driving,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023).",GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,,,,,,,,,,
P050,SBV2-ALL92-G232-C01,policy_simulation,We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",,,,,,,,,,
