sample_id,candidate_id,label_4_silver,domain,parse_status,llm_label,llm_confidence,llm_rationale,llm_evidence_used,llm_uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate,llm_label_idx,silver_idx,r4_label,r4_label_idx,llm_correct,r4_correct,llm_vs_r4
LLM_023,SBV2-ALL92-G082-C01,supported,cyber_defense,ok,supported,1.0,"The evidence directly states evaluation in a realistic enterprise testbed using CALDERA-driven APT scenarios, matching the claim's description.",True,False,,deepseek-v4-flash,1.73,514,69,0.000158,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_024,SBV2-ALL92-G131-C01,supported,digital_twin,ok,supported,1.0,"The evidence directly states that a digital shadow processes data continuously from the physical system and that automated control cannot be guaranteed, matching the claim exactly.",True,False,,deepseek-v4-flash,1.72,512,71,0.000158,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_025,SBV2-ALL92-G122-C01,supported,digital_twin,ok,supported,1.0,"The evidence directly states that the model achieves an R2 of 0.3798 and outperforms baseline regressors, matching the claim exactly.",True,False,,deepseek-v4-flash,1.73,533,72,0.000164,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states the same iterative quality control process to filter noise and correct biases, matching the claim exactly.",True,False,,deepseek-v4-flash,1.85,524,65,0.00016,0,1,supported,0,0,0,both_wrong
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,1.0,"The claim states 53 hours of training, but the evidence specifies 43 hours, which is a slight numerical overstatement.",True,False,,deepseek-v4-flash,1.89,526,73,0.000162,1,1,mild_scope_overclaim,1,1,1,both_correct
LLM_053,SBV2-ALL92-G036-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states that the lack of an official training set causes comparisons at the system-level instead of algorithm-level, but does not mention route-level comparisons, which the claim adds.",True,False,,deepseek-v4-flash,1.82,552,83,0.000172,1,1,strong_action_overclaim,2,1,0,llm_only
LLM_054,SBV2-ALL92-G027-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.85,528,77,0.000164,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_055,SBV2-ALL92-G030-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ensuring safety under open-world conditions remains a significant barrier to large-scale deployment, which matches the claim's assertion that it is the main barrier to large-scale adoption.",True,False,,deepseek-v4-flash,1.73,509,80,0.00016,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_056,SBV2-ALL92-G032-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence supports improved spatial reasoning and real-time planning but does not mention perception, which the claim adds.",True,False,,deepseek-v4-flash,1.83,527,69,0.000162,1,1,mild_scope_overclaim,1,1,1,both_correct
LLM_057,SBV2-ALL92-G011-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that deployment-related perturbations substantially degrade closed-loop driving performance and reveal robustness challenges not fully captured by conventional image-level corruption evaluations, matching the claim exactly.",True,False,,deepseek-v4-flash,1.78,523,76,0.000162,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_058,SBV2-ALL92-G007-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that conventional end-to-end methods remain strongly limited on HiDrive and that DiffusionDrive achieves only 34.2 Overall DS, matching the claim exactly.",True,False,,deepseek-v4-flash,1.75,530,77,0.000165,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_059,SBV2-ALL92-G040-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The claim states seven baseline models, but the evidence explicitly says five models are implemented.",True,False,,deepseek-v4-flash,1.75,532,65,0.000162,1,1,contradiction_candidate,3,1,0,llm_only
LLM_060,SBV2-ALL92-G037-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that due to heavy computational requirements of closed-loop simulation, they evaluate on the navmini split, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.46,509,72,0.000158,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_061,SBV2-ALL92-G047-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence only mentions GPU acceleration, but the claim adds CPU acceleration, which is not supported by the evidence.",True,False,,deepseek-v4-flash,1.73,516,70,0.000159,1,1,strong_action_overclaim,2,1,0,llm_only
LLM_062,SBV2-ALL92-G025-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence mentions 'commercial, open-source, and driving-specialized VLMs' but the claim adds 'vehicle-specialized' and 'proprietary' which are not explicitly stated, slightly broadening the scope.",True,False,,deepseek-v4-flash,1.89,532,93,0.00017,1,1,strong_action_overclaim,2,1,0,llm_only
LLM_063,SBV2-ALL92-G051-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states 'city-scale networks' while the claim says 'regional road networks', which is a slight broadening of scope.",True,False,,deepseek-v4-flash,1.42,535,73,0.000165,1,1,contradiction_candidate,3,1,0,llm_only
LLM_064,SBV2-ALL92-G057-C02,mild_scope_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states [70, 60, 50] mph as compliant, but the claim substitutes [70, 60, 40] mph, which is a slight numerical deviation not directly supported.",True,False,,deepseek-v4-flash,1.75,560,89,0.000176,1,1,supported,0,1,0,llm_only
LLM_065,SBV2-ALL92-G003-MILD,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that nuPlan-R is a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework, matching the claim exactly.",True,False,,deepseek-v4-flash,1.43,523,78,0.000163,0,1,supported,0,0,0,both_wrong
LLM_066,SBV2-ALL92-G021-C02,mild_scope_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that experiments highlight limitations of current VLM-based end-to-end autonomous driving systems and provide a more reliable solution, matching the claim's content.",True,False,,deepseek-v4-flash,2.07,528,75,0.000164,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The evidence mentions 'several interpretable metrics relevant to cybersecurity' but does not explicitly list 'resource costs', which the claim includes.",True,False,,deepseek-v4-flash,1.24,544,74,0.000168,1,1,strong_action_overclaim,2,1,0,llm_only
LLM_068,SBV2-ALL92-G086-C02,mild_scope_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The claim states proactive-v2 lasts 16 time steps, but the evidence says 15 time steps, a slight numerical overstatement.",True,False,,deepseek-v4-flash,1.7,539,75,0.000167,1,1,mild_scope_overclaim,1,1,1,both_correct
LLM_069,SBV2-ALL92-G087-C02,mild_scope_overclaim,cyber_defense,ok,supported,0.95,"The evidence directly states that human designers face substantial cognitive limitations in developing comprehensive reward models that capture nuanced dynamics of cyber operations, which matches the claim.",True,False,,deepseek-v4-flash,1.73,534,72,0.000164,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_070,SBV2-ALL92-G079-C02,mild_scope_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The evidence mentions only one adaptive attacker, while the claim states there are two adaptive attackers.",True,False,,deepseek-v4-flash,1.76,518,66,0.000158,1,1,strong_action_overclaim,2,1,0,llm_only
LLM_071,SBV2-ALL92-G083-C02,mild_scope_overclaim,cyber_defense,ok,mild_scope_overclaim,0.95,"The claim states the F1-score improves to 0.925, but the evidence reports 0.915, a slight numerical overstatement.",True,False,,deepseek-v4-flash,1.78,550,77,0.00017,1,1,mild_scope_overclaim,1,1,1,both_correct
LLM_072,SBV2-ALL92-G069-C02,mild_scope_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that systematic evaluation of offensive capabilities remains constrained by limited access to open, reproducible, multi-host cyber-range infrastructure, which matches the claim almost verbatim.",True,False,,deepseek-v4-flash,1.8,522,77,0.000162,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_073,SBV2-ALL92-G093-C02,mild_scope_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The claim adds 'attacker coordination' as a future work direction, which is not mentioned in the evidence.",True,False,,deepseek-v4-flash,1.77,522,70,0.000161,1,1,supported,0,1,0,llm_only
LLM_074,SBV2-ALL92-G145-C02,mild_scope_overclaim,digital_twin,ok,supported,1.0,"The evidence directly states that APDT was implemented as a proof of concept on a university campus subnetwork using historical data from three access points, matching the claim exactly.",True,False,,deepseek-v4-flash,1.73,523,76,0.000162,0,1,supported,0,0,0,both_wrong
LLM_075,SBV2-ALL92-G122-C02,mild_scope_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that the model achieves an R2 of 0.3798 and outperforms baseline regressors, matching the claim exactly.",True,False,,deepseek-v4-flash,1.7,537,72,0.000165,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.95,"The claim states 16 GPUs and 100 CPUs, but the evidence specifies 8 GPUs and 64 CPUs, which is a scope overstatement.",True,False,,deepseek-v4-flash,1.66,526,80,0.000164,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states the implementation of a rigorous, iterative quality control process to filter noise and correct biases, matching the claim's description.",True,False,,deepseek-v4-flash,1.77,523,70,0.000161,0,2,supported,0,0,0,both_wrong
LLM_103,SBV2-ALL92-G019-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.95,"The evidence states fine-tuning for two epochs on nuScenes only, while the claim says four epochs on nuScenes and Waymo.",True,False,,deepseek-v4-flash,1.62,550,76,0.00017,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_104,SBV2-ALL92-G013-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states a closed-loop interactive end-to-end simulation platform based on nuPlan, but the claim adds 'benchmark-scale evaluation pipelines and renderer comparisons' which are not mentioned in the evidence.",True,False,,deepseek-v4-flash,1.83,511,88,0.000163,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_105,SBV2-ALL92-G030-C03,strong_action_overclaim,autonomous_driving,ok,strong_action_overclaim,0.9,"The evidence states that safety under open-world conditions remains a barrier to large-scale deployment, but the claim adds that current benchmark data resolves this barrier, which is not supported by the evidence.",True,False,,deepseek-v4-flash,1.83,511,83,0.000161,2,2,mild_scope_overclaim,1,1,0,llm_only
LLM_106,SBV2-ALL92-G004-STRONG,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence mentions only a desktop PC with the specified CPU, RAM, and GPU, but the claim adds a multi-GPU compute cluster not present in the evidence.",True,False,,deepseek-v4-flash,1.86,567,81,0.000176,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_107,SBV2-ALL92-G042-C03,strong_action_overclaim,autonomous_driving,ok,supported,0.95,"The evidence directly states the introduction of a closed-loop evaluation framework integrating real-world driving scenarios into CARLA with infrastructure cooperation, matching the claim's core elements.",True,False,,deepseek-v4-flash,1.91,523,74,0.000162,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_108,SBV2-ALL92-G014-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"Evidence only mentions lower FID score, not lower perception and segmentation scores as claimed.",True,False,,deepseek-v4-flash,2.13,550,65,0.000167,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_109,SBV2-ALL92-G025-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence mentions commercial, open-source, and driving-specialized VLMs, but the claim adds 'vehicle-specialized, sensor-fusion, and text-centric' categories not present in the evidence.",True,False,,deepseek-v4-flash,1.76,537,89,0.00017,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_110,SBV2-ALL92-G018-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that overall performance of all ADVLMs remains relatively low, which matches the claim's assertion about low performance and unreliability for closed-loop evaluation benchmarks.",True,False,,deepseek-v4-flash,1.78,517,78,0.000161,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_111,SBV2-ALL92-G043-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states evaluation of three agents, while the claim says seven agents, broadening the scope.",True,False,,deepseek-v4-flash,1.85,524,67,0.00016,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_112,SBV2-ALL92-G034-C03,strong_action_overclaim,autonomous_driving,ok,supported,0.95,"The evidence directly states that state-of-the-art E2E-AD models are implemented and evaluated in Bench2Drive, providing insights on current status and future directions, which matches the claim without overstatement.",True,False,,deepseek-v4-flash,1.77,522,84,0.000164,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_113,SBV2-ALL92-G027-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.62,532,77,0.000165,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_114,SBV2-ALL92-G032-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence supports improved spatial reasoning and real-time planning but does not mention trajectory-control accuracy, which the claim adds.",True,False,,deepseek-v4-flash,1.79,528,71,0.000162,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_115,SBV2-ALL92-G040-C03,strong_action_overclaim,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states twelve baseline methods are implemented, but the evidence explicitly says five classical models are implemented.",True,False,,deepseek-v4-flash,1.7,532,67,0.000162,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_116,SBV2-ALL92-G038-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The claim states 12% and 98%, while the evidence reports 22% and 95%, so the claim slightly overstates the scores.",True,False,,deepseek-v4-flash,1.89,526,78,0.000164,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,ok,contradiction_candidate,1.0,"The claim states that DeepXplain raises the average stage-weighted F1-score to 0.950 and mitigation success to 95.0%, but the evidence reports values of 0.915 and 89.6%, which directly conflict with the claim.",True,False,,deepseek-v4-flash,1.87,550,99,0.000176,3,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_118,SBV2-ALL92-G098-C03,strong_action_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The evidence states the approach 'matches performance' on unseen larger networks, while the claim says 'exceeds performance' on such networks.",True,False,,deepseek-v4-flash,2.0,525,75,0.000163,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_119,SBV2-ALL92-G082-C03,strong_action_overclaim,cyber_defense,ok,supported,0.95,"The evidence directly states evaluation in a realistic testbed using CALDERA-driven APT scenarios, matching the claim's description.",True,False,,deepseek-v4-flash,1.91,517,68,0.000159,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_120,SBV2-ALL92-G093-C03,strong_action_overclaim,cyber_defense,ok,contradiction_candidate,1.0,"The claim states that the paper presents H-MARL transferability to evolving adversaries, but the evidence explicitly says this is left as future work.",True,False,,deepseek-v4-flash,1.78,523,76,0.000162,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_121,SBV2-ALL92-G086-C03,strong_action_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The claim states proactive-v2 lasts 20 time steps, but the evidence says 15 time steps, so the claim overstates the duration while the relative ordering is correct.",True,False,,deepseek-v4-flash,2.01,539,83,0.000169,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_122,SBV2-ALL92-G069-C03,strong_action_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that systematic evaluation of offensive capabilities is constrained by limited access to open, reproducible, multi-host cyber-range infrastructure, which matches the claim's assertion about missing such infrastructure.",True,False,,deepseek-v4-flash,1.82,522,80,0.000163,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_123,SBV2-ALL92-G091-C03,strong_action_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that methods are evaluated against multiple baselines at different stages of the design process to motivate methodology and design decisions, which matches the claim.",True,False,,deepseek-v4-flash,1.66,509,74,0.000158,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_124,SBV2-ALL92-G141-C03,strong_action_overclaim,digital_twin,ok,mild_scope_overclaim,0.8,"The evidence states that meeting low-latency requirements becomes 'more challenging' under the limitation, while the claim asserts they become 'infeasible', which is a stronger conclusion than the evidence supports.",True,False,,deepseek-v4-flash,1.93,515,89,0.000164,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_125,SBV2-ALL92-G144-C03,strong_action_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that traditional passive safety analysis methods face serious limitations in data-scarce and evolving environments, matching the claim's core assertion.",True,False,,deepseek-v4-flash,2.02,531,72,0.000164,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_151,SBV2-ALL92-G018-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states that overall ADVLM performance remains relatively high, while the evidence explicitly states that overall performance remains relatively low.",True,False,,deepseek-v4-flash,1.75,517,71,0.000159,3,3,contradiction_candidate,3,1,1,both_correct
LLM_152,SBV2-ALL92-G040-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The evidence states that five classical E2EAD models are implemented as baselines, directly contradicting the claim that no classical E2EAD models are implemented.",True,False,,deepseek-v4-flash,1.78,532,80,0.000166,3,3,contradiction_candidate,3,1,1,both_correct
LLM_153,SBV2-ALL92-G038-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states the constant-velocity agent scores 95% and the human expert scores 22%, but the evidence directly reverses these scores, stating the constant velocity agent drops to 22% and the human expert achieves 95%.",True,False,,deepseek-v4-flash,1.84,526,94,0.000168,3,3,strong_action_overclaim,2,1,0,llm_only
LLM_154,SBV2-ALL92-G013-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The evidence states the platform is based on nuPlan and is closed-loop interactive, directly contradicting the claim that it is open-loop noninteractive and unrelated to nuPlan.",True,False,,deepseek-v4-flash,1.82,512,82,0.000161,3,3,strong_action_overclaim,2,1,0,llm_only
LLM_155,SBV2-ALL92-G019-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The evidence states the base VLM is LLaVA-Interleave, fine-tuned on nuScenes with learning rate 2e-4, while the claim says GPT-4o, KITTI, and learning rate 1e-4, which directly conflicts.",True,False,,deepseek-v4-flash,2.24,545,104,0.000176,3,3,contradiction_candidate,3,1,1,both_correct
LLM_156,SBV2-ALL92-G020-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states that RoboDriveVLM-TTA records weaker AvgL2-Prompt and AvgCol-Prompt results while maintaining higher MCL2 and MCC values, but the evidence says it achieves the best overall performance in AvgL2-Prompt and AvgCol-Prompt and maintains relatively low MCL2/MCC values, directly contradicting both parts.",True,False,,deepseek-v4-flash,2.02,551,119,0.000182,3,3,contradiction_candidate,3,1,1,both_correct
LLM_157,SBV2-ALL92-G057-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The evidence states that [70, 60, 50] mph complies and [70, 50, 30] mph does not, which directly contradicts the claim that [70, 60, 50] mph exceeds the maximum speed differential and [70, 50, 30] mph is compliant.",True,False,,deepseek-v4-flash,1.99,560,111,0.000182,3,3,supported,0,1,0,llm_only
LLM_158,SBV2-ALL92-G031-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states models are trained on the test split and evaluated on training performance, but the evidence explicitly says training is on the training split and evaluation is on the test split.",True,False,,deepseek-v4-flash,1.59,515,82,0.000162,3,3,mild_scope_overclaim,1,1,0,llm_only
LLM_159,SBV2-ALL92-G032-C04,contradiction_candidate,autonomous_driving,ok,contradiction_candidate,1.0,"The evidence states that DriveVLM-Dual achieves improved spatial reasoning and real-time planning, directly contradicting the claim that it reports weaker capabilities.",True,False,,deepseek-v4-flash,1.73,526,76,0.000163,3,3,contradiction_candidate,3,1,1,both_correct
LLM_160,SBV2-ALL92-G051-C04,contradiction_candidate,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence describes a framework for testing RL routing algorithms, while the claim specifies supervised lane detection algorithms, which is a different domain.",True,False,,deepseek-v4-flash,1.79,536,74,0.000165,1,3,strong_action_overclaim,2,0,0,both_wrong
