sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,claim_text,evidence_text
LLM_015,SBV2-ALL92-G032-C01,supported,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_016,SBV2-ALL92-G047-C01,supported,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max ,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none,GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023)."
LLM_017,SBV2-ALL92-G089-C01,supported,cyber_defense,CYB-008,A strong expert hierarchical decision rule outperforms a joint PPO baseline in t,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].
LLM_018,SBV2-ALL92-G069-C01,supported,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by limited a,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained by limited access to open, reproducible, multi-host cyber-range infrastructure for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_019,SBV2-ALL92-G083-C01,supported,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitigation success from 84.7% to 89.6% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_020,SBV2-ALL92-G067-C01,supported,cyber_defense,CYB-001,The AgentCyberRange study evaluates six frontier AI systems under matched prompt,We evaluate six frontier AI systems under matched prompts and budgets.,runtime_check_needed,cyber_defense,The AgentCyberRange study evaluates six frontier AI systems under matched prompts and matched computational budgets for the reported cyber-range comparison.,We evaluate six frontier AI systems under matched prompts and budgets.
LLM_021,SBV2-ALL92-G091-C01,supported,cyber_defense,CYB-009,The study evaluates its methods against multiple baselines at different design s,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense,The study evaluates its methods against multiple baselines at different design stages to motivate the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.
LLM_022,SBV2-ALL92-G086-C01,supported,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 15 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 15 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_023,SBV2-ALL92-G082-C01,supported,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with CALDERA-driven AP,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense,DeepXplain is evaluated in a realistic enterprise testbed with CALDERA-driven APT activity during the enterprise APT evaluation benchmark.,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].
LLM_024,SBV2-ALL92-G131-C01,supported,digital_twin,DT-011,A digital shadow processes physical-system data continuously while lacking assur,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none,A digital shadow processes physical-system data continuously while lacking assured automated control over the physical system in smart grid typology.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously."
LLM_025,SBV2-ALL92-G122-C01,supported,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors.,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation."
LLM_026,SBV2-ALL92-G106-C01,supported,digital_twin,DT-002,The study evaluates test error with MAPE by running the estimated optimal decisi,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (",runtime_check_needed,none,"The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 2,000 episodes.","Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes."
LLM_027,SBV2-ALL92-G108-C01,supported,digital_twin,DT-002,The paper describes its method as theoretically justified and not reliant on res,"To the best of our knowledge, ours is the first theoretically justified MBRL met",runtime_check_needed,none,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions in its design.,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions."
LLM_028,SBV2-ALL92-G116-C01,supported,digital_twin,DT-005,GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regu,"For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but ",runtime_check_needed,none,"GPT-4o-mini reaches perfect accuracy on one document while extracting fewer regulations overall, favoring precision over recall in the reported example.","For exam- ple, GPT-4o-mini reached perfect accuracy (1.000) on one document but extracted fewer regulations overall, suggest- ing a conservative strategy that favors precision over recall."
LLM_029,SBV2-ALL92-G119-C01,supported,digital_twin,DT-006,The individual CAV evaluation reports detection metrics based on average precisi,"For individual CAV evaluation, we provide the following metrics: 1) Detection me",runtime_check_needed,none,The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds and multiclass mean average precision.,"For individual CAV evaluation, we provide the following metrics: 1) Detection metrics based on average precision (AP) across different Intersection over Union (IoU) thresholds, and multiclass mean Average Pre- cision (mAP)."
LLM_030,SBV2-ALL92-G146-C01,supported,digital_twin,DT-016,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, in","The results yielded an impressive simulation accuracy of 85.03%, alongside predi",runtime_check_needed,none,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for network optimization and management in the study.","The results yielded an impressive simulation accuracy of 85.03%, alongside predictions from the predictive model, underscoring APDT’s potential for robust network optimization and man- agement."
LLM_031,SBV2-ALL92-G140-C01,supported,digital_twin,DT-014,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower e,"Based on our simulation results, we observe that the proposed framework achieves",runtime_check_needed,none,The 6G twin framework reported 37% lower 95th-percentile latency and 30% lower energy consumption than prior literature baselines.,"Based on our simulation results, we observe that the proposed framework achieves a 37% improvement in 95th percentile latency and a 30% reduction in energy consumption compared to the existing literature."
LLM_032,SBV2-ALL92-G213-C01,supported,marl,MARL-013,The paper states that optimization with individual utility functions remains unr,"However, the optimisation in the most general setting: in- dividual utility func",runtime_check_needed,marl,The paper states that optimization with individual utility functions remains unresolved in the broadest MAMO case covered by the discussion.,"However, the optimisation in the most general setting: in- dividual utility functions, remains unsolved."
LLM_033,SBV2-ALL92-G205-C01,supported,marl,MARL-011,WFCRL implements an interface between its simulator and Python wind farm environ,To allow for integration with the large ecosystem libraries and RL research prac,runtime_check_needed,marl,WFCRL implements an interface between its simulator and Python wind farm environment through MPI channels to support RL research libraries.,"To allow for integration with the large ecosystem libraries and RL research practices developed in Python, we implement an interface between the simulator and the Python wind farm environment via MPI communication channels."
LLM_034,SBV2-ALL92-G186-C01,supported,marl,MARL-004,The industrial-control paper argues many academic benchmarks differ markedly fro,"Many academic benchmarks differ markedly from industrial control problems, limit",runtime_check_needed,marl,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, limiting transfer to industrial applications in practice.","Many academic benchmarks differ markedly from industrial control problems, limiting their transferability to real-world applications."
LLM_035,SBV2-ALL92-G196-C01,supported,marl,MARL-008,The HIS evaluation includes three continuous-action benchmark environments: Mult,We evaluate the proposed algorithm in three widely used continuous-action benchm,runtime_check_needed,marl,"The HIS evaluation includes three continuous-action benchmark environments: Multi-Agent Particle Environment, Multi-Agent MuJoCo, and Bi-DexHands as its experimental suite.","We evaluate the proposed algorithm in three widely used continuous-action benchmark environ- ments: Multi-Agent Particle Environment, Multi-Agent Mu- JoCo, and Bi-DexHands."
LLM_036,SBV2-ALL92-G190-C01,supported,marl,MARL-006,Tool-RoCo evaluates four cooperation paradigms under a common experiment design ,All four cooperation paradigms are evaluated under this consistent experimental ,runtime_check_needed,marl,Tool-RoCo evaluates four cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.,"All four cooperation paradigms are evaluated under this consistent experimental setting, en- abling a systematic comparison of LLM autonomy and col- laborative behavior."
LLM_037,SBV2-ALL92-G187-C01,supported,marl,MARL-005,The MEAL study evaluates continual-learning methods with MARL algorithms and rep,"Third, we evaluate CL methods com- bined with MARL algorithms, showing that expe",runtime_check_needed,marl,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports changing conclusions as sequence length, agent count, difficulty, and partners increase.","Third, we evaluate CL methods com- bined with MARL algorithms, showing that experimental conclusions can change as task sequences lengthen, and that retaining cooperative behavior is a distinct challenge that worsens with more agents, harder tasks, and changing partners."
LLM_038,SBV2-ALL92-G224-C01,supported,policy_simulation,POL-004,The election simulation reports correct predictions for more than 90% of state v,"Typ- ically, according to the winner-takes-all rule, over 90% state voting resul",runtime_check_needed,none,The election simulation reports correct predictions for more than 90% of state voting results under its winner-takes-all rule.,"Typ- ically, according to the winner-takes-all rule, over 90% state voting results are predicted correctly, which means the simulation achieves a high-precision macroscopic reduction of the real-world election results."
LLM_039,SBV2-ALL92-G214-C01,supported,policy_simulation,POL-001,The benchmark reports its best-performing system at 24.5% accuracy on broad case,The best- performing system achieves only 24.5% accuracy on compre- hensive scen,runtime_check_needed,none,The benchmark reports its best-performing system at 24.5% accuracy on broad cases and 15.04% accuracy on targeted sub-tasks.,"The best- performing system achieves only 24.5% accuracy on compre- hensive scenarios and 15.04% on targeted sub-tasks, highlight- ing the gap between existing tools and the requirements for effective policy evaluation."
LLM_040,SBV2-ALL92-G233-C01,supported,policy_simulation,POL-007,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Philli",Experimental results show that SimCity successfully exhibits a range of classic ,runtime_check_needed,none,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, and Engel’s curve.","Experimental results show that SimCity successfully exhibits a range of classic macroeconomic phenomena, such as Okun’s law, the Phillips curve, the Beveridge curve, price elasticity of demand, and Engel’s curve (detailed in Section 5)."
LLM_041,SBV2-ALL92-G261-C01,supported,policy_simulation,POL-016,The paper says a calibration layer maps aggregated agent responses to observable,A calibration layer maps aggregated agent responses to observable population lev,runtime_check_needed,none,The paper says a calibration layer maps aggregated agent responses to observable population metrics for validation and counterfactual intervention analysis.,"A calibration layer maps aggregated agent responses to observable population level metrics, enabling validation against real world data and deployment for counterfactual policy analysis."
LLM_042,SBV2-ALL92-G255-C01,supported,policy_simulation,POL-014,The paper says the simulation models individual behaviors and large-scale mobili,"Using real-world data, the simulation models individual behaviors and large-scal",runtime_check_needed,none,The paper says the simulation models individual behaviors and large-scale mobility patterns for Taipei City with empirical city data.,"Using real-world data, the simulation models individual behaviors and large-scale mobility patterns in Taipei City."
LLM_043,SBV2-ALL92-G266-C01,supported,policy_simulation,POL-018,The framework maps six-point Likert answers to ordinal scores and pools both sur,Each answer was mapped from a six-point Likert- scale response (a–f) to an ordin,runtime_check_needed,none,The framework maps six-point Likert answers to ordinal scores and pools both surveys before averaging agent belief-state values.,"Each answer was mapped from a six-point Likert- scale response (a–f) to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, so that each agent’s belief state reflected all available self-report data."
LLM_044,SBV2-ALL92-G253-C01,supported,policy_simulation,POL-014,The paper says final location choice relies on a modified Huff model that combin,"By referring to the Huff model (Garcia-Gabilondo, Shibuya, and Sekimoto 2024), t",runtime_check_needed,none,The paper says final location choice relies on a modified Huff model that combines distance with attractiveness from popularity and credibility.,"By referring to the Huff model (Garcia-Gabilondo, Shibuya, and Sekimoto 2024), the final location is selected using the modified version (Equation 1) that considers both distance and attractiveness, where attractiveness is a composite score of popularity and credibility."
LLM_045,SBV2-ALL92-G272-C01,supported,policy_simulation,POL-020,A full-wallet account keeps its balance unchanged during no-sale and no-travel p,"Once an account has reached this state (referred to as ‘full wallet’ hereafter),",runtime_check_needed,none,A full-wallet account keeps its balance unchanged during no-sale and no-travel periods because each new credit makes the oldest credit expire.,"Once an account has reached this state (referred to as ‘full wallet’ hereafter), the balance does not change in the absence of selling or traveling, as every time a new credit is acquired, the oldest credit expires."
LLM_046,SBV2-ALL92-G232-C01,supported,policy_simulation,POL-007,SimCity implements the shock by changing production skill requirements midway th,We implement this shock by altering the skill requirements in production midway ,runtime_check_needed,none,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requirements in production midway through the simulation (denoted as “0 to Event” in Figure 7).
LLM_047,SBV2-ALL92-G161-C01,supported,robotics,MARL-015,The Isaac-to-Gazebo work describes its approach as a step toward low-code applic,"While this does not necessarily of- fer the best fine-tuned performance, we beli",runtime_check_needed,none,The Isaac-to-Gazebo work describes its approach as a step toward low-code applications while acknowledging limited fine-tuned performance potential.,"While this does not necessarily of- fer the best fine-tuned performance, we believe this to be a step towards, e.g., low-code applications."
LLM_048,SBV2-ALL92-G164-C01,supported,robotics,MARL-016,The results show context-conditioned agents often outperform context-agnostic ag,The results show that the context-conditioned policy often significantly outperf,runtime_check_needed,none,"The results show context-conditioned agents often outperform context-agnostic agents, especially when performance depends strongly on environment dynamics changes.","The results show that the context-conditioned policy often significantly outperforms the context-agnostic one, especially when the task is sensitive to changes in environment dynamics, underscoring the potential benefits of incorporating context."
LLM_049,SBV2-ALL92-G163-C01,supported,robotics,MARL-016,The study evaluates context-aware agents in a canonical control benchmark and a ,We evaluate the resulting context-aware policies in both a canonical control ben,runtime_check_needed,none,The study evaluates context-aware agents in a canonical control benchmark and a physical pushing task with a Franka Panda robot.,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.
LLM_050,SBV2-ALL92-G167-C01,supported,robotics,MARL-017,The RealAIGym paper argues algorithm comparison benefits from benchmarking perfo,In order to get a clear understanding of their individual strengths and weakness,runtime_check_needed,none,The RealAIGym paper argues algorithm comparison benefits from benchmarking performance in both simulation and physical hardware experiments together.,In order to get a clear understanding of their individual strengths and weaknesses and their applicability in real world robotic scenarios is it important to benchmark and compare their performances not only in a simulation but also on real hard- ware.
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases."
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and sixty-four CPUs for fifty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours."
LLM_053,SBV2-ALL92-G036-C02,mild_scope_overclaim,autonomous_driving,AD-012,Bench2Drive describes missing official training data as a reason that method com,"As widely discussed in the community [42, 43], the lack of an official training ",runtime_check_needed,none,"Bench2Drive describes missing official training data as a reason that method comparisons operate at system level, algorithm level, and route level.","As widely discussed in the community [42, 43], the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level.Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set."
LLM_054,SBV2-ALL92-G027-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects and interven","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,"ScenePilot-Bench remains open-loop, with downstream control effects and intervention timing in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system."
LLM_055,SBV2-ALL92-G030-C02,mild_scope_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains the main barrie,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment."
LLM_056,SBV2-ALL92-G032-C02,mild_scope_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, perception, and real-time planning capabilities.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_057,SBV2-ALL92-G011-MILD,mild_scope_overclaim,autonomous_driving,AD-004,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop ,Our results show that these deployment-related perturbations can substantially d,runtime_check_needed,none,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations."
LLM_058,SBV2-ALL92-G007-MILD,mild_scope_overclaim,autonomous_driving,AD-003,"HiDrive reports that conventional end-to-end methods remain strongly limited, wi",The results show that conventional end-to-end autonomous driving methods remain ,runtime_check_needed,none,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS."
LLM_059,SBV2-ALL92-G040-C02,mild_scope_overclaim,autonomous_driving,AD-015,DriveE2E implements seven classical E2EAD models as baseline methods for the exp,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements seven classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_060,SBV2-ALL92-G037-C02,mild_scope_overclaim,autonomous_driving,AD-014,The NAVSIM experiments evaluate on the navmini split because closed-loop simulat,"Due to the heavy computational requirements of closed-loop simulation, we evalua",runtime_check_needed,none,The NAVSIM experiments evaluate on the navmini split because closed-loop simulation has heavy computational requirements for repeated evaluation and ablation analysis.,"Due to the heavy computational requirements of closed-loop simulation, we evaluate on the navmini split."
LLM_061,SBV2-ALL92-G047-C02,mild_scope_overclaim,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration and CPU acceleration through the Madrona game,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none,GPUDrive achieves GPU acceleration and CPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023)."
LLM_062,SBV2-ALL92-G025-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, and proprietary VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench."
LLM_063,SBV2-ALL92-G051-C02,mild_scope_overclaim,autonomous_driving,AD-018,The URB paper introduced a framework for testing RL routing algorithms in region,"5 Conclusions, limitations, broader impact and future work In this paper, we int",runtime_check_needed,none,The URB paper introduced a framework for testing RL routing algorithms in regional road networks with community implementations of standard MARL algorithms.,"5 Conclusions, limitations, broader impact and future work In this paper, we introduced a framework for testing RL routing algorithms in city-scale networks and reported a comprehensive benchmarking study using community implementations of a selection of standard MARL algorithms."
