sample_id,candidate_id,label_4_silver,domain,parse_status,llm_label,llm_confidence,llm_rationale,llm_evidence_used,llm_uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate,llm_label_idx,silver_idx,r4_label,r4_label_idx,llm_correct,r4_correct,llm_vs_r4
LLM_074,SBV2-ALL92-G145-C02,mild_scope_overclaim,digital_twin,ok,supported,1.0,"The evidence directly states that APDT was implemented as a proof of concept on a university campus subnetwork using historical data from three access points, matching the claim exactly.",True,False,,deepseek-v4-flash,1.73,523,76,0.000162,0,1,supported,0,0,0,both_wrong
LLM_075,SBV2-ALL92-G122-C02,mild_scope_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that the model achieves an R2 of 0.3798 and outperforms baseline regressors, matching the claim exactly.",True,False,,deepseek-v4-flash,1.7,537,72,0.000165,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.95,"The claim states 16 GPUs and 100 CPUs, but the evidence specifies 8 GPUs and 64 CPUs, which is a scope overstatement.",True,False,,deepseek-v4-flash,1.66,526,80,0.000164,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states the implementation of a rigorous, iterative quality control process to filter noise and correct biases, matching the claim's description.",True,False,,deepseek-v4-flash,1.77,523,70,0.000161,0,2,supported,0,0,0,both_wrong
LLM_103,SBV2-ALL92-G019-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.95,"The evidence states fine-tuning for two epochs on nuScenes only, while the claim says four epochs on nuScenes and Waymo.",True,False,,deepseek-v4-flash,1.62,550,76,0.00017,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_104,SBV2-ALL92-G013-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states a closed-loop interactive end-to-end simulation platform based on nuPlan, but the claim adds 'benchmark-scale evaluation pipelines and renderer comparisons' which are not mentioned in the evidence.",True,False,,deepseek-v4-flash,1.83,511,88,0.000163,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_106,SBV2-ALL92-G004-STRONG,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence mentions only a desktop PC with the specified CPU, RAM, and GPU, but the claim adds a multi-GPU compute cluster not present in the evidence.",True,False,,deepseek-v4-flash,1.86,567,81,0.000176,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_107,SBV2-ALL92-G042-C03,strong_action_overclaim,autonomous_driving,ok,supported,0.95,"The evidence directly states the introduction of a closed-loop evaluation framework integrating real-world driving scenarios into CARLA with infrastructure cooperation, matching the claim's core elements.",True,False,,deepseek-v4-flash,1.91,523,74,0.000162,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_108,SBV2-ALL92-G014-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"Evidence only mentions lower FID score, not lower perception and segmentation scores as claimed.",True,False,,deepseek-v4-flash,2.13,550,65,0.000167,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_109,SBV2-ALL92-G025-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence mentions commercial, open-source, and driving-specialized VLMs, but the claim adds 'vehicle-specialized, sensor-fusion, and text-centric' categories not present in the evidence.",True,False,,deepseek-v4-flash,1.76,537,89,0.00017,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_110,SBV2-ALL92-G018-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that overall performance of all ADVLMs remains relatively low, which matches the claim's assertion about low performance and unreliability for closed-loop evaluation benchmarks.",True,False,,deepseek-v4-flash,1.78,517,78,0.000161,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_111,SBV2-ALL92-G043-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence states evaluation of three agents, while the claim says seven agents, broadening the scope.",True,False,,deepseek-v4-flash,1.85,524,67,0.00016,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_112,SBV2-ALL92-G034-C03,strong_action_overclaim,autonomous_driving,ok,supported,0.95,"The evidence directly states that state-of-the-art E2E-AD models are implemented and evaluated in Bench2Drive, providing insights on current status and future directions, which matches the claim without overstatement.",True,False,,deepseek-v4-flash,1.77,522,84,0.000164,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_113,SBV2-ALL92-G027-C03,strong_action_overclaim,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.62,532,77,0.000165,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_114,SBV2-ALL92-G032-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence supports improved spatial reasoning and real-time planning but does not mention trajectory-control accuracy, which the claim adds.",True,False,,deepseek-v4-flash,1.79,528,71,0.000162,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_115,SBV2-ALL92-G040-C03,strong_action_overclaim,autonomous_driving,ok,contradiction_candidate,1.0,"The claim states twelve baseline methods are implemented, but the evidence explicitly says five classical models are implemented.",True,False,,deepseek-v4-flash,1.7,532,67,0.000162,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_116,SBV2-ALL92-G038-C03,strong_action_overclaim,autonomous_driving,ok,mild_scope_overclaim,0.9,"The claim states 12% and 98%, while the evidence reports 22% and 95%, so the claim slightly overstates the scores.",True,False,,deepseek-v4-flash,1.89,526,78,0.000164,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,cyber_defense,ok,contradiction_candidate,1.0,"The claim states that DeepXplain raises the average stage-weighted F1-score to 0.950 and mitigation success to 95.0%, but the evidence reports values of 0.915 and 89.6%, which directly conflict with the claim.",True,False,,deepseek-v4-flash,1.87,550,99,0.000176,3,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_118,SBV2-ALL92-G098-C03,strong_action_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The evidence states the approach 'matches performance' on unseen larger networks, while the claim says 'exceeds performance' on such networks.",True,False,,deepseek-v4-flash,2.0,525,75,0.000163,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_119,SBV2-ALL92-G082-C03,strong_action_overclaim,cyber_defense,ok,supported,0.95,"The evidence directly states evaluation in a realistic testbed using CALDERA-driven APT scenarios, matching the claim's description.",True,False,,deepseek-v4-flash,1.91,517,68,0.000159,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_120,SBV2-ALL92-G093-C03,strong_action_overclaim,cyber_defense,ok,contradiction_candidate,1.0,"The claim states that the paper presents H-MARL transferability to evolving adversaries, but the evidence explicitly says this is left as future work.",True,False,,deepseek-v4-flash,1.78,523,76,0.000162,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_121,SBV2-ALL92-G086-C03,strong_action_overclaim,cyber_defense,ok,mild_scope_overclaim,0.9,"The claim states proactive-v2 lasts 20 time steps, but the evidence says 15 time steps, so the claim overstates the duration while the relative ordering is correct.",True,False,,deepseek-v4-flash,2.01,539,83,0.000169,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_122,SBV2-ALL92-G069-C03,strong_action_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that systematic evaluation of offensive capabilities is constrained by limited access to open, reproducible, multi-host cyber-range infrastructure, which matches the claim's assertion about missing such infrastructure.",True,False,,deepseek-v4-flash,1.82,522,80,0.000163,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_123,SBV2-ALL92-G091-C03,strong_action_overclaim,cyber_defense,ok,supported,1.0,"The evidence directly states that methods are evaluated against multiple baselines at different stages of the design process to motivate methodology and design decisions, which matches the claim.",True,False,,deepseek-v4-flash,1.66,509,74,0.000158,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_124,SBV2-ALL92-G141-C03,strong_action_overclaim,digital_twin,ok,mild_scope_overclaim,0.8,"The evidence states that meeting low-latency requirements becomes 'more challenging' under the limitation, while the claim asserts they become 'infeasible', which is a stronger conclusion than the evidence supports.",True,False,,deepseek-v4-flash,1.93,515,89,0.000164,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_125,SBV2-ALL92-G144-C03,strong_action_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that traditional passive safety analysis methods face serious limitations in data-scarce and evolving environments, matching the claim's core assertion.",True,False,,deepseek-v4-flash,2.02,531,72,0.000164,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_160,SBV2-ALL92-G051-C04,contradiction_candidate,autonomous_driving,ok,mild_scope_overclaim,0.9,"The evidence describes a framework for testing RL routing algorithms, while the claim specifies supervised lane detection algorithms, which is a different domain.",True,False,,deepseek-v4-flash,1.79,536,74,0.000165,1,3,strong_action_overclaim,2,0,0,both_wrong
LLM_163,SBV2-ALL92-G065-C04,contradiction_candidate,autonomous_driving,ok,mild_scope_overclaim,0.8,"The evidence mentions design tradeoffs involving power, network, storage, sensor visibility, and ground truth sources, but the claim adds compute benchmarks, camera styling, annotation speed, map formatting, and dashboard layout which are not present in the evidence.",True,False,,deepseek-v4-flash,1.9,530,96,0.00017,1,3,contradiction_candidate,3,0,1,r4_only
LLM_168,SBV2-ALL92-G094-C04,contradiction_candidate,cyber_defense,ok,mild_scope_overclaim,0.8,"The evidence mentions analyzing trade-offs between resilience, costs, and prioritization of operational goals, while the claim specifies interface design, report formatting, and analyst preferences, which are not present in the evidence.",True,False,,deepseek-v4-flash,1.77,530,88,0.000168,1,3,mild_scope_overclaim,1,0,0,both_wrong
LLM_173,SBV2-ALL92-G099-C04,contradiction_candidate,cyber_defense,ok,mild_scope_overclaim,0.9,"The evidence states the observation and action spaces are decomposed into discrete entities, while the claim says continuous global vectors, which is a slight scope overclaim.",True,False,,deepseek-v4-flash,1.72,530,78,0.000165,1,3,contradiction_candidate,3,0,1,r4_only
LLM_076,SBV2-ALL92-G124-C02,mild_scope_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that the design choice process considered surrogate prediction accuracy and selecting states that could be realistically monitored with sensors, which matches the claim's description of treating these as central factors during later state selection.",True,False,,deepseek-v4-flash,2.35,522,84,0.000164,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_080,SBV2-ALL92-G128-C02,mild_scope_overclaim,digital_twin,ok,supported,1.0,"The evidence directly states that the method achieves the top mean return, lowest standard deviation across seeds, and the best Sharpe-like index, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.74,514,75,0.00016,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_081,SBV2-ALL92-G135-C02,mild_scope_overclaim,digital_twin,ok,supported,1.0,"The evidence directly states that a common limitation in RL approaches is the simplistic modeling of BESS restricted to electrical behavior, matching the claim.",True,False,,deepseek-v4-flash,1.81,521,70,0.00016,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_083,SBV2-ALL92-G205-C02,mild_scope_overclaim,marl,ok,supported,1.0,"The evidence directly states implementing an interface between the simulator and Python wind farm environment via MPI communication channels, matching the claim.",True,False,,deepseek-v4-flash,1.91,523,67,0.00016,0,1,mild_scope_overclaim,1,0,1,r4_only
LLM_084,SBV2-ALL92-G175-C02,mild_scope_overclaim,marl,ok,supported,1.0,"The evidence explicitly states that IPPO is independent PPO without centralized value estimation and PQN is an efficient Q-learning algorithm, matching the claim's description.",True,False,,deepseek-v4-flash,1.8,567,74,0.000174,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_087,SBV2-ALL92-G180-C02,mild_scope_overclaim,marl,ok,contradiction_candidate,1.0,"The claim states performance is 'near-saturated', while the evidence explicitly says 'Performance does not saturate', which is a direct contradiction.",True,False,,deepseek-v4-flash,1.58,521,75,0.000162,3,1,contradiction_candidate,3,0,0,both_wrong
LLM_088,SBV2-ALL92-G257-C02,mild_scope_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that MobileCity achieves efficiency partly by disabling LLM modules at scale, trading behavioral fidelity for speed, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.22,536,73,0.000165,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_089,SBV2-ALL92-G256-C02,mild_scope_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that the benchmark highlights potential for large speedups relative to online LLM inference, and acknowledges that throughput depends on hardware and implementation details, matching the claim exactly.",True,False,,deepseek-v4-flash,1.76,520,79,0.000163,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_090,SBV2-ALL92-G266-C02,mild_scope_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that each answer was mapped from a six-point Likert-scale response to an ordinal score of 1–6, and responses from both surveys were pooled before averaging, matching the claim exactly.",True,False,,deepseek-v4-flash,2.11,540,85,0.00017,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_096,SBV2-ALL92-G261-C02,mild_scope_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that a calibration layer maps aggregated agent responses to observable population level metrics for validation and counterfactual policy analysis, which matches the claim's description.",True,False,,deepseek-v4-flash,1.5,517,76,0.000161,0,1,supported,0,0,0,both_wrong
LLM_097,SBV2-ALL92-G166-C02,mild_scope_overclaim,robotics,ok,supported,0.95,"The evidence directly states that having the highest possible reward at 0 makes Q-function learning more stable and prevents policy degradation after successful swing-ups, which matches the claim.",True,False,,deepseek-v4-flash,1.85,544,76,0.000168,0,1,supported,0,0,0,both_wrong
LLM_099,SBV2-ALL92-G172-C02,mild_scope_overclaim,robotics,ok,supported,1.0,"The evidence directly lists the same three evaluation methods (simulation testing of PX4 and ArduPilot, agent performance analysis, and feedback from sUAS developers) as the claim.",True,False,,deepseek-v4-flash,1.84,546,82,0.00017,0,1,strong_action_overclaim,2,0,0,both_wrong
LLM_126,SBV2-ALL92-G145-C03,strong_action_overclaim,digital_twin,ok,supported,0.95,"The evidence directly states that APDT was implemented as a proof of concept in a university campus setting using historical data and simulating scenarios based on real-time configurations, matching the claim.",True,False,,deepseek-v4-flash,1.61,523,78,0.000163,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_127,SBV2-ALL92-G122-C03,strong_action_overclaim,digital_twin,ok,contradiction_candidate,1.0,"The claim states an R2 above 0.70, but the evidence reports an R2 of 0.3798, which is a direct numerical contradiction.",True,False,,deepseek-v4-flash,1.56,535,80,0.000167,3,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,digital_twin,ok,supported,1.0,"The evidence directly lists hardware limitations (mechanical system design, computer capabilities) and software restrictions (algorithm efficiency), which the claim expands with sensor calibration and actuator maintenance but these are reasonable elaborations within the same domain.",True,False,,deepseek-v4-flash,2.13,530,86,0.000167,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,digital_twin,ok,contradiction_candidate,1.0,"The evidence states that a digital shadow is defined by the inability to guarantee automated control, while the claim asserts that it provides assured automated control.",True,False,,deepseek-v4-flash,1.8,509,75,0.000158,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,digital_twin,ok,mild_scope_overclaim,0.9,"The evidence states perfect accuracy on one document, while the claim extends this to four documents, broadening the scope.",True,False,,deepseek-v4-flash,1.72,532,70,0.000163,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,digital_twin,ok,mild_scope_overclaim,0.9,"The claim states 60% lower latency and 50% lower energy consumption, but the evidence reports 37% improvement in latency and 30% reduction in energy consumption, which are lower percentages.",True,False,,deepseek-v4-flash,1.85,535,88,0.000169,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,marl,ok,contradiction_candidate,1.0,"The evidence states that academic benchmarks differ markedly from industrial problems, limiting their transferability, which directly contradicts the claim that they still provide reliable transfer.",True,False,,deepseek-v4-flash,1.91,508,76,0.000158,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,marl,ok,mild_scope_overclaim,0.9,"The evidence states LLMs are evaluated zero-shot, while the claim says they are 'trained' with MARL agents, which is a slight scope overstatement.",True,False,,deepseek-v4-flash,1.89,512,81,0.000161,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_134,SBV2-ALL92-G190-C03,strong_action_overclaim,marl,ok,supported,1.0,"The evidence states that all four cooperation paradigms are evaluated under a consistent experimental setting enabling systematic comparison of LLM autonomy and collaborative behavior, which directly matches the claim.",True,False,,deepseek-v4-flash,1.79,520,75,0.000161,0,2,contradiction_candidate,3,0,0,both_wrong
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,marl,ok,supported,0.95,"The evidence states that an interface between the simulator and the Python wind farm environment is implemented via MPI communication channels, which directly supports the claim that WFCRL implements a Python-based simulator core through MPI channels for wind farm environment computations.",True,False,,deepseek-v4-flash,1.85,524,89,0.000166,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,marl,ok,supported,1.0,"The evidence explicitly lists mutual agreement, pre-agreed arbitration policy, and escalation to an agreed arbiter as the resolution methods, matching the claim's description of automatic conflict-resolution features.",True,False,,deepseek-v4-flash,1.23,538,79,0.000167,0,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,marl,ok,mild_scope_overclaim,0.8,"The evidence mentions MAPPO, IPPO, and PQN but does not mention QMIX, and it does not state that each method is treated as a parallel-environment Q-learning algorithm.",True,False,,deepseek-v4-flash,2.77,569,86,0.000178,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_138,SBV2-ALL92-G266-C03,strong_action_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that answers were mapped from a six-point Likert scale to ordinal scores 1–6 and that responses from both surveys were pooled before averaging, matching the claim exactly.",True,False,,deepseek-v4-flash,1.56,540,81,0.000168,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,policy_simulation,ok,mild_scope_overclaim,0.95,"The claim states the evaluation covered million-agent populations, multi-country cases, and richer actions, but the evidence explicitly says these are future work, not covered.",True,False,,deepseek-v4-flash,1.64,533,79,0.000166,1,2,contradiction_candidate,3,0,0,both_wrong
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,policy_simulation,ok,mild_scope_overclaim,0.9,"The evidence mentions only 'comparison' while the claim adds 'replication, and benchmarking', which slightly broadens the scope.",True,False,,deepseek-v4-flash,1.54,526,74,0.000163,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,policy_simulation,ok,mild_scope_overclaim,0.9,"The evidence mentions individual behaviors and large-scale mobility patterns but does not explicitly include household relocation or freight activity, which the claim adds.",True,False,,deepseek-v4-flash,1.5,508,74,0.000158,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,policy_simulation,ok,mild_scope_overclaim,0.9,"The evidence states the balance does not change in the absence of selling or traveling, but the claim says it stays unchanged during sale and travel periods, which directly contradicts the condition in the evidence.",True,False,,deepseek-v4-flash,1.4,534,86,0.000168,1,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,policy_simulation,ok,contradiction_candidate,1.0,"The claim states accuracy above 60% on broad cases and 45% on targeted sub-tasks, but the evidence reports only 24.5% and 15.04% respectively, which directly conflicts.",True,False,,deepseek-v4-flash,1.31,538,90,0.00017,3,2,contradiction_candidate,3,0,0,both_wrong
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,policy_simulation,ok,supported,1.0,"The evidence directly states that the shock is implemented by altering skill requirements in production midway through the simulation, denoted as '0 to Event' in Figure 7, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.29,523,81,0.000164,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_145,SBV2-ALL92-G261-C03,strong_action_overclaim,policy_simulation,ok,supported,0.95,"The evidence directly states that a calibration layer maps aggregated agent responses to population level metrics for counterfactual policy analysis, matching the claim's description.",True,False,,deepseek-v4-flash,1.9,516,72,0.000159,0,2,supported,0,0,0,both_wrong
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,policy_simulation,ok,contradiction_candidate,1.0,"The claim states inconsistency stabilizes near 0.05 after day 5, but the evidence reports stabilization around 0.15 after day 15, directly conflicting on both the value and the time.",True,False,,deepseek-v4-flash,1.42,531,88,0.000168,3,2,mild_scope_overclaim,1,0,0,both_wrong
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,robotics,ok,mild_scope_overclaim,0.9,"The evidence states the approach is 'a step towards, e.g., low-code applications' and does not claim 'strong fine-tuned performance' as a central contribution, but the claim asserts both as central contributions.",True,False,,deepseek-v4-flash,2.19,525,91,0.000167,1,2,strong_action_overclaim,2,0,1,r4_only
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,robotics,ok,supported,1.0,"The evidence lists the same three evaluation methods as the claim: simulation testing of PX4 and ArduPilot, agent performance analysis, and feedback from sUAS developers.",True,False,,deepseek-v4-flash,1.78,547,79,0.00017,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_150,SBV2-ALL92-G168-C03,strong_action_overclaim,robotics,ok,supported,0.95,"The evidence states that SAC is the core algorithm used, which directly supports the claim that the implementation relies on SAC as the central benchmark architecture for continuous action spaces.",True,False,,deepseek-v4-flash,1.79,519,75,0.000161,0,2,strong_action_overclaim,2,0,1,r4_only
LLM_180,SBV2-ALL92-G106-C04,contradiction_candidate,digital_twin,ok,mild_scope_overclaim,0.9,"The evidence states the test error was evaluated by running the estimated optimal policy, while the claim says a nonoptimized baseline decision rule was used.",True,False,,deepseek-v4-flash,1.69,531,77,0.000165,1,3,contradiction_candidate,3,0,1,r4_only
LLM_182,SBV2-ALL92-G187-C04,contradiction_candidate,marl,ok,supported,0.95,"The evidence directly states that evaluating CL methods with MARL algorithms shows conclusions change as sequences lengthen and that retaining cooperative behavior worsens with more agents, harder tasks, and changing partners, matching the claim.",True,False,,deepseek-v4-flash,1.72,544,84,0.00017,0,3,mild_scope_overclaim,1,0,0,both_wrong
LLM_188,SBV2-ALL92-G232-C04,contradiction_candidate,policy_simulation,ok,supported,1.0,"The evidence directly states that the shock is implemented by altering skill requirements midway through the simulation, denoted as '0 to Event' in Figure 7, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.84,521,79,0.000163,0,3,contradiction_candidate,3,0,1,r4_only
LLM_197,SBV2-ALL92-G166-C04,contradiction_candidate,robotics,ok,mild_scope_overclaim,0.9,"The evidence states that setting the highest possible reward value at 0 makes learning more stable and prevents degradation, but the claim says 'sets the highest value above zero', which directly contradicts the evidence's specific value of 0.",True,False,,deepseek-v4-flash,1.97,544,93,0.000173,1,3,mild_scope_overclaim,1,0,0,both_wrong
