sample_id,candidate_id,label_4,domain,source_id,claim_text_preview,evidence_text_preview,r4_correct_unknown,fragile_case_flag,claim_text,evidence_text
LLM_015,SBV2-ALL92-G032-C01,supported,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning and real-time planning capabilities in experiments.,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_016,SBV2-ALL92-G047-C01,supported,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max ,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none,GPUDrive achieves GPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023)."
LLM_017,SBV2-ALL92-G089-C01,supported,cyber_defense,CYB-008,A strong expert hierarchical decision rule outperforms a joint PPO baseline in t,Their results show that a strong expert meta-policy can out- perform a joint Pro,runtime_check_needed,cyber_defense,A strong expert hierarchical decision rule outperforms a joint PPO baseline in the cited challenge submission in the autonomous cyber-defense challenge description.,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].
LLM_018,SBV2-ALL92-G069-C01,supported,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained by limited a,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained by limited access to open, reproducible, multi-host cyber-range infrastructure for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_019,SBV2-ALL92-G083-C01,supported,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.915 and mitigation success from 84.7% to 89.6% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_020,SBV2-ALL92-G067-C01,supported,cyber_defense,CYB-001,The AgentCyberRange study evaluates six frontier AI systems under matched prompt,We evaluate six frontier AI systems under matched prompts and budgets.,runtime_check_needed,cyber_defense,The AgentCyberRange study evaluates six frontier AI systems under matched prompts and matched computational budgets for the reported cyber-range comparison.,We evaluate six frontier AI systems under matched prompts and budgets.
LLM_021,SBV2-ALL92-G091-C01,supported,cyber_defense,CYB-009,The study evaluates its methods against multiple baselines at different design s,We evaluate our methods against multiple baselines at different stages of the de,runtime_check_needed,cyber_defense,The study evaluates its methods against multiple baselines at different design stages to motivate the methodology and design decisions.,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.
LLM_022,SBV2-ALL92-G086-C01,supported,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 15 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 15 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_023,SBV2-ALL92-G082-C01,supported,cyber_defense,CYB-006,DeepXplain is evaluated in a realistic enterprise testbed with CALDERA-driven AP,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven AP,runtime_check_needed,cyber_defense,DeepXplain is evaluated in a realistic enterprise testbed with CALDERA-driven APT activity during the enterprise APT evaluation benchmark.,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].
LLM_024,SBV2-ALL92-G131-C01,supported,digital_twin,DT-011,A digital shadow processes physical-system data continuously while lacking assur,"A system is called a digital shadow when automated control cannot be guaranteed,",runtime_check_needed,none,A digital shadow processes physical-system data continuously while lacking assured automated control over the physical system in smart grid typology.,"A system is called a digital shadow when automated control cannot be guaranteed, but still processes data from the physical system continuously."
LLM_025,SBV2-ALL92-G122-C01,supported,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors.,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation."
LLM_051,SBV2-ALL92-G028-C02,mild_scope_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and standardize annotator feedback during construction.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases."
LLM_052,SBV2-ALL92-G052-C02,mild_scope_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and ,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,The experiment setup trained the SAC algorithm with eight NVIDIA A6000 GPUs and sixty-four CPUs for fifty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours."
LLM_053,SBV2-ALL92-G036-C02,mild_scope_overclaim,autonomous_driving,AD-012,Bench2Drive describes missing official training data as a reason that method com,"As widely discussed in the community [42, 43], the lack of an official training ",runtime_check_needed,none,"Bench2Drive describes missing official training data as a reason that method comparisons operate at system level, algorithm level, and route level.","As widely discussed in the community [42, 43], the lack of an official training set makes the comparisons of different methods in the system-level instead of the algorithm-level.Bench2Drive deal with these shortcomings by offering a large-scale, annotation-rich official training dataset alongside a multi-ability evaluation set."
LLM_054,SBV2-ALL92-G027-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench remains open-loop, with downstream control effects and interven","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not d",runtime_check_needed,none,"ScenePilot-Bench remains open-loop, with downstream control effects and intervention timing in a closed-loop vehicle system absent from direct measurement by the benchmark.","First, ScenePilot-Bench remains an open-loop benchmark, and therefore does not directly measure the downstream control effect of model outputs in a closed-loop driving system."
LLM_055,SBV2-ALL92-G030-C02,mild_scope_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains the main barrie,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none,The paper states that safety under open-world conditions remains the main barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment."
LLM_056,SBV2-ALL92-G032-C02,mild_scope_overclaim,autonomous_driving,AD-011,DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achie,"We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM a",runtime_check_needed,none,"DriveVLM-Dual combines DriveVLM with a traditional autonomous pipeline and achieves improved spatial reasoning, perception, and real-time planning capabilities.","We further introduce DriveVLM-Dual, a hybrid system that incorporates DriveVLM and a traditional autonomous pipeline, which achieves improved spatial reasoning and real-time planning capabilities."
LLM_057,SBV2-ALL92-G011-MILD,mild_scope_overclaim,autonomous_driving,AD-004,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop ,Our results show that these deployment-related perturbations can substantially d,runtime_check_needed,none,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,"Our results show that these deployment-related perturbations can substantially degrade closed-loop driving performance, revealing robustness challenges that are not fully captured by conventional image-level corruption evaluations."
LLM_058,SBV2-ALL92-G007-MILD,mild_scope_overclaim,autonomous_driving,AD-003,"HiDrive reports that conventional end-to-end methods remain strongly limited, wi",The results show that conventional end-to-end autonomous driving methods remain ,runtime_check_needed,none,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.","The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS."
LLM_059,SBV2-ALL92-G040-C02,mild_scope_overclaim,autonomous_driving,AD-015,DriveE2E implements seven classical E2EAD models as baseline methods for the exp,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classic,runtime_check_needed,none,DriveE2E implements seven classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.,4 EXPERIMENTS 4.1 BASELINES AND IMPLEMENTATION DETAILS We implement five classical End-to-End Autonomous Driving (E2EAD) models as baseline meth- ods.
LLM_060,SBV2-ALL92-G037-C02,mild_scope_overclaim,autonomous_driving,AD-014,The NAVSIM experiments evaluate on the navmini split because closed-loop simulat,"Due to the heavy computational requirements of closed-loop simulation, we evalua",runtime_check_needed,none,The NAVSIM experiments evaluate on the navmini split because closed-loop simulation has heavy computational requirements for repeated evaluation and ablation analysis.,"Due to the heavy computational requirements of closed-loop simulation, we evaluate on the navmini split."
LLM_061,SBV2-ALL92-G047-C02,mild_scope_overclaim,autonomous_driving,AD-017,GPUDrive achieves GPU acceleration and CPU acceleration through the Madrona game,GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et,runtime_check_needed,none,GPUDrive achieves GPU acceleration and CPU acceleration through the Madrona game engine in the V-Max framework comparison section discussed by the authors.,"GPUDrive achieves GPU-acceleration through the Madrona game engine (Shacklett et al., 2023)."
LLM_062,SBV2-ALL92-G025-C02,mild_scope_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, and proprietary VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench."
LLM_063,SBV2-ALL92-G051-C02,mild_scope_overclaim,autonomous_driving,AD-018,The URB paper introduced a framework for testing RL routing algorithms in region,"5 Conclusions, limitations, broader impact and future work In this paper, we int",runtime_check_needed,none,The URB paper introduced a framework for testing RL routing algorithms in regional road networks with community implementations of standard MARL algorithms.,"5 Conclusions, limitations, broader impact and future work In this paper, we introduced a framework for testing RL routing algorithms in city-scale networks and reported a comprehensive benchmarking study using community implementations of a selection of standard MARL algorithms."
LLM_064,SBV2-ALL92-G057-C02,mild_scope_overclaim,autonomous_driving,AD-020,"The regulation example treats [70, 60, 40] mph as compliant and [70, 50, 30] mph","For example, pointing at the downstream of traffic, a sequence of speed limits s",runtime_check_needed,none,"The regulation example treats [70, 60, 40] mph as compliant and [70, 50, 30] mph as exceeding the maximum speed differential.","For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum."
LLM_065,SBV2-ALL92-G003-MILD,mild_scope_overclaim,autonomous_driving,AD-001,nuPlan-R presents a reactive closed-loop planning benchmark that integrates lear,"To address these limitations, we present nuPlan-R, a new reactive closed-loop pl",runtime_check_needed,none,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework."
LLM_066,SBV2-ALL92-G021-C02,mild_scope_overclaim,autonomous_driving,AD-007,The experiments highlight limitations of current VLM-based end-to-end vehicle sy,"Through extensive experi- ments, our work highlights the limitations of current ",runtime_check_needed,none,The experiments highlight limitations of current VLM-based end-to-end vehicle systems and present RoboDriveVLM as a more reliable general solution.,"Through extensive experi- ments, our work highlights the limitations of current VLM- based end-to-end autonomous driving systems and provides a more reliable solution for real-world deployment."
LLM_067,SBV2-ALL92-G092-C02,mild_scope_overclaim,cyber_defense,CYB-009,The comparisons show the hierarchical learning approach achieving top performanc,Comparisons with multiple baselines across different adversaries show that our h,runtime_check_needed,cyber_defense,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries.","Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives."
LLM_068,SBV2-ALL92-G086-C02,mild_scope_overclaim,cyber_defense,CYB-007,"Against the aggressive red agent, proactive-v2 lasts 16 time steps, beating proa","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time ",runtime_check_needed,cyber_defense,"Against the aggressive red agent, proactive-v2 lasts 16 time steps, beating proactive-v1 at 12 and baseline at 10 in the aggressive red-agent evaluation.","Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents."
LLM_069,SBV2-ALL92-G087-C02,mild_scope_overclaim,cyber_defense,CYB-007,Human designers face substantial cognitive limitations when developing reward mo,"As cyber environments evolve with increasingly sophisticated attack vectors, adv",runtime_check_needed,cyber_defense,Human designers face substantial cognitive limitations when developing reward models for nuanced cyber operation dynamics and response timing for the autonomous cyber-defense reward design problem.,"As cyber environments evolve with increasingly sophisticated attack vectors, advanced detection methodologies, and expansive network architectures, human designers face substantial cognitive limitations in developing comprehensive reward models that accurately capture the nuanced dynamics of cy- ber operations."
LLM_070,SBV2-ALL92-G079-C02,mild_scope_overclaim,cyber_defense,CYB-005,The Q-BIRD study evaluates the approach in a simulated IoV security environment ,We evaluate the approach in a simulated IoV security environment with an adaptiv,runtime_check_needed,cyber_defense,The Q-BIRD study evaluates the approach in a simulated IoV security environment with two adaptive attackers during the simulated IoV defense experiment.,"We evaluate the approach in a simulated IoV security environment with an adaptive attacker that strategically probes, attacks, and evades detection."
LLM_071,SBV2-ALL92-G083-C02,mild_scope_overclaim,cyber_defense,CYB-006,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.925 and mitiga,Experimental results show that DeepXplain improves the average stage-weighted F1,runtime_check_needed,cyber_defense,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.925 and mitigation success from 84.7% to 89.6% in the reported DeepXplain experiments.,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.
LLM_072,SBV2-ALL92-G069-C02,mild_scope_overclaim,cyber_defense,CYB-001,Systematic evaluation of offensive capabilities remains constrained mainly by li,"However, systematic evaluation of their offensive capabilities remains constrain",runtime_check_needed,cyber_defense,"Systematic evaluation of offensive capabilities remains constrained mainly by limited access to open, reproducible, multi-host cyber-range infrastructure for reproducible multi-host cyber-range experiments.","However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure."
LLM_073,SBV2-ALL92-G093-C02,mild_scope_overclaim,cyber_defense,CYB-009,The paper leaves H-MARL transferability to evolving adversaries that adapt from ,We leave as future work the study of H-MARL transferability to evolving adversar,runtime_check_needed,cyber_defense,"The paper leaves H-MARL transferability to evolving adversaries that adapt from opponent behavior, environment feedback, or attacker coordination as future work.",We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.
LLM_074,SBV2-ALL92-G145-C02,mild_scope_overclaim,digital_twin,DT-016,APDT was implemented as a proof of concept on a university campus subnet with hi,"As proof of concept, we implemented APDT in a university campus setting on a sub",runtime_check_needed,none,APDT was implemented as a proof of concept on a university campus subnet with historical data from several access points.,"As proof of concept, we implemented APDT in a university campus setting on a sub- network, utilizing historical data from three access points and simulating scenarios based on real-time configurations."
LLM_075,SBV2-ALL92-G122-C02,mild_scope_overclaim,digital_twin,DT-007,The pavement graph model trained on segment attributes and dynamic connectivity ,Trained on a real-world-inspired dataset with segment attributes and dynamic con,runtime_check_needed,none,The pavement graph model trained on segment attributes and dynamic connectivity reached an R2 of 0.3798 and outperformed baseline regressors for broader management forecasting.,"Trained on a real-world-inspired dataset with segment attributes and dynamic connectivity, our model achieves an R2 of 0.3798, outperforming baseline regressors and effectively capturing non-linear degradation."
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,autonomous_driving,AD-019,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs an,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm u",runtime_check_needed,none,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs and one hundred CPUs for forty-three hours.,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours."
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,autonomous_driving,AD-010,The DSBench pipeline implements an iterative quality-control process to filter a,"Quality Control To ensure reliability and consistency at scale, we implement a r",runtime_check_needed,none,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review.","Quality Control To ensure reliability and consistency at scale, we implement a rigorous, iterative quality control process to filter noise from automated generation and correct annotation biases."
LLM_103,SBV2-ALL92-G019-C03,strong_action_overclaim,autonomous_driving,AD-007,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four ep,Implementation Details We consistently employ LLaVA-Interleave as the base VLM m,runtime_check_needed,none,The study employs LLaVA-Interleave as the base VLM and fine-tunes it for four epochs on nuScenes and Waymo with a learning rate of 2e-4.,"Implementation Details We consistently employ LLaVA-Interleave as the base VLM model [50], and then fine-tuning it for two epochs on the nuScenes dataset with the learning rate of 2e-4."
LLM_104,SBV2-ALL92-G013-C03,strong_action_overclaim,autonomous_driving,AD-005,The Bench2Drive-R study implements a closed-loop interactive simulation platform,"Further, we implement a closed-loop interactive end-to- end simulation platform ",runtime_check_needed,none,The Bench2Drive-R study implements a closed-loop interactive simulation platform based on nuPlan for benchmark-scale evaluation pipelines and renderer comparisons.,"Further, we implement a closed-loop interactive end-to- end simulation platform based on nuPlan."
LLM_105,SBV2-ALL92-G030-C03,strong_action_overclaim,autonomous_driving,AD-010,The paper states that safety under open-world conditions remains a significant b,"Despite these developments, ensuring safety under open- world conditions remains",runtime_check_needed,none,"The paper states that safety under open-world conditions remains a significant barrier, and current benchmark data resolves the barrier for large-scale adoption.","Despite these developments, ensuring safety under open- world conditions remains a significant barrier to large-scale deployment."
LLM_106,SBV2-ALL92-G004-STRONG,strong_action_overclaim,autonomous_driving,AD-002,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVI",Experimental Setup All experiments are conducted on a desktop PC with an Intel C,runtime_check_needed,none,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware."
LLM_107,SBV2-ALL92-G042-C03,strong_action_overclaim,autonomous_driving,AD-015,DriveE2E introduces a closed-loop evaluation framework that integrates recorded ,"To address these limitations, we introduce a simple yet challenging closed-loop ",runtime_check_needed,none,DriveE2E introduces a closed-loop evaluation framework that integrates recorded traffic cases into CARLA through infrastructure cooperation and calibrated city-scale twins.,"To address these limitations, we introduce a simple yet challenging closed-loop evaluation framework that closely integrates real-world driving scenarios into the CARLA simulator with infrastructure cooperation."
LLM_108,SBV2-ALL92-G014-C03,strong_action_overclaim,autonomous_driving,AD-005,Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl,"2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea",runtime_check_needed,none,"Table 2 reports Bench2Drive-R achieves better generation quality than BEVControl, MagicDrive, Panacea, and Panacea+ with lower FID, perception, and segmentation scores.","2, Bench2Drive-R outperforms baselines BEVControl [99], MagicDrive [20], Panacea [89] and Panacea+ [90] in gen- eration quality, yielding notably lower FID score."
LLM_109,SBV2-ALL92-G025-C03,strong_action_overclaim,autonomous_driving,AD-009,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehic",5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representativ,runtime_check_needed,none,"ScenePilot-Bench evaluation covers representative commercial, open-source, vehicle-specialized, sensor-fusion, and text-centric VLMs as baseline models for the reported benchmark experiments section.","5 Experiments 5.1 Baseline Results on ScenePilot-Bench We evaluate representative commercial, open-source, and driving- specialized VLMs on ScenePilot-Bench."
LLM_110,SBV2-ALL92-G018-C03,strong_action_overclaim,autonomous_driving,AD-006,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indic","The overall performance of all ADVLMs remains relatively low, indicating that cu",runtime_check_needed,none,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.","The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations."
